"Status","Year","Region_ITL3","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Angus and Dundee City","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","AA/AO","810","750","21210","21010"
"In post","2021","Angus and Dundee City","Unknown","EO","410","370","27510","27570"
"In post","2021","Angus and Dundee City","Unknown","G6/G7","60","50","61910","61010"
"In post","2021","Angus and Dundee City","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","SEO/HEO","160","150","35860","34290"
"In post","2021","Antrim and Newtownabbey","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","AA/AO","70","70","20810","20310"
"In post","2021","Antrim and Newtownabbey","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","AA/AO","70","70","20820","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","AA/AO","100","100","20900","20310"
"In post","2021","Ards and North Down","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","AA/AO","50","50","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","AA/AO","60","50","22000","22450"
"In post","2021","Barking & Dagenham and Havering","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Unknown","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","AA/AO","60","50","24610","25110"
"In post","2021","Barking & Dagenham and Havering","Unknown","EO","360","330","31050","31060"
"In post","2021","Barking & Dagenham and Havering","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Barnet","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","No function","AA/AO","200","170","23520","23530"
"In post","2021","Barnet","No function","EO","180","170","28830","27710"
"In post","2021","Barnet","No function","G6/G7","240","230","59000","55130"
"In post","2021","Barnet","No function","SCS","40","40","[c]","[c]"
"In post","2021","Barnet","No function","SEO/HEO","390","380","38360","39700"
"In post","2021","Barnet","No function","Unknown","50","40","[c]","[c]"
"In post","2021","Barnet","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","AA/AO","60","60","24740","25110"
"In post","2021","Barnet","Unknown","EO","250","230","30950","31060"
"In post","2021","Barnet","Unknown","G6/G7","30","30","[c]","[c]"
"In post","2021","Barnet","Unknown","SEO/HEO","110","110","41120","40430"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","AA/AO","880","820","24600","24120"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","EO","210","190","29610","28800"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","SEO/HEO","160","150","39360","38160"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Unknown","210","180","29460","30210"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","EO","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","AA/AO","610","510","20800","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","EO","680","580","27440","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","SEO/HEO","100","100","33130","32250"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","EO","60","50","25940","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","G6/G7","120","110","59470","55110"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","SEO/HEO","290","280","37590","39080"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Unknown","150","150","41730","38240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","SEO/HEO","60","50","37700","38440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Unknown","50","50","37900","36500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","EO","180","170","22870","22580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","G6/G7","120","120","59770","57540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","SEO/HEO","320","300","37270","36740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Unknown","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","AA/AO","110","100","21110","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","EO","90","80","24470","25480"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","G6/G7","60","60","59200","55440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","SEO/HEO","160","150","35480","35000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Unknown","190","180","37910","32710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","G6/G7","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","AA/AO","390","360","24510","23330"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","EO","290","280","30750","32770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","SEO/HEO","210","200","40690","40210"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Unknown","110","90","31000","31420"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","EO","1380","1320","23030","23000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","G6/G7","1360","1330","56740","55000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","SCS","80","80","99170","93640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","SEO/HEO","4520","4370","36130","35950"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Unknown","970","960","42680","39990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","EO","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","G6/G7","70","60","57260","54540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","SEO/HEO","190","180","35450","35630"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","AA/AO","90","90","22990","19560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","AA/AO","130","120","21180","21010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","EO","520","480","26820","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","G6/G7","100","100","58810","54800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","SEO/HEO","500","490","37790","37970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","No function","AA/AO","260","240","26510","27850"
"In post","2021","Bedford","No function","EO","60","60","28860","28840"
"In post","2021","Bedford","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","No function","SEO/HEO","90","80","40400","39560"
"In post","2021","Bedford","No function","Unknown","70","60","27250","23840"
"In post","2021","Bedford","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","AA/AO","30","30","[c]","[c]"
"In post","2021","Bedford","Unknown","EO","200","190","27230","27570"
"In post","2021","Bedford","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","SEO/HEO","50","50","34270","33300"
"In post","2021","Belfast","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Counter Fraud","EO","170","160","25990","25560"
"In post","2021","Belfast","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Counter Fraud","SEO/HEO","170","160","33940","31810"
"In post","2021","Belfast","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
