"Status","Year","Region_ITL1","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Unknown","Unknown","300","290","29410","27570"
"In post","2021","East Midlands (England)","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","East of England","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Finance","30","30","[c]","[c]"
"In post","2021","East of England","Declared disabled","Human Resources","30","30","[c]","[c]"
"In post","2021","East of England","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","East of England","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Legal","70","60","41220","37640"
"In post","2021","East of England","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Operational Delivery","1000","920","27790","26550"
"In post","2021","East of England","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Other","110","100","23140","21130"
"In post","2021","East of England","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Project Delivery","60","60","38870","37970"
"In post","2021","East of England","Declared disabled","Property","50","50","34120","33300"
"In post","2021","East of England","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Science and Engineering","60","60","33660","31700"
"In post","2021","East of England","Declared disabled","Security","50","50","36440","39070"
"In post","2021","East of England","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Tax","40","30","[c]","[c]"
"In post","2021","East of England","Declared disabled","Unknown","880","780","28270","27570"
"In post","2021","East of England","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Commercial","140","130","40190","36970"
"In post","2021","East of England","Declared non-disabled","Communications","60","60","34880","32640"
"In post","2021","East of England","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Digital, Data and Technology","300","290","37000","34810"
"In post","2021","East of England","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Finance","280","260","38180","35780"
"In post","2021","East of England","Declared non-disabled","Human Resources","130","120","33920","31400"
"In post","2021","East of England","Declared non-disabled","Inspector of Education and Training","70","70","66100","75500"
"In post","2021","East of England","Declared non-disabled","Intelligence Analysis","290","290","32560","33000"
"In post","2021","East of England","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Knowledge and Information Management","110","100","35700","33300"
"In post","2021","East of England","Declared non-disabled","Legal","430","390","41390","38300"
"In post","2021","East of England","Declared non-disabled","Medicine","110","100","52630","37890"
"In post","2021","East of England","Declared non-disabled","Operational Delivery","7020","6490","28360","26780"
"In post","2021","East of England","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Other","810","770","24860","21130"
"In post","2021","East of England","Declared non-disabled","Policy","130","130","44170","42200"
"In post","2021","East of England","Declared non-disabled","Project Delivery","410","390","38910","36520"
"In post","2021","East of England","Declared non-disabled","Property","330","310","33610","33280"
"In post","2021","East of England","Declared non-disabled","Psychology","140","130","35090","30450"
"In post","2021","East of England","Declared non-disabled","Science and Engineering","550","520","35390","32440"
"In post","2021","East of England","Declared non-disabled","Security","350","340","32850","27700"
"In post","2021","East of England","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Tax","150","130","35070","31870"
"In post","2021","East of England","Declared non-disabled","Unknown","3620","3250","28570","27570"
"In post","2021","East of England","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Intelligence Analysis","50","40","[c]","[c]"
"In post","2021","East of England","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Legal","40","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Operational Delivery","990","910","29820","29810"
"In post","2021","East of England","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Other","80","70","23050","21130"
"In post","2021","East of England","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Project Delivery","50","50","[c]","[c]"
"In post","2021","East of England","Undeclared","Property","50","50","[c]","[c]"
"In post","2021","East of England","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Science and Engineering","50","50","36630","32900"
"In post","2021","East of England","Undeclared","Security","40","40","[c]","[c]"
"In post","2021","East of England","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Unknown","200","190","29400","29290"
"In post","2021","East of England","Unknown","Commercial","70","70","35370","34800"
"In post","2021","East of England","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Digital, Data and Technology","130","120","36070","32900"
"In post","2021","East of England","Unknown","Finance","60","50","31540","25560"
"In post","2021","East of England","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Legal","150","140","32410","26970"
"In post","2021","East of England","Unknown","Medicine","40","30","[c]","[c]"
"In post","2021","East of England","Unknown","Operational Delivery","1190","1140","27250","24920"
"In post","2021","East of England","Unknown","Other","180","170","25520","21580"
"In post","2021","East of England","Unknown","Policy","40","30","[c]","[c]"
"In post","2021","East of England","Unknown","Project Delivery","80","80","40010","38630"
"In post","2021","East of England","Unknown","Property","80","80","26530","23910"
"In post","2021","East of England","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Science and Engineering","260","250","40410","37620"
"In post","2021","East of England","Unknown","Security","110","110","31320","26750"
"In post","2021","East of England","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Tax","60","50","31960","31810"
"In post","2021","East of England","Unknown","Unknown","220","210","36450","29290"
"In post","2021","East of England","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Commercial","80","80","44430","41030"
"In post","2021","London","Declared disabled","Communications","100","100","43530","39600"
"In post","2021","London","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Digital, Data and Technology","230","230","46710","42850"
"In post","2021","London","Declared disabled","Economics","80","80","47460","49100"
"In post","2021","London","Declared disabled","Finance","180","170","47780","43610"
"In post","2021","London","Declared disabled","Human Resources","300","290","47690","42230"
"In post","2021","London","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Intelligence Analysis","130","120","38230","35680"
"In post","2021","London","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","International Trade","70","70","46760","40840"
"In post","2021","London","Declared disabled","Knowledge and Information Management","80","80","38140","34010"
"In post","2021","London","Declared disabled","Legal","340","320","55390","56560"
"In post","2021","London","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Operational Delivery","2480","2320","33050","30010"
"In post","2021","London","Declared disabled","Operational Research","30","30","[c]","[c]"
"In post","2021","London","Declared disabled","Other","290","280","35100","29270"
"In post","2021","London","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Policy","1670","1630","47050","41970"
"In post","2021","London","Declared disabled","Project Delivery","330","320","47520","42170"
"In post","2021","London","Declared disabled","Property","80","80","41460","35390"
"In post","2021","London","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Science and Engineering","70","60","45130","40960"
"In post","2021","London","Declared disabled","Security","100","100","39010","37640"
"In post","2021","London","Declared disabled","Social Research","40","40","[c]","[c]"
"In post","2021","London","Declared disabled","Statistics","80","80","45680","41760"
"In post","2021","London","Declared disabled","Tax","200","190","42460","39800"
"In post","2021","London","Declared disabled","Unknown","2140","2000","37280","31060"
"In post","2021","London","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared non-disabled","Commercial","560","550","47870","43840"
"In post","2021","London","Declared non-disabled","Communications","1270","1240","47270","43210"
"In post","2021","London","Declared non-disabled","Corporate Finance","50","50","54550","54110"
"In post","2021","London","Declared non-disabled","Counter Fraud","260","250","43600","40000"
"In post","2021","London","Declared non-disabled","Digital, Data and Technology","2090","2050","50280","45840"
"In post","2021","London","Declared non-disabled","Economics","1170","1140","49360","51970"
"In post","2021","London","Declared non-disabled","Finance","1800","1760","50250","46230"
"In post","2021","London","Declared non-disabled","Human Resources","1640","1580","47530","42770"
"In post","2021","London","Declared non-disabled","Inspector of Education and Training","190","180","67700","75500"
"In post","2021","London","Declared non-disabled","Intelligence Analysis","950","900","38720","35700"
"In post","2021","London","Declared non-disabled","Internal Audit","160","150","53210","51000"
"In post","2021","London","Declared non-disabled","International Trade","540","530","48660","51710"
"In post","2021","London","Declared non-disabled","Knowledge and Information Management","480","460","41660","37640"
"In post","2021","London","Declared non-disabled","Legal","3230","3040","55730","53590"
"In post","2021","London","Declared non-disabled","Medicine","190","170","78430","82100"
"In post","2021","London","Declared non-disabled","Operational Delivery","17280","16290","34790","30600"
"In post","2021","London","Declared non-disabled","Operational Research","270","260","49370","45730"
"In post","2021","London","Declared non-disabled","Other","2780","2670","41460","35010"
"In post","2021","London","Declared non-disabled","Planning","80","80","48720","44630"
"In post","2021","London","Declared non-disabled","Policy","13070","12720","50100","52290"
"In post","2021","London","Declared non-disabled","Project Delivery","2560","2500","51000","45200"
"In post","2021","London","Declared non-disabled","Property","750","720","45440","39110"
"In post","2021","London","Declared non-disabled","Psychology","50","40","[c]","[c]"
"In post","2021","London","Declared non-disabled","Science and Engineering","910","860","46350","41030"
"In post","2021","London","Declared non-disabled","Security","820","800","39210","35680"
"In post","2021","London","Declared non-disabled","Social Research","330","320","48580","44220"
"In post","2021","London","Declared non-disabled","Statistics","620","600","48060","43360"
"In post","2021","London","Declared non-disabled","Tax","1350","1280","44710","39800"
"In post","2021","London","Declared non-disabled","Unknown","11840","11280","40280","31880"
"In post","2021","London","Declared non-disabled","Veterinarian","30","30","[c]","[c]"
"In post","2021","London","Undeclared","Commercial","60","60","48430","46360"
"In post","2021","London","Undeclared","Communications","100","100","47530","42800"
"In post","2021","London","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Counter Fraud","30","30","[c]","[c]"
"In post","2021","London","Undeclared","Digital, Data and Technology","170","160","48300","44740"
"In post","2021","London","Undeclared","Economics","110","110","44870","37090"
"In post","2021","London","Undeclared","Finance","160","160","47570","45650"
"In post","2021","London","Undeclared","Human Resources","150","150","46730","43750"
"In post","2021","London","Undeclared","Intelligence Analysis","100","90","39920","36970"
"In post","2021","London","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","International Trade","30","30","[c]","[c]"
"In post","2021","London","Undeclared","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","London","Undeclared","Legal","220","210","55400","56650"
"In post","2021","London","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Operational Delivery","1910","1790","34300","31530"
"In post","2021","London","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Other","270","260","36240","32740"
"In post","2021","London","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Policy","1180","1170","47840","44390"
"In post","2021","London","Undeclared","Project Delivery","220","220","48360","44500"
"In post","2021","London","Undeclared","Property","110","100","44470","37380"
"In post","2021","London","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Science and Engineering","100","90","45130","40070"
"In post","2021","London","Undeclared","Security","100","100","42870","39770"
"In post","2021","London","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Statistics","60","60","45730","42980"
"In post","2021","London","Undeclared","Tax","130","130","46500","39800"
"In post","2021","London","Undeclared","Unknown","700","680","39650","31880"
"In post","2021","London","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Commercial","180","170","48250","40650"
"In post","2021","London","Unknown","Communications","620","610","44380","40640"
"In post","2021","London","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Counter Fraud","80","80","46020","40270"
"In post","2021","London","Unknown","Digital, Data and Technology","810","800","48550","44950"
"In post","2021","London","Unknown","Economics","410","400","44540","36160"
"In post","2021","London","Unknown","Finance","420","410","45650","40650"
"In post","2021","London","Unknown","Human Resources","330","320","42370","36950"
"In post","2021","London","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Intelligence Analysis","250","250","49510","53360"
"In post","2021","London","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","International Trade","430","430","45550","38540"
"In post","2021","London","Unknown","Knowledge and Information Management","150","130","41780","38160"
"In post","2021","London","Unknown","Legal","980","930","51390","51410"
"In post","2021","London","Unknown","Medicine","160","150","79350","72070"
"In post","2021","London","Unknown","Operational Delivery","4230","4110","34720","30850"
"In post","2021","London","Unknown","Operational Research","70","70","45670","40480"
"In post","2021","London","Unknown","Other","840","810","40810","33080"
"In post","2021","London","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Policy","3770","3690","47420","41950"
"In post","2021","London","Unknown","Project Delivery","540","530","48860","42660"
"In post","2021","London","Unknown","Property","170","170","40040","36150"
"In post","2021","London","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Science and Engineering","350","340","47860","44950"
"In post","2021","London","Unknown","Security","210","210","35760","32260"
"In post","2021","London","Unknown","Social Research","60","60","42630","38420"
"In post","2021","London","Unknown","Statistics","160","150","42710","39030"
"In post","2021","London","Unknown","Tax","610","580","39160","36160"
"In post","2021","London","Unknown","Unknown","3460","3410","45090","34550"
"In post","2021","London","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Digital, Data and Technology","50","50","38150","36950"
"In post","2021","North East (England)","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Legal","40","40","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Operational Delivery","1320","1150","25260","21550"
"In post","2021","North East (England)","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Policy","40","40","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Project Delivery","80","70","39220","38630"
"In post","2021","North East (England)","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Tax","140","130","30120","29970"
"In post","2021","North East (England)","Declared disabled","Unknown","1620","1400","25980","27570"
"In post","2021","North East (England)","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","Commercial","80","80","43490","40930"
"In post","2021","North East (England)","Declared non-disabled","Communications","80","70","34440","31810"
"In post","2021","North East (England)","Declared non-disabled","Counter Fraud","30","30","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","Digital, Data and Technology","440","420","39820","38630"
"In post","2021","North East (England)","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","Finance","280","270","39090","37100"
