"Status","Year","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Derbyshire and Nottinghamshire","Project Delivery","190","190","43070","39130"
"In post","2021","Derbyshire and Nottinghamshire","Property","310","290","38660","36970"
"In post","2021","Derbyshire and Nottinghamshire","Psychology","100","100","34470","30450"
"In post","2021","Derbyshire and Nottinghamshire","Science and Engineering","320","290","42340","39390"
"In post","2021","Derbyshire and Nottinghamshire","Security","80","70","33290","33200"
"In post","2021","Derbyshire and Nottinghamshire","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Tax","1280","1210","33120","31810"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","2630","2350","27000","27570"
"In post","2021","Derbyshire and Nottinghamshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Commercial","220","210","42790","39790"
"In post","2021","Devon","Communications","50","50","35460","33220"
"In post","2021","Devon","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Digital, Data and Technology","890","850","37780","38450"
"In post","2021","Devon","Finance","100","90","41330","39640"
"In post","2021","Devon","Human Resources","110","100","36710","32940"
"In post","2021","Devon","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Legal","90","80","49030","50700"
"In post","2021","Devon","Medicine","140","120","38130","30620"
"In post","2021","Devon","Operational Delivery","2870","2640","28280","25400"
"In post","2021","Devon","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Other","390","370","25290","21130"
"In post","2021","Devon","Policy","40","40","[c]","[c]"
"In post","2021","Devon","Project Delivery","390","380","40010","39650"
"In post","2021","Devon","Property","220","210","33770","32910"
"In post","2021","Devon","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Science and Engineering","910","870","38720","39650"
"In post","2021","Devon","Security","430","420","27000","20920"
"In post","2021","Devon","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","2080","1780","25640","27570"
"In post","2021","Devon","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Commercial","70","70","42320","40430"
"In post","2021","Dorset and Somerset","Communications","40","40","[c]","[c]"
"In post","2021","Dorset and Somerset","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Digital, Data and Technology","240","240","37890","35340"
"In post","2021","Dorset and Somerset","Finance","40","40","[c]","[c]"
"In post","2021","Dorset and Somerset","Human Resources","50","50","35230","33050"
"In post","2021","Dorset and Somerset","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","Dorset and Somerset","Legal","30","30","[c]","[c]"
"In post","2021","Dorset and Somerset","Medicine","50","40","47780","37890"
"In post","2021","Dorset and Somerset","Operational Delivery","2310","2140","28510","27130"
"In post","2021","Dorset and Somerset","Other","570","550","26060","21580"
"In post","2021","Dorset and Somerset","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Project Delivery","160","150","36100","34850"
"In post","2021","Dorset and Somerset","Property","80","80","29920","29200"
"In post","2021","Dorset and Somerset","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Science and Engineering","330","310","34570","33600"
"In post","2021","Dorset and Somerset","Security","140","130","23250","19560"
"In post","2021","Dorset and Somerset","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","990","870","27060","27570"
"In post","2021","Dorset and Somerset","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Commercial","220","210","38250","35730"
"In post","2021","East Anglia","Communications","50","40","[c]","[c]"
"In post","2021","East Anglia","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Digital, Data and Technology","170","160","34900","31830"
"In post","2021","East Anglia","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Finance","140","130","35870","31920"
"In post","2021","East Anglia","Human Resources","110","110","35730","33300"
"In post","2021","East Anglia","Inspector of Education and Training","90","90","65420","75500"
"In post","2021","East Anglia","Intelligence Analysis","380","370","32740","33300"
"In post","2021","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Knowledge and Information Management","140","130","36090","33300"
"In post","2021","East Anglia","Legal","410","380","31830","28130"
"In post","2021","East Anglia","Medicine","80","70","62950","37890"
"In post","2021","East Anglia","Operational Delivery","5800","5370","27960","26580"
"In post","2021","East Anglia","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Other","840","810","23910","21130"
"In post","2021","East Anglia","Policy","90","80","42810","40580"
"In post","2021","East Anglia","Project Delivery","320","310","38420","34800"
"In post","2021","East Anglia","Property","380","360","34160","33300"
"In post","2021","East Anglia","Psychology","150","140","35120","30450"
"In post","2021","East Anglia","Science and Engineering","670","640","33240","30460"
"In post","2021","East Anglia","Security","240","240","29330","26670"
"In post","2021","East Anglia","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Tax","140","130","36670","32030"
"In post","2021","East Anglia","Unknown","2010","1770","28260","27570"
"In post","2021","East Anglia","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Commercial","160","150","36670","33290"
"In post","2021","East Wales","Communications","260","240","38770","37180"
"In post","2021","East Wales","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Digital, Data and Technology","1100","1080","40000","37410"
"In post","2021","East Wales","Economics","160","160","39490","32180"
"In post","2021","East Wales","Finance","370","340","39050","36030"
"In post","2021","East Wales","Human Resources","560","520","35900","30660"
"In post","2021","East Wales","Inspector of Education and Training","60","60","74480","74730"
"In post","2021","East Wales","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Knowledge and Information Management","120","120","33850","30150"
"In post","2021","East Wales","Legal","550","510","45160","48080"
"In post","2021","East Wales","Medicine","200","180","45070","37890"
"In post","2021","East Wales","Operational Delivery","8420","7760","28030","24900"
"In post","2021","East Wales","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Other","490","470","31200","25560"
"In post","2021","East Wales","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Policy","1240","1180","43740","37410"
"In post","2021","East Wales","Project Delivery","370","360","42660","39120"
"In post","2021","East Wales","Property","230","220","35700","33300"
"In post","2021","East Wales","Psychology","50","50","[c]","[c]"
"In post","2021","East Wales","Science and Engineering","680","650","40390","38620"
"In post","2021","East Wales","Security","150","150","27040","20920"
"In post","2021","East Wales","Social Research","330","320","39620","37020"
"In post","2021","East Wales","Statistics","390","370","40750","37020"
"In post","2021","East Wales","Tax","1640","1560","30010","25560"
"In post","2021","East Wales","Unknown","2660","2430","26620","27570"
"In post","2021","East Wales","Veterinarian","40","30","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Intelligence Analysis","60","60","28420","27370"
"In post","2021","East Yorkshire and Northern Lincolnshire","Legal","60","50","51490","55610"
"In post","2021","East Yorkshire and Northern Lincolnshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Operational Delivery","2690","2500","27990","26620"
"In post","2021","East Yorkshire and Northern Lincolnshire","Other","400","390","26100","26670"
"In post","2021","East Yorkshire and Northern Lincolnshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Property","70","60","31300","29440"
"In post","2021","East Yorkshire and Northern Lincolnshire","Psychology","60","60","32110","29750"
"In post","2021","East Yorkshire and Northern Lincolnshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Security","50","50","35100","39070"
"In post","2021","East Yorkshire and Northern Lincolnshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","1210","1030","25930","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Commercial","90","90","33600","28410"
"In post","2021","Eastern Scotland","Communications","40","40","[c]","[c]"
"In post","2021","Eastern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Digital, Data and Technology","220","220","38680","35230"
"In post","2021","Eastern Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Finance","120","120","35300","32300"
"In post","2021","Eastern Scotland","Human Resources","200","190","34990","33350"
"In post","2021","Eastern Scotland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Legal","280","260","52940","52490"
"In post","2021","Eastern Scotland","Medicine","50","40","[c]","[c]"
"In post","2021","Eastern Scotland","Operational Delivery","5330","4990","28770","26550"
"In post","2021","Eastern Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Other","750","710","30860","26410"
"In post","2021","Eastern Scotland","Policy","60","50","46180","45190"
"In post","2021","Eastern Scotland","Project Delivery","210","200","42140","38630"
"In post","2021","Eastern Scotland","Property","180","170","34270","33300"
"In post","2021","Eastern Scotland","Psychology","40","40","[c]","[c]"
"In post","2021","Eastern Scotland","Science and Engineering","90","80","33580","26110"
"In post","2021","Eastern Scotland","Security","90","90","27780","20060"
"In post","2021","Eastern Scotland","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Statistics","30","30","[c]","[c]"
"In post","2021","Eastern Scotland","Tax","1050","1000","29440","27110"
"In post","2021","Eastern Scotland","Unknown","10940","10260","36850","30650"
"In post","2021","Eastern Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Digital, Data and Technology","270","250","37480","35000"
"In post","2021","Essex","Finance","150","140","33170","31810"
"In post","2021","Essex","Human Resources","30","30","[c]","[c]"
"In post","2021","Essex","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Essex","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Legal","150","130","46540","46530"
"In post","2021","Essex","Medicine","50","50","55600","38490"
"In post","2021","Essex","Operational Delivery","2340","2160","27920","25850"
"In post","2021","Essex","Other","170","150","25440","22130"
"In post","2021","Essex","Policy","70","70","40520","38630"
"In post","2021","Essex","Project Delivery","130","130","38400","36460"
"In post","2021","Essex","Property","100","100","28410","26220"
"In post","2021","Essex","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Security","220","220","40220","40570"
"In post","2021","Essex","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Tax","110","100","31330","28130"
"In post","2021","Essex","Unknown","1680","1520","29220","29290"
"In post","2021","Essex","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","1430","1370","38880","35900"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","210","200","36470","34770"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data and Technology","1020","990","40710","39170"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","1160","1110","39810","36460"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","730","680","35560","32590"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Inspector of Education and Training","80","70","66220","70500"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Internal Audit","70","70","43600","41650"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Knowledge and Information Management","480","460","36800","33980"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Legal","400","370","41920","38630"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Medicine","220","190","52160","37890"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Operational Delivery","5000","4630","30300","27130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Operational Research","100","100","43080","46080"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Other","3300","3150","32230","28650"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Planning","40","40","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Planning Inspectors","320","280","57780","58810"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Policy","700","660","41120","36970"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","4180","4040","40740","39940"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Property","540","520","36950","33300"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Psychology","60","60","38890","36710"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Science and Engineering","5040","4900","38620","37350"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Security","550","540","30100","26750"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Statistics","170","160","39890","37050"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Tax","570","530","39780","32020"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","2820","2560","31290","27570"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Commercial","220","210","39840","37920"
"In post","2021","Greater Manchester","Communications","90","80","34140","31890"
"In post","2021","Greater Manchester","Counter Fraud","60","60","38620","39170"
"In post","2021","Greater Manchester","Digital, Data and Technology","450","440","40570","37460"
"In post","2021","Greater Manchester","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Finance","290","280","40610","37890"
"In post","2021","Greater Manchester","Human Resources","490","460","33250","31810"
"In post","2021","Greater Manchester","Inspector of Education and Training","110","110","65190","64500"
"In post","2021","Greater Manchester","Intelligence Analysis","240","230","28240","25690"
"In post","2021","Greater Manchester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","International Trade","30","30","[c]","[c]"
"In post","2021","Greater Manchester","Knowledge and Information Management","60","60","32130","29200"
"In post","2021","Greater Manchester","Legal","750","710","39240","33110"
"In post","2021","Greater Manchester","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Operational Delivery","7300","6800","27480","25400"
"In post","2021","Greater Manchester","Operational Research","60","60","42940","38630"
"In post","2021","Greater Manchester","Other","240","230","32270","25880"
"In post","2021","Greater Manchester","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Policy","630","610","41170","36960"
"In post","2021","Greater Manchester","Project Delivery","320","310","41440","38630"
"In post","2021","Greater Manchester","Property","240","230","40420","36500"
"In post","2021","Greater Manchester","Psychology","30","30","[c]","[c]"
"In post","2021","Greater Manchester","Science and Engineering","200","180","32680","28590"
