"Status","Year","Age","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South West (England)","90","90","17640","17780"
"In post","2021","16-19","Science and Engineering","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","North East (England)","40","30","[c]","[c]"
"In post","2021","16-19","Tax","North West (England)","40","40","[c]","[c]"
"In post","2021","16-19","Tax","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North East (England)","50","50","[c]","[c]"
"In post","2021","16-19","Unknown","North West (England)","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland","90","90","21080","21150"
"In post","2021","16-19","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","20-29","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","London","140","140","37910","35500"
"In post","2021","20-29","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","North West (England)","80","80","31250","29550"
"In post","2021","20-29","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Scotland","50","40","[c]","[c]"
"In post","2021","20-29","Commercial","South East (England)","70","70","29080","26670"
"In post","2021","20-29","Commercial","South West (England)","350","350","29140","29210"
"In post","2021","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","60","60","29930","28970"
"In post","2021","20-29","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","London","600","590","36620","35430"
"In post","2021","20-29","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","South East (England)","40","40","[c]","[c]"
"In post","2021","20-29","Communications","South West (England)","40","30","[c]","[c]"
"In post","2021","20-29","Communications","Wales","50","50","28970","29200"
"In post","2021","20-29","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","60","60","32430","33100"
"In post","2021","20-29","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","East of England","50","50","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","London","540","530","38690","36800"
"In post","2021","20-29","Digital, Data and Technology","North East (England)","90","90","32330","31810"
"In post","2021","20-29","Digital, Data and Technology","North West (England)","140","140","32820","31810"
"In post","2021","20-29","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Scotland","90","90","32420","31810"
"In post","2021","20-29","Digital, Data and Technology","South East (England)","110","110","30030","29540"
"In post","2021","20-29","Digital, Data and Technology","South West (England)","330","330","30760","29760"
"In post","2021","20-29","Digital, Data and Technology","Wales","300","300","29880","27070"
"In post","2021","20-29","Digital, Data and Technology","West Midlands (England)","140","140","32710","31810"
"In post","2021","20-29","Digital, Data and Technology","Yorkshire and The Humber","110","110","32990","30470"
"In post","2021","20-29","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","London","1020","1010","38230","34330"
"In post","2021","20-29","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Wales","80","80","29280","29540"
"In post","2021","20-29","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","East of England","40","40","[c]","[c]"
"In post","2021","20-29","Finance","London","410","400","39600","36120"
"In post","2021","20-29","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","North West (England)","60","60","31450","29730"
"In post","2021","20-29","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Scotland","100","90","24470","20140"
"In post","2021","20-29","Finance","South East (England)","80","80","29770","28130"
"In post","2021","20-29","Finance","South West (England)","240","240","28080","26350"
"In post","2021","20-29","Finance","Wales","60","60","28310","26350"
"In post","2021","20-29","Finance","West Midlands (England)","70","70","29790","26780"
"In post","2021","20-29","Finance","Yorkshire and The Humber","90","90","31380","28970"
"In post","2021","20-29","Human Resources","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","20-29","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","London","450","440","36330","32730"
"In post","2021","20-29","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","North West (England)","140","140","26670","25560"
"In post","2021","20-29","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Scotland","60","60","25730","24220"
"In post","2021","20-29","Human Resources","South East (England)","40","40","[c]","[c]"
"In post","2021","20-29","Human Resources","South West (England)","120","120","25290","21590"
"In post","2021","20-29","Human Resources","Wales","110","110","26670","24500"
"In post","2021","20-29","Human Resources","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","20-29","Human Resources","Yorkshire and The Humber","50","50","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","East of England","70","70","29210","26670"
"In post","2021","20-29","Intelligence Analysis","London","300","300","37310","35700"
"In post","2021","20-29","Intelligence Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","South East (England)","30","30","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","20-29","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","London","380","380","38490","38040"
"In post","2021","20-29","International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","London","80","80","31280","30220"
"In post","2021","20-29","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","South East (England)","30","30","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","South West (England)","80","70","27270","27000"
"In post","2021","20-29","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","East Midlands (England)","60","60","30260","25560"
"In post","2021","20-29","Legal","East of England","70","70","28120","25560"
"In post","2021","20-29","Legal","London","510","500","37340","33460"
"In post","2021","20-29","Legal","North East (England)","40","40","[c]","[c]"
"In post","2021","20-29","Legal","North West (England)","120","120","30170","25560"
"In post","2021","20-29","Legal","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Scotland","100","100","35720","33550"
"In post","2021","20-29","Legal","South East (England)","70","70","29990","25560"
"In post","2021","20-29","Legal","South West (England)","60","60","30850","25740"
"In post","2021","20-29","Legal","Wales","50","50","33840","27920"
"In post","2021","20-29","Legal","West Midlands (England)","50","50","[c]","[c]"
"In post","2021","20-29","Legal","Yorkshire and The Humber","90","90","30350","25560"
"In post","2021","20-29","Medicine","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","South West (England)","30","30","[c]","[c]"
"In post","2021","20-29","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","East Midlands (England)","1660","1620","23920","23470"
"In post","2021","20-29","Operational Delivery","East of England","1620","1580","25470","24890"
"In post","2021","20-29","Operational Delivery","London","4380","4330","30190","28720"
"In post","2021","20-29","Operational Delivery","North East (England)","1550","1500","23730","22350"
"In post","2021","20-29","Operational Delivery","North West (England)","3880","3780","24140","23840"
"In post","2021","20-29","Operational Delivery","Northern Ireland","220","200","22520","21430"
"In post","2021","20-29","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Scotland","2110","2060","24010","22430"
"In post","2021","20-29","Operational Delivery","South East (England)","2810","2760","26300","25790"
"In post","2021","20-29","Operational Delivery","South West (England)","1760","1720","24620","23140"
"In post","2021","20-29","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Wales","2570","2500","23270","21590"
"In post","2021","20-29","Operational Delivery","West Midlands (England)","2350","2300","23650","22850"
"In post","2021","20-29","Operational Delivery","Yorkshire and The Humber","2690","2650","24110","23970"
"In post","2021","20-29","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","London","150","150","37590","36160"
"In post","2021","20-29","Operational Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","South East (England)","110","110","30890","28650"
"In post","2021","20-29","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","20-29","Other","East of England","70","70","22030","20920"
"In post","2021","20-29","Other","London","910","910","32920","30200"
"In post","2021","20-29","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","North West (England)","70","70","25760","24890"
"In post","2021","20-29","Other","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Scotland","230","220","25170","23450"
"In post","2021","20-29","Other","South East (England)","180","180","23130","20920"
"In post","2021","20-29","Other","South West (England)","520","510","24030","20920"
"In post","2021","20-29","Other","Unknown","370","370","29010","28980"
"In post","2021","20-29","Other","Wales","60","60","27470","23830"
"In post","2021","20-29","Other","West Midlands (England)","80","80","23300","20920"
"In post","2021","20-29","Other","Yorkshire and The Humber","60","50","24230","20920"
"In post","2021","20-29","Planning","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","London","6270","6250","39600","35700"
"In post","2021","20-29","Policy","North East (England)","40","40","[c]","[c]"
"In post","2021","20-29","Policy","North West (England)","170","170","33760","30820"
"In post","2021","20-29","Policy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Overseas","170","170","37100","34220"
"In post","2021","20-29","Policy","Scotland","60","60","28890","29740"
"In post","2021","20-29","Policy","South East (England)","60","60","30720","31040"
"In post","2021","20-29","Policy","South West (England)","140","140","33660","30190"
"In post","2021","20-29","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Wales","170","170","28840","28850"
"In post","2021","20-29","Policy","West Midlands (England)","100","100","29670","30190"
"In post","2021","20-29","Policy","Yorkshire and The Humber","320","320","32530","29360"
"In post","2021","20-29","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","East of England","50","50","32870","33000"
"In post","2021","20-29","Project Delivery","London","610","600","38100","35070"
"In post","2021","20-29","Project Delivery","North East (England)","70","70","30780","31810"
"In post","2021","20-29","Project Delivery","North West (England)","140","140","31420","31810"
"In post","2021","20-29","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Scotland","60","60","32760","31810"
"In post","2021","20-29","Project Delivery","South East (England)","150","150","32520","33000"
"In post","2021","20-29","Project Delivery","South West (England)","760","750","29490","28900"
"In post","2021","20-29","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Wales","60","50","32100","31040"
"In post","2021","20-29","Project Delivery","West Midlands (England)","70","70","31180","30980"
"In post","2021","20-29","Project Delivery","Yorkshire and The Humber","60","60","29640","29180"
"In post","2021","20-29","Property","East Midlands (England)","60","50","22790","18760"
"In post","2021","20-29","Property","East of England","40","40","[c]","[c]"
"In post","2021","20-29","Property","London","110","110","33040","30310"
"In post","2021","20-29","Property","North East (England)","40","30","[c]","[c]"
"In post","2021","20-29","Property","North West (England)","70","70","28490","25860"
"In post","2021","20-29","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","South East (England)","90","90","27440","26560"
"In post","2021","20-29","Property","South West (England)","80","80","29280","27150"
"In post","2021","20-29","Property","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","West Midlands (England)","50","50","[c]","[c]"
"In post","2021","20-29","Property","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2021","20-29","Psychology","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","20-29","Psychology","East of England","50","50","[c]","[c]"
"In post","2021","20-29","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Psychology","North East (England)","[c]","[c]","[c]","[c]"
