"Status","Year","Profession_of_post","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data and Technology","Declared non-disabled","30-39","2040","2000","41090","38580"
"In post","2021","Digital, Data and Technology","Declared non-disabled","40-49","2430","2380","45510","42410"
"In post","2021","Digital, Data and Technology","Declared non-disabled","50-59","2260","2210","44470","41140"
"In post","2021","Digital, Data and Technology","Declared non-disabled","60-64","490","440","42310","38630"
"In post","2021","Digital, Data and Technology","Declared non-disabled","65+","130","100","42290","38120"
"In post","2021","Digital, Data and Technology","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","20-29","60","60","32550","31420"
"In post","2021","Digital, Data and Technology","Undeclared","30-39","170","160","42690","40230"
"In post","2021","Digital, Data and Technology","Undeclared","40-49","200","200","42980","39590"
"In post","2021","Digital, Data and Technology","Undeclared","50-59","230","220","40860","38450"
"In post","2021","Digital, Data and Technology","Undeclared","60-64","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","20-29","760","760","32690","31810"
"In post","2021","Digital, Data and Technology","Unknown","30-39","890","870","41330","38500"
"In post","2021","Digital, Data and Technology","Unknown","40-49","810","800","44650","41010"
"In post","2021","Digital, Data and Technology","Unknown","50-59","540","530","45780","40830"
"In post","2021","Digital, Data and Technology","Unknown","60-64","110","100","43350","37880"
"In post","2021","Digital, Data and Technology","Unknown","65+","40","30","[c]","[c]"
"In post","2021","Economics","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","20-29","50","50","[c]","[c]"
"In post","2021","Economics","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","20-29","730","720","38280","34340"
"In post","2021","Economics","Declared non-disabled","30-39","370","350","57920","57970"
"In post","2021","Economics","Declared non-disabled","40-49","180","170","65780","62890"
"In post","2021","Economics","Declared non-disabled","50-59","100","100","65810","64710"
"In post","2021","Economics","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","20-29","70","70","36920","33880"
"In post","2021","Economics","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","20-29","340","340","35240","32970"
"In post","2021","Economics","Unknown","30-39","130","130","52890","54650"
"In post","2021","Economics","Unknown","40-49","40","40","[c]","[c]"
"In post","2021","Economics","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","20-29","60","50","32430","30120"
"In post","2021","Finance","Declared disabled","30-39","110","110","37820","36420"
"In post","2021","Finance","Declared disabled","40-49","220","210","39710","35500"
"In post","2021","Finance","Declared disabled","50-59","280","260","38760","35000"
"In post","2021","Finance","Declared disabled","60-64","70","60","35790","30420"
"In post","2021","Finance","Declared disabled","65+","30","30","[c]","[c]"
"In post","2021","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","20-29","770","760","33020","30420"
"In post","2021","Finance","Declared non-disabled","30-39","1360","1290","42040","38630"
"In post","2021","Finance","Declared non-disabled","40-49","1760","1690","44660","40580"
"In post","2021","Finance","Declared non-disabled","50-59","2000","1920","42200","38140"
"In post","2021","Finance","Declared non-disabled","60-64","430","360","37230","32440"
"In post","2021","Finance","Declared non-disabled","65+","120","100","33160","29020"
"In post","2021","Finance","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","20-29","50","50","[c]","[c]"
"In post","2021","Finance","Undeclared","30-39","100","100","43190","40730"
"In post","2021","Finance","Undeclared","40-49","140","130","42240","37990"
"In post","2021","Finance","Undeclared","50-59","190","180","37340","33630"
"In post","2021","Finance","Undeclared","60-64","40","30","[c]","[c]"
"In post","2021","Finance","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","20-29","340","330","31320","29380"
"In post","2021","Finance","Unknown","30-39","350","330","39610","36620"
"In post","2021","Finance","Unknown","40-49","330","310","41630","38630"
"In post","2021","Finance","Unknown","50-59","310","290","40450","36820"
"In post","2021","Finance","Unknown","60-64","70","60","41970","38530"
"In post","2021","Finance","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","20-29","90","90","32460","29870"
"In post","2021","Human Resources","Declared disabled","30-39","160","160","38720","33300"
"In post","2021","Human Resources","Declared disabled","40-49","260","250","43090","38590"
"In post","2021","Human Resources","Declared disabled","50-59","370","350","40900","37410"
"In post","2021","Human Resources","Declared disabled","60-64","80","60","37870","33300"
"In post","2021","Human Resources","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","20-29","690","680","31490","29250"
"In post","2021","Human Resources","Declared non-disabled","30-39","1190","1120","37600","33870"
"In post","2021","Human Resources","Declared non-disabled","40-49","1430","1360","42470","38630"
"In post","2021","Human Resources","Declared non-disabled","50-59","1600","1530","41290","37410"
"In post","2021","Human Resources","Declared non-disabled","60-64","320","270","38610","33350"
"In post","2021","Human Resources","Declared non-disabled","65+","80","70","35650","32290"
"In post","2021","Human Resources","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","30-39","70","70","40480","38750"
"In post","2021","Human Resources","Undeclared","40-49","110","100","38580","37170"
"In post","2021","Human Resources","Undeclared","50-59","160","160","39900","35050"
"In post","2021","Human Resources","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","20-29","270","270","29660","27680"
"In post","2021","Human Resources","Unknown","30-39","320","300","35390","31280"
"In post","2021","Human Resources","Unknown","40-49","290","270","37610","33880"
"In post","2021","Human Resources","Unknown","50-59","240","230","37690","33650"
"In post","2021","Human Resources","Unknown","60-64","40","40","[c]","[c]"
"In post","2021","Human Resources","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","50-59","40","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Declared non-disabled","30-39","70","70","62310","57930"
"In post","2021","Inspector of Education and Training","Declared non-disabled","40-49","240","240","66140","70500"
"In post","2021","Inspector of Education and Training","Declared non-disabled","50-59","320","320","68870","75500"
"In post","2021","Inspector of Education and Training","Declared non-disabled","60-64","70","70","71080","75500"
"In post","2021","Inspector of Education and Training","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","50-59","40","30","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","20-29","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","30-39","60","60","35250","32090"
"In post","2021","Intelligence Analysis","Declared disabled","40-49","70","70","34410","29880"
"In post","2021","Intelligence Analysis","Declared disabled","50-59","110","100","33480","31520"
"In post","2021","Intelligence Analysis","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared non-disabled","20-29","360","360","32040","29250"
"In post","2021","Intelligence Analysis","Declared non-disabled","30-39","670","640","33760","30980"
"In post","2021","Intelligence Analysis","Declared non-disabled","40-49","610","580","34730","30820"
"In post","2021","Intelligence Analysis","Declared non-disabled","50-59","600","580","34550","31000"
"In post","2021","Intelligence Analysis","Declared non-disabled","60-64","130","110","33870","30630"
"In post","2021","Intelligence Analysis","Declared non-disabled","65+","30","20","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","30-39","70","60","33160","30580"
"In post","2021","Intelligence Analysis","Undeclared","40-49","80","70","34540","31920"
"In post","2021","Intelligence Analysis","Undeclared","50-59","100","100","34400","31960"
"In post","2021","Intelligence Analysis","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","20-29","120","120","39960","36160"
"In post","2021","Intelligence Analysis","Unknown","30-39","120","110","46350","47360"
"In post","2021","Intelligence Analysis","Unknown","40-49","90","90","48540","49530"
"In post","2021","Intelligence Analysis","Unknown","50-59","60","50","42970","40010"
"In post","2021","Intelligence Analysis","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","50-59","40","40","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","20-29","30","30","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","30-39","110","100","41960","39980"
"In post","2021","Internal Audit","Declared non-disabled","40-49","140","130","47520","44020"
"In post","2021","Internal Audit","Declared non-disabled","50-59","250","240","49120","45960"
"In post","2021","Internal Audit","Declared non-disabled","60-64","50","40","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","30-39","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","40-49","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","50-59","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","20-29","200","200","37400","33640"
"In post","2021","International Trade","Declared non-disabled","30-39","220","220","50890","51970"
"In post","2021","International Trade","Declared non-disabled","40-49","160","150","52730","51970"
"In post","2021","International Trade","Declared non-disabled","50-59","170","170","50520","48100"
"In post","2021","International Trade","Declared non-disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","20-29","220","220","38160","35860"
"In post","2021","International Trade","Unknown","30-39","180","180","47680","51730"
"In post","2021","International Trade","Unknown","40-49","70","60","51530","52500"
"In post","2021","International Trade","Unknown","50-59","50","50","55210","51970"
"In post","2021","International Trade","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","30-39","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","40-49","70","70","35790","33300"
"In post","2021","Knowledge and Information Management","Declared disabled","50-59","110","100","35080","33320"
"In post","2021","Knowledge and Information Management","Declared disabled","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","20-29","220","220","28460","27650"
"In post","2021","Knowledge and Information Management","Declared non-disabled","30-39","350","340","36580","34490"
"In post","2021","Knowledge and Information Management","Declared non-disabled","40-49","390","370","39850","37410"
"In post","2021","Knowledge and Information Management","Declared non-disabled","50-59","490","470","38110","34710"
"In post","2021","Knowledge and Information Management","Declared non-disabled","60-64","110","100","35540","31790"
"In post","2021","Knowledge and Information Management","Declared non-disabled","65+","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","30-39","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","40-49","50","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","50-59","70","60","38210","34640"
"In post","2021","Knowledge and Information Management","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","20-29","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","30-39","60","60","35900","33350"
"In post","2021","Knowledge and Information Management","Unknown","40-49","100","90","44820","44030"
"In post","2021","Knowledge and Information Management","Unknown","50-59","100","90","41700","38160"
"In post","2021","Knowledge and Information Management","Unknown","60-64","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","20-29","50","50","[c]","[c]"
"In post","2021","Legal","Declared disabled","30-39","170","160","45830","49650"
"In post","2021","Legal","Declared disabled","40-49","280","260","48280","49930"
"In post","2021","Legal","Declared disabled","50-59","360","340","50980","52730"
"In post","2021","Legal","Declared disabled","60-64","90","70","52110","55610"
"In post","2021","Legal","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared non-disabled","20-29","740","730","34820","31810"
"In post","2021","Legal","Declared non-disabled","30-39","2030","1940","47440","51120"
"In post","2021","Legal","Declared non-disabled","40-49","2390","2190","52110","52580"
"In post","2021","Legal","Declared non-disabled","50-59","2400","2250","52470","53910"
"In post","2021","Legal","Declared non-disabled","60-64","460","380","52360","55610"
"In post","2021","Legal","Declared non-disabled","65+","140","100","52340","55610"
"In post","2021","Legal","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","30-39","110","100","42950","38300"
"In post","2021","Legal","Undeclared","40-49","170","160","47130","41760"
"In post","2021","Legal","Undeclared","50-59","190","180","47020","43160"
"In post","2021","Legal","Undeclared","60-64","50","40","[c]","[c]"
"In post","2021","Legal","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","20-29","430","430","31410","28600"
"In post","2021","Legal","Unknown","30-39","690","660","43050","40800"
