"Status","Year","Sex","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Science and Engineering","Heterosexual / straight","2790","2580","38080","36150"
"In post","2021","Female","Science and Engineering","LGBO","190","180","35380","31250"
"In post","2021","Female","Science and Engineering","Undeclared","420","390","40410","38130"
"In post","2021","Female","Science and Engineering","Unknown","1090","1000","38730","37420"
"In post","2021","Female","Security","Heterosexual / straight","1220","1170","31980","28750"
"In post","2021","Female","Security","LGBO","110","110","32010","28990"
"In post","2021","Female","Security","Undeclared","170","160","31380","29080"
"In post","2021","Female","Security","Unknown","240","230","33580","30630"
"In post","2021","Female","Social Research","Heterosexual / straight","610","570","43210","41760"
"In post","2021","Female","Social Research","LGBO","50","50","41890","37020"
"In post","2021","Female","Social Research","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","Social Research","Unknown","100","90","39220","37020"
"In post","2021","Female","Statistics","Heterosexual / straight","680","640","44190","40640"
"In post","2021","Female","Statistics","LGBO","60","60","38870","37020"
"In post","2021","Female","Statistics","Undeclared","60","60","41480","37750"
"In post","2021","Female","Statistics","Unknown","140","130","39270","36160"
"In post","2021","Female","Tax","Heterosexual / straight","4640","4260","34380","31810"
"In post","2021","Female","Tax","LGBO","250","240","32820","31810"
"In post","2021","Female","Tax","Undeclared","590","530","36420","31870"
"In post","2021","Female","Tax","Unknown","2950","2750","27590","25560"
"In post","2021","Female","Unknown","Heterosexual / straight","47800","42400","30040","27570"
"In post","2021","Female","Unknown","LGBO","2250","2140","30210","27570"
"In post","2021","Female","Unknown","Undeclared","5300","4590","28530","27570"
"In post","2021","Female","Unknown","Unknown","19490","16730","29720","27570"
"In post","2021","Female","Veterinarian","Heterosexual / straight","170","160","44810","38750"
"In post","2021","Female","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","Undeclared","40","40","[c]","[c]"
"In post","2021","Female","Veterinarian","Unknown","40","40","[c]","[c]"
"In post","2021","Male","Commercial","Heterosexual / straight","1700","1680","42790","40080"
"In post","2021","Male","Commercial","LGBO","110","100","38190","34710"
"In post","2021","Male","Commercial","Undeclared","240","240","41620","39750"
"In post","2021","Male","Commercial","Unknown","450","440","41890","39620"
"In post","2021","Male","Communications","Heterosexual / straight","1000","990","41560","37660"
"In post","2021","Male","Communications","LGBO","130","130","43110","40960"
"In post","2021","Male","Communications","Undeclared","140","140","38520","36660"
"In post","2021","Male","Communications","Unknown","370","360","42990","38970"
"In post","2021","Male","Corporate Finance","Heterosexual / straight","60","60","52090","47140"
"In post","2021","Male","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Heterosexual / straight","320","310","40380","37910"
"In post","2021","Male","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Undeclared","40","40","[c]","[c]"
"In post","2021","Male","Counter Fraud","Unknown","120","110","42130","39740"
"In post","2021","Male","Digital, Data and Technology","Heterosexual / straight","5290","5230","43090","39310"
"In post","2021","Male","Digital, Data and Technology","LGBO","280","270","42290","38040"
"In post","2021","Male","Digital, Data and Technology","Undeclared","890","870","41570","38980"
"In post","2021","Male","Digital, Data and Technology","Unknown","2210","2180","41030","38160"
"In post","2021","Male","Economics","Heterosexual / straight","870","860","47940","46240"
"In post","2021","Male","Economics","LGBO","70","70","47610","40050"
"In post","2021","Male","Economics","Undeclared","110","110","48310","48180"
"In post","2021","Male","Economics","Unknown","320","310","45390","37890"
"In post","2021","Male","Finance","Heterosexual / straight","2860","2820","43830","39910"
"In post","2021","Male","Finance","LGBO","140","140","47040","45070"
"In post","2021","Male","Finance","Undeclared","380","380","44010","41800"
"In post","2021","Male","Finance","Unknown","640","620","40030","36180"
"In post","2021","Male","Human Resources","Heterosexual / straight","1610","1580","40000","35760"
"In post","2021","Male","Human Resources","LGBO","200","200","42860","39580"
"In post","2021","Male","Human Resources","Undeclared","210","200","37890","35130"
"In post","2021","Male","Human Resources","Unknown","290","280","37230","33300"
"In post","2021","Male","Inspector of Education and Training","Heterosexual / straight","210","200","73650","75500"
"In post","2021","Male","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Intelligence Analysis","Heterosexual / straight","1320","1290","35380","31920"
"In post","2021","Male","Intelligence Analysis","LGBO","60","60","39640","33900"
"In post","2021","Male","Intelligence Analysis","Undeclared","240","230","35480","32670"
"In post","2021","Male","Intelligence Analysis","Unknown","220","220","41770","37400"
"In post","2021","Male","Internal Audit","Heterosexual / straight","300","290","48820","46500"
"In post","2021","Male","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Undeclared","30","30","[c]","[c]"
"In post","2021","Male","Internal Audit","Unknown","30","30","[c]","[c]"
"In post","2021","Male","International Trade","Heterosexual / straight","460","460","48430","50010"
"In post","2021","Male","International Trade","LGBO","60","60","51900","51970"
"In post","2021","Male","International Trade","Undeclared","50","50","[c]","[c]"
"In post","2021","Male","International Trade","Unknown","250","250","46290","39110"
"In post","2021","Male","Knowledge and Information Management","Heterosexual / straight","740","730","37940","35070"
"In post","2021","Male","Knowledge and Information Management","LGBO","50","50","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Undeclared","170","160","40210","37410"
"In post","2021","Male","Knowledge and Information Management","Unknown","140","140","37920","35370"
"In post","2021","Male","Legal","Heterosexual / straight","3080","2990","47300","48080"
"In post","2021","Male","Legal","LGBO","270","270","52250","51830"
"In post","2021","Male","Legal","Undeclared","470","450","45670","41760"
"In post","2021","Male","Legal","Unknown","1280","1240","46500","41760"
"In post","2021","Male","Medicine","Heterosexual / straight","500","460","65160","64380"
"In post","2021","Male","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicine","Undeclared","80","70","71920","82100"
"In post","2021","Male","Medicine","Unknown","160","140","66210","56450"
"In post","2021","Male","Operational Delivery","Heterosexual / straight","50970","48930","30420","27370"
"In post","2021","Male","Operational Delivery","LGBO","2820","2730","29410","26220"
"In post","2021","Male","Operational Delivery","Undeclared","7800","7360","30340","27380"
"In post","2021","Male","Operational Delivery","Unknown","17620","16700","28440","25930"
"In post","2021","Male","Operational Research","Heterosexual / straight","540","520","45310","46080"
"In post","2021","Male","Operational Research","LGBO","40","40","[c]","[c]"
"In post","2021","Male","Operational Research","Undeclared","80","70","46200","46080"
"In post","2021","Male","Operational Research","Unknown","110","100","42980","40480"
"In post","2021","Male","Other","Heterosexual / straight","7310","7150","32050","26930"
"In post","2021","Male","Other","LGBO","330","320","32510","28660"
"In post","2021","Male","Other","Undeclared","1130","1100","33180","27880"
"In post","2021","Male","Other","Unknown","3140","3090","37110","33280"
"In post","2021","Male","Planning","Heterosexual / straight","80","80","48270","41020"
"In post","2021","Male","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning Inspectors","Heterosexual / straight","160","150","58050","58810"
"In post","2021","Male","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Policy","Heterosexual / straight","8720","8630","49450","48400"
"In post","2021","Male","Policy","LGBO","1100","1090","49130","50870"
"In post","2021","Male","Policy","Undeclared","1340","1320","49160","47300"
"In post","2021","Male","Policy","Unknown","2190","2170","47580","43360"
"In post","2021","Male","Project Delivery","Heterosexual / straight","5830","5740","44410","40580"
"In post","2021","Male","Project Delivery","LGBO","320","320","43220","39310"
"In post","2021","Male","Project Delivery","Undeclared","800","780","45970","41790"
"In post","2021","Male","Project Delivery","Unknown","1010","990","43060","39450"
"In post","2021","Male","Property","Heterosexual / straight","2930","2860","37940","33570"
"In post","2021","Male","Property","LGBO","100","100","37670","33300"
"In post","2021","Male","Property","Undeclared","460","450","38750","36140"
"In post","2021","Male","Property","Unknown","700","680","35700","32100"
"In post","2021","Male","Psychology","Heterosexual / straight","120","120","36780","31180"
"In post","2021","Male","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Science and Engineering","Heterosexual / straight","6100","5970","38510","37320"
"In post","2021","Male","Science and Engineering","LGBO","240","230","37080","31710"
"In post","2021","Male","Science and Engineering","Undeclared","1160","1110","39250","37360"
"In post","2021","Male","Science and Engineering","Unknown","2120","2050","40320","39650"
"In post","2021","Male","Security","Heterosexual / straight","4670","4590","30520","26610"
"In post","2021","Male","Security","LGBO","140","140","33660","32860"
"In post","2021","Male","Security","Undeclared","770","760","35170","39070"
"In post","2021","Male","Security","Unknown","990","990","31730","28890"
"In post","2021","Male","Social Research","Heterosexual / straight","240","240","43850","40960"
"In post","2021","Male","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Social Research","Unknown","70","70","39190","37020"
"In post","2021","Male","Statistics","Heterosexual / straight","710","700","44500","40640"
"In post","2021","Male","Statistics","LGBO","80","70","42790","37800"
"In post","2021","Male","Statistics","Undeclared","80","80","42260","38500"
"In post","2021","Male","Statistics","Unknown","200","200","41970","37020"
"In post","2021","Male","Tax","Heterosexual / straight","4960","4770","36830","31810"
"In post","2021","Male","Tax","LGBO","390","380","33670","31810"
"In post","2021","Male","Tax","Undeclared","740","700","39460","35000"
"In post","2021","Male","Tax","Unknown","3290","3170","29860","25560"
"In post","2021","Male","Unknown","Heterosexual / straight","27190","26360","32460","27570"
"In post","2021","Male","Unknown","LGBO","2710","2640","31630","27570"
"In post","2021","Male","Unknown","Undeclared","3400","3260","31420","27570"
"In post","2021","Male","Unknown","Unknown","12490","12030","33450","27570"
"In post","2021","Male","Veterinarian","Heterosexual / straight","120","120","46760","46450"
"In post","2021","Male","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Male","Veterinarian","Undeclared","30","30","[c]","[c]"
"In post","2021","Male","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Commercial","Heterosexual / straight","2500","2370","38960","36510"
"In post","2022","Female","Commercial","LGBO","120","120","35670","33000"
"In post","2022","Female","Commercial","Undeclared","340","320","39870","37860"
"In post","2022","Female","Commercial","Unknown","440","410","35760","33370"
"In post","2022","Female","Communications","Heterosexual / straight","1710","1620","42400","39250"
"In post","2022","Female","Communications","LGBO","110","110","40190","37350"
"In post","2022","Female","Communications","Undeclared","260","240","42530","39000"
"In post","2022","Female","Communications","Unknown","410","400","42230","38750"
"In post","2022","Female","Corporate Finance","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Female","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Corporate Finance","Unknown","40","40","[c]","[c]"
"In post","2022","Female","Counter Fraud","Heterosexual / straight","2620","2320","28320","27570"
"In post","2022","Female","Counter Fraud","LGBO","120","110","28780","27570"
"In post","2022","Female","Counter Fraud","Undeclared","360","300","27660","27570"
"In post","2022","Female","Counter Fraud","Unknown","810","680","28670","27570"
"In post","2022","Female","Digital, Data and Technology","Heterosexual / straight","4750","4510","40910","37590"
"In post","2022","Female","Digital, Data and Technology","LGBO","370","360","39410","36120"
"In post","2022","Female","Digital, Data and Technology","Undeclared","640","620","41350","38450"
"In post","2022","Female","Digital, Data and Technology","Unknown","1240","1190","41260","37930"
"In post","2022","Female","Economics","Heterosexual / straight","540","520","48240","45260"
"In post","2022","Female","Economics","LGBO","60","60","42430","37810"
"In post","2022","Female","Economics","Undeclared","70","60","44490","40650"
"In post","2022","Female","Economics","Unknown","110","100","43150","37160"
"In post","2022","Female","Finance","Heterosexual / straight","5210","4920","38780","34290"
"In post","2022","Female","Finance","LGBO","170","170","39120","34670"
"In post","2022","Female","Finance","Undeclared","720","680","38190","33370"
"In post","2022","Female","Finance","Unknown","790","730","37970","34290"
"In post","2022","Female","Geography","Heterosexual / straight","110","100","31310","33000"
"In post","2022","Female","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Geography","Unknown","40","30","[c]","[c]"
"In post","2022","Female","Human Resources","Heterosexual / straight","5370","5030","39070","34710"
"In post","2022","Female","Human Resources","LGBO","230","220","37920","33290"
"In post","2022","Female","Human Resources","Undeclared","480","450","35480","32790"
"In post","2022","Female","Human Resources","Unknown","710","670","36500","32290"
"In post","2022","Female","Inspector of Education and Training","Heterosexual / straight","590","580","62630","51360"
"In post","2022","Female","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Intelligence Analysis","Heterosexual / straight","1100","1030","31920","28990"
"In post","2022","Female","Intelligence Analysis","LGBO","70","60","31410","29250"
"In post","2022","Female","Intelligence Analysis","Undeclared","180","160","33460","30500"
"In post","2022","Female","Intelligence Analysis","Unknown","140","140","33170","29680"
"In post","2022","Female","Internal Audit","Heterosexual / straight","310","290","44500","42510"
"In post","2022","Female","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","Undeclared","50","50","46770","43070"
"In post","2022","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","International Trade","Heterosexual / straight","460","450","47630","47240"
"In post","2022","Female","International Trade","LGBO","30","30","[c]","[c]"
"In post","2022","Female","International Trade","Undeclared","40","40","[c]","[c]"
"In post","2022","Female","International Trade","Unknown","220","220","44260","39210"
"In post","2022","Female","Knowledge and Information Management","Heterosexual / straight","930","870","34320","31840"
"In post","2022","Female","Knowledge and Information Management","LGBO","50","50","31700","28050"
"In post","2022","Female","Knowledge and Information Management","Undeclared","150","140","33230","31860"
"In post","2022","Female","Knowledge and Information Management","Unknown","180","170","36560","33080"
"In post","2022","Female","Legal","Heterosexual / straight","5090","4660","49550","50500"
"In post","2022","Female","Legal","LGBO","210","200","47050","48440"
"In post","2022","Female","Legal","Undeclared","510","460","48870","47100"
"In post","2022","Female","Legal","Unknown","1650","1480","48980","51470"
"In post","2022","Female","Medicine","Heterosexual / straight","1240","1090","49700","39630"
"In post","2022","Female","Medicine","LGBO","40","30","[c]","[c]"
"In post","2022","Female","Medicine","Undeclared","160","140","63190","54340"
"In post","2022","Female","Medicine","Unknown","330","280","53300","40730"
"In post","2022","Female","Operational Delivery","Heterosexual / straight","101240","90120","28250","27130"
"In post","2022","Female","Operational Delivery","LGBO","5690","5450","28500","27120"
"In post","2022","Female","Operational Delivery","Undeclared","12130","10500","28160","26820"
"In post","2022","Female","Operational Delivery","Unknown","31030","26950","26710","24920"
"In post","2022","Female","Operational Research","Heterosexual / straight","240","220","45320","42470"
"In post","2022","Female","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Operational Research","Unknown","150","140","41850","38070"
"In post","2022","Female","Other","Heterosexual / straight","11930","10980","29040","26670"
"In post","2022","Female","Other","LGBO","490","470","29290","26950"
"In post","2022","Female","Other","Undeclared","1390","1290","29270","26670"
"In post","2022","Female","Other","Unknown","2260","2060","31310","27570"
"In post","2022","Female","Planning","Heterosexual / straight","80","80","45650","41650"
"In post","2022","Female","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning Inspectors","Heterosexual / straight","110","100","55090","58810"
"In post","2022","Female","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Policy","Heterosexual / straight","12940","12360","46460","41970"
"In post","2022","Female","Policy","LGBO","1060","1040","43880","40050"
"In post","2022","Female","Policy","Undeclared","1610","1550","45680","41100"
"In post","2022","Female","Policy","Unknown","2330","2230","46250","41950"
"In post","2022","Female","Project Delivery","Heterosexual / straight","5930","5610","41960","39600"
"In post","2022","Female","Project Delivery","LGBO","270","270","41010","37280"
"In post","2022","Female","Project Delivery","Undeclared","630","590","40990","39420"
"In post","2022","Female","Project Delivery","Unknown","1310","1210","40260","38070"
"In post","2022","Female","Property","Heterosexual / straight","2230","2090","36560","33300"
"In post","2022","Female","Property","LGBO","100","90","35940","33300"
"In post","2022","Female","Property","Undeclared","280","260","37740","33370"
"In post","2022","Female","Property","Unknown","510","470","32500","29750"
"In post","2022","Female","Psychology","Heterosexual / straight","1010","970","35900","30790"
"In post","2022","Female","Psychology","LGBO","60","60","30870","28380"
"In post","2022","Female","Psychology","Undeclared","60","60","34940","31180"
"In post","2022","Female","Psychology","Unknown","200","190","35850","34340"
"In post","2022","Female","Science and Engineering","Heterosexual / straight","2640","2460","38410","36330"
"In post","2022","Female","Science and Engineering","LGBO","210","200","34060","30930"
"In post","2022","Female","Science and Engineering","Undeclared","440","400","39680","38680"
"In post","2022","Female","Science and Engineering","Unknown","1080","1020","39530","38070"
"In post","2022","Female","Security","Heterosexual / straight","1480","1430","32920","30860"
"In post","2022","Female","Security","LGBO","140","140","33090","30810"
"In post","2022","Female","Security","Undeclared","200","190","33240","31020"
"In post","2022","Female","Security","Unknown","320","310","34060","31600"
"In post","2022","Female","Social Research","Heterosexual / straight","660","620","42520","38340"
"In post","2022","Female","Social Research","LGBO","90","80","40970","37490"
"In post","2022","Female","Social Research","Undeclared","60","50","43070","38340"
"In post","2022","Female","Social Research","Unknown","120","120","40200","38340"
"In post","2022","Female","Statistics","Heterosexual / straight","780","730","45340","41340"
"In post","2022","Female","Statistics","LGBO","90","80","40410","38340"
"In post","2022","Female","Statistics","Undeclared","80","70","41440","38340"
"In post","2022","Female","Statistics","Unknown","160","150","38820","36840"
"In post","2022","Female","Tax","Heterosexual / straight","5620","5230","35590","33370"
"In post","2022","Female","Tax","LGBO","350","340","34150","33080"
"In post","2022","Female","Tax","Undeclared","600","550","37760","33370"
"In post","2022","Female","Tax","Unknown","2730","2530","30050","26820"
"In post","2022","Female","Unknown","Heterosexual / straight","9990","9500","41800","36130"
"In post","2022","Female","Unknown","LGBO","790","770","38290","33720"
"In post","2022","Female","Unknown","Undeclared","760","730","43070","39660"
