"Status","Year","Parent_department","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","40-49","Undeclared","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Unknown","310","280","49580","51970"
"In post","2021","Attorney General's Departments","40-49","White","1830","1670","48570","51250"
"In post","2021","Attorney General's Departments","50-59","Asian","170","160","45650","39750"
"In post","2021","Attorney General's Departments","50-59","Black","230","220","43460","35000"
"In post","2021","Attorney General's Departments","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Mixed","70","60","53030","57520"
"In post","2021","Attorney General's Departments","50-59","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Undeclared","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Unknown","340","320","51910","55610"
"In post","2021","Attorney General's Departments","50-59","White","1990","1860","48750","51470"
"In post","2021","Attorney General's Departments","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Unknown","70","60","50480","55610"
"In post","2021","Attorney General's Departments","60-64","White","380","320","48390","55610"
"In post","2021","Attorney General's Departments","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","White","80","70","46530","43210"
"In post","2021","Cabinet Office","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Asian","130","130","36030","34550"
"In post","2021","Cabinet Office","20-29","Black","70","70","35190","32000"
"In post","2021","Cabinet Office","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Mixed","70","70","37110","34550"
"In post","2021","Cabinet Office","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Undeclared","40","40","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Unknown","2010","2010","32030","29250"
"In post","2021","Cabinet Office","20-29","White","1040","1040","36880","34550"
"In post","2021","Cabinet Office","30-39","Asian","170","170","47460","54700"
"In post","2021","Cabinet Office","30-39","Black","60","60","45340","40600"
"In post","2021","Cabinet Office","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","30-39","Mixed","60","60","49370","54700"
"In post","2021","Cabinet Office","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","30-39","Undeclared","70","60","49040","54700"
"In post","2021","Cabinet Office","30-39","Unknown","790","780","49630","50550"
"In post","2021","Cabinet Office","30-39","White","1190","1160","49120","54700"
"In post","2021","Cabinet Office","40-49","Asian","110","100","53640","54700"
"In post","2021","Cabinet Office","40-49","Black","60","60","42280","38500"
"In post","2021","Cabinet Office","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","40-49","Mixed","30","30","[c]","[c]"
"In post","2021","Cabinet Office","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","40-49","Undeclared","50","50","50080","54700"
"In post","2021","Cabinet Office","40-49","Unknown","630","610","63990","61380"
"In post","2021","Cabinet Office","40-49","White","950","920","56130","54700"
"In post","2021","Cabinet Office","50-59","Asian","50","50","50870","41820"
"In post","2021","Cabinet Office","50-59","Black","60","60","47700","38220"
"In post","2021","Cabinet Office","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","50-59","Undeclared","60","60","47720","37940"
"In post","2021","Cabinet Office","50-59","Unknown","510","500","65010","56910"
"In post","2021","Cabinet Office","50-59","White","790","770","53460","49700"
"In post","2021","Cabinet Office","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","60-64","Unknown","70","60","52130","53320"
"In post","2021","Cabinet Office","60-64","White","170","140","50900","37270"
"In post","2021","Cabinet Office","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","65+","White","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","White","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","30-39","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","30-39","White","70","70","60860","57250"
"In post","2021","Chancellor's other departments","40-49","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","40-49","White","80","70","71200","69570"
"In post","2021","Chancellor's other departments","50-59","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","50-59","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","50-59","White","70","60","70250","54100"
"In post","2021","Chancellor's other departments","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","60-64","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","White","70","70","33170","29160"
"In post","2021","Charity Commission","40-49","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","White","100","100","34890","29250"
"In post","2021","Charity Commission","50-59","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","White","100","90","36450","30550"
"In post","2021","Charity Commission","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","White","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","White","100","100","40270","34570"
"In post","2021","Competition and Markets Authority","30-39","Asian","50","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","White","200","190","63820","59880"
"In post","2021","Competition and Markets Authority","40-49","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","White","150","140","74330","74480"
"In post","2021","Competition and Markets Authority","50-59","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","White","110","100","69850","61570"
"In post","2021","Competition and Markets Authority","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","White","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","White","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","Asian","190","190","36970","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","Black","70","70","37420","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","Mixed","100","100","40170","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","Undeclared","80","70","39670","38150"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","Unknown","670","670","31300","29080"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","White","1750","1750","37280","33880"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","Asian","200","200","40270","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","Black","80","80","40030","36390"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","Mixed","80","80","47340","44140"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","Undeclared","180","180","44390","42680"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","Unknown","640","610","36430","33720"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","White","2210","2130","44040","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","Asian","200","190","41980","37310"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","Black","80","80","40060","38690"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","Mixed","60","60","47460","47420"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","Undeclared","150","140","47330","44590"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","Unknown","470","440","38690","37860"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","White","2070","1950","46130","43050"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","Asian","100","100","38540","34010"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","Black","120","120","37890","34550"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","Undeclared","170","160","46080","41900"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","Unknown","390","380","38120","35750"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","White","2060","1970","43310","39840"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","Black","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","Unknown","70","70","34770","30350"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","White","430","360","38370","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","White","150","110","37620","34500"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","Asian","50","50","40160","38000"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","Black","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","Unknown","80","80","39220","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","White","450","450","41310","34580"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","Asian","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","Mixed","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","Unknown","70","70","52660","52060"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","White","420","410","53150","52130"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","White","200","190","61250","59210"
