"Status","Year","Region_ITL3","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Female","730","670","26950","24440"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Male","730","690","29420","27150"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","Male","60","60","41080","41430"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Female","1050","850","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Male","350","340","25310","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","Female","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Female","270","250","41130","34800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Male","370","360","46170","41500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Female","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Male","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Female","50","50","32280","29000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Male","100","100","39780","39510"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Female","380","350","37810","33520"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Male","310","310","42660","39000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Female","440","400","33890","30090"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Male","180","180","38950","32780"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","Female","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Female","590","540","30060","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Male","430","410","33040","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Female","2730","2560","35460","33190"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Male","5600","5510","40250","39360"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Female","120","120","36790","35170"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Male","170","170","41020","38240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Male","100","100","28140","20490"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Female","630","570","30210","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Male","640","630","36730","33300"
"In post","2021","Bedford","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","No function","Female","260","240","28900","27850"
"In post","2021","Bedford","No function","Male","230","220","32900","30400"
"In post","2021","Bedford","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Female","180","160","28240","27570"
"In post","2021","Bedford","Unknown","Male","120","110","28250","27570"
"In post","2021","Belfast","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Counter Fraud","Female","190","170","30930","28130"
"In post","2021","Belfast","Counter Fraud","Male","210","200","31510","31810"
"In post","2021","Belfast","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","No function","Female","900","810","28290","25560"
"In post","2021","Belfast","No function","Male","820","800","29030","25560"
"In post","2021","Belfast","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Female","240","210","24820","21880"
"In post","2021","Belfast","Unknown","Male","250","240","25320","24880"
"In post","2021","Berkshire","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Counter Fraud","Female","40","40","[c]","[c]"
"In post","2021","Berkshire","Counter Fraud","Male","50","40","[c]","[c]"
"In post","2021","Berkshire","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Digital, Data & Technology","Female","50","40","[c]","[c]"
"In post","2021","Berkshire","Digital, Data & Technology","Male","80","80","41300","37330"
"In post","2021","Berkshire","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Grants Management","Female","80","70","26330","21050"
"In post","2021","Berkshire","Grants Management","Male","70","70","31530","26520"
"In post","2021","Berkshire","Human Resources","Female","30","30","[c]","[c]"
"In post","2021","Berkshire","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Legal","Female","120","110","43140","40800"
"In post","2021","Berkshire","Legal","Male","40","40","[c]","[c]"
"In post","2021","Berkshire","No function","Female","390","360","31930","29240"
"In post","2021","Berkshire","No function","Male","310","300","35220","32520"
"In post","2021","Berkshire","Project Delivery","Female","30","30","[c]","[c]"
"In post","2021","Berkshire","Project Delivery","Male","50","50","48360","45820"
"In post","2021","Berkshire","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Security","Female","60","60","32520","28750"
"In post","2021","Berkshire","Security","Male","580","570","35160","39070"
"In post","2021","Berkshire","Unknown","Female","470","430","29200","29290"
"In post","2021","Berkshire","Unknown","Male","290","280","31970","29290"
"In post","2021","Bexley and Greenwich","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","No function","Female","570","540","30080","28720"
"In post","2021","Bexley and Greenwich","No function","Male","650","630","33130","33180"
"In post","2021","Bexley and Greenwich","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","Female","320","290","31150","31060"
"In post","2021","Bexley and Greenwich","Unknown","Male","160","160","31640","31060"
"In post","2021","Birmingham","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Commercial","Female","40","40","[c]","[c]"
"In post","2021","Birmingham","Commercial","Male","40","40","[c]","[c]"
"In post","2021","Birmingham","Communications","Female","120","110","31760","28130"
"In post","2021","Birmingham","Communications","Male","130","130","30970","29400"
"In post","2021","Birmingham","Counter Fraud","Female","300","270","30900","28130"
"In post","2021","Birmingham","Counter Fraud","Male","290","280","34240","31810"
"In post","2021","Birmingham","Debt","Female","250","210","21990","20140"
"In post","2021","Birmingham","Debt","Male","170","160","21450","20140"
"In post","2021","Birmingham","Digital, Data & Technology","Female","80","80","41430","37740"
"In post","2021","Birmingham","Digital, Data & Technology","Male","160","160","41270","37000"
"In post","2021","Birmingham","Finance","Female","50","40","[c]","[c]"
"In post","2021","Birmingham","Finance","Male","50","50","39510","37750"
"In post","2021","Birmingham","Human Resources","Female","90","80","41550","39490"
"In post","2021","Birmingham","Human Resources","Male","30","30","[c]","[c]"
"In post","2021","Birmingham","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Legal","Female","400","360","37600","31810"
"In post","2021","Birmingham","Legal","Male","220","210","41340","38000"
"In post","2021","Birmingham","No function","Female","3460","3160","29760","25080"
"In post","2021","Birmingham","No function","Male","2680","2610","31870","26780"
"In post","2021","Birmingham","Project Delivery","Female","160","160","40860","38630"
"In post","2021","Birmingham","Project Delivery","Male","140","140","45630","42020"
"In post","2021","Birmingham","Property","Female","120","100","32260","29550"
"In post","2021","Birmingham","Property","Male","130","130","36890","32290"
"In post","2021","Birmingham","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Security","Male","30","30","[c]","[c]"
"In post","2021","Birmingham","Unknown","Female","1500","1290","26840","27570"
"In post","2021","Birmingham","Unknown","Male","900","860","27580","27570"
"In post","2021","Blackburn with Darwen","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","No function","Female","80","70","25610","22920"
"In post","2021","Blackburn with Darwen","No function","Male","50","50","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Female","210","180","26540","27570"
"In post","2021","Blackburn with Darwen","Unknown","Male","150","140","26610","27570"
"In post","2021","Blackpool","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","No function","Female","120","110","27640","23840"
"In post","2021","Blackpool","No function","Male","40","40","[c]","[c]"
"In post","2021","Blackpool","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Unknown","Female","3040","2680","28040","27570"
"In post","2021","Blackpool","Unknown","Male","1860","1800","29880","27570"
"In post","2021","Bournemouth and Poole","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Legal","Male","[c]","[c]","[c]","[c]"
