"Status","Year","Sexual_orientation","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","G6/G7","430","420","75450","75500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","SEO/HEO","290","280","51060","51360"
"In post","2021","Heterosexual / straight","Intelligence Analysis","AA/AO","110","100","23050","21580"
"In post","2021","Heterosexual / straight","Intelligence Analysis","EO","1180","1120","27730","27370"
"In post","2021","Heterosexual / straight","Intelligence Analysis","G6/G7","240","230","58440","57860"
"In post","2021","Heterosexual / straight","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","SEO/HEO","930","900","36980","36140"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","EO","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","G6/G7","160","160","58510","56610"
"In post","2021","Heterosexual / straight","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","SEO/HEO","370","350","40600","40530"
"In post","2021","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","EO","60","60","26570","26250"
"In post","2021","Heterosexual / straight","International Trade","G6/G7","350","350","55850","53550"
"In post","2021","Heterosexual / straight","International Trade","SCS","70","70","86960","75570"
"In post","2021","Heterosexual / straight","International Trade","SEO/HEO","350","350","35450","35060"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","AA/AO","250","230","22130","21130"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","EO","330","320","26860","26670"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","G6/G7","280","260","57710","55550"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","SEO/HEO","720","690","36850","36520"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","AA/AO","190","170","21540","21440"
"In post","2021","Heterosexual / straight","Legal","EO","1140","1100","27400","25820"
"In post","2021","Heterosexual / straight","Legal","G6/G7","3890","3610","58660","57000"
"In post","2021","Heterosexual / straight","Legal","SCS","240","230","89020","83230"
"In post","2021","Heterosexual / straight","Legal","SEO/HEO","2270","2120","38620","38000"
"In post","2021","Heterosexual / straight","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","AA/AO","230","220","22430","22640"
"In post","2021","Heterosexual / straight","Medicine","EO","250","230","30510","30620"
"In post","2021","Heterosexual / straight","Medicine","G6/G7","460","410","73960","74490"
"In post","2021","Heterosexual / straight","Medicine","SCS","250","210","103980","98580"
"In post","2021","Heterosexual / straight","Medicine","SEO/HEO","530","480","38690","37890"
"In post","2021","Heterosexual / straight","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","AA/AO","49420","44500","22960","21440"
"In post","2021","Heterosexual / straight","Operational Delivery","EO","30010","27880","27600","26780"
"In post","2021","Heterosexual / straight","Operational Delivery","G6/G7","4600","4470","58750","56400"
"In post","2021","Heterosexual / straight","Operational Delivery","SCS","490","480","92090","84340"
"In post","2021","Heterosexual / straight","Operational Delivery","SEO/HEO","21800","20770","36870","35630"
"In post","2021","Heterosexual / straight","Operational Delivery","Unknown","9690","8970","30090","30210"
"In post","2021","Heterosexual / straight","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","EO","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","G6/G7","390","360","53910","52580"
"In post","2021","Heterosexual / straight","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","SEO/HEO","400","380","36550","37320"
"In post","2021","Heterosexual / straight","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","AA/AO","5970","5680","21060","20920"
"In post","2021","Heterosexual / straight","Other","EO","3800","3610","26220","26670"
"In post","2021","Heterosexual / straight","Other","G6/G7","1280","1250","62150","59650"
"In post","2021","Heterosexual / straight","Other","SCS","180","170","93080","83510"
"In post","2021","Heterosexual / straight","Other","SEO/HEO","3870","3740","35630","35070"
"In post","2021","Heterosexual / straight","Other","Unknown","170","160","43620","40620"
"In post","2021","Heterosexual / straight","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","G6/G7","50","50","58470","57110"
"In post","2021","Heterosexual / straight","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","SEO/HEO","80","70","39110","39600"
"In post","2021","Heterosexual / straight","Planning Inspectors","G6/G7","260","240","57660","58810"
"In post","2021","Heterosexual / straight","Planning Inspectors","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","AA/AO","570","540","23450","23510"
"In post","2021","Heterosexual / straight","Policy","EO","1830","1770","28400","28670"
"In post","2021","Heterosexual / straight","Policy","G6/G7","7660","7430","58610","57460"
"In post","2021","Heterosexual / straight","Policy","SCS","1350","1300","85060","77580"
"In post","2021","Heterosexual / straight","Policy","SEO/HEO","8270","8070","37310","36800"
"In post","2021","Heterosexual / straight","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","AA/AO","240","220","21790","21430"
"In post","2021","Heterosexual / straight","Project Delivery","EO","1450","1390","26530","26670"
"In post","2021","Heterosexual / straight","Project Delivery","G6/G7","3170","3100","56950","54940"
"In post","2021","Heterosexual / straight","Project Delivery","SCS","330","320","92450","86450"
"In post","2021","Heterosexual / straight","Project Delivery","SEO/HEO","6260","6060","36830","37230"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","440","430","42780","40080"
"In post","2021","Heterosexual / straight","Property","AA/AO","670","640","19610","18800"
"In post","2021","Heterosexual / straight","Property","EO","990","930","27050","26670"
"In post","2021","Heterosexual / straight","Property","G6/G7","850","830","58040","55930"
"In post","2021","Heterosexual / straight","Property","SCS","60","50","87320","80000"
"In post","2021","Heterosexual / straight","Property","SEO/HEO","2260","2180","37050","35910"
"In post","2021","Heterosexual / straight","Property","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","AA/AO","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","EO","310","300","26590","26330"
"In post","2021","Heterosexual / straight","Psychology","G6/G7","90","90","64810","65520"
"In post","2021","Heterosexual / straight","Psychology","SEO/HEO","610","580","37180","31760"
"In post","2021","Heterosexual / straight","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","AA/AO","940","900","21590","21580"
"In post","2021","Heterosexual / straight","Science and Engineering","EO","1280","1250","25750","26370"
"In post","2021","Heterosexual / straight","Science and Engineering","G6/G7","1820","1740","55760","54540"
"In post","2021","Heterosexual / straight","Science and Engineering","SCS","90","80","95570","93820"
"In post","2021","Heterosexual / straight","Science and Engineering","SEO/HEO","4150","3980","36950","37320"
"In post","2021","Heterosexual / straight","Science and Engineering","Unknown","600","600","39720","37730"
"In post","2021","Heterosexual / straight","Security","AA/AO","3840","3760","26050","21370"
"In post","2021","Heterosexual / straight","Security","EO","820","800","32550","28720"
"In post","2021","Heterosexual / straight","Security","G6/G7","230","230","59920","57460"
"In post","2021","Heterosexual / straight","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","SEO/HEO","920","910","40500","38160"
"In post","2021","Heterosexual / straight","Security","Unknown","60","60","36790","36330"
"In post","2021","Heterosexual / straight","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","EO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","G6/G7","250","240","56190","56530"
"In post","2021","Heterosexual / straight","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","SEO/HEO","550","530","37920","37020"
"In post","2021","Heterosexual / straight","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","EO","160","150","28090","28410"
"In post","2021","Heterosexual / straight","Statistics","G6/G7","500","470","57310","57620"
"In post","2021","Heterosexual / straight","Statistics","SCS","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","SEO/HEO","690","670","37170","37020"
"In post","2021","Heterosexual / straight","Tax","AA/AO","1230","1150","20300","20140"
"In post","2021","Heterosexual / straight","Tax","EO","2050","1890","26640","25560"
"In post","2021","Heterosexual / straight","Tax","G6/G7","1830","1750","56810","52580"
"In post","2021","Heterosexual / straight","Tax","SCS","70","60","81520","78000"
"In post","2021","Heterosexual / straight","Tax","SEO/HEO","4410","4180","34640","31870"
"In post","2021","Heterosexual / straight","Unknown","AA/AO","20090","17610","21280","21010"
"In post","2021","Heterosexual / straight","Unknown","EO","34780","31850","28080","27570"
"In post","2021","Heterosexual / straight","Unknown","G6/G7","5990","5790","59280","57580"
"In post","2021","Heterosexual / straight","Unknown","SCS","860","840","93500","83230"
"In post","2021","Heterosexual / straight","Unknown","SEO/HEO","13080","12490","36060","35110"
"In post","2021","Heterosexual / straight","Unknown","Unknown","190","190","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","G6/G7","100","90","55610","54360"
"In post","2021","Heterosexual / straight","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","SEO/HEO","190","180","40590","37910"
"In post","2021","LGBO","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","EO","30","30","[c]","[c]"
"In post","2021","LGBO","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","SEO/HEO","90","90","35600","34710"
"In post","2021","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","G6/G7","50","50","59100","57440"
"In post","2021","LGBO","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","SEO/HEO","110","110","38550","38610"
"In post","2021","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","EO","90","80","26870","26350"
"In post","2021","LGBO","Digital, Data and Technology","G6/G7","130","130","58890","57430"
"In post","2021","LGBO","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","SEO/HEO","240","240","36520","36780"
"In post","2021","LGBO","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","G6/G7","50","50","58760","57940"
"In post","2021","LGBO","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","SEO/HEO","60","50","34780","33960"
"In post","2021","LGBO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","EO","40","40","[c]","[c]"
"In post","2021","LGBO","Finance","G6/G7","80","80","58300","57460"
"In post","2021","LGBO","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","SEO/HEO","90","90","37020","36960"
"In post","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","AA/AO","40","40","[c]","[c]"
"In post","2021","LGBO","Human Resources","EO","50","50","[c]","[c]"
"In post","2021","LGBO","Human Resources","G6/G7","90","90","58520","58590"
"In post","2021","LGBO","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","SEO/HEO","150","150","36590","36010"
"In post","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","G6/G7","40","40","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","EO","60","60","27270","26880"
"In post","2021","LGBO","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","SEO/HEO","40","40","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","G6/G7","40","40","[c]","[c]"
"In post","2021","LGBO","International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","SEO/HEO","30","30","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","SEO/HEO","40","40","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","EO","80","80","28050","25560"
"In post","2021","LGBO","Legal","G6/G7","230","220","60150","58040"
"In post","2021","LGBO","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","SEO/HEO","110","110","38480","38000"
"In post","2021","LGBO","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Delivery","AA/AO","2890","2760","23490","21590"
"In post","2021","LGBO","Operational Delivery","EO","1530","1480","27530","26410"
"In post","2021","LGBO","Operational Delivery","G6/G7","260","250","59310","57430"
"In post","2021","LGBO","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Delivery","SEO/HEO","1150","1120","36390","35070"
"In post","2021","LGBO","Operational Delivery","Unknown","580","560","29120","26810"
"In post","2021","LGBO","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","SEO/HEO","50","50","36820","37320"
"In post","2021","LGBO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other","AA/AO","180","170","20950","20920"
"In post","2021","LGBO","Other","EO","170","160","26070","26670"
"In post","2021","LGBO","Other","G6/G7","70","60","59290","57460"
"In post","2021","LGBO","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other","SEO/HEO","170","170","34740","34740"
"In post","2021","LGBO","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Policy","EO","150","150","27860","27850"
"In post","2021","LGBO","Policy","G6/G7","780","770","57600","55430"
"In post","2021","LGBO","Policy","SCS","110","110","86090","76290"
"In post","2021","LGBO","Policy","SEO/HEO","840","830","36520","35480"
"In post","2021","LGBO","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","EO","80","70","25710","26350"
"In post","2021","LGBO","Project Delivery","G6/G7","160","160","56850","54650"
"In post","2021","LGBO","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","SEO/HEO","290","280","36070","35630"
"In post","2021","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","EO","50","50","[c]","[c]"
"In post","2021","LGBO","Property","G6/G7","30","30","[c]","[c]"
"In post","2021","LGBO","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","SEO/HEO","70","70","36560","36150"
"In post","2021","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","SEO/HEO","30","30","[c]","[c]"
"In post","2021","LGBO","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Science and Engineering","AA/AO","50","50","21470","21720"
"In post","2021","LGBO","Science and Engineering","EO","90","80","26060","26370"
"In post","2021","LGBO","Science and Engineering","G6/G7","70","70","57610","55930"
"In post","2021","LGBO","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Science and Engineering","SEO/HEO","190","180","34570","34490"
"In post","2021","LGBO","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","AA/AO","150","150","27180","25540"
"In post","2021","LGBO","Security","EO","40","40","[c]","[c]"
"In post","2021","LGBO","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","SEO/HEO","50","50","[c]","[c]"
"In post","2021","LGBO","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","SEO/HEO","50","50","35500","34700"
"In post","2021","LGBO","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","G6/G7","40","40","[c]","[c]"
"In post","2021","LGBO","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","SEO/HEO","80","80","36480","36160"
"In post","2021","LGBO","Tax","AA/AO","140","130","20190","20140"
"In post","2021","LGBO","Tax","EO","150","140","26100","25560"
"In post","2021","LGBO","Tax","G6/G7","120","110","55100","52580"
"In post","2021","LGBO","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Tax","SEO/HEO","240","230","33990","31810"
"In post","2021","LGBO","Unknown","AA/AO","1300","1230","21330","21010"
"In post","2021","LGBO","Unknown","EO","2270","2190","28070","27570"
"In post","2021","LGBO","Unknown","G6/G7","430","420","58770","56870"
"In post","2021","LGBO","Unknown","SCS","60","60","85330","78000"
"In post","2021","LGBO","Unknown","SEO/HEO","910","890","35530","34550"
"In post","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","AA/AO","30","30","[c]","[c]"
"In post","2021","Undeclared","Commercial","EO","70","60","26510","26700"
"In post","2021","Undeclared","Commercial","G6/G7","80","80","61720","57860"
"In post","2021","Undeclared","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","SEO/HEO","290","280","38510","38560"
"In post","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","AA/AO","40","30","[c]","[c]"
"In post","2021","Undeclared","Communications","EO","50","40","[c]","[c]"
"In post","2021","Undeclared","Communications","G6/G7","60","60","56100","55590"
"In post","2021","Undeclared","Communications","SCS","[c]","[c]","[c]","[c]"
