"Status","Year","Organisation","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","No function","250","240","27220","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","No function","520","470","32280","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","White","Project Delivery","70","60","42770","39580"
"In post","2021","Animal and Plant Health Agency","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Asian","No function","50","50","28110","27960"
"In post","2021","Animal and Plant Health Agency","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","No function","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","No function","150","150","32620","29750"
"In post","2021","Animal and Plant Health Agency","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","No function","230","210","29660","25520"
"In post","2021","Animal and Plant Health Agency","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","White","Commercial","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","White","No function","2040","1930","30630","27450"
"In post","2021","Animal and Plant Health Agency","White","Project Delivery","60","50","28650","25920"
"In post","2021","Attorney General's Office","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","White","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Digital, Data & Technology","100","100","48370","54700"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Human Resources","80","80","38270","35440"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","No function","160","160","44910","38580"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Digital, Data & Technology","60","60","45240","40600"
"In post","2021","Cabinet Office (excl. agencies)","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Human Resources","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","No function","90","90","38230","34550"
"In post","2021","Cabinet Office (excl. agencies)","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Human Resources","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","No function","90","80","44590","38580"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","No function","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Human Resources","40","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","No function","60","60","46030","41570"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Security","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Commercial","1020","1000","71010","64500"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Communications","120","120","46650","42280"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Digital, Data & Technology","130","130","50020","53600"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Human Resources","120","120","37500","34550"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","No function","2280","2280","35500","29250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Security","310","290","29470","26670"
"In post","2021","Cabinet Office (excl. agencies)","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","White","Commercial","320","320","71570","62730"
"In post","2021","Cabinet Office (excl. agencies)","White","Communications","170","170","48030","42210"
"In post","2021","Cabinet Office (excl. agencies)","White","Counter Fraud","70","70","48650","54700"
"In post","2021","Cabinet Office (excl. agencies)","White","Digital, Data & Technology","580","570","52710","54700"
"In post","2021","Cabinet Office (excl. agencies)","White","Finance","50","50","50510","54700"
"In post","2021","Cabinet Office (excl. agencies)","White","Human Resources","800","760","39000","35590"
"In post","2021","Cabinet Office (excl. agencies)","White","Legal","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","White","No function","1450","1430","48080","43890"
"In post","2021","Cabinet Office (excl. agencies)","White","Project Delivery","130","130","70420","64500"
"In post","2021","Cabinet Office (excl. agencies)","White","Property","70","70","52720","53830"
"In post","2021","Cabinet Office (excl. agencies)","White","Security","470","450","35190","33300"
"In post","2021","Cabinet Office (excl. agencies)","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Analysis","440","420","33740","29750"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","White","Project Delivery","60","50","34380","29270"
