"Status","Year","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","Unknown","100","90","44220","40010"
"Leaver CS","2022","Declared disabled","Female","2550","2120","29330","27570"
"Leaver CS","2022","Declared disabled","Male","1930","1740","31710","27570"
"Leaver CS","2022","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","14220","12260","31880","27570"
"Leaver CS","2022","Declared non-disabled","Male","12010","11150","35190","29250"
"Leaver CS","2022","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","1010","870","31260","27570"
"Leaver CS","2022","Undeclared","Male","1210","1100","33650","30210"
"Leaver CS","2022","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","5640","4830","32990","27570"
"Leaver CS","2022","Unknown","Male","5640","5130","35120","30130"
"Leaver Dept.","2021","Declared disabled","Female","550","520","35310","32000"
"Leaver Dept.","2021","Declared disabled","Male","440","430","36780","32560"
"Leaver Dept.","2021","Declared non-disabled","Female","3960","3710","37350","32000"
"Leaver Dept.","2021","Declared non-disabled","Male","2990","2880","38400","33210"
"Leaver Dept.","2021","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","310","290","37920","33300"
"Leaver Dept.","2021","Undeclared","Male","300","290","37100","33620"
"Leaver Dept.","2021","Unknown","Female","1790","1610","37210","32620"
"Leaver Dept.","2021","Unknown","Male","1620","1490","38520","33120"
"Leaver Dept.","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Female","1110","1030","35290","31060"
"Leaver Dept.","2022","Declared disabled","Male","740","710","36320","30980"
"Leaver Dept.","2022","Declared non-disabled","Female","8650","8040","37150","32300"
"Leaver Dept.","2022","Declared non-disabled","Male","5770","5540","39330","33300"
"Leaver Dept.","2022","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","450","430","35380","31990"
"Leaver Dept.","2022","Undeclared","Male","410","400","37070","33300"
"Leaver Dept.","2022","Unknown","Female","3740","2840","40590","34530"
"Leaver Dept.","2022","Unknown","Male","2790","2200","43090","36170"
"Leaver Dept.","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Female","2410","2310","27800","27570"
"New entrant CS","2021","Declared disabled","Male","1600","1590","28290","27570"
"New entrant CS","2021","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Female","17090","16460","28500","27570"
"New entrant CS","2021","Declared non-disabled","Male","13330","13180","29890","27570"
"New entrant CS","2021","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","1060","1000","31060","27570"
"New entrant CS","2021","Undeclared","Male","850","830","32090","27850"
"New entrant CS","2021","Unknown","Female","11120","10740","29380","26160"
"New entrant CS","2021","Unknown","Male","9680","9540","30900","26590"
"New entrant CS","2021","Unknown","Unknown","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","3220","3060","28980","27230"
"New entrant CS","2022","Declared disabled","Male","2010","1960","29220","27230"
"New entrant CS","2022","Declared non-disabled","Female","21190","20380","28980","26590"
"New entrant CS","2022","Declared non-disabled","Male","15730","15500","30540","27540"
"New entrant CS","2022","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","1020","980","29390","27570"
"New entrant CS","2022","Undeclared","Male","850","830","30780","27570"
"New entrant CS","2022","Unknown","Female","13990","13140","29120","26350"
"New entrant CS","2022","Unknown","Male","11400","10960","30560","26880"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
