"Status","Year","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","60","50","32020","29160"
"In post","2021","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","220","210","32970","29160"
"In post","2021","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Economics","90","90","62530","59510"
"In post","2021","Competition and Markets Authority","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","130","120","70480","72430"
"In post","2021","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","380","360","60680","56360"
"In post","2021","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","250","240","43370","42700"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","250","240","43690","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","260","250","39330","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","1030","1010","40760","38000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","310","310","46780","39640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","360","340","45310","42430"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","420","400","41040","39210"
"In post","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","50","50","38940","36240"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","90","80","51950","52960"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","4130","3880","31170","26710"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","4050","3960","49350","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","410","400","43510","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","1330","1260","42580","40720"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Statistics","60","50","46380","43100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","80","70","53810","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","70","70","56710","58490"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","60","60","48880","37990"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","90","90","40850","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","1080","1060","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","210","210","48690","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Commercial","380","370","40780","37100"
"In post","2021","Department for Education","Communications","330","320","39350","36780"
"In post","2021","Department for Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data and Technology","900","870","39980","36960"
"In post","2021","Department for Education","Finance","790","760","42590","39360"
"In post","2021","Department for Education","Human Resources","160","150","36210","30590"
"In post","2021","Department for Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","70","70","53960","54490"
"In post","2021","Department for Education","Operational Delivery","1600","1550","41630","36960"
"In post","2021","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Policy","3030","2900","46020","41230"
"In post","2021","Department for Education","Project Delivery","60","60","46370","49860"
"In post","2021","Department for Education","Property","560","550","50990","51910"
"In post","2021","Department for Education","Security","30","30","[c]","[c]"
"In post","2021","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","170","160","38760","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","270","260","41360","37560"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","710","690","43180","42440"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","160","160","44720","47550"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","410","390","43010","38060"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","270","250","42740","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","3850","3570","27010","25100"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","2490","2410","43050","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","410","390","40140","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","390","370","36760","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","1320","1250","34250","30220"
"In post","2021","Department for Environment, Food and Rural Affairs","Social Research","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","70","70","38190","32840"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","50","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","380","360","45640","44350"
"In post","2021","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","140","140","43060","38540"
"In post","2021","Department for International Trade","Digital, Data and Technology","120","120","47030","44020"
"In post","2021","Department for International Trade","Economics","150","150","43500","33220"
"In post","2021","Department for International Trade","Finance","90","90","49850","51970"
"In post","2021","Department for International Trade","Human Resources","130","130","43380","38540"
"In post","2021","Department for International Trade","International Trade","1300","1280","48330","50430"
"In post","2021","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","110","110","36650","32120"
"In post","2021","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","180","180","39470","32120"
"In post","2021","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","220","220","45630","39000"
"In post","2021","Department for International Trade","Project Delivery","70","70","45830","41500"
"In post","2021","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","50","50","43250","39690"
"In post","2021","Department for Transport","Commercial","290","270","38820","34710"
"In post","2021","Department for Transport","Communications","300","280","37850","34710"
"In post","2021","Department for Transport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Counter Fraud","60","60","30410","26780"
"In post","2021","Department for Transport","Digital, Data and Technology","1160","1130","39360","35430"
"In post","2021","Department for Transport","Economics","170","170","47750","54110"
"In post","2021","Department for Transport","Finance","470","450","41120","39040"
"In post","2021","Department for Transport","Human Resources","410","380","37240","33350"
"In post","2021","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Knowledge and Information Management","80","80","36030","33350"
"In post","2021","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Medicine","60","50","75420","86070"
"In post","2021","Department for Transport","Operational Delivery","9310","8380","26020","26350"
"In post","2021","Department for Transport","Operational Research","70","70","35620","33350"
"In post","2021","Department for Transport","Other","530","500","42000","32740"
"In post","2021","Department for Transport","Policy","1360","1320","44500","42470"
"In post","2021","Department for Transport","Project Delivery","650","630","49430","43360"
"In post","2021","Department for Transport","Property","160","150","33500","31040"
"In post","2021","Department for Transport","Science and Engineering","160","150","44810","42890"
"In post","2021","Department for Transport","Security","290","280","39060","36340"
"In post","2021","Department for Transport","Social Research","40","40","[c]","[c]"
"In post","2021","Department for Transport","Statistics","120","110","45060","42890"
"In post","2021","Department for Transport","Unknown","210","210","52840","44030"
"In post","2021","Department for Work and Pensions","Commercial","30","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Communications","30","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Digital, Data and Technology","60","60","39240","33460"
"In post","2021","Department for Work and Pensions","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Human Resources","40","40","[c]","[c]"
"In post","2021","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Operational Delivery","1720","1620","43890","41480"
"In post","2021","Department for Work and Pensions","Policy","80","80","47780","43780"
"In post","2021","Department for Work and Pensions","Project Delivery","50","40","[c]","[c]"
"In post","2021","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Science and Engineering","460","430","40160","39330"
"In post","2021","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Unknown","90950","81420","27650","27570"
"In post","2021","Department of Health and Social Care","Commercial","240","230","47400","40650"
"In post","2021","Department of Health and Social Care","Communications","320","310","44140","40650"
"In post","2021","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Digital, Data and Technology","380","370","44500","40850"
"In post","2021","Department of Health and Social Care","Economics","90","90","43100","36820"
"In post","2021","Department of Health and Social Care","Finance","510","500","40620","36820"
"In post","2021","Department of Health and Social Care","Human Resources","290","280","42920","36820"
"In post","2021","Department of Health and Social Care","Intelligence Analysis","230","230","53190","53360"
"In post","2021","Department of Health and Social Care","Knowledge and Information Management","550","510","39290","37380"
"In post","2021","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Medicine","560","490","92490","92370"
"In post","2021","Department of Health and Social Care","Operational Delivery","3440","3130","39830","35370"
"In post","2021","Department of Health and Social Care","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Other","300","290","49660","43760"
"In post","2021","Department of Health and Social Care","Policy","1840","1790","47320","41990"
"In post","2021","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Property","40","40","[c]","[c]"
"In post","2021","Department of Health and Social Care","Science and Engineering","2600","2420","41910","38890"
"In post","2021","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Statistics","70","60","50750","53120"
"In post","2021","Department of Health and Social Care","Unknown","230","220","41710","40450"
"In post","2021","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Inspector of Education and Training","60","60","74480","74730"
"In post","2021","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Communications","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Counter Fraud","60","60","39060","37910"
"In post","2021","Food Standards Agency","Digital, Data and Technology","60","60","44630","40350"
"In post","2021","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Finance","50","50","41000","37910"
"In post","2021","Food Standards Agency","Human Resources","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Operational Delivery","620","600","31630","28520"
"In post","2021","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Policy","190","180","42590","38120"
"In post","2021","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Science and Engineering","90","90","41910","37910"
"In post","2021","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Veterinarian","60","60","44580","40960"
"In post","2021","Foreign, Commonwealth and Development Office","Commercial","160","160","44390","41160"
"In post","2021","Foreign, Commonwealth and Development Office","Communications","150","140","47900","44710"
"In post","2021","Foreign, Commonwealth and Development Office","Digital, Data and Technology","320","320","42140","39630"
"In post","2021","Foreign, Commonwealth and Development Office","Economics","180","170","50950","54320"
"In post","2021","Foreign, Commonwealth and Development Office","Finance","260","250","41830","38230"
"In post","2021","Foreign, Commonwealth and Development Office","Human Resources","260","250","45000","39580"
"In post","2021","Foreign, Commonwealth and Development Office","Intelligence Analysis","200","190","45800","39220"
"In post","2021","Foreign, Commonwealth and Development Office","Internal Audit","70","70","41070","37480"
"In post","2021","Foreign, Commonwealth and Development Office","Knowledge and Information Management","140","130","44380","38230"
"In post","2021","Foreign, Commonwealth and Development Office","Legal","120","100","58300","58470"
"In post","2021","Foreign, Commonwealth and Development Office","Medicine","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Operational Delivery","640","610","33490","28000"
"In post","2021","Foreign, Commonwealth and Development Office","Operational Research","70","60","58060","58370"
"In post","2021","Foreign, Commonwealth and Development Office","Other","290","290","64730","66680"
"In post","2021","Foreign, Commonwealth and Development Office","Policy","4070","4020","50620","51960"
"In post","2021","Foreign, Commonwealth and Development Office","Project Delivery","450","440","41880","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Property","460","450","41700","39430"
"In post","2021","Foreign, Commonwealth and Development Office","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Security","390","380","37620","34240"
"In post","2021","Foreign, Commonwealth and Development Office","Statistics","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","300","290","51940","50430"
"In post","2021","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Communications","30","30","[c]","[c]"
"In post","2021","HM Land Registry","Digital, Data and Technology","670","640","38030","38450"
"In post","2021","HM Land Registry","Finance","70","70","48120","46060"
"In post","2021","HM Land Registry","Human Resources","90","90","40150","33840"
"In post","2021","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Legal","260","240","50540","57000"
"In post","2021","HM Land Registry","Operational Delivery","5000","4490","28210","27130"
"In post","2021","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Project Delivery","140","140","40870","38550"
"In post","2021","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs","Commercial","80","70","39720","38630"
"In post","2021","HM Revenue and Customs","Communications","250","240","44360","39200"
"In post","2021","HM Revenue and Customs","Digital, Data and Technology","1930","1850","39680","38630"
"In post","2021","HM Revenue and Customs","Economics","120","120","48270","37190"
"In post","2021","HM Revenue and Customs","Finance","1560","1370","34040","31810"
"In post","2021","HM Revenue and Customs","Human Resources","750","700","40920","38300"
"In post","2021","HM Revenue and Customs","Intelligence Analysis","200","190","37880","36160"
"In post","2021","HM Revenue and Customs","Internal Audit","80","70","44180","41350"
"In post","2021","HM Revenue and Customs","International Trade","140","130","33090","31810"
"In post","2021","HM Revenue and Customs","Knowledge and Information Management","50","40","[c]","[c]"
"In post","2021","HM Revenue and Customs","Legal","3730","3560","33410","31810"
"In post","2021","HM Revenue and Customs","Operational Delivery","28270","24960","25640","21440"
"In post","2021","HM Revenue and Customs","Operational Research","140","140","43550","38630"
"In post","2021","HM Revenue and Customs","Other","480","440","41690","38630"
"In post","2021","HM Revenue and Customs","Policy","1130","1070","52560","52580"
"In post","2021","HM Revenue and Customs","Project Delivery","2570","2460","42830","38630"
"In post","2021","HM Revenue and Customs","Property","2230","2070","36380","32110"
"In post","2021","HM Revenue and Customs","Security","190","180","40830","38630"
"In post","2021","HM Revenue and Customs","Social Research","80","80","45540","41760"
"In post","2021","HM Revenue and Customs","Statistics","310","290","43830","38630"
"In post","2021","HM Revenue and Customs","Tax","17730","16740","33240","31810"
"In post","2021","HM Revenue and Customs","Unknown","4480","4320","32100","25560"
"In post","2021","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Communications","50","50","[c]","[c]"
"In post","2021","HM Treasury","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Counter Fraud","40","30","[c]","[c]"
"In post","2021","HM Treasury","Digital, Data and Technology","60","60","51660","50000"
"In post","2021","HM Treasury","Economics","200","200","44310","35610"
"In post","2021","HM Treasury","Finance","110","110","48060","49870"
"In post","2021","HM Treasury","Human Resources","90","90","44940","45270"
"In post","2021","HM Treasury","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Internal Audit","340","320","50400","48780"
"In post","2021","HM Treasury","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Operational Delivery","200","200","37100","29770"
"In post","2021","HM Treasury","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Other","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Policy","1410","1380","49620","52500"
"In post","2021","HM Treasury","Project Delivery","30","30","[c]","[c]"
"In post","2021","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Tax","60","50","60940","59330"
"In post","2021","HM Treasury","Unknown","40","30","[c]","[c]"
"In post","2021","Home Office","Commercial","90","90","41360","42100"
"In post","2021","Home Office","Communications","180","170","48630","43880"
"In post","2021","Home Office","Counter Fraud","180","160","26930","25310"
"In post","2021","Home Office","Digital, Data and Technology","1220","1200","50060","45550"
"In post","2021","Home Office","Economics","110","110","46610","35070"
"In post","2021","Home Office","Finance","280","270","45650","41970"
"In post","2021","Home Office","Human Resources","570","540","42930","37450"
"In post","2021","Home Office","Intelligence Analysis","1380","1300","29700","27370"
"In post","2021","Home Office","Knowledge and Information Management","90","90","42240","38290"
"In post","2021","Home Office","Operational Delivery","25000","22880","27880","25630"
"In post","2021","Home Office","Operational Research","90","80","46070","39900"
"In post","2021","Home Office","Other","1790","1680","34890","30830"
"In post","2021","Home Office","Policy","2120","2060","49990","45350"
"In post","2021","Home Office","Project Delivery","1330","1300","45140","41950"
"In post","2021","Home Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Science and Engineering","120","110","48280","40410"
"In post","2021","Home Office","Security","350","340","31070","28670"
"In post","2021","Home Office","Social Research","110","100","48330","43560"
"In post","2021","Home Office","Statistics","90","90","41500","36960"
"In post","2021","Home Office","Unknown","270","270","63040","66240"
"In post","2021","Ministry of Defence","Commercial","2040","1960","37950","34800"
"In post","2021","Ministry of Defence","Communications","620","600","35200","33300"
"In post","2021","Ministry of Defence","Corporate Finance","50","50","39680","37760"
"In post","2021","Ministry of Defence","Digital, Data and Technology","1400","1370","36730","33300"
"In post","2021","Ministry of Defence","Economics","30","30","[c]","[c]"
"In post","2021","Ministry of Defence","Finance","2210","2130","38410","33300"
"In post","2021","Ministry of Defence","Human Resources","1990","1870","31830","26670"
"In post","2021","Ministry of Defence","Intelligence Analysis","860","830","37150","34640"
