"Status","Year","Responsibility_level","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","390","360","24510","23330"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","90","90","22990","19560"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","130","120","21180","21010"
"In post","2021","AA/AO","Bedford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","No function","260","240","26510","27850"
"In post","2021","AA/AO","Bedford","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Belfast","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","No function","690","630","20460","20140"
"In post","2021","AA/AO","Belfast","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Unknown","250","210","21250","21430"
"In post","2021","AA/AO","Berkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Grants Management","70","60","21050","21050"
"In post","2021","AA/AO","Berkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","No function","120","110","22260","22080"
"In post","2021","AA/AO","Berkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Security","530","520","32470","28750"
"In post","2021","AA/AO","Berkshire","Unknown","210","190","22540","22150"
"In post","2021","AA/AO","Bexley and Greenwich","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","No function","790","760","28960","30150"
"In post","2021","AA/AO","Bexley and Greenwich","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bexley and Greenwich","Unknown","80","70","24170","24590"
"In post","2021","AA/AO","Birmingham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Counter Fraud","70","60","20750","20580"
"In post","2021","AA/AO","Birmingham","Debt","330","300","20430","20140"
"In post","2021","AA/AO","Birmingham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Legal","120","110","21620","21950"
"In post","2021","AA/AO","Birmingham","No function","2370","2180","21190","20140"
"In post","2021","AA/AO","Birmingham","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Property","30","30","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Birmingham","Unknown","600","510","20630","21010"
"In post","2021","AA/AO","Blackburn with Darwen","No function","40","40","[c]","[c]"
"In post","2021","AA/AO","Blackburn with Darwen","Unknown","110","90","20870","21010"
"In post","2021","AA/AO","Blackpool","No function","40","30","[c]","[c]"
"In post","2021","AA/AO","Blackpool","Unknown","1710","1540","20870","21010"
"In post","2021","AA/AO","Bournemouth and Poole","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","No function","90","80","19800","19570"
"In post","2021","AA/AO","Bournemouth and Poole","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bournemouth and Poole","Unknown","100","90","20660","21010"
"In post","2021","AA/AO","Bradford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bradford","Debt","220","190","20480","20140"
"In post","2021","AA/AO","Bradford","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bradford","Finance","280","220","20630","20140"
"In post","2021","AA/AO","Bradford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bradford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bradford","No function","470","390","20210","20140"
"In post","2021","AA/AO","Bradford","Unknown","350","300","20730","21010"
"In post","2021","AA/AO","Breckland and South Norfolk","No function","290","270","24400","23970"
"In post","2021","AA/AO","Breckland and South Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Breckland and South Norfolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brent","No function","100","90","22730","23500"
"In post","2021","AA/AO","Brent","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brent","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","No function","80","70","19430","19570"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","Unknown","190","160","20950","21010"
"In post","2021","AA/AO","Brighton and Hove","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","No function","90","80","19470","19930"
"In post","2021","AA/AO","Brighton and Hove","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Brighton and Hove","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Legal","30","30","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","No function","920","850","21780","21270"
"In post","2021","AA/AO","Bristol, City of","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bristol, City of","Unknown","280","240","20930","21010"
"In post","2021","AA/AO","Bromley","No function","110","90","21550","21310"
"In post","2021","AA/AO","Bromley","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","No function","360","350","27120","27850"
"In post","2021","AA/AO","Buckinghamshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Buckinghamshire CC","Unknown","150","140","21900","21870"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Calderdale and Kirklees","No function","40","30","[c]","[c]"
"In post","2021","AA/AO","Calderdale and Kirklees","Property","70","60","20830","21100"
"In post","2021","AA/AO","Calderdale and Kirklees","Unknown","120","100","20790","21010"
"In post","2021","AA/AO","Cambridgeshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","No function","940","860","25980","25850"
"In post","2021","AA/AO","Cambridgeshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cambridgeshire CC","Unknown","110","100","21540","21010"
"In post","2021","AA/AO","Camden and City of London","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Counter Fraud","80","70","25110","25630"
"In post","2021","AA/AO","Camden and City of London","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","No function","630","600","22670","22680"
"In post","2021","AA/AO","Camden and City of London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Camden and City of London","Unknown","80","80","23990","24230"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Communications","30","30","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Counter Fraud","40","30","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Debt","210","190","20250","20140"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Legal","50","50","21810","21950"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","No function","2150","1910","21180","20140"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Property","40","40","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Security","40","40","[c]","[c]"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Unknown","760","700","22170","21430"
"In post","2021","AA/AO","Causeway Coast and Glens","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Causeway Coast and Glens","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Causeway Coast and Glens","Security","60","60","20380","20310"
"In post","2021","AA/AO","Causeway Coast and Glens","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Security","30","30","[c]","[c]"
"In post","2021","AA/AO","Central Bedfordshire","Unknown","80","80","20620","20920"
"In post","2021","AA/AO","Central Hampshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","No function","290","280","27020","29440"
"In post","2021","AA/AO","Central Hampshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Hampshire","Security","60","60","25620","20060"
"In post","2021","AA/AO","Central Hampshire","Unknown","350","330","20670","20920"
"In post","2021","AA/AO","Central Valleys","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","No function","40","40","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Central Valleys","Unknown","310","280","21900","21010"
"In post","2021","AA/AO","Cheshire East","Grants Management","50","40","[c]","[c]"
"In post","2021","AA/AO","Cheshire East","No function","220","210","24720","23970"
"In post","2021","AA/AO","Cheshire East","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire West and Chester","No function","30","30","[c]","[c]"
"In post","2021","AA/AO","Cheshire West and Chester","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire West and Chester","Unknown","130","120","21060","21010"
"In post","2021","AA/AO","Chorley and West Lancashire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chorley and West Lancashire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chorley and West Lancashire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chorley and West Lancashire","No function","710","660","25630","25380"
"In post","2021","AA/AO","Chorley and West Lancashire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chorley and West Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Debt","510","490","20370","20140"
"In post","2021","AA/AO","City of Edinburgh","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Finance","30","30","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Human Resources","50","40","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Legal","350","330","21820","22820"
"In post","2021","AA/AO","City of Edinburgh","No function","1010","950","22110","21490"
"In post","2021","AA/AO","City of Edinburgh","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Property","40","40","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","City of Edinburgh","Unknown","1070","1030","23250","22230"
"In post","2021","AA/AO","Clackmannanshire and Fife","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Clackmannanshire and Fife","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Clackmannanshire and Fife","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Clackmannanshire and Fife","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Clackmannanshire and Fife","Legal","50","40","[c]","[c]"
"In post","2021","AA/AO","Clackmannanshire and Fife","No function","140","140","23380","22430"
"In post","2021","AA/AO","Clackmannanshire and Fife","Property","30","30","[c]","[c]"
"In post","2021","AA/AO","Clackmannanshire and Fife","Security","50","40","[c]","[c]"
"In post","2021","AA/AO","Clackmannanshire and Fife","Unknown","200","170","20720","21010"
"In post","2021","AA/AO","Conwy and Denbighshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Conwy and Denbighshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Conwy and Denbighshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Conwy and Denbighshire","Unknown","100","90","22690","23830"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","No function","80","70","20930","20260"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Security","40","40","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Unknown","540","490","20850","21010"
"In post","2021","AA/AO","Coventry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Coventry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Coventry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Coventry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Coventry","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Coventry","No function","130","120","21040","22350"
"In post","2021","AA/AO","Coventry","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Coventry","Unknown","150","120","20870","21010"
"In post","2021","AA/AO","Croydon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Croydon","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Croydon","Counter Fraud","40","40","[c]","[c]"
"In post","2021","AA/AO","Croydon","Debt","180","160","24590","24120"
"In post","2021","AA/AO","Croydon","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Croydon","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Croydon","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Croydon","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Croydon","No function","460","430","23660","24120"
"In post","2021","AA/AO","Croydon","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Croydon","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Croydon","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Croydon","Unknown","980","880","24890","25630"
"In post","2021","AA/AO","Darlington","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Darlington","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Darlington","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Darlington","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Darlington","No function","60","50","21060","20100"
"In post","2021","AA/AO","Darlington","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derby","No function","110","90","20190","19570"
"In post","2021","AA/AO","Derby","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derby","Security","40","40","[c]","[c]"
"In post","2021","AA/AO","Derby","Unknown","350","290","20810","21010"
"In post","2021","AA/AO","Derry City and Strabane","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derry City and Strabane","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derry City and Strabane","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon CC","Communications","[c]","[c]","[c]","[c]"
