"Status","Year","Region_ITL1","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Overseas","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Declared non-disabled","Heterosexual / straight","2100","2090","49620","49810"
"In post","2021","Overseas","Declared non-disabled","LGBO","130","130","52300","52630"
"In post","2021","Overseas","Declared non-disabled","Undeclared","220","220","47310","40580"
"In post","2021","Overseas","Declared non-disabled","Unknown","120","110","47060","43630"
"In post","2021","Overseas","Undeclared","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Overseas","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Undeclared","Undeclared","110","100","47430","41960"
"In post","2021","Overseas","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Heterosexual / straight","180","180","55300","54540"
"In post","2021","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Unknown","580","580","51670","51500"
"In post","2021","Scotland","Declared disabled","Heterosexual / straight","3140","2840","30410","27570"
"In post","2021","Scotland","Declared disabled","LGBO","400","380","31220","27570"
"In post","2021","Scotland","Declared disabled","Undeclared","380","340","29520","27470"
"In post","2021","Scotland","Declared disabled","Unknown","550","490","30390","27570"
"In post","2021","Scotland","Declared non-disabled","Heterosexual / straight","20110","18780","32910","27570"
"In post","2021","Scotland","Declared non-disabled","LGBO","990","960","32370","27570"
"In post","2021","Scotland","Declared non-disabled","Undeclared","1650","1510","31200","27570"
"In post","2021","Scotland","Declared non-disabled","Unknown","4220","3780","31160","27570"
"In post","2021","Scotland","Undeclared","Heterosexual / straight","660","620","30090","27570"
"In post","2021","Scotland","Undeclared","LGBO","70","70","30700","27570"
"In post","2021","Scotland","Undeclared","Undeclared","560","520","32700","27570"
"In post","2021","Scotland","Undeclared","Unknown","140","120","27600","25560"
"In post","2021","Scotland","Unknown","Heterosexual / straight","3860","3630","36660","33650"
"In post","2021","Scotland","Unknown","LGBO","190","180","35030","33300"
"In post","2021","Scotland","Unknown","Undeclared","1940","1770","29060","26550"
"In post","2021","Scotland","Unknown","Unknown","8730","8220","30800","27150"
"In post","2021","South East (England)","Declared disabled","Heterosexual / straight","3440","3170","30380","27570"
"In post","2021","South East (England)","Declared disabled","LGBO","360","340","29430","27570"
"In post","2021","South East (England)","Declared disabled","Undeclared","480","430","30190","27570"
"In post","2021","South East (England)","Declared disabled","Unknown","290","250","29400","27570"
"In post","2021","South East (England)","Declared non-disabled","Heterosexual / straight","22400","20950","31670","28630"
"In post","2021","South East (England)","Declared non-disabled","LGBO","1100","1060","30390","27850"
"In post","2021","South East (England)","Declared non-disabled","Undeclared","2170","2000","31850","28650"
"In post","2021","South East (England)","Declared non-disabled","Unknown","2270","2000","31070","28130"
"In post","2021","South East (England)","Undeclared","Heterosexual / straight","1360","1260","30840","29200"
"In post","2021","South East (England)","Undeclared","LGBO","110","110","30850","29290"
"In post","2021","South East (England)","Undeclared","Undeclared","1290","1220","32900","31630"
"In post","2021","South East (England)","Undeclared","Unknown","600","550","33270","31650"
"In post","2021","South East (England)","Unknown","Heterosexual / straight","1740","1610","32000","29540"
"In post","2021","South East (England)","Unknown","LGBO","80","80","29610","27710"
"In post","2021","South East (England)","Unknown","Undeclared","280","260","34080","31150"
"In post","2021","South East (England)","Unknown","Unknown","3800","3560","31250","27850"
"In post","2021","South West (England)","Declared disabled","Heterosexual / straight","3500","3240","32390","28380"
"In post","2021","South West (England)","Declared disabled","LGBO","350","340","30320","27570"
"In post","2021","South West (England)","Declared disabled","Undeclared","580","520","33410","30080"
"In post","2021","South West (England)","Declared disabled","Unknown","340","300","30990","27570"
"In post","2021","South West (England)","Declared non-disabled","Heterosexual / straight","24650","23290","34530","31380"
"In post","2021","South West (England)","Declared non-disabled","LGBO","980","950","31470","27570"
"In post","2021","South West (England)","Declared non-disabled","Undeclared","2290","2120","35090","32430"
"In post","2021","South West (England)","Declared non-disabled","Unknown","3750","3390","34640","32060"
"In post","2021","South West (England)","Undeclared","Heterosexual / straight","1130","1060","33770","31180"
"In post","2021","South West (England)","Undeclared","LGBO","80","80","33840","30670"
"In post","2021","South West (England)","Undeclared","Undeclared","1280","1220","36840","33840"
"In post","2021","South West (England)","Undeclared","Unknown","330","300","33550","31650"
"In post","2021","South West (England)","Unknown","Heterosexual / straight","1730","1650","35500","33300"
"In post","2021","South West (England)","Unknown","LGBO","80","80","32360","28660"
"In post","2021","South West (England)","Unknown","Undeclared","360","340","39090","36950"
"In post","2021","South West (England)","Unknown","Unknown","3770","3580","33490","28650"
"In post","2021","Unknown","Declared disabled","Heterosexual / straight","140","140","30980","27570"
"In post","2021","Unknown","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Heterosexual / straight","780","740","33340","27570"
"In post","2021","Unknown","Declared non-disabled","LGBO","50","40","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Undeclared","70","60","31810","27570"
"In post","2021","Unknown","Declared non-disabled","Unknown","120","110","31830","27570"
"In post","2021","Unknown","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Heterosexual / straight","50","50","42680","42080"
"In post","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2410","2400","37080","32700"
"In post","2021","Wales","Declared disabled","Heterosexual / straight","2540","2280","29070","27290"
"In post","2021","Wales","Declared disabled","LGBO","260","250","30300","27570"
"In post","2021","Wales","Declared disabled","Undeclared","540","460","26660","21590"
"In post","2021","Wales","Declared disabled","Unknown","210","170","26920","26420"
"In post","2021","Wales","Declared non-disabled","Heterosexual / straight","19220","17890","32190","27570"
"In post","2021","Wales","Declared non-disabled","LGBO","920","890","30890","27570"
"In post","2021","Wales","Declared non-disabled","Undeclared","2540","2240","29950","26670"
"In post","2021","Wales","Declared non-disabled","Unknown","2300","1990","29490","27570"
"In post","2021","Wales","Undeclared","Heterosexual / straight","790","730","28920","26780"
"In post","2021","Wales","Undeclared","LGBO","60","60","28760","25560"
"In post","2021","Wales","Undeclared","Undeclared","870","800","31410","27570"
"In post","2021","Wales","Undeclared","Unknown","210","180","29330","27570"
"In post","2021","Wales","Unknown","Heterosexual / straight","1200","1130","31320","28560"
"In post","2021","Wales","Unknown","LGBO","90","90","29140","25560"
"In post","2021","Wales","Unknown","Undeclared","190","180","35230","31640"
"In post","2021","Wales","Unknown","Unknown","4150","3910","27850","24120"
"In post","2021","West Midlands (England)","Declared disabled","Heterosexual / straight","2700","2470","29090","27570"
"In post","2021","West Midlands (England)","Declared disabled","LGBO","270","250","27900","27570"
"In post","2021","West Midlands (England)","Declared disabled","Undeclared","350","320","28660","27570"
"In post","2021","West Midlands (England)","Declared disabled","Unknown","280","240","28370","27570"
"In post","2021","West Midlands (England)","Declared non-disabled","Heterosexual / straight","15810","14760","30580","27570"
"In post","2021","West Midlands (England)","Declared non-disabled","LGBO","650","630","30030","27520"
"In post","2021","West Midlands (England)","Declared non-disabled","Undeclared","1380","1250","29730","27570"
"In post","2021","West Midlands (England)","Declared non-disabled","Unknown","2980","2610","29170","27570"
"In post","2021","West Midlands (England)","Undeclared","Heterosexual / straight","910","850","29480","27570"
"In post","2021","West Midlands (England)","Undeclared","LGBO","50","50","31360","27570"
"In post","2021","West Midlands (England)","Undeclared","Undeclared","660","620","31170","27570"
"In post","2021","West Midlands (England)","Undeclared","Unknown","330","290","29800","27570"
"In post","2021","West Midlands (England)","Unknown","Heterosexual / straight","940","900","33440","30020"
"In post","2021","West Midlands (England)","Unknown","LGBO","40","40","[c]","[c]"
"In post","2021","West Midlands (England)","Unknown","Undeclared","110","100","34440","32240"
"In post","2021","West Midlands (England)","Unknown","Unknown","3040","2900","29740","25560"
"In post","2021","Yorkshire and The Humber","Declared disabled","Heterosexual / straight","3020","2720","30170","27570"
"In post","2021","Yorkshire and The Humber","Declared disabled","LGBO","320","300","30530","27570"
"In post","2021","Yorkshire and The Humber","Declared disabled","Undeclared","390","340","29600","27570"
"In post","2021","Yorkshire and The Humber","Declared disabled","Unknown","260","220","28720","27570"
"In post","2021","Yorkshire and The Humber","Declared non-disabled","Heterosexual / straight","19340","17900","31670","27570"
"In post","2021","Yorkshire and The Humber","Declared non-disabled","LGBO","970","940","31070","27570"
"In post","2021","Yorkshire and The Humber","Declared non-disabled","Undeclared","1740","1570","30560","27570"
"In post","2021","Yorkshire and The Humber","Declared non-disabled","Unknown","2940","2560","31170","27570"
"In post","2021","Yorkshire and The Humber","Undeclared","Heterosexual / straight","1030","960","30870","29120"
"In post","2021","Yorkshire and The Humber","Undeclared","LGBO","90","90","30580","27570"
"In post","2021","Yorkshire and The Humber","Undeclared","Undeclared","790","740","32220","30820"
"In post","2021","Yorkshire and The Humber","Undeclared","Unknown","370","330","30670","31650"
"In post","2021","Yorkshire and The Humber","Unknown","Heterosexual / straight","960","910","34140","30820"
"In post","2021","Yorkshire and The Humber","Unknown","LGBO","70","70","30540","28970"
"In post","2021","Yorkshire and The Humber","Unknown","Undeclared","140","130","32110","28840"
"In post","2021","Yorkshire and The Humber","Unknown","Unknown","4180","4020","29820","25560"
"In post","2022","East Midlands (England)","Declared disabled","Heterosexual / straight","2220","2030","29210","27570"
"In post","2022","East Midlands (England)","Declared disabled","LGBO","250","230","29630","27570"
"In post","2022","East Midlands (England)","Declared disabled","Undeclared","320","290","29290","27570"
"In post","2022","East Midlands (England)","Declared disabled","Unknown","170","150","27540","27130"
"In post","2022","East Midlands (England)","Declared non-disabled","Heterosexual / straight","12170","11360","31180","27570"
"In post","2022","East Midlands (England)","Declared non-disabled","LGBO","600","580","30410","27470"
"In post","2022","East Midlands (England)","Declared non-disabled","Undeclared","1050","960","30910","27570"
"In post","2022","East Midlands (England)","Declared non-disabled","Unknown","1450","1260","29320","27570"
"In post","2022","East Midlands (England)","Undeclared","Heterosexual / straight","700","650","29780","27570"
"In post","2022","East Midlands (England)","Undeclared","LGBO","60","60","28680","27570"
"In post","2022","East Midlands (England)","Undeclared","Undeclared","540","510","32650","30650"
"In post","2022","East Midlands (England)","Undeclared","Unknown","210","190","29360","29870"
"In post","2022","East Midlands (England)","Unknown","Heterosexual / straight","610","580","33820","30270"
"In post","2022","East Midlands (England)","Unknown","LGBO","40","40","[c]","[c]"
"In post","2022","East Midlands (England)","Unknown","Undeclared","90","90","35280","33040"
"In post","2022","East Midlands (England)","Unknown","Unknown","2510","2390","28570","26590"
"In post","2022","East of England","Declared disabled","Heterosexual / straight","2090","1910","30600","28010"
"In post","2022","East of England","Declared disabled","LGBO","190","180","28940","27570"
"In post","2022","East of England","Declared disabled","Undeclared","270","250","30190","28200"
"In post","2022","East of England","Declared disabled","Unknown","160","140","28840","27570"
"In post","2022","East of England","Declared non-disabled","Heterosexual / straight","12470","11680","31380","28700"
"In post","2022","East of England","Declared non-disabled","LGBO","540","530","30370","27570"
"In post","2022","East of England","Declared non-disabled","Undeclared","1150","1050","30850","27570"
"In post","2022","East of England","Declared non-disabled","Unknown","1370","1200","30880","28100"
"In post","2022","East of England","Undeclared","Heterosexual / straight","710","670","31250","29290"
"In post","2022","East of England","Undeclared","LGBO","50","50","29780","28200"
"In post","2022","East of England","Undeclared","Undeclared","590","550","32350","31150"
"In post","2022","East of England","Undeclared","Unknown","230","200","31470","31650"
"In post","2022","East of England","Unknown","Heterosexual / straight","790","760","34650","32640"
"In post","2022","East of England","Unknown","LGBO","40","40","[c]","[c]"
"In post","2022","East of England","Unknown","Undeclared","140","140","40030","36630"
"In post","2022","East of England","Unknown","Unknown","2150","2020","30980","26820"
"In post","2022","London","Declared disabled","Heterosexual / straight","7230","6880","41330","35900"
"In post","2022","London","Declared disabled","LGBO","1150","1130","43080","37930"
"In post","2022","London","Declared disabled","Undeclared","1020","960","40530","35070"
"In post","2022","London","Declared disabled","Unknown","540","490","38230","31880"
"In post","2022","London","Declared non-disabled","Heterosexual / straight","54310","52290","44510","39420"
"In post","2022","London","Declared non-disabled","LGBO","3740","3680","46250","41750"
"In post","2022","London","Declared non-disabled","Undeclared","4970","4720","43310","37930"
"In post","2022","London","Declared non-disabled","Unknown","4340","4000","41120","34260"
"In post","2022","London","Undeclared","Heterosexual / straight","2370","2290","42110","36900"
"In post","2022","London","Undeclared","LGBO","260","260","43050","38590"
"In post","2022","London","Undeclared","Undeclared","2170","2100","44770","40220"
"In post","2022","London","Undeclared","Unknown","550","510","37850","34780"
"In post","2022","London","Unknown","Heterosexual / straight","4810","4690","44670","40230"
"In post","2022","London","Unknown","LGBO","450","440","44140","40650"
"In post","2022","London","Unknown","Undeclared","1580","1540","47460","41750"
"In post","2022","London","Unknown","Unknown","15340","14970","43410","37890"
"In post","2022","North East (England)","Declared disabled","Heterosexual / straight","2980","2650","28430","27130"
"In post","2022","North East (England)","Declared disabled","LGBO","260","240","28420","27140"
"In post","2022","North East (England)","Declared disabled","Undeclared","310","270","28490","26820"
"In post","2022","North East (England)","Declared disabled","Unknown","280","230","25930","22080"
"In post","2022","North East (England)","Declared non-disabled","Heterosexual / straight","17360","15890","30590","27570"
"In post","2022","North East (England)","Declared non-disabled","LGBO","910","880","30180","27570"
"In post","2022","North East (England)","Declared non-disabled","Undeclared","1200","1070","29500","26820"
"In post","2022","North East (England)","Declared non-disabled","Unknown","2550","2160","27630","22600"
"In post","2022","North East (England)","Undeclared","Heterosexual / straight","840","770","29970","27570"
"In post","2022","North East (England)","Undeclared","LGBO","80","70","28270","27570"
"In post","2022","North East (England)","Undeclared","Undeclared","610","560","31970","27740"
"In post","2022","North East (England)","Undeclared","Unknown","290","250","29760","31650"
"In post","2022","North East (England)","Unknown","Heterosexual / straight","920","840","31020","26820"
"In post","2022","North East (England)","Unknown","LGBO","60","50","31470","26820"
"In post","2022","North East (England)","Unknown","Undeclared","130","120","33510","26820"
"In post","2022","North East (England)","Unknown","Unknown","4330","3990","28050","24880"
"In post","2022","North West (England)","Declared disabled","Heterosexual / straight","5750","5200","29550","27570"
"In post","2022","North West (England)","Declared disabled","LGBO","630","600","29520","27570"
"In post","2022","North West (England)","Declared disabled","Undeclared","740","660","28700","27570"
"In post","2022","North West (England)","Declared disabled","Unknown","570","490","27500","26750"
"In post","2022","North West (England)","Declared non-disabled","Heterosexual / straight","33330","31110","31130","27570"
"In post","2022","North West (England)","Declared non-disabled","LGBO","1870","1820","30660","27570"
"In post","2022","North West (England)","Declared non-disabled","Undeclared","2590","2370","30070","27570"
"In post","2022","North West (England)","Declared non-disabled","Unknown","4950","4320","28100","27130"
"In post","2022","North West (England)","Undeclared","Heterosexual / straight","1580","1460","29730","27570"
"In post","2022","North West (England)","Undeclared","LGBO","170","170","29850","27570"
"In post","2022","North West (England)","Undeclared","Undeclared","1200","1110","32540","29440"
"In post","2022","North West (England)","Undeclared","Unknown","550","490","29730","31650"
"In post","2022","North West (England)","Unknown","Heterosexual / straight","2300","2210","33790","30820"
"In post","2022","North West (England)","Unknown","LGBO","170","170","31660","29360"
"In post","2022","North West (England)","Unknown","Undeclared","250","230","35060","32160"
"In post","2022","North West (England)","Unknown","Unknown","7670","7290","29430","26590"
"In post","2022","Northern Ireland","Declared disabled","Heterosexual / straight","270","250","29470","26820"
"In post","2022","Northern Ireland","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Declared non-disabled","Heterosexual / straight","2260","2150","30300","26820"
"In post","2022","Northern Ireland","Declared non-disabled","LGBO","90","90","28890","26590"
"In post","2022","Northern Ireland","Declared non-disabled","Undeclared","110","100","29160","26220"
"In post","2022","Northern Ireland","Declared non-disabled","Unknown","110","100","29980","26820"
"In post","2022","Northern Ireland","Undeclared","Heterosexual / straight","130","120","29830","26820"
"In post","2022","Northern Ireland","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Undeclared","70","70","30820","27420"
"In post","2022","Northern Ireland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Heterosexual / straight","250","240","31230","27420"
"In post","2022","Northern Ireland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Unknown","860","820","27560","24880"
"In post","2022","Overseas","Declared disabled","Heterosexual / straight","170","170","48220","44140"
"In post","2022","Overseas","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Declared non-disabled","Heterosexual / straight","1970","1960","49070","46600"
"In post","2022","Overseas","Declared non-disabled","LGBO","130","130","52510","52760"
"In post","2022","Overseas","Declared non-disabled","Undeclared","190","190","46310","41240"
"In post","2022","Overseas","Declared non-disabled","Unknown","70","70","50200","52400"
"In post","2022","Overseas","Undeclared","Heterosexual / straight","50","50","46790","41500"
"In post","2022","Overseas","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Undeclared","90","90","46850","41960"
"In post","2022","Overseas","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Heterosexual / straight","300","300","55140","53740"
"In post","2022","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2022","Overseas","Unknown","Unknown","570","570","50400","51450"
"In post","2022","Scotland","Declared disabled","Heterosexual / straight","3390","3090","31520","27570"
"In post","2022","Scotland","Declared disabled","LGBO","520","500","31650","27570"
"In post","2022","Scotland","Declared disabled","Undeclared","390","350","30760","27570"
"In post","2022","Scotland","Declared disabled","Unknown","540","480","31400","27570"
"In post","2022","Scotland","Declared non-disabled","Heterosexual / straight","22840","21460","34030","27940"
"In post","2022","Scotland","Declared non-disabled","LGBO","1300","1270","33170","27570"
"In post","2022","Scotland","Declared non-disabled","Undeclared","1710","1580","32780","27570"
"In post","2022","Scotland","Declared non-disabled","Unknown","3600","3230","32120","27570"
"In post","2022","Scotland","Undeclared","Heterosexual / straight","740","690","31450","27570"
"In post","2022","Scotland","Undeclared","LGBO","80","80","32030","27570"
"In post","2022","Scotland","Undeclared","Undeclared","600","560","33470","27570"
"In post","2022","Scotland","Undeclared","Unknown","120","100","27470","25630"
"In post","2022","Scotland","Unknown","Heterosexual / straight","3860","3640","38180","35000"
"In post","2022","Scotland","Unknown","LGBO","230","220","35560","32990"
"In post","2022","Scotland","Unknown","Undeclared","290","260","38240","35000"
"In post","2022","Scotland","Unknown","Unknown","10810","10180","31750","27570"
"In post","2022","South East (England)","Declared disabled","Heterosexual / straight","3550","3260","30840","27570"
"In post","2022","South East (England)","Declared disabled","LGBO","400","380","29880","28570"
"In post","2022","South East (England)","Declared disabled","Undeclared","500","450","30690","27570"
"In post","2022","South East (England)","Declared disabled","Unknown","280","240","30940","27570"
"In post","2022","South East (England)","Declared non-disabled","Heterosexual / straight","22380","20930","32180","28920"
"In post","2022","South East (England)","Declared non-disabled","LGBO","1150","1120","31470","28200"
"In post","2022","South East (England)","Declared non-disabled","Undeclared","2130","1960","32610","29290"
