"Status","Year","Parent_department","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Unknown","4980","4830","44360","35590"
"In post","2021","Cabinet Office","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Unknown","4370","4330","49330","40600"
"In post","2021","Chancellor's other departments","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Other","120","110","56760","48930"
"In post","2021","Chancellor's other departments","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Other","160","150","68700","57250"
"In post","2021","Chancellor's other departments","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Unknown","140","130","32370","29160"
"In post","2021","Charity Commission","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Unknown","80","80","33920","29160"
"In post","2021","Competition and Markets Authority","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Economics","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Legal","70","70","69330","71370"
"In post","2021","Competition and Markets Authority","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Project Delivery","200","190","58740","55860"
"In post","2021","Competition and Markets Authority","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Economics","50","50","64140","61650"
"In post","2021","Competition and Markets Authority","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Legal","60","50","72010","74480"
"In post","2021","Competition and Markets Authority","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Project Delivery","170","170","62970","59260"
"In post","2021","Competition and Markets Authority","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Commercial","130","120","41130","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Communications","150","140","43890","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Counter Fraud","110","100","38790","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Digital, Data and Technology","310","290","39670","37240"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Economics","120","110","46770","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Finance","190","180","43100","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Human Resources","300","280","39880","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Legal","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Operational Delivery","2410","2210","29980","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Policy","2000","1930","47730","44720"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Project Delivery","200","190","42080","39670"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Science and Engineering","400","370","39490","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Commercial","120","120","45830","47140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Communications","110","100","43410","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Counter Fraud","160","150","39700","38510"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Digital, Data and Technology","720","720","41230","39040"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Economics","200","200","46790","39640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Finance","160","160","47900","44790"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Human Resources","120","110","44080","41230"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Legal","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Operational Delivery","1720","1670","32830","28240"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Policy","2050","2030","50930","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Project Delivery","210","210","44860","41530"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Science and Engineering","930","890","43910","40940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Statistics","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Human Resources","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Other","60","60","36790","34280"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Policy","600","590","48110","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Project Delivery","110","110","46650","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Economics","60","60","52650","47630"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Finance","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Other","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Policy","480","470","48860","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Project Delivery","100","100","51120","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Commercial","200","190","39790","37100"
"In post","2021","Department for Education","Female","Communications","210","200","38680","36780"
"In post","2021","Department for Education","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Digital, Data and Technology","410","380","40530","37100"
"In post","2021","Department for Education","Female","Finance","410","390","41770","37760"
"In post","2021","Department for Education","Female","Human Resources","120","120","35030","30110"
"In post","2021","Department for Education","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Legal","50","40","[c]","[c]"
"In post","2021","Department for Education","Female","Operational Delivery","980","930","41250","36960"
"In post","2021","Department for Education","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Policy","1980","1860","45250","40780"
"In post","2021","Department for Education","Female","Project Delivery","30","30","[c]","[c]"
"In post","2021","Department for Education","Female","Property","250","240","48020","50130"
"In post","2021","Department for Education","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Commercial","190","190","41820","38000"
"In post","2021","Department for Education","Male","Communications","120","120","40530","36780"
"In post","2021","Department for Education","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Digital, Data and Technology","490","490","39530","36780"
"In post","2021","Department for Education","Male","Finance","370","370","43510","40140"
"In post","2021","Department for Education","Male","Human Resources","30","30","[c]","[c]"
"In post","2021","Department for Education","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Operational Delivery","620","620","42230","37100"
"In post","2021","Department for Education","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Policy","1060","1040","47480","44910"
"In post","2021","Department for Education","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Property","320","310","53270","54600"
"In post","2021","Department for Education","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Commercial","100","100","36680","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Communications","180","170","40850","37300"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Digital, Data and Technology","290","270","42020","39050"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Economics","60","60","44940","48990"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Finance","210","200","40040","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Human Resources","200","190","42870","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Operational Delivery","2260","2030","26220","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Policy","1410","1340","42900","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Project Delivery","220","200","40610","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Property","210","200","34030","30040"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Science and Engineering","720","660","32180","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Statistics","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Veterinarian","220","210","44360","38560"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Commercial","60","60","42150","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Communications","90","90","42310","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Digital, Data and Technology","420","420","43960","44760"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Economics","100","100","44580","47550"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Finance","200","200","46150","42730"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Human Resources","70","70","42350","38420"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Operational Delivery","1590","1540","28120","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Policy","1080","1070","43250","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Project Delivery","190","190","39610","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Property","180","180","40020","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Science and Engineering","610","590","36700","33580"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Statistics","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Veterinarian","160","160","47400","48560"
"In post","2021","Department for International Trade","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Communications","80","80","42390","38540"
"In post","2021","Department for International Trade","Female","Digital, Data and Technology","60","60","44730","43000"
"In post","2021","Department for International Trade","Female","Economics","50","50","42710","34110"
"In post","2021","Department for International Trade","Female","Finance","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Female","Human Resources","90","80","43970","38540"
"In post","2021","Department for International Trade","Female","International Trade","570","560","47260","48220"
"In post","2021","Department for International Trade","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Operational Delivery","50","50","35070","32120"
"In post","2021","Department for International Trade","Female","Operational Research","[c]","[c]","[c]","[c]"
