"Status","Year","Sexual_orientation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scottish Government","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","United Kingdom Statistics Authority","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Attorney General's Departments","160","160","45980","40000"
"In post","2021","Heterosexual / straight","Counter Fraud","Cabinet Office","70","70","48510","50730"
"In post","2021","Heterosexual / straight","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Business, Energy and Industrial Strategy","150","140","39500","39170"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Transport","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Food Standards Agency","50","50","38850","37320"
"In post","2021","Heterosexual / straight","Counter Fraud","HM Revenue and Customs","5360","5040","33700","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","HM Revenue and Customs","2150","1920","24010","21440"
"In post","2021","Heterosexual / straight","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Attorney General's Departments","140","130","40660","38180"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Cabinet Office","660","650","51890","54700"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Competition and Markets Authority","60","60","56130","51270"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","450","440","44020","40050"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Education","400","390","39570","36780"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","500","490","44000","47550"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for International Trade","60","60","45420","43000"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Transport","760","740","40260","38400"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department of Health and Social Care","170","170","44380","41020"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Food Standards Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Foreign, Commonwealth and Development Office","240","230","42000","39630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","HM Land Registry","380","350","39360","38450"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","HM Revenue and Customs","1520","1460","39810","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Ministry of Defence","730","710","33780","33000"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","110","110","44500","40720"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Ministry of Justice","690","680","44770","42000"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","National Crime Agency","200","190","41180","38490"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Office for Standards in Education","60","60","46380","39850"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Other Cabinet Office Agencies","100","90","45230","46920"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Scottish Government","100","100","42190","36860"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","The National Archives","60","50","38650","36110"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","United Kingdom Statistics Authority","320","320","42490","39000"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Attorney General's Departments","130","120","36110","31350"
"In post","2021","Heterosexual / straight","Finance","Cabinet Office","60","60","48280","43090"
"In post","2021","Heterosexual / straight","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Department for Business, Energy and Industrial Strategy","210","200","45330","41580"
"In post","2021","Heterosexual / straight","Finance","Department for Digital, Culture, Media and Sport","60","60","57990","61730"
"In post","2021","Heterosexual / straight","Finance","Department for Education","380","360","43360","42520"
"In post","2021","Heterosexual / straight","Finance","Department for Environment, Food and Rural Affairs","330","320","43190","38060"
"In post","2021","Heterosexual / straight","Finance","Department for International Trade","60","60","48510","51710"
"In post","2021","Heterosexual / straight","Finance","Department for Transport","300","290","39890","35640"
"In post","2021","Heterosexual / straight","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Department of Health and Social Care","300","300","42640","37760"
"In post","2021","Heterosexual / straight","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Foreign, Commonwealth and Development Office","210","200","44420","39600"
"In post","2021","Heterosexual / straight","Finance","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","HM Revenue and Customs","1440","1300","35230","31810"
"In post","2021","Heterosexual / straight","Finance","HM Treasury","90","80","49810","52500"
"In post","2021","Heterosexual / straight","Finance","Ministry of Defence","1710","1640","38340","33300"
"In post","2021","Heterosexual / straight","Finance","Ministry of Housing, Communities and Local Government","110","100","52430","53130"
"In post","2021","Heterosexual / straight","Finance","Ministry of Justice","610","590","41510","37070"
"In post","2021","Heterosexual / straight","Finance","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Other Cabinet Office Agencies","50","50","45200","39890"
"In post","2021","Heterosexual / straight","Finance","Scottish Government","70","70","36460","34190"
"In post","2021","Heterosexual / straight","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Department for Environment, Food and Rural Affairs","790","710","26630","25190"
"In post","2021","Heterosexual / straight","Grants Management","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Attorney General's Departments","170","170","40260","33930"
"In post","2021","Heterosexual / straight","Human Resources","Cabinet Office","870","820","39480","35590"
"In post","2021","Heterosexual / straight","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Department for Business, Energy and Industrial Strategy","260","250","40970","39210"
"In post","2021","Heterosexual / straight","Human Resources","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Department for Education","110","110","36860","32180"
"In post","2021","Heterosexual / straight","Human Resources","Department for Environment, Food and Rural Affairs","210","200","43060","38710"
"In post","2021","Heterosexual / straight","Human Resources","Department for International Trade","80","80","44180","38540"
"In post","2021","Heterosexual / straight","Human Resources","Department for Transport","320","300","36620","32250"
"In post","2021","Heterosexual / straight","Human Resources","Department for Work and Pensions","70","60","40240","35910"
"In post","2021","Heterosexual / straight","Human Resources","Department of Health and Social Care","210","200","44670","40070"
"In post","2021","Heterosexual / straight","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Foreign, Commonwealth and Development Office","220","210","44500","39580"
"In post","2021","Heterosexual / straight","Human Resources","HM Land Registry","70","60","43630","38550"
"In post","2021","Heterosexual / straight","Human Resources","HM Revenue and Customs","1090","1020","36950","31810"
"In post","2021","Heterosexual / straight","Human Resources","HM Treasury","90","80","42860","39200"
"In post","2021","Heterosexual / straight","Human Resources","Ministry of Defence","1750","1640","32440","26670"
"In post","2021","Heterosexual / straight","Human Resources","Ministry of Housing, Communities and Local Government","80","70","41330","36340"
"In post","2021","Heterosexual / straight","Human Resources","Ministry of Justice","770","750","41810","38000"
"In post","2021","Heterosexual / straight","Human Resources","National Crime Agency","150","140","40410","38440"
"In post","2021","Heterosexual / straight","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Scottish Government","180","170","37360","35810"
"In post","2021","Heterosexual / straight","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","United Kingdom Statistics Authority","140","130","37370","36030"
"In post","2021","Heterosexual / straight","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","HM Revenue and Customs","60","50","43630","41350"
"In post","2021","Heterosexual / straight","Internal Audit","HM Treasury","300","280","50340","48780"
"In post","2021","Heterosexual / straight","Internal Audit","Ministry of Defence","110","110","38420","33810"
"In post","2021","Heterosexual / straight","Internal Audit","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Attorney General's Departments","5910","5520","44500","48080"
"In post","2021","Heterosexual / straight","Legal","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Competition and Markets Authority","130","130","68500","72430"
"In post","2021","Heterosexual / straight","Legal","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Department for Education","60","50","54220","55530"
"In post","2021","Heterosexual / straight","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Foreign, Commonwealth and Development Office","90","70","56230","57760"
"In post","2021","Heterosexual / straight","Legal","HM Land Registry","160","140","50870","57000"
"In post","2021","Heterosexual / straight","Legal","HM Revenue and Customs","710","680","40090","32100"
"In post","2021","Heterosexual / straight","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Ministry of Justice","910","820","42930","43090"
"In post","2021","Heterosexual / straight","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Scottish Government","570","530","50740","52490"
"In post","2021","Heterosexual / straight","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","UK Supreme Court","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","Attorney General's Departments","60","60","42330","40000"
"In post","2021","Heterosexual / straight","No function","Cabinet Office","1520","1500","47360","41760"
"In post","2021","Heterosexual / straight","No function","Chancellor's other departments","80","70","53230","45080"
"In post","2021","Heterosexual / straight","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","Department for Business, Energy and Industrial Strategy","5140","4910","42760","40050"
"In post","2021","Heterosexual / straight","No function","Department for Digital, Culture, Media and Sport","810","790","48360","51730"
"In post","2021","Heterosexual / straight","No function","Department for Education","2870","2760","42860","37100"
"In post","2021","Heterosexual / straight","No function","Department for Environment, Food and Rural Affairs","3750","3590","37080","33120"
"In post","2021","Heterosexual / straight","No function","Department for International Trade","1040","1030","47180","42030"
"In post","2021","Heterosexual / straight","No function","Department for Transport","7270","6730","31560","26780"
"In post","2021","Heterosexual / straight","No function","Department for Work and Pensions","1540","1450","43450","41330"
"In post","2021","Heterosexual / straight","No function","Department of Health and Social Care","5040","4630","43190","37510"
"In post","2021","Heterosexual / straight","No function","ESTYN","80","70","62210","74730"
"In post","2021","Heterosexual / straight","No function","Food Standards Agency","590","570","36410","32830"
"In post","2021","Heterosexual / straight","No function","Foreign, Commonwealth and Development Office","2730","2700","47790","39350"
"In post","2021","Heterosexual / straight","No function","HM Land Registry","2770","2480","29080","27130"
"In post","2021","Heterosexual / straight","No function","HM Revenue and Customs","16560","14990","30050","25560"
"In post","2021","Heterosexual / straight","No function","HM Treasury","1210","1190","48080","52500"
"In post","2021","Heterosexual / straight","No function","Ministry of Defence","2050","1980","39190","37320"
"In post","2021","Heterosexual / straight","No function","Ministry of Housing, Communities and Local Government","1900","1820","45970","44020"
"In post","2021","Heterosexual / straight","No function","Ministry of Justice","49690","46460","28390","26300"
"In post","2021","Heterosexual / straight","No function","National Crime Agency","3530","3460","39690","37330"
"In post","2021","Heterosexual / straight","No function","Northern Ireland Office","60","60","46800","39160"
"In post","2021","Heterosexual / straight","No function","Office for Standards in Education","1090","1050","52460","51360"
"In post","2021","Heterosexual / straight","No function","Office of Gas and Electricity Markets","350","340","40270","35180"
