"Status","Year","Sex","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Declared non-disabled","4630","4260","34410","30220"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Undeclared","230","210","35970","32650"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Unknown","660","610","39420","36520"
"In post","2021","Female","Department for International Trade","Declared disabled","100","100","45360","41640"
"In post","2021","Female","Department for International Trade","Declared non-disabled","640","620","46030","40810"
"In post","2021","Female","Department for International Trade","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Department for International Trade","Unknown","500","490","42690","38540"
"In post","2021","Female","Department for Transport","Declared disabled","760","630","27300","21590"
"In post","2021","Female","Department for Transport","Declared non-disabled","5020","4410","30870","26470"
"In post","2021","Female","Department for Transport","Undeclared","640","590","33790","30540"
"In post","2021","Female","Department for Transport","Unknown","860","780","27110","21590"
"In post","2021","Female","Department for Work and Pensions","Declared disabled","10440","8860","27160","27570"
"In post","2021","Female","Department for Work and Pensions","Declared non-disabled","46050","39630","27510","27570"
"In post","2021","Female","Department for Work and Pensions","Undeclared","2480","2220","27430","27570"
"In post","2021","Female","Department for Work and Pensions","Unknown","1880","1750","28230","27570"
"In post","2021","Female","Department of Health and Social Care","Declared disabled","350","320","39000","35380"
"In post","2021","Female","Department of Health and Social Care","Declared non-disabled","4010","3660","42190","37450"
"In post","2021","Female","Department of Health and Social Care","Undeclared","380","320","44050","40070"
"In post","2021","Female","Department of Health and Social Care","Unknown","2950","2790","45400","40650"
"In post","2021","Female","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Declared non-disabled","60","50","54760","69690"
"In post","2021","Female","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Declared non-disabled","280","260","40230","37910"
"In post","2021","Female","Food Standards Agency","Undeclared","220","220","38340","37350"
"In post","2021","Female","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Declared disabled","420","400","42850","38600"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Declared non-disabled","2850","2760","46180","39880"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Undeclared","140","130","45250","39170"
"In post","2021","Female","Foreign, Commonwealth and Development Office","Unknown","810","790","48000","47340"
"In post","2021","Female","HM Land Registry","Declared disabled","290","240","29870","27130"
"In post","2021","Female","HM Land Registry","Declared non-disabled","2270","1940","31900","27130"
"In post","2021","Female","HM Land Registry","Undeclared","120","100","31200","27130"
"In post","2021","Female","HM Land Registry","Unknown","1130","1070","26560","22350"
"In post","2021","Female","HM Revenue and Customs","Declared disabled","3270","2830","30230","25820"
"In post","2021","Female","HM Revenue and Customs","Declared non-disabled","20100","17800","31680","28130"
"In post","2021","Female","HM Revenue and Customs","Undeclared","1440","1260","31680","28130"
"In post","2021","Female","HM Revenue and Customs","Unknown","10250","9020","27010","24120"
"In post","2021","Female","HM Treasury","Declared disabled","140","130","43200","39280"
"In post","2021","Female","HM Treasury","Declared non-disabled","910","870","47080","44020"
"In post","2021","Female","HM Treasury","Undeclared","170","170","41480","36060"
"In post","2021","Female","HM Treasury","Unknown","80","70","48440","43100"
"In post","2021","Female","Home Office","Declared disabled","1670","1490","30990","27370"
"In post","2021","Female","Home Office","Declared non-disabled","14910","13420","31340","27240"
"In post","2021","Female","Home Office","Undeclared","810","720","32230","28670"
"In post","2021","Female","Home Office","Unknown","930","900","31720","27370"
"In post","2021","Female","Ministry of Defence","Declared disabled","2410","2270","32140","28960"
"In post","2021","Female","Ministry of Defence","Declared non-disabled","16020","15120","32050","28650"
"In post","2021","Female","Ministry of Defence","Undeclared","1390","1320","32290","29290"
"In post","2021","Female","Ministry of Defence","Unknown","3000","2800","33260","29920"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Declared disabled","180","170","41070","38160"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Declared non-disabled","1260","1190","44580","40600"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Undeclared","80","70","44890","42980"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Unknown","180","160","43450","40010"
"In post","2021","Female","Ministry of Justice","Declared disabled","5490","5050","28490","25400"
"In post","2021","Female","Ministry of Justice","Declared non-disabled","30000","27410","28950","25780"
"In post","2021","Female","Ministry of Justice","Undeclared","3940","3550","29290","26560"
"In post","2021","Female","Ministry of Justice","Unknown","3990","3820","26360","22920"
"In post","2021","Female","National Crime Agency","Declared disabled","100","100","37000","36310"
"In post","2021","Female","National Crime Agency","Declared non-disabled","740","700","40990","39840"
"In post","2021","Female","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Crime Agency","Unknown","1600","1550","35840","34140"
"In post","2021","Female","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","Declared disabled","100","90","44830","51360"
"In post","2021","Female","Office for Standards in Education","Declared non-disabled","970","930","49500","51360"
"In post","2021","Female","Office for Standards in Education","Unknown","120","110","43910","51360"
"In post","2021","Female","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Declared non-disabled","470","460","43580","37620"
"In post","2021","Female","Office of Gas and Electricity Markets","Unknown","50","40","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Declared non-disabled","100","90","41270","38000"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Declared non-disabled","120","110","50290","49580"
"In post","2021","Female","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Declared disabled","40","30","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Declared non-disabled","190","190","41120","37300"
"In post","2021","Female","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","Unknown","250","240","35690","34800"
"In post","2021","Female","Scotland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Scottish Government","Declared disabled","900","850","35720","32140"
"In post","2021","Female","Scottish Government","Declared non-disabled","5530","5160","38510","33620"
"In post","2021","Female","Scottish Government","Undeclared","180","170","37530","33620"
"In post","2021","Female","Scottish Government","Unknown","4950","4580","33620","29350"
"In post","2021","Female","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","Declared non-disabled","190","180","35270","33930"
"In post","2021","Female","The National Archives","Unknown","80","80","35950","31410"
"In post","2021","Female","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","Declared non-disabled","150","140","49280","43000"
"In post","2021","Female","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","Declared disabled","330","290","31190","29540"
"In post","2021","Female","United Kingdom Statistics Authority","Declared non-disabled","1510","1310","32970","29540"
"In post","2021","Female","United Kingdom Statistics Authority","Undeclared","80","60","27770","23050"
"In post","2021","Female","United Kingdom Statistics Authority","Unknown","1200","1070","29610","29540"
"In post","2021","Female","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Declared non-disabled","90","80","56760","49710"
"In post","2021","Female","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Welsh Government","Declared disabled","190","170","38370","37410"
"In post","2021","Female","Welsh Government","Declared non-disabled","2960","2730","40000","37410"
"In post","2021","Female","Welsh Government","Undeclared","90","80","41130","37410"
"In post","2021","Female","Welsh Government","Unknown","190","180","37690","34490"
"In post","2021","Male","Attorney General's Departments","Declared disabled","330","320","45990","49710"
"In post","2021","Male","Attorney General's Departments","Declared non-disabled","2410","2350","48550","51120"
"In post","2021","Male","Attorney General's Departments","Undeclared","60","50","54320","64720"
"In post","2021","Male","Attorney General's Departments","Unknown","670","650","44340","48080"
"In post","2021","Male","Cabinet Office","Declared disabled","320","310","44950","38340"
"In post","2021","Male","Cabinet Office","Declared non-disabled","2110","2090","51830","53500"
"In post","2021","Male","Cabinet Office","Undeclared","140","140","46710","40600"
"In post","2021","Male","Cabinet Office","Unknown","1840","1830","47370","34550"
"In post","2021","Male","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Declared non-disabled","190","180","65290","54910"
"In post","2021","Male","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","Declared non-disabled","90","90","34520","29160"
"In post","2021","Male","Charity Commission","Unknown","80","80","36420","30370"
"In post","2021","Male","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Declared non-disabled","350","340","61280","56630"
"In post","2021","Male","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","Unknown","40","40","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Declared disabled","440","430","41260","39130"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Declared non-disabled","4550","4460","45180","41650"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Undeclared","230","230","46720","42990"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","Unknown","1450","1430","36970","33880"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Declared disabled","50","40","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Declared non-disabled","610","610","50940","51730"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Undeclared","40","40","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Unknown","120","120","49100","47930"
"In post","2021","Male","Department for Education","Declared disabled","280","280","41870","37100"
"In post","2021","Male","Department for Education","Declared non-disabled","2330","2300","46280","42780"
"In post","2021","Male","Department for Education","Undeclared","160","160","44960","40300"
"In post","2021","Male","Department for Education","Unknown","520","510","39430","36500"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Declared disabled","470","460","35510","31640"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Declared non-disabled","3610","3550","37140","32790"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Undeclared","200","200","37820","33840"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Unknown","570","550","40850","36590"
"In post","2021","Male","Department for International Trade","Declared disabled","100","100","44850","38540"
"In post","2021","Male","Department for International Trade","Declared non-disabled","780","770","47240","41730"
"In post","2021","Male","Department for International Trade","Undeclared","40","40","[c]","[c]"
"In post","2021","Male","Department for International Trade","Unknown","500","500","46570","40000"
"In post","2021","Male","Department for Transport","Declared disabled","630","590","31850","26780"
"In post","2021","Male","Department for Transport","Declared non-disabled","6010","5810","35920","30780"
"In post","2021","Male","Department for Transport","Undeclared","910","880","36700","32740"
"In post","2021","Male","Department for Transport","Unknown","1150","1130","31210","26700"
"In post","2021","Male","Department for Work and Pensions","Declared disabled","5110","4790","27580","27570"
"In post","2021","Male","Department for Work and Pensions","Declared non-disabled","24500","23560","29530","27570"
"In post","2021","Male","Department for Work and Pensions","Undeclared","1720","1670","29110","27570"
"In post","2021","Male","Department for Work and Pensions","Unknown","1370","1350","29770","27570"
"In post","2021","Male","Department of Health and Social Care","Declared disabled","180","170","45120","37380"
"In post","2021","Male","Department of Health and Social Care","Declared non-disabled","1860","1770","47290","41030"
"In post","2021","Male","Department of Health and Social Care","Undeclared","170","160","53570","48320"
"In post","2021","Male","Department of Health and Social Care","Unknown","1860","1830","50010","44950"
"In post","2021","Male","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Male","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Declared disabled","40","40","[c]","[c]"
"In post","2021","Male","Food Standards Agency","Declared non-disabled","530","520","34930","29090"
"In post","2021","Male","Food Standards Agency","Undeclared","210","200","39040","37350"
"In post","2021","Male","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Foreign, Commonwealth and Development Office","Declared disabled","380","380","44460","38600"
"In post","2021","Male","Foreign, Commonwealth and Development Office","Declared non-disabled","3050","3020","48780","44880"
"In post","2021","Male","Foreign, Commonwealth and Development Office","Undeclared","210","210","50710","46650"
"In post","2021","Male","Foreign, Commonwealth and Development Office","Unknown","770","760","49370","51500"
"In post","2021","Male","HM Land Registry","Declared disabled","200","180","31490","27130"
"In post","2021","Male","HM Land Registry","Declared non-disabled","1420","1320","35020","33840"
"In post","2021","Male","HM Land Registry","Undeclared","120","100","33670","33840"
"In post","2021","Male","HM Land Registry","Unknown","820","800","28240","22350"
"In post","2021","Male","HM Revenue and Customs","Declared disabled","2470","2310","32080","28130"
"In post","2021","Male","HM Revenue and Customs","Declared non-disabled","17310","16670","34250","31810"
"In post","2021","Male","HM Revenue and Customs","Undeclared","1840","1750","34870","31810"
"In post","2021","Male","HM Revenue and Customs","Unknown","9820","9460","29320","25560"
"In post","2021","Male","HM Treasury","Declared disabled","110","110","49600","52500"
"In post","2021","Male","HM Treasury","Declared non-disabled","920","910","49770","52500"
"In post","2021","Male","HM Treasury","Undeclared","210","210","46750","43250"
"In post","2021","Male","HM Treasury","Unknown","130","130","58590","55630"
"In post","2021","Male","Home Office","Declared disabled","1400","1320","31720","27370"
"In post","2021","Male","Home Office","Declared non-disabled","13580","13000","32720","28350"
"In post","2021","Male","Home Office","Undeclared","1000","950","32940","29080"
"In post","2021","Male","Home Office","Unknown","1080","1070","32300","25770"
"In post","2021","Male","Ministry of Defence","Declared disabled","2870","2800","34320","33040"
"In post","2021","Male","Ministry of Defence","Declared non-disabled","22120","21760","35450","33300"
"In post","2021","Male","Ministry of Defence","Undeclared","2810","2750","35380","33300"
"In post","2021","Male","Ministry of Defence","Unknown","7070","6970","35130","33200"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","Declared disabled","160","160","41910","36340"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","Declared non-disabled","1250","1220","47430","47660"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","Undeclared","90","90","45300","43500"
"In post","2021","Male","Ministry of Housing, Communities and Local Government","Unknown","210","200","44480","42870"
"In post","2021","Male","Ministry of Justice","Declared disabled","3470","3300","30710","28860"
"In post","2021","Male","Ministry of Justice","Declared non-disabled","23190","22420","31230","28960"
"In post","2021","Male","Ministry of Justice","Undeclared","5150","4820","32050","31650"
"In post","2021","Male","Ministry of Justice","Unknown","3660","3600","27240","24920"
"In post","2021","Male","National Crime Agency","Declared disabled","100","100","39050","36630"
"In post","2021","Male","National Crime Agency","Declared non-disabled","1010","1000","44990","43510"
"In post","2021","Male","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","National Crime Agency","Unknown","1920","1900","40840","38540"
"In post","2021","Male","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Northern Ireland Office","Unknown","30","30","[c]","[c]"
"In post","2021","Male","Office for Standards in Education","Declared disabled","40","40","[c]","[c]"
"In post","2021","Male","Office for Standards in Education","Declared non-disabled","500","500","52340","51360"
"In post","2021","Male","Office for Standards in Education","Unknown","50","50","[c]","[c]"
"In post","2021","Male","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Gas and Electricity Markets","Declared non-disabled","550","550","45950","39380"
"In post","2021","Male","Office of Gas and Electricity Markets","Unknown","60","60","51220","48040"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","Declared non-disabled","60","60","49450","45440"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Qualifications and Examinations Regulation","Unknown","30","30","[c]","[c]"
"In post","2021","Male","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Office of Rail and Road","Declared non-disabled","170","170","57750","58900"
"In post","2021","Male","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other Cabinet Office Agencies","Declared disabled","30","30","[c]","[c]"
"In post","2021","Male","Other Cabinet Office Agencies","Declared non-disabled","170","170","49670","41700"
"In post","2021","Male","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other Cabinet Office Agencies","Unknown","280","280","37310","34800"
"In post","2021","Male","Scotland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Scottish Government","Declared disabled","830","800","36310","33650"
"In post","2021","Male","Scottish Government","Declared non-disabled","4300","4210","40110","35110"
"In post","2021","Male","Scottish Government","Undeclared","130","130","41220","36780"
"In post","2021","Male","Scottish Government","Unknown","5400","5150","34560","33650"
"In post","2021","Male","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","The National Archives","Declared non-disabled","150","140","36700","34770"
"In post","2021","Male","The National Archives","Unknown","80","80","36520","33820"
"In post","2021","Male","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Export Finance","Declared non-disabled","230","230","57080","51250"
"In post","2021","Male","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","United Kingdom Statistics Authority","Declared disabled","190","170","32070","30130"
"In post","2021","Male","United Kingdom Statistics Authority","Declared non-disabled","1080","980","36270","33020"
"In post","2021","Male","United Kingdom Statistics Authority","Undeclared","50","40","30930","29540"
"In post","2021","Male","United Kingdom Statistics Authority","Unknown","1060","980","32150","29540"
"In post","2021","Male","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","Declared non-disabled","80","80","57460","52060"
"In post","2021","Male","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Water Services Regulation Authority","Unknown","40","40","[c]","[c]"
"In post","2021","Male","Welsh Government","Declared disabled","140","130","39050","37410"
"In post","2021","Male","Welsh Government","Declared non-disabled","1970","1930","43220","37410"
"In post","2021","Male","Welsh Government","Undeclared","90","90","43350","45380"
"In post","2021","Male","Welsh Government","Unknown","160","150","41100","32540"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","Unknown","40","40","[c]","[c]"
"In post","2022","Female","Attorney General's Departments","Declared disabled","700","630","43030","39750"
"In post","2022","Female","Attorney General's Departments","Declared non-disabled","4540","4120","44190","48080"
"In post","2022","Female","Attorney General's Departments","Undeclared","100","90","49960","51810"
"In post","2022","Female","Attorney General's Departments","Unknown","1340","1260","41740","38640"
"In post","2022","Female","Cabinet Office","Declared disabled","510","490","42640","38580"
"In post","2022","Female","Cabinet Office","Declared non-disabled","2790","2690","45640","40600"
"In post","2022","Female","Cabinet Office","Undeclared","160","150","42140","37300"
"In post","2022","Female","Cabinet Office","Unknown","2440","2400","43490","32830"
"In post","2022","Female","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Female","Chancellor's other departments","Declared non-disabled","150","140","53830","46180"
"In post","2022","Female","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Female","Charity Commission","Declared non-disabled","130","130","36410","29160"
"In post","2022","Female","Charity Commission","Unknown","130","120","31630","29160"
"In post","2022","Female","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Female","Competition and Markets Authority","Declared non-disabled","360","340","57740","55860"
"In post","2022","Female","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Competition and Markets Authority","Unknown","40","30","[c]","[c]"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","Declared disabled","740","690","38930","34500"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","Declared non-disabled","4930","4630","40750","38790"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","Undeclared","210","200","42670","40050"
"In post","2022","Female","Department for Business, Energy and Industrial Strategy","Unknown","1150","1080","34810","31000"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","Declared disabled","100","100","46000","38020"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","Declared non-disabled","850","830","46490","47070"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","Undeclared","40","40","[c]","[c]"
"In post","2022","Female","Department for Digital, Culture, Media and Sport","Unknown","110","100","46470","46880"
"In post","2022","Female","Department for Education","Declared disabled","490","460","41540","37100"
"In post","2022","Female","Department for Education","Declared non-disabled","3170","2980","44900","41990"
"In post","2022","Female","Department for Education","Undeclared","190","180","43480","37100"
"In post","2022","Female","Department for Education","Unknown","1330","1290","38320","36500"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","Declared disabled","860","790","34450","30220"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","Declared non-disabled","5420","5030","34340","30220"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","Undeclared","270","260","36940","35900"
"In post","2022","Female","Department for Environment, Food and Rural Affairs","Unknown","670","630","38130","35900"
"In post","2022","Female","Department for International Trade","Declared disabled","130","130","45570","42220"
"In post","2022","Female","Department for International Trade","Declared non-disabled","710","690","46250","42630"
"In post","2022","Female","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Department for International Trade","Unknown","530","520","44060","38540"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","Declared disabled","240","230","40670","36340"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","Declared non-disabled","1490","1410","45040","40720"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","Undeclared","90","90","44950","47660"
"In post","2022","Female","Department for Levelling Up, Housing and Communities","Unknown","300","280","43590","39820"
"In post","2022","Female","Department for Transport","Declared disabled","760","640","28040","21840"
"In post","2022","Female","Department for Transport","Declared non-disabled","5180","4590","31420","26470"
"In post","2022","Female","Department for Transport","Undeclared","430","380","30810","26530"
