"Status","Year","Region_ITL1","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","White","130","130","29060","25680"
"In post","2021","East Midlands (England)","Unknown","Asian","640","560","24910","26930"
"In post","2021","East Midlands (England)","Unknown","Black","170","160","25760","27570"
"In post","2021","East Midlands (England)","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Mixed","100","90","26020","27570"
"In post","2021","East Midlands (England)","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Undeclared","290","260","27020","27570"
"In post","2021","East Midlands (England)","Unknown","Unknown","360","330","27120","27570"
"In post","2021","East Midlands (England)","Unknown","White","4200","3780","26390","27570"
"In post","2021","East of England","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","White","350","330","35040","30660"
"In post","2021","East of England","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Unknown","60","50","53800","52410"
"In post","2021","East of England","Commercial","White","300","290","39160","35900"
"In post","2021","East of England","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","White","80","70","33120","30670"
"In post","2021","East of England","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Unknown","90","90","27020","25560"
"In post","2021","East of England","Counter Fraud","White","320","290","28880","26980"
"In post","2021","East of England","Debt","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","White","100","80","24740","21440"
"In post","2021","East of England","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Undeclared","30","30","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Unknown","90","90","34590","31810"
"In post","2021","East of England","Digital, Data & Technology","White","380","360","36640","33900"
"In post","2021","East of England","Finance","Asian","30","30","[c]","[c]"
"In post","2021","East of England","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Unknown","60","60","28640","25560"
"In post","2021","East of England","Finance","White","340","320","36020","31810"
"In post","2021","East of England","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","White","170","160","35240","31780"
"In post","2021","East of England","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Asian","40","30","[c]","[c]"
"In post","2021","East of England","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Unknown","60","60","39760","34480"
"In post","2021","East of England","Legal","White","430","390","41010","36240"
"In post","2021","East of England","No function","Asian","260","240","32930","27410"
"In post","2021","East of England","No function","Black","170","160","32220","29090"
"In post","2021","East of England","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","No function","Mixed","160","150","29270","27850"
"In post","2021","East of England","No function","Other ethnicity","40","40","[c]","[c]"
"In post","2021","East of England","No function","Undeclared","320","300","32360","30340"
"In post","2021","East of England","No function","Unknown","990","930","27370","25850"
"In post","2021","East of England","No function","White","6610","6150","30410","28200"
"In post","2021","East of England","Project Delivery","Asian","30","30","[c]","[c]"
"In post","2021","East of England","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Undeclared","70","60","39000","35370"
"In post","2021","East of England","Project Delivery","Unknown","70","60","38790","38630"
"In post","2021","East of England","Project Delivery","White","690","660","38160","35000"
"In post","2021","East of England","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","Undeclared","40","30","[c]","[c]"
"In post","2021","East of England","Property","Unknown","70","70","27390","26000"
"In post","2021","East of England","Property","White","420","400","32780","33280"
"In post","2021","East of England","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","Undeclared","30","30","[c]","[c]"
"In post","2021","East of England","Security","Unknown","60","60","30010","26510"
"In post","2021","East of England","Security","White","430","420","33740","31810"
"In post","2021","East of England","Unknown","Asian","690","610","27970","27570"
"In post","2021","East of England","Unknown","Black","330","310","28450","29290"
"In post","2021","East of England","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Mixed","190","170","28840","27570"
"In post","2021","East of England","Unknown","Other ethnicity","60","60","31860","29290"
"In post","2021","East of England","Unknown","Undeclared","480","440","28930","27570"
"In post","2021","East of England","Unknown","Unknown","450","420","26950","27570"
"In post","2021","East of England","Unknown","White","6490","5930","28480","27570"
"In post","2021","London","Analysis","Asian","320","310","45280","41850"
"In post","2021","London","Analysis","Black","130","130","40500","38360"
"In post","2021","London","Analysis","Chinese","50","50","48430","45970"
"In post","2021","London","Analysis","Mixed","130","130","44960","41890"
"In post","2021","London","Analysis","Other ethnicity","30","30","[c]","[c]"
"In post","2021","London","Analysis","Undeclared","110","110","50270","45800"
"In post","2021","London","Analysis","Unknown","530","510","45830","42280"
"In post","2021","London","Analysis","White","2140","2070","50890","47880"
"In post","2021","London","Commercial","Asian","150","150","45060","37640"
"In post","2021","London","Commercial","Black","120","120","42740","38180"
"In post","2021","London","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Mixed","40","40","[c]","[c]"
"In post","2021","London","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","Undeclared","50","50","48660","42130"
"In post","2021","London","Commercial","Unknown","660","640","70470","64500"
"In post","2021","London","Commercial","White","840","820","56090","51730"
"In post","2021","London","Communications","Asian","200","200","37820","33560"
"In post","2021","London","Communications","Black","120","110","37130","34630"
"In post","2021","London","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Mixed","80","80","42320","39280"
"In post","2021","London","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","Undeclared","60","60","46010","42890"
"In post","2021","London","Communications","Unknown","590","580","44580","41160"
"In post","2021","London","Communications","White","1380","1340","46680","42390"
"In post","2021","London","Counter Fraud","Asian","270","260","35580","32520"
"In post","2021","London","Counter Fraud","Black","180","170","32970","30060"
"In post","2021","London","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Mixed","60","60","37950","36160"
"In post","2021","London","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","Undeclared","170","170","39990","36160"
"In post","2021","London","Counter Fraud","Unknown","440","430","38270","36160"
"In post","2021","London","Counter Fraud","White","1160","1120","41440","36160"
"In post","2021","London","Debt","Asian","140","120","27330","25630"
"In post","2021","London","Debt","Black","100","90","27610","25630"
"In post","2021","London","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","London","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Debt","Undeclared","30","30","[c]","[c]"
"In post","2021","London","Debt","Unknown","130","120","26310","24120"
"In post","2021","London","Debt","White","150","130","31220","25630"
"In post","2021","London","Digital, Data & Technology","Asian","430","430","45590","41760"
"In post","2021","London","Digital, Data & Technology","Black","240","230","40990","36800"
"In post","2021","London","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Mixed","110","100","47570","44000"
"In post","2021","London","Digital, Data & Technology","Other ethnicity","40","40","[c]","[c]"
"In post","2021","London","Digital, Data & Technology","Undeclared","130","130","51750","54700"
"In post","2021","London","Digital, Data & Technology","Unknown","630","620","48290","44330"
"In post","2021","London","Digital, Data & Technology","White","1790","1750","51380","52960"
"In post","2021","London","Finance","Asian","400","390","43070","39450"
"In post","2021","London","Finance","Black","250","250","41270","37990"
"In post","2021","London","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Mixed","80","80","44340","41760"
"In post","2021","London","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","Undeclared","100","100","50160","47280"
"In post","2021","London","Finance","Unknown","360","350","45120","40650"
"In post","2021","London","Finance","White","1310","1270","53260","53170"
"In post","2021","London","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","London","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","London","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","London","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Grants Management","White","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Asian","270","260","40640","36160"
"In post","2021","London","Human Resources","Black","220","220","38420","34550"
"In post","2021","London","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Mixed","100","100","43550","37640"
"In post","2021","London","Human Resources","Other ethnicity","30","30","[c]","[c]"
"In post","2021","London","Human Resources","Undeclared","90","80","46430","41190"
"In post","2021","London","Human Resources","Unknown","280","280","41810","36160"
"In post","2021","London","Human Resources","White","1660","1600","49860","46200"
"In post","2021","London","Internal Audit","Asian","50","50","[c]","[c]"
"In post","2021","London","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","White","110","110","58370","55040"
"In post","2021","London","Legal","Asian","640","600","45700","50500"
"In post","2021","London","Legal","Black","470","460","42110","36160"
"In post","2021","London","Legal","Chinese","40","40","[c]","[c]"
"In post","2021","London","Legal","Mixed","210","200","50760","51830"
"In post","2021","London","Legal","Other ethnicity","120","110","54090","55000"
"In post","2021","London","Legal","Undeclared","140","130","51660","54080"
"In post","2021","London","Legal","Unknown","800","760","51860","54810"
"In post","2021","London","Legal","White","2970","2770","55540","55000"
"In post","2021","London","No function","Asian","3990","3810","37970","33740"
"In post","2021","London","No function","Black","3680","3580","33810","32090"
"In post","2021","London","No function","Chinese","220","210","42810","39990"
"In post","2021","London","No function","Mixed","1410","1380","40330","35590"
"In post","2021","London","No function","Other ethnicity","480","460","40540","35310"
"In post","2021","London","No function","Undeclared","1640","1580","43140","38720"
"In post","2021","London","No function","Unknown","7980","7810","39490","33570"
"In post","2021","London","No function","White","23170","22360","45890","40220"
"In post","2021","London","Project Delivery","Asian","510","500","45550","40510"
"In post","2021","London","Project Delivery","Black","340","330","42960","39530"
"In post","2021","London","Project Delivery","Chinese","30","30","[c]","[c]"
"In post","2021","London","Project Delivery","Mixed","170","160","48350","42030"
"In post","2021","London","Project Delivery","Other ethnicity","60","60","51080","46470"
"In post","2021","London","Project Delivery","Undeclared","220","210","51890","53380"
"In post","2021","London","Project Delivery","Unknown","870","850","50280","47780"
"In post","2021","London","Project Delivery","White","2920","2820","55800","55060"
"In post","2021","London","Property","Asian","170","160","36620","31820"
"In post","2021","London","Property","Black","80","80","37720","33740"
"In post","2021","London","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Mixed","30","30","[c]","[c]"
"In post","2021","London","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Property","Undeclared","90","90","45080","38430"
"In post","2021","London","Property","Unknown","220","220","38390","35030"
"In post","2021","London","Property","White","690","670","47590","44590"
"In post","2021","London","Security","Asian","110","110","36280","34410"
"In post","2021","London","Security","Black","70","70","33790","32120"
"In post","2021","London","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","London","Security","Undeclared","70","70","42750","40780"
"In post","2021","London","Security","Unknown","150","150","38580","34650"
"In post","2021","London","Security","White","660","650","43160","39290"
"In post","2021","London","Unknown","Asian","5910","5470","33070","31060"
"In post","2021","London","Unknown","Black","3940","3740","32190","31060"
"In post","2021","London","Unknown","Chinese","150","140","37910","31880"
"In post","2021","London","Unknown","Mixed","950","900","36070","31060"
"In post","2021","London","Unknown","Other ethnicity","390","370","36930","31060"
"In post","2021","London","Unknown","Undeclared","1750","1630","36970","31700"
"In post","2021","London","Unknown","Unknown","1920","1870","39850","32480"
