"Status","Year","Sexual_orientation","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","No function","130","120","37300","33100"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Project Delivery","330","320","43200","43000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Property","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","1090","1070","48040","44470"
"In post","2021","Heterosexual / straight","Economics","Analysis","850","830","47460","42280"
"In post","2021","Heterosexual / straight","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","No function","330","320","47680","50780"
"In post","2021","Heterosexual / straight","Economics","Project Delivery","60","60","55740","55990"
"In post","2021","Heterosexual / straight","Economics","Unknown","120","120","47630","41760"
"In post","2021","Heterosexual / straight","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Commercial","60","50","34310","30850"
"In post","2021","Heterosexual / straight","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Finance","5360","5100","40390","36740"
"In post","2021","Heterosexual / straight","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","No function","270","250","41990","36980"
"In post","2021","Heterosexual / straight","Finance","Project Delivery","310","300","42720","39860"
"In post","2021","Heterosexual / straight","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Unknown","530","510","43560","37430"
"In post","2021","Heterosexual / straight","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Human Resources","5260","4980","38700","33700"
"In post","2021","Heterosexual / straight","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","No function","50","50","40910","36330"
"In post","2021","Heterosexual / straight","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","630","600","41400","37410"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","No function","720","700","66390","74730"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Analysis","140","130","49290","51420"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Counter Fraud","120","120","38640","36160"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","No function","350","340","31350","28080"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Security","140","140","44680","38860"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Unknown","1720","1640","32430","29490"
"In post","2021","Heterosexual / straight","Internal Audit","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Internal Audit","570","550","46170","43450"
"In post","2021","Heterosexual / straight","Internal Audit","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","No function","830","820","47820","44030"
"In post","2021","Heterosexual / straight","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Analysis","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Commercial","510","490","32790","30200"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Digital, Data & Technology","110","100","37610","35510"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","No function","620","580","39040","36330"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Project Delivery","140","140","36790","35790"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Unknown","150","150","38330","37410"
"In post","2021","Heterosexual / straight","Legal","Counter Fraud","1940","1860","31410","29570"
"In post","2021","Heterosexual / straight","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Legal","5660","5260","53840","52330"
"In post","2021","Heterosexual / straight","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Unknown","120","110","56660","60830"
"In post","2021","Heterosexual / straight","Medicine","No function","280","240","96480","96920"
"In post","2021","Heterosexual / straight","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","Unknown","1410","1280","45850","37890"
"In post","2021","Heterosexual / straight","Operational Delivery","Analysis","350","330","32070","30130"
"In post","2021","Heterosexual / straight","Operational Delivery","Commercial","300","290","43830","39000"
"In post","2021","Heterosexual / straight","Operational Delivery","Communications","950","890","30540","28130"
"In post","2021","Heterosexual / straight","Operational Delivery","Counter Fraud","1830","1690","31130","29570"
"In post","2021","Heterosexual / straight","Operational Delivery","Debt","1850","1630","24380","21440"
"In post","2021","Heterosexual / straight","Operational Delivery","Digital, Data & Technology","300","290","36200","31810"
"In post","2021","Heterosexual / straight","Operational Delivery","Finance","460","430","30750","28130"
"In post","2021","Heterosexual / straight","Operational Delivery","Grants Management","790","710","26530","25190"
"In post","2021","Heterosexual / straight","Operational Delivery","Human Resources","630","580","30490","26370"
"In post","2021","Heterosexual / straight","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Legal","2550","2370","28030","25820"
"In post","2021","Heterosexual / straight","Operational Delivery","No function","81800","75630","29130","26520"
"In post","2021","Heterosexual / straight","Operational Delivery","Project Delivery","1100","1030","35500","31810"
"In post","2021","Heterosexual / straight","Operational Delivery","Property","850","790","30460","25500"
"In post","2021","Heterosexual / straight","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Delivery","Unknown","22250","20390","28470","25630"
"In post","2021","Heterosexual / straight","Operational Research","Analysis","460","440","44430","42520"
"In post","2021","Heterosexual / straight","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","No function","240","230","44830","46080"
"In post","2021","Heterosexual / straight","Operational Research","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Unknown","120","120","45920","42130"
"In post","2021","Heterosexual / straight","Other","Analysis","160","150","67140","60780"
"In post","2021","Heterosexual / straight","Other","Commercial","50","50","42550","40840"
"In post","2021","Heterosexual / straight","Other","Communications","190","190","25360","21700"
"In post","2021","Heterosexual / straight","Other","Counter Fraud","190","170","40360","36160"
"In post","2021","Heterosexual / straight","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Finance","130","120","44990","35910"
"In post","2021","Heterosexual / straight","Other","Human Resources","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Legal","240","230","30790","27350"
"In post","2021","Heterosexual / straight","Other","No function","1240","1180","39560","32480"
"In post","2021","Heterosexual / straight","Other","Project Delivery","2620","2510","34060","29700"
"In post","2021","Heterosexual / straight","Other","Property","140","130","35000","32770"
"In post","2021","Heterosexual / straight","Other","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Unknown","10250","9820","27620","22210"
"In post","2021","Heterosexual / straight","Planning","No function","110","110","47780","41850"
"In post","2021","Heterosexual / straight","Planning","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","No function","260","240","57870","58810"
"In post","2021","Heterosexual / straight","Policy","Analysis","240","220","45960","45250"
"In post","2021","Heterosexual / straight","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Finance","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Human Resources","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Legal","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","No function","13750","13390","47350","42520"
"In post","2021","Heterosexual / straight","Policy","Project Delivery","1510","1450","52000","53000"
"In post","2021","Heterosexual / straight","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Unknown","4010","3880","47040","42200"
"In post","2021","Heterosexual / straight","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Commercial","50","50","47630","43950"
"In post","2021","Heterosexual / straight","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Finance","60","60","43790","39940"
"In post","2021","Heterosexual / straight","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","No function","160","150","41540","36800"
"In post","2021","Heterosexual / straight","Project Delivery","Project Delivery","10330","10010","42080","38630"
"In post","2021","Heterosexual / straight","Project Delivery","Property","60","60","50490","50580"
"In post","2021","Heterosexual / straight","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","1150","1120","44890","41950"
"In post","2021","Heterosexual / straight","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Project Delivery","230","230","48730","50400"
"In post","2021","Heterosexual / straight","Property","Property","4480","4300","36030","33300"
"In post","2021","Heterosexual / straight","Property","Unknown","120","120","43440","37410"
"In post","2021","Heterosexual / straight","Psychology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","No function","1030","990","35630","30450"
"In post","2021","Heterosexual / straight","Psychology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Analysis","300","280","35830","31440"
"In post","2021","Heterosexual / straight","Science and Engineering","Commercial","80","80","40190","40010"
"In post","2021","Heterosexual / straight","Science and Engineering","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","No function","4280","4050","39590","37320"
"In post","2021","Heterosexual / straight","Science and Engineering","Project Delivery","2480","2440","37960","37200"
"In post","2021","Heterosexual / straight","Science and Engineering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Unknown","1720","1680","36140","33000"
"In post","2021","Heterosexual / straight","Security","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","No function","130","120","47330","44450"
"In post","2021","Heterosexual / straight","Security","Project Delivery","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Security","5370","5250","30280","26610"
"In post","2021","Heterosexual / straight","Security","Unknown","300","290","30970","28670"
"In post","2021","Heterosexual / straight","Social Research","Analysis","610","590","42120","37520"
"In post","2021","Heterosexual / straight","Social Research","No function","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","Unknown","200","200","46180","47000"
"In post","2021","Heterosexual / straight","Statistics","Analysis","1220","1180","44190","40480"
"In post","2021","Heterosexual / straight","Statistics","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Unknown","130","120","41910","39310"
"In post","2021","Heterosexual / straight","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Tax","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Tax","Communications","1020","980","27910","25560"
"In post","2021","Heterosexual / straight","Tax","Counter Fraud","1180","1110","39800","36160"
"In post","2021","Heterosexual / straight","Tax","Debt","270","260","21100","20140"
"In post","2021","Heterosexual / straight","Tax","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Tax","Human Resources","110","110","36080","31810"
"In post","2021","Heterosexual / straight","Tax","Legal","230","220","39010","35000"
"In post","2021","Heterosexual / straight","Tax","No function","6620","6200","36450","31810"
"In post","2021","Heterosexual / straight","Tax","Project Delivery","80","80","43500","38630"
"In post","2021","Heterosexual / straight","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Analysis","50","50","45930","41850"
"In post","2021","Heterosexual / straight","Unknown","Commercial","310","310","70250","64500"
"In post","2021","Heterosexual / straight","Unknown","Communications","380","380","39240","34550"
"In post","2021","Heterosexual / straight","Unknown","Counter Fraud","140","140","40750","35790"
"In post","2021","Heterosexual / straight","Unknown","Debt","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Digital, Data & Technology","830","810","50360","54700"
"In post","2021","Heterosexual / straight","Unknown","Finance","180","170","47030","40600"
"In post","2021","Heterosexual / straight","Unknown","Human Resources","970","920","40240","35590"
"In post","2021","Heterosexual / straight","Unknown","Legal","110","100","57100","59160"
"In post","2021","Heterosexual / straight","Unknown","No function","3050","2960","39370","33250"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","280","270","58760","54700"
"In post","2021","Heterosexual / straight","Unknown","Property","240","230","38560","35330"
"In post","2021","Heterosexual / straight","Unknown","Security","470","450","34980","33300"
"In post","2021","Heterosexual / straight","Unknown","Unknown","67960","61930","29660","27570"
"In post","2021","Heterosexual / straight","Veterinarian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","No function","270","260","44620","40260"
"In post","2021","Heterosexual / straight","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Commercial","130","120","38090","34490"
"In post","2021","LGBO","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Communications","180","170","42070","40310"
"In post","2021","LGBO","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Digital, Data & Technology","400","390","40460","36800"
"In post","2021","LGBO","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Unknown","60","50","47880","40460"
"In post","2021","LGBO","Economics","Analysis","80","80","43700","35640"
"In post","2021","LGBO","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","No function","30","30","[c]","[c]"
"In post","2021","LGBO","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Finance","200","200","42540","38630"
"In post","2021","LGBO","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Human Resources","310","300","41190","36640"
"In post","2021","LGBO","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","No function","50","50","69920","75500"
"In post","2021","LGBO","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Security","[c]","[c]","[c]","[c]"
