"Status","Year","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Heterosexual / straight","Female","8650","8010","37140","32260"
"Leaver Dept.","2022","Heterosexual / straight","Male","5350","5150","39410","33300"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Female","610","570","35990","32330"
"Leaver Dept.","2022","LGBO","Male","670","630","38510","33250"
"Leaver Dept.","2022","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","1540","910","39290","34290"
"Leaver Dept.","2022","Undeclared","Male","1180","720","41300","35980"
"Leaver Dept.","2022","Unknown","Female","3160","2850","39560","32470"
"Leaver Dept.","2022","Unknown","Male","2500","2330","41330","34550"
"Leaver Dept.","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Female","19270","18540","28820","27570"
"New entrant CS","2021","Heterosexual / straight","Male","14470","14320","30240","27570"
"New entrant CS","2021","Heterosexual / straight","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Female","1790","1750","27840","27570"
"New entrant CS","2021","LGBO","Male","1690","1670","28940","27570"
"New entrant CS","2021","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","1460","1380","30020","27570"
"New entrant CS","2021","Undeclared","Male","1100","1070","32590","27570"
"New entrant CS","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","9170","8840","28870","25560"
"New entrant CS","2021","Unknown","Male","8200","8080","30190","25560"
"New entrant CS","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","22880","21920","29320","26970"
"New entrant CS","2022","Heterosexual / straight","Male","16680","16410","30750","27570"
"New entrant CS","2022","LGBO","Female","2400","2350","28410","26370"
"New entrant CS","2022","LGBO","Male","1840","1810","29890","27500"
"New entrant CS","2022","Undeclared","Female","1900","1670","31170","27570"
"New entrant CS","2022","Undeclared","Male","1460","1310","32540","28970"
"New entrant CS","2022","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","12250","11630","28290","25330"
"New entrant CS","2022","Unknown","Male","10010","9720","29790","26590"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
