"Status","Year","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bromley","Operational Delivery","160","150","24960","22450"
"In post","2021","Bromley","Unknown","280","260","31150","31060"
"In post","2021","Buckinghamshire CC","Commercial","50","50","36230","36800"
"In post","2021","Buckinghamshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Finance","130","130","38670","35300"
"In post","2021","Buckinghamshire CC","Human Resources","50","40","[c]","[c]"
"In post","2021","Buckinghamshire CC","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Operational Delivery","660","630","30190","30400"
"In post","2021","Buckinghamshire CC","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Other","190","180","25310","23040"
"In post","2021","Buckinghamshire CC","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Project Delivery","140","140","39140","35300"
"In post","2021","Buckinghamshire CC","Property","30","30","[c]","[c]"
"In post","2021","Buckinghamshire CC","Psychology","60","50","37710","31180"
"In post","2021","Buckinghamshire CC","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Security","[c]","[c]","[c]","[c]"
