"Status","Year","Organisation","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Unknown","90","80","36320","29380"
"In post","2021","Charity Commission","Charity Commission","White","330","310","34330","29160"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Undeclared","80","70","30230","24500"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","90","90","29430","24500"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","White","870","800","31140","27460"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Asian","110","100","46180","37680"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Black","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Mixed","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Unknown","60","50","78040","78240"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","White","570","550","63720","59520"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Black","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","60","60","25410","22570"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","White","220","200","26700","22710"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Asian","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","130","120","33140","28090"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","White","580","560","38310","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Asian","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Undeclared","50","50","44100","38150"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","White","1870","1740","35460","29040"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Asian","600","550","39420","34220"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Black","370","350","40320","32720"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Mixed","170","160","42960","44440"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Other ethnicity","50","50","44250","44040"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Undeclared","120","120","40920","38470"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Unknown","680","630","39900","32520"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","White","4730","4390","41840","38180"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","White","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","White","70","70","64930","57280"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Black","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","White","390","370","28680","28750"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Asian","330","320","33820","31950"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Black","220","210","32550","32250"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Mixed","140","140","34780","31690"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Other ethnicity","50","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Undeclared","650","630","39160","38250"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","610","590","32080","29810"
"In post","2021","Defence Equipment and Support","Ministry of Defence","White","8710","8400","36710","33830"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Asian","60","60","41920","37530"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Black","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Mixed","60","60","36860","34490"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","440","430","42100","46080"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","280","280","35230","32000"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","White","3500","3360","40710","37840"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Asian","450","440","43970","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Black","270","270","40950","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Chinese","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Mixed","190","190","47240","45150"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Other ethnicity","60","50","49250","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Undeclared","250","240","52470","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","600","580","45270","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","White","3470","3380","50660","53380"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Asian","130","120","46630","42110"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Black","90","90","40910","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Mixed","90","80","45610","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Undeclared","50","50","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","190","190","47600","45080"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","White","1220","1200","50460","51730"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Asian","460","450","40190","36500"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Black","230","220","40140","36780"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Mixed","150","150","42210","40230"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Undeclared","200","190","44490","40940"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","690","660","43110","39020"
"In post","2021","Department for Education (excl. agencies)","Department for Education","White","3900","3750","45400","41990"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Asian","250","240","39120","35260"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Black","180","180","36240","33010"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Mixed","130","130","41200","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Undeclared","180","170","42010","39420"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","860","820","43330","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","White","3770","3630","42850","38750"
"In post","2021","Department for International Trade","Department for International Trade","Asian","210","210","42710","38540"
"In post","2021","Department for International Trade","Department for International Trade","Black","130","130","38750","35560"
"In post","2021","Department for International Trade","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Mixed","100","100","46460","43600"
"In post","2021","Department for International Trade","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Undeclared","70","70","44750","39670"
"In post","2021","Department for International Trade","Department for International Trade","Unknown","780","780","44520","38540"
"In post","2021","Department for International Trade","Department for International Trade","White","1350","1330","47780","48220"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Asian","290","290","44820","42470"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Black","170","170","39460","36160"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Mixed","110","100","41410","35700"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Undeclared","160","150","49280","44480"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Unknown","700","680","43230","39040"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","White","2040","1980","50740","48770"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Asian","7340","6620","27750","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Black","3860","3650","29100","30010"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Chinese","150","130","27220","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Mixed","1610","1500","27980","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Other ethnicity","460","420","29040","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Undeclared","4340","3830","27530","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","5980","5500","27900","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","White","67210","59760","27520","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Asian","170","160","42090","36820"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Black","100","90","36890","32790"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Mixed","60","60","46400","47760"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","1830","1800","45500","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","White","1330","1290","49700","49530"
"In post","2021","Disclosure Scotland","Scottish Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","Unknown","90","80","25670","22230"
"In post","2021","Disclosure Scotland","Scottish Government","White","210","200","29390","24910"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Asian","50","40","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Mixed","40","40","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Undeclared","230","220","28710","25390"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","690","620","25470","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","White","5190","4550","26040","21590"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Asian","110","110","29400","30470"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Black","50","50","31590","30780"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Mixed","50","40","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Undeclared","550","530","29500","27680"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Unknown","790","770","28230","26700"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","White","3220","3000","30010","26780"
"In post","2021","Education and Skills Funding Agency","Department for Education","Asian","200","200","39390","36960"
"In post","2021","Education and Skills Funding Agency","Department for Education","Black","50","50","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Department for Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Department for Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Department for Education","Undeclared","60","60","39600","36780"
"In post","2021","Education and Skills Funding Agency","Department for Education","Unknown","170","170","41550","36870"
"In post","2021","Education and Skills Funding Agency","Department for Education","White","1280","1240","42580","37100"
"In post","2021","Education Scotland","Scottish Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","Unknown","100","100","51310","52480"
"In post","2021","Education Scotland","Scottish Government","White","210","200","58580","66290"
"In post","2021","ESTYN","ESTYN","Asian","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","Black","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","White","110","100","57700","74730"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Asian","60","60","34010","29260"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Undeclared","50","50","43080","41820"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","40","30","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","White","870","840","40790","37870"
"In post","2021","Food Standards Agency","Food Standards Agency","Asian","50","50","38640","32830"
"In post","2021","Food Standards Agency","Food Standards Agency","Black","50","50","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","Unknown","70","60","39540","35630"
"In post","2021","Food Standards Agency","Food Standards Agency","White","1070","1040","37080","32350"
"In post","2021","Food Standards Scotland","Scottish Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","Unknown","90","90","33640","30650"
"In post","2021","Food Standards Scotland","Scottish Government","White","140","140","35940","30650"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Asian","420","410","43910","38230"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Black","230","230","38520","34770"
