"Status","Year","Sexual_orientation","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","LGBO","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Operational Delivery","50","50","39940","38160"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Policy","80","80","47360","47470"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government (excl. agencies)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Tax","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Other","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Policy","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Wilton Park","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Operational Delivery","100","90","33130","31850"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Animal and Plant Health Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Animal and Plant Health Agency","Operational Delivery","210","200","29010","25810"
"In post","2022","Undeclared","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Animal and Plant Health Agency","Science and Engineering","70","70","36470","33510"
"In post","2022","Undeclared","Animal and Plant Health Agency","Veterinarian","60","50","46480","47550"
"In post","2022","Undeclared","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office (excl. agencies)","Unknown","520","510","47990","42260"
"In post","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Operational Delivery","30","30","[c]","[c]"
"In post","2022","Undeclared","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Criminal Injuries Compensation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Criminal Injuries Compensation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Commercial Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Legal","50","40","[c]","[c]"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Operational Delivery","60","50","26480","23230"
"In post","2022","Undeclared","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Legal","100","90","54500","53050"
"In post","2022","Undeclared","Crown Prosecution Service","Operational Delivery","90","90","25210","24590"
"In post","2022","Undeclared","Crown Prosecution Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Operational Delivery","40","40","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Electronics and Components Agency","Science and Engineering","160","150","29460","29470"
"In post","2022","Undeclared","Defence Equipment and Support","Commercial","100","90","43120","38420"
"In post","2022","Undeclared","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Equipment and Support","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2022","Undeclared","Defence Equipment and Support","Finance","40","40","[c]","[c]"
"In post","2022","Undeclared","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Equipment and Support","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Equipment and Support","Other","350","330","32780","30220"
"In post","2022","Undeclared","Defence Equipment and Support","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Equipment and Support","Project Delivery","230","220","43460","41040"
"In post","2022","Undeclared","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Equipment and Support","Science and Engineering","340","330","40690","40980"
"In post","2022","Undeclared","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Defence Science and Technology Laboratory","Science and Engineering","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","50","50","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","420","410","51130","53380"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Policy","90","90","44550","37930"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Digital, Data and Technology","80","80","43330","40230"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Finance","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Operational Delivery","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Policy","210","200","45160","42580"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Property","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","70","70","43530","47550"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","280","270","41130","36930"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","International Trade","70","70","49470","51710"
"In post","2022","Undeclared","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","120","120","47040","39600"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Policy","100","90","50010","49530"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Project Delivery","30","30","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Transport (excl. agencies)","Unknown","60","60","53860","42470"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Commercial","40","30","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Counter Fraud","520","460","27540","27570"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","320","310","43280","38060"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Finance","100","90","36550","31990"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Human Resources","50","50","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Operational Delivery","5430","4780","25930","27570"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Other","600","540","25630","27570"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Policy","70","70","41860","39000"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Project Delivery","130","120","33760","31990"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Security","40","40","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Commercial","130","130","45650","40650"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Communications","150","150","46240","41820"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","60","50","44150","41250"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Finance","190","180","44040","40650"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Human Resources","80","70","33570","28970"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Medicine","30","30","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Operational Delivery","380","360","46880","47090"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Policy","360","350","47030","49530"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
