"Status","Year","Age","Region_ITL2","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Cumbria","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","White","40","40","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","White","60","60","21300","21150"
"In post","2021","16-19","Essex","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","White","100","100","19090","19040"
"In post","2021","16-19","Greater Manchester","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","White","60","60","25910","25170"
"In post","2021","16-19","Kent","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","White","40","40","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","White","40","40","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","West Yorkshire","White","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Asian","80","70","27510","27570"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Black","30","30","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Mixed","50","50","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Unknown","120","120","26710","27570"
"In post","2021","20-29","Bedfordshire and Hertfordshire","White","410","400","28950","29290"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Asian","100","90","26980","27570"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Black","40","40","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Mixed","50","50","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","30","30","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Unknown","310","310","26960","26670"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","White","950","940","27820","27570"
"In post","2021","20-29","Cheshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Unknown","110","110","25090","24440"
