"Status","Year","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Competition and Markets Authority","Black","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","60","50","78040","78240"
"In post","2021","Competition and Markets Authority","White","570","550","63720","59520"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","720","690","39340","35150"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","400","390","38370","34620"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","60","60","41360","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","290","280","43830","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","100","100","43130","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","620","590","44720","41900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","2310","2230","35500","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","8680","8290","42580","39860"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","130","120","46630","42110"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","90","90","40910","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","90","80","45610","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","50","50","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","190","190","47600","45080"
"In post","2021","Department for Digital, Culture, Media and Sport","White","1220","1200","50460","51730"
"In post","2021","Department for Education","Asian","710","690","39700","36780"
"In post","2021","Department for Education","Black","290","290","39880","36780"
"In post","2021","Department for Education","Chinese","40","30","[c]","[c]"
"In post","2021","Department for Education","Mixed","200","190","42190","40300"
"In post","2021","Department for Education","Other ethnicity","60","60","45220","40510"
"In post","2021","Department for Education","Undeclared","290","280","44110","40300"
"In post","2021","Department for Education","Unknown","910","880","42710","38090"
"In post","2021","Department for Education","White","5440","5230","44770","40510"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","350","340","36050","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","200","200","35230","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","190","180","37980","33730"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","60","50","38840","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","450","430","35640","31900"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","1880","1790","34190","29720"
"In post","2021","Department for Environment, Food and Rural Affairs","White","7880","7440","36420","32560"
"In post","2021","Department for International Trade","Asian","210","210","42710","38540"
"In post","2021","Department for International Trade","Black","130","130","38750","35560"
"In post","2021","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","100","100","46460","43600"
"In post","2021","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","70","70","44750","39670"
"In post","2021","Department for International Trade","Unknown","780","780","44520","38540"
"In post","2021","Department for International Trade","White","1350","1330","47780","48220"
"In post","2021","Department for Transport","Asian","520","510","40110","35060"
"In post","2021","Department for Transport","Black","250","240","37040","35060"
"In post","2021","Department for Transport","Chinese","40","30","[c]","[c]"
"In post","2021","Department for Transport","Mixed","210","200","34720","31210"
"In post","2021","Department for Transport","Other ethnicity","60","60","38150","34880"
"In post","2021","Department for Transport","Undeclared","1060","1010","33260","29730"
"In post","2021","Department for Transport","Unknown","2310","2190","32050","26700"
"In post","2021","Department for Transport","White","11540","10570","32550","26780"
"In post","2021","Department for Work and Pensions","Asian","7400","6670","27910","27570"
"In post","2021","Department for Work and Pensions","Black","3890","3680","29220","30130"
"In post","2021","Department for Work and Pensions","Chinese","160","140","28630","27570"
"In post","2021","Department for Work and Pensions","Mixed","1640","1540","28370","27570"
"In post","2021","Department for Work and Pensions","Other ethnicity","480","440","30090","27570"
"In post","2021","Department for Work and Pensions","Undeclared","4530","4010","28290","27570"
"In post","2021","Department for Work and Pensions","Unknown","6290","5790","28640","27570"
"In post","2021","Department for Work and Pensions","White","69140","61570","27940","27570"
"In post","2021","Department of Health and Social Care","Asian","1150","1090","42210","33350"
"In post","2021","Department of Health and Social Care","Black","680","640","39590","33060"
"In post","2021","Department of Health and Social Care","Chinese","90","90","49190","42190"
"In post","2021","Department of Health and Social Care","Mixed","330","310","41210","37800"
"In post","2021","Department of Health and Social Care","Other ethnicity","130","120","51510","43690"
"In post","2021","Department of Health and Social Care","Undeclared","570","520","45980","40850"
"In post","2021","Department of Health and Social Care","Unknown","1990","1940","45720","40650"
"In post","2021","Department of Health and Social Care","White","6810","6330","46090","40650"
"In post","2021","ESTYN","Asian","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Black","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","White","110","100","57700","74730"
"In post","2021","Food Standards Agency","Asian","50","50","38640","32830"
"In post","2021","Food Standards Agency","Black","50","50","[c]","[c]"
"In post","2021","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","70","60","39540","35630"
"In post","2021","Food Standards Agency","White","1070","1040","37080","32350"
"In post","2021","Foreign, Commonwealth and Development Office","Asian","480","460","42700","37270"
"In post","2021","Foreign, Commonwealth and Development Office","Black","260","260","38450","35030"
"In post","2021","Foreign, Commonwealth and Development Office","Chinese","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Mixed","270","270","45460","38860"
"In post","2021","Foreign, Commonwealth and Development Office","Other ethnicity","100","90","43790","37560"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","340","330","47750","42890"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","1200","1180","47220","48440"
"In post","2021","Foreign, Commonwealth and Development Office","White","5950","5810","48400","44230"
"In post","2021","HM Land Registry","Asian","210","190","30840","27130"
"In post","2021","HM Land Registry","Black","60","60","32480","30600"
"In post","2021","HM Land Registry","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Mixed","70","70","28620","27130"
"In post","2021","HM Land Registry","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","250","220","33480","33840"
"In post","2021","HM Land Registry","Unknown","1040","990","28010","22350"
"In post","2021","HM Land Registry","White","4700","4210","31660","27130"
"In post","2021","HM Revenue and Customs","Asian","4390","4100","30950","29570"
"In post","2021","HM Revenue and Customs","Black","1460","1400","32110","30430"
"In post","2021","HM Revenue and Customs","Chinese","180","170","34270","29570"
"In post","2021","HM Revenue and Customs","Mixed","750","710","33830","31810"
"In post","2021","HM Revenue and Customs","Other ethnicity","220","210","34880","31810"
"In post","2021","HM Revenue and Customs","Undeclared","2650","2430","34090","31810"
"In post","2021","HM Revenue and Customs","Unknown","15890","14770","27880","25560"
"In post","2021","HM Revenue and Customs","White","40930","37290","32400","28130"
"In post","2021","HM Treasury","Asian","270","270","44940","39920"
"In post","2021","HM Treasury","Black","100","100","38080","32960"
"In post","2021","HM Treasury","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Mixed","110","110","46630","45390"
"In post","2021","HM Treasury","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","120","120","45400","40890"
"In post","2021","HM Treasury","Unknown","110","110","47190","48680"
"In post","2021","HM Treasury","White","1910","1850","49460","52030"
"In post","2021","Home Office","Asian","4500","4160","31280","28810"
"In post","2021","Home Office","Black","1890","1780","32540","29080"
"In post","2021","Home Office","Chinese","150","140","31790","28980"
"In post","2021","Home Office","Mixed","720","670","33310","28940"
"In post","2021","Home Office","Other ethnicity","210","200","32080","28670"
"In post","2021","Home Office","Undeclared","2130","1970","33070","28990"
"In post","2021","Home Office","Unknown","1720","1680","31880","25770"
"In post","2021","Home Office","White","24070","22290","31930","26620"
"In post","2021","Ministry of Defence","Asian","1340","1300","34330","31950"
"In post","2021","Ministry of Defence","Black","760","740","32750","30750"
"In post","2021","Ministry of Defence","Chinese","80","70","33310","30440"
"In post","2021","Ministry of Defence","Mixed","610","590","34860","33000"
"In post","2021","Ministry of Defence","Other ethnicity","220","210","34390","30420"
"In post","2021","Ministry of Defence","Undeclared","3360","3260","36380","34990"
"In post","2021","Ministry of Defence","Unknown","6070","5940","34700","32700"
"In post","2021","Ministry of Defence","White","45260","43680","33830","31700"
"In post","2021","Ministry of Housing, Communities and Local Government","Asian","230","220","41030","36340"
"In post","2021","Ministry of Housing, Communities and Local Government","Black","150","150","40630","37460"
"In post","2021","Ministry of Housing, Communities and Local Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Mixed","90","90","41950","39600"
"In post","2021","Ministry of Housing, Communities and Local Government","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","110","110","45910","46120"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","310","290","44080","40720"
"In post","2021","Ministry of Housing, Communities and Local Government","White","2460","2350","46260","43740"
"In post","2021","Ministry of Justice","Asian","3950","3660","28550","24440"
"In post","2021","Ministry of Justice","Black","3600","3470","29990","27490"
"In post","2021","Ministry of Justice","Chinese","140","130","30990","26830"
"In post","2021","Ministry of Justice","Mixed","1580","1500","31040","28200"
"In post","2021","Ministry of Justice","Other ethnicity","410","380","30690","28180"
"In post","2021","Ministry of Justice","Undeclared","2110","1990","30160","27380"
"In post","2021","Ministry of Justice","Unknown","9660","9230","27490","24920"
"In post","2021","Ministry of Justice","White","57450","53590","30040","27380"
"In post","2021","National Crime Agency","Asian","240","230","36250","36200"
"In post","2021","National Crime Agency","Black","100","100","36660","36200"
"In post","2021","National Crime Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Mixed","100","100","39450","37850"
"In post","2021","National Crime Agency","Other ethnicity","40","30","[c]","[c]"
"In post","2021","National Crime Agency","Undeclared","190","180","36290","36200"
"In post","2021","National Crime Agency","Unknown","680","650","41350","39820"
"In post","2021","National Crime Agency","White","4130","4040","40360","37560"
"In post","2021","Northern Ireland Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","60","60","40930","36800"
"In post","2021","Northern Ireland Office","White","90","90","45710","38920"
"In post","2021","Office for Standards in Education","Asian","100","100","40850","35010"
"In post","2021","Office for Standards in Education","Black","60","60","44520","44610"
"In post","2021","Office for Standards in Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","Unknown","50","40","[c]","[c]"
"In post","2021","Office for Standards in Education","White","1520","1470","50410","51360"
"In post","2021","Office of Gas and Electricity Markets","Asian","100","100","44120","39050"
"In post","2021","Office of Gas and Electricity Markets","Black","60","60","43040","39550"
"In post","2021","Office of Gas and Electricity Markets","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Mixed","40","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","80","80","46870","38240"
"In post","2021","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","White","850","840","44930","38000"
"In post","2021","Office of Qualifications and Examinations Regulation","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Black","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","White","200","200","47180","42000"
"In post","2021","Office of Rail and Road","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Black","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","30","30","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","White","230","220","56920","56000"
"In post","2021","Other Cabinet Office Agencies","Asian","30","30","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Black","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","50","50","41660","38600"
"In post","2021","Other Cabinet Office Agencies","Unknown","130","120","33140","28090"
"In post","2021","Other Cabinet Office Agencies","White","730","710","41160","35590"
"In post","2021","Scotland Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","50","50","46000","41250"
"In post","2021","Scotland Office","White","60","60","50850","52480"
"In post","2021","Scottish Government","Asian","180","170","36360","33100"
"In post","2021","Scottish Government","Black","60","60","37900","32140"
"In post","2021","Scottish Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Mixed","120","110","40770","35110"
"In post","2021","Scottish Government","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Scottish Government","Undeclared","660","620","37100","33650"
"In post","2021","Scottish Government","Unknown","6580","6180","31920","29350"
"In post","2021","Scottish Government","White","14570","13830","38630","33650"
"In post","2021","The National Archives","Asian","50","40","[c]","[c]"
"In post","2021","The National Archives","Black","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Unknown","130","130","34410","30360"
"In post","2021","The National Archives","White","340","320","36670","34260"
"In post","2021","UK Export Finance","Asian","60","60","49250","42240"
"In post","2021","UK Export Finance","Black","30","30","[c]","[c]"
"In post","2021","UK Export Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","White","260","260","56280","50430"
"In post","2021","UK Supreme Court","Asian","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Black","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","White","40","40","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Asian","130","120","30310","29540"
"In post","2021","United Kingdom Statistics Authority","Black","70","60","30210","29540"
"In post","2021","United Kingdom Statistics Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Mixed","90","80","31420","29540"
"In post","2021","United Kingdom Statistics Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Undeclared","70","60","33860","30310"
"In post","2021","United Kingdom Statistics Authority","Unknown","1090","990","30240","29540"
"In post","2021","United Kingdom Statistics Authority","White","4070","3630","33240","29540"
"In post","2021","Wales Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","White","30","30","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Unknown","40","40","[c]","[c]"
"In post","2021","Water Services Regulation Authority","White","170","160","60570","53120"
"In post","2021","Welsh Government","Asian","50","50","[c]","[c]"
"In post","2021","Welsh Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Mixed","60","60","39540","37410"
"In post","2021","Welsh Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Undeclared","230","220","42700","37410"
"In post","2021","Welsh Government","Unknown","190","180","40350","30600"
"In post","2021","Welsh Government","White","5200","4910","41080","37410"
"In post","2022","Attorney General's Departments","Asian","1050","980","42910","44850"
"In post","2022","Attorney General's Departments","Black","600","580","40470","32490"
"In post","2022","Attorney General's Departments","Mixed","290","270","45910","48830"
"In post","2022","Attorney General's Departments","Other ethnicity","90","90","46020","48830"
"In post","2022","Attorney General's Departments","Undeclared","220","200","47110","50500"
"In post","2022","Attorney General's Departments","Unknown","1080","1000","47910","50500"
"In post","2022","Attorney General's Departments","White","6880","6420","45220","48080"
"In post","2022","Cabinet Office","Asian","570","560","45370","40600"
"In post","2022","Cabinet Office","Black","290","280","42260","37930"
"In post","2022","Cabinet Office","Mixed","240","240","45670","40600"
"In post","2022","Cabinet Office","Other ethnicity","70","70","46510","41010"
"In post","2022","Cabinet Office","Undeclared","270","270","46090","40600"
"In post","2022","Cabinet Office","Unknown","4270","4230","46490","34550"
"In post","2022","Cabinet Office","White","5330","5190","47540","40600"
"In post","2022","Chancellor's other departments","Asian","50","50","47300","45130"
"In post","2022","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","White","280","270","63120","54950"
"In post","2022","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","130","120","33280","29160"
"In post","2022","Charity Commission","White","320","300","33940","29160"
"In post","2022","Competition and Markets Authority","Asian","110","110","49170","42290"
"In post","2022","Competition and Markets Authority","Black","40","40","[c]","[c]"
"In post","2022","Competition and Markets Authority","Mixed","40","40","[c]","[c]"
"In post","2022","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","50","50","[c]","[c]"
"In post","2022","Competition and Markets Authority","White","580","560","64840","59880"
"In post","2022","Department for Business, Energy and Industrial Strategy","Asian","950","920","39770","37160"
"In post","2022","Department for Business, Energy and Industrial Strategy","Black","490","490","38760","34980"
"In post","2022","Department for Business, Energy and Industrial Strategy","Mixed","370","360","42960","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Other ethnicity","120","120","44110","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","610","590","44410","40220"
"In post","2022","Department for Business, Energy and Industrial Strategy","Unknown","1830","1770","36580","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","White","9700","9260","42530","39990"
"In post","2022","Department for Digital, Culture, Media and Sport","Asian","160","160","44080","38060"
"In post","2022","Department for Digital, Culture, Media and Sport","Black","110","110","38300","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Mixed","100","100","45380","38020"
"In post","2022","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Undeclared","50","50","46390","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Unknown","130","130","45970","41970"
"In post","2022","Department for Digital, Culture, Media and Sport","White","1440","1410","48190","51730"
"In post","2022","Department for Education","Asian","860","840","39980","36570"
"In post","2022","Department for Education","Black","320","320","39820","36500"
"In post","2022","Department for Education","Mixed","220","220","42510","40230"
"In post","2022","Department for Education","Other ethnicity","70","70","45000","41240"
"In post","2022","Department for Education","Undeclared","290","280","43720","40300"
"In post","2022","Department for Education","Unknown","870","840","42100","36780"
"In post","2022","Department for Education","White","6070","5830","44490","40300"
"In post","2022","Department for Environment, Food and Rural Affairs","Asian","480","470","36040","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Black","250","250","35190","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Mixed","240","230","36690","32680"
"In post","2022","Department for Environment, Food and Rural Affairs","Other ethnicity","70","70","39000","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","490","470","36030","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","2080","1970","32480","27960"
"In post","2022","Department for Environment, Food and Rural Affairs","White","9180","8700","36480","32560"
"In post","2022","Department for International Trade","Asian","270","270","43990","38540"
"In post","2022","Department for International Trade","Black","140","140","39990","38160"
"In post","2022","Department for International Trade","Mixed","110","100","46670","44030"
"In post","2022","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Undeclared","70","70","53550","52400"
"In post","2022","Department for International Trade","Unknown","780","780","44680","39110"
"In post","2022","Department for International Trade","White","1490","1470","48420","50500"
"In post","2022","Department for Levelling Up, Housing and Communities","Asian","320","310","41290","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Black","200","200","39860","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Mixed","100","100","41370","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Other ethnicity","50","50","42500","37210"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","110","100","44190","40780"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","540","520","44640","40600"
"In post","2022","Department for Levelling Up, Housing and Communities","White","2830","2720","46270","46120"
"In post","2022","Department for Transport","Asian","650","630","38770","34710"
"In post","2022","Department for Transport","Black","270","270","37540","34710"
"In post","2022","Department for Transport","Mixed","250","240","36100","34140"
"In post","2022","Department for Transport","Other ethnicity","70","70","36070","31850"
"In post","2022","Department for Transport","Undeclared","1030","990","34080","30470"
"In post","2022","Department for Transport","Unknown","2390","2270","31500","26700"
