"Status","Year","Function_of_post","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","White","180","170","42220","42220"
"In post","2021","Analysis","Economics","Asian","110","110","44960","42020"
"In post","2021","Analysis","Economics","Black","40","40","[c]","[c]"
"In post","2021","Analysis","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Mixed","50","50","43190","39250"
"In post","2021","Analysis","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Undeclared","50","50","[c]","[c]"
"In post","2021","Analysis","Economics","Unknown","220","220","40250","34880"
"In post","2021","Analysis","Economics","White","790","770","48530","44000"
"In post","2021","Analysis","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","White","30","30","[c]","[c]"
"In post","2021","Analysis","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Unknown","130","120","54280","53360"
"In post","2021","Analysis","Intelligence Analysis","White","130","130","50550","52570"
"In post","2021","Analysis","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","White","30","30","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Unknown","90","80","29620","29540"
"In post","2021","Analysis","Operational Delivery","White","440","410","32590","30130"
"In post","2021","Analysis","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Undeclared","50","50","[c]","[c]"
"In post","2021","Analysis","Operational Research","Unknown","60","60","41460","37320"
"In post","2021","Analysis","Operational Research","White","490","470","44730","46080"
"In post","2021","Analysis","Other","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","White","140","130","72980","67000"
"In post","2021","Analysis","Policy","Asian","30","30","[c]","[c]"
"In post","2021","Analysis","Policy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","Policy","White","250","230","47820","45540"
"In post","2021","Analysis","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Undeclared","30","30","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","White","580","550","35580","30660"
"In post","2021","Analysis","Social Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Unknown","110","110","36370","36090"
"In post","2021","Analysis","Social Research","White","670","630","41930","37520"
"In post","2021","Analysis","Statistics","Asian","120","120","41490","39070"
"In post","2021","Analysis","Statistics","Black","50","50","39420","38630"
"In post","2021","Analysis","Statistics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Mixed","40","40","[c]","[c]"
"In post","2021","Analysis","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Undeclared","40","40","[c]","[c]"
"In post","2021","Analysis","Statistics","Unknown","230","220","38930","36160"
"In post","2021","Analysis","Statistics","White","1270","1220","44200","39850"
"In post","2021","Analysis","Tax","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","White","60","50","46350","41760"
"In post","2021","Commercial","Commercial","Asian","160","150","38560","36500"
"In post","2021","Commercial","Commercial","Black","140","130","38360","36390"
"In post","2021","Commercial","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Mixed","70","60","39420","34800"
"In post","2021","Commercial","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Undeclared","180","170","38820","37320"
"In post","2021","Commercial","Commercial","Unknown","490","480","39500","37600"
"In post","2021","Commercial","Commercial","White","3040","2930","40970","38000"
"In post","2021","Commercial","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","White","50","50","32330","28370"
"In post","2021","Commercial","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Undeclared","60","60","36730","33300"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","White","550","530","33240","30750"
"In post","2021","Commercial","Operational Delivery","Asian","40","40","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","White","300","290","44100","39070"
"In post","2021","Commercial","Other","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","White","50","50","[c]","[c]"
"In post","2021","Commercial","Policy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","White","50","50","47660","43280"
"In post","2021","Commercial","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","White","90","90","40660","40710"
"In post","2021","Commercial","Tax","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Asian","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","1020","1010","70780","64500"
"In post","2021","Commercial","Unknown","White","340","330","69760","61710"
"In post","2021","Commercial","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Asian","150","150","39860","35270"
"In post","2021","Communications","Communications","Black","100","90","37550","34970"
"In post","2021","Communications","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Mixed","100","90","39570","37190"
"In post","2021","Communications","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Undeclared","90","90","40890","37360"
"In post","2021","Communications","Communications","Unknown","650","640","42500","38720"
"In post","2021","Communications","Communications","White","2310","2220","41330","37840"
"In post","2021","Communications","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Asian","110","100","31150","31810"
"In post","2021","Communications","Operational Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Undeclared","50","50","27980","25560"
"In post","2021","Communications","Operational Delivery","Unknown","310","290","27940","25560"
"In post","2021","Communications","Operational Delivery","White","1000","930","30520","28130"
"In post","2021","Communications","Other","Asian","50","40","[c]","[c]"
"In post","2021","Communications","Other","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","White","160","150","26340","22480"
"In post","2021","Communications","Policy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Mixed","[c]","[c]","[c]","[c]"
