"Status","Year","Ethnicity","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","SEO/HEO","Science and Engineering","310","300","36840","37320"
"In post","2021","Asian","SEO/HEO","Security","60","60","40090","38630"
"In post","2021","Asian","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","Statistics","80","80","37470","37340"
"In post","2021","Asian","SEO/HEO","Tax","630","600","35110","36160"
"In post","2021","Asian","SEO/HEO","Unknown","880","860","36370","36360"
"In post","2021","Asian","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Operational Delivery","520","480","29170","28200"
"In post","2021","Asian","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Operational Delivery","2590","2410","24840","23520"
"In post","2021","Black","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Other","150","150","23250","23090"
"In post","2021","Black","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Policy","90","90","24390","24100"
"In post","2021","Black","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Black","AA/AO","Security","70","70","23530","22650"
"In post","2021","Black","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Tax","70","60","20810","20140"
"In post","2021","Black","AA/AO","Unknown","920","840","22710","22640"
"In post","2021","Black","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Commercial","30","30","[c]","[c]"
"In post","2021","Black","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Digital, Data and Technology","70","70","28380","28440"
"In post","2021","Black","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Finance","70","60","28410","28830"
"In post","2021","Black","EO","Human Resources","70","70","28860","28830"
"In post","2021","Black","EO","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Black","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Legal","70","60","29070","29570"
"In post","2021","Black","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Operational Delivery","1460","1380","28660","28760"
"In post","2021","Black","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Other","180","180","27290","27590"
"In post","2021","Black","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Policy","240","230","29040","28990"
"In post","2021","Black","EO","Project Delivery","80","80","27860","28070"
"In post","2021","Black","EO","Property","40","40","[c]","[c]"
"In post","2021","Black","EO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Black","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Tax","130","120","28160","27570"
"In post","2021","Black","EO","Unknown","2800","2670","29800","31060"
"In post","2021","Black","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Digital, Data and Technology","90","90","57670","57460"
"In post","2021","Black","G6/G7","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Finance","70","70","57950","57220"
"In post","2021","Black","G6/G7","Human Resources","50","50","[c]","[c]"
"In post","2021","Black","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Legal","220","210","59350","60110"
"In post","2021","Black","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Operational Delivery","140","130","56910","54160"
"In post","2021","Black","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Policy","230","230","57000","54650"
"In post","2021","Black","G6/G7","Project Delivery","100","100","57570","57460"
"In post","2021","Black","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Black","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Unknown","130","130","58790","56340"
"In post","2021","Black","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Commercial","100","100","38930","38160"
"In post","2021","Black","SEO/HEO","Communications","60","60","38090","37320"
"In post","2021","Black","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Digital, Data and Technology","230","230","38070","36970"
"In post","2021","Black","SEO/HEO","Economics","30","30","[c]","[c]"
"In post","2021","Black","SEO/HEO","Finance","200","200","38510","37710"
"In post","2021","Black","SEO/HEO","Human Resources","150","140","37610","36350"
"In post","2021","Black","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Black","SEO/HEO","Legal","120","110","38200","38630"
"In post","2021","Black","SEO/HEO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Operational Delivery","870","850","37240","35200"
"In post","2021","Black","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Other","160","150","36580","35200"
"In post","2021","Black","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Policy","520","510","37070","36300"
"In post","2021","Black","SEO/HEO","Project Delivery","300","290","37120","36980"
"In post","2021","Black","SEO/HEO","Property","60","50","38780","37220"
"In post","2021","Black","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Science and Engineering","160","150","36940","37640"
"In post","2021","Black","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Statistics","30","30","[c]","[c]"
"In post","2021","Black","SEO/HEO","Tax","220","210","35930","36160"
"In post","2021","Black","SEO/HEO","Unknown","490","490","36810","36650"
"In post","2021","Black","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Operational Delivery","790","760","31040","28200"
"In post","2021","Black","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Operational Delivery","150","140","22200","21430"
"In post","2021","Chinese","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Unknown","70","60","21480","21010"
"In post","2021","Chinese","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Counter Fraud","[c]","[c]","[c]","[c]"
