"Status","Year","Responsibility_level","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","G6/G7","Declared non-disabled","Female","23080","21860","58590","56450"
"In post","2022","G6/G7","Declared non-disabled","Male","24620","24130","59500","57490"
"In post","2022","G6/G7","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Female","1220","1170","58640","56650"
"In post","2022","G6/G7","Undeclared","Male","1750","1720","60260","57710"
"In post","2022","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Female","6670","6370","58810","56060"
"In post","2022","G6/G7","Unknown","Male","6720","6630","59960","57430"
"In post","2022","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Declared disabled","Female","250","240","85970","78460"
"In post","2022","SCS","Declared disabled","Male","240","240","91700","82230"
"In post","2022","SCS","Declared non-disabled","Female","2370","2260","87040","80000"
"In post","2022","SCS","Declared non-disabled","Male","2720","2670","91650","83230"
"In post","2022","SCS","Undeclared","Female","110","100","82090","78290"
"In post","2022","SCS","Undeclared","Male","150","150","89260","82340"
"In post","2022","SCS","Unknown","Female","680","650","94070","84360"
"In post","2022","SCS","Unknown","Male","710","690","99570","93000"
"In post","2022","SEO/HEO","Declared disabled","Female","7420","7000","36520","35310"
"In post","2022","SEO/HEO","Declared disabled","Male","5800","5620","37470","36500"
"In post","2022","SEO/HEO","Declared non-disabled","Female","49070","46410","36820","35980"
"In post","2022","SEO/HEO","Declared non-disabled","Male","45350","44380","37700","36930"
"In post","2022","SEO/HEO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","Female","3320","3150","37090","36150"
"In post","2022","SEO/HEO","Undeclared","Male","4370","4250","38400","37610"
"In post","2022","SEO/HEO","Unknown","Female","13050","12540","36440","35900"
"In post","2022","SEO/HEO","Unknown","Male","13130","12900","37330","36740"
"In post","2022","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","Female","2650","2460","30650","28200"
"In post","2022","Unknown","Declared disabled","Male","870","830","33130","31420"
"In post","2022","Unknown","Declared non-disabled","Female","9420","8710","30560","28200"
"In post","2022","Unknown","Declared non-disabled","Male","3920","3790","34400","31420"
"In post","2022","Unknown","Undeclared","Female","580","530","31460","30200"
"In post","2022","Unknown","Undeclared","Male","340","320","35330","32760"
"In post","2022","Unknown","Unknown","Female","2790","2540","27900","25480"
"In post","2022","Unknown","Unknown","Male","2890","2790","34880","32550"
"Leaver CS","2021","AA/AO","Declared disabled","Female","730","570","20680","21010"
"Leaver CS","2021","AA/AO","Declared disabled","Male","530","480","21740","21010"
"Leaver CS","2021","AA/AO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","Female","3720","3040","21040","21010"
"Leaver CS","2021","AA/AO","Declared non-disabled","Male","2800","2590","21630","21010"
"Leaver CS","2021","AA/AO","Undeclared","Female","380","300","20730","21010"
"Leaver CS","2021","AA/AO","Undeclared","Male","420","370","22850","21010"
"Leaver CS","2021","AA/AO","Unknown","Female","1800","1570","20870","21010"
"Leaver CS","2021","AA/AO","Unknown","Male","1520","1440","21480","21010"
"Leaver CS","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","Female","450","370","27320","27570"
"Leaver CS","2021","EO","Declared disabled","Male","350","310","28110","27570"
"Leaver CS","2021","EO","Declared non-disabled","Female","1960","1600","27120","27570"
"Leaver CS","2021","EO","Declared non-disabled","Male","1540","1390","27550","27570"
"Leaver CS","2021","EO","Undeclared","Female","160","140","27180","27180"
"Leaver CS","2021","EO","Undeclared","Male","180","160","28260","27570"
"Leaver CS","2021","EO","Unknown","Female","770","670","27020","27570"
"Leaver CS","2021","EO","Unknown","Male","750","680","27680","27570"
"Leaver CS","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Declared disabled","Female","90","80","61110","56630"
"Leaver CS","2021","G6/G7","Declared disabled","Male","100","90","62030","58190"
"Leaver CS","2021","G6/G7","Declared non-disabled","Female","670","590","60180","57500"
"Leaver CS","2021","G6/G7","Declared non-disabled","Male","860","770","61290","59650"
"Leaver CS","2021","G6/G7","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Female","60","60","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Male","80","70","59060","56500"
"Leaver CS","2021","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Female","290","250","60580","58030"
"Leaver CS","2021","G6/G7","Unknown","Male","340","300","60070","57400"
"Leaver CS","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Declared non-disabled","Female","110","100","94490","88600"
"Leaver CS","2021","SCS","Declared non-disabled","Male","170","150","103210","96940"
"Leaver CS","2021","SCS","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Female","60","50","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Male","70","60","102090","96270"
"Leaver CS","2021","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared disabled","Female","270","240","36250","35000"
"Leaver CS","2021","SEO/HEO","Declared disabled","Male","270","240","37000","36020"
"Leaver CS","2021","SEO/HEO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Female","1540","1360","36840","36000"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Male","1680","1530","37940","36800"
"Leaver CS","2021","SEO/HEO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Female","170","150","35970","34610"
"Leaver CS","2021","SEO/HEO","Undeclared","Male","230","210","37680","37250"
"Leaver CS","2021","SEO/HEO","Unknown","Female","620","560","36060","35970"
"Leaver CS","2021","SEO/HEO","Unknown","Male","700","640","37150","36650"
"Leaver CS","2021","SEO/HEO","Unknown","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Female","110","100","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Male","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Female","300","260","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Male","160","140","39830","36500"
"Leaver CS","2021","Unknown","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","320","290","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","300","290","35370","32400"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Declared disabled","Female","1010","810","21420","21260"
"Leaver CS","2022","AA/AO","Declared disabled","Male","790","710","21740","21260"
"Leaver CS","2022","AA/AO","Declared non-disabled","Female","5530","4640","21350","21260"
"Leaver CS","2022","AA/AO","Declared non-disabled","Male","4490","4220","22080","21260"
"Leaver CS","2022","AA/AO","Undeclared","Female","440","360","21140","21170"
"Leaver CS","2022","AA/AO","Undeclared","Male","540","470","22740","21260"
"Leaver CS","2022","AA/AO","Unknown","Female","2360","2100","21470","21260"
"Leaver CS","2022","AA/AO","Unknown","Male","2240","2130","22740","21260"
"Leaver CS","2022","EO","Declared disabled","Female","760","620","27650","27570"
"Leaver CS","2022","EO","Declared disabled","Male","520","460","27870","27570"
"Leaver CS","2022","EO","Declared non-disabled","Female","3810","3260","27600","27570"
"Leaver CS","2022","EO","Declared non-disabled","Male","2790","2560","27940","27570"
"Leaver CS","2022","EO","Undeclared","Female","240","200","27510","27570"
"Leaver CS","2022","EO","Undeclared","Male","260","240","27960","27570"
"Leaver CS","2022","EO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Female","1110","970","27510","27570"
"Leaver CS","2022","EO","Unknown","Male","1110","1030","27980","27570"
"Leaver CS","2022","G6/G7","Declared disabled","Female","140","120","58960","56490"
"Leaver CS","2022","G6/G7","Declared disabled","Male","160","140","60230","59110"
"Leaver CS","2022","G6/G7","Declared non-disabled","Female","1270","1140","59110","56340"
"Leaver CS","2022","G6/G7","Declared non-disabled","Male","1420","1310","61090","59590"
"Leaver CS","2022","G6/G7","Undeclared","Female","80","70","60370","57610"
"Leaver CS","2022","G6/G7","Undeclared","Male","110","100","59340","57680"
"Leaver CS","2022","G6/G7","Unknown","Female","530","410","59890","56120"
"Leaver CS","2022","G6/G7","Unknown","Male","610","530","60550","57430"
"Leaver CS","2022","SCS","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Declared non-disabled","Female","220","190","94510","92500"
"Leaver CS","2022","SCS","Declared non-disabled","Male","240","220","97420","93370"
"Leaver CS","2022","SCS","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Female","90","80","106830","96400"
"Leaver CS","2022","SCS","Unknown","Male","110","90","102890","95060"
"Leaver CS","2022","SEO/HEO","Declared disabled","Female","450","390","36960","35740"
"Leaver CS","2022","SEO/HEO","Declared disabled","Male","370","330","38370","37040"
"Leaver CS","2022","SEO/HEO","Declared non-disabled","Female","2660","2380","37030","36460"
"Leaver CS","2022","SEO/HEO","Declared non-disabled","Male","2750","2540","37940","37000"
"Leaver CS","2022","SEO/HEO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Female","200","180","37290","36810"
"Leaver CS","2022","SEO/HEO","Undeclared","Male","270","250","38070","36990"
"Leaver CS","2022","SEO/HEO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","Female","1030","850","36900","36500"
"Leaver CS","2022","SEO/HEO","Unknown","Male","1160","1000","37700","36840"
"Leaver CS","2022","Unknown","Declared disabled","Female","190","170","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Male","70","60","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Female","740","650","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Male","310","290","37130","39000"
"Leaver CS","2022","Unknown","Undeclared","Female","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Male","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Female","520","420","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Male","420","360","36710","33570"
"Leaver Dept.","2021","AA/AO","Declared disabled","Female","80","70","21010","21010"
"Leaver Dept.","2021","AA/AO","Declared disabled","Male","80","80","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Declared non-disabled","Female","750","690","21080","21010"
"Leaver Dept.","2021","AA/AO","Declared non-disabled","Male","510","500","21240","21010"
"Leaver Dept.","2021","AA/AO","Undeclared","Female","50","50","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Male","50","50","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Female","340","320","21000","20880"
"Leaver Dept.","2021","AA/AO","Unknown","Male","270","260","20940","20820"
"Leaver Dept.","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Declared disabled","Female","150","140","26510","27040"
"Leaver Dept.","2021","EO","Declared disabled","Male","90","90","26600","27330"
"Leaver Dept.","2021","EO","Declared non-disabled","Female","920","860","26820","27570"
"Leaver Dept.","2021","EO","Declared non-disabled","Male","630","610","26860","27570"
"Leaver Dept.","2021","EO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Undeclared","Female","70","60","27680","27570"
"Leaver Dept.","2021","EO","Undeclared","Male","60","60","26740","27570"
"Leaver Dept.","2021","EO","Unknown","Female","250","230","27350","27370"
"Leaver Dept.","2021","EO","Unknown","Male","230","210","26730","26880"
"Leaver Dept.","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Declared disabled","Female","90","90","56320","53600"
"Leaver Dept.","2021","G6/G7","Declared disabled","Male","80","70","57720","55860"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Female","710","670","57500","55720"
"Leaver Dept.","2021","G6/G7","Declared non-disabled","Male","620","590","57600","55650"
"Leaver Dept.","2021","G6/G7","Undeclared","Female","60","60","57290","56130"
"Leaver Dept.","2021","G6/G7","Undeclared","Male","60","50","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","Female","340","280","56030","54280"
"Leaver Dept.","2021","G6/G7","Unknown","Male","340","300","56170","54290"
"Leaver Dept.","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Declared non-disabled","Female","140","130","87220","78010"
"Leaver Dept.","2021","SCS","Declared non-disabled","Male","90","80","87610","81450"
"Leaver Dept.","2021","SCS","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Female","50","30","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Male","40","30","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Female","200","190","35220","34150"
"Leaver Dept.","2021","SEO/HEO","Declared disabled","Male","180","170","35280","33770"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Female","1360","1290","35320","34290"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Male","1110","1060","35580","34330"
"Leaver Dept.","2021","SEO/HEO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Female","120","110","37340","36650"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Male","120","110","35620","34700"
"Leaver Dept.","2021","SEO/HEO","Unknown","Female","780","710","34230","32840"
"Leaver Dept.","2021","SEO/HEO","Unknown","Male","680","630","34440","32990"
"Leaver Dept.","2021","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Female","70","60","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Male","60","50","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Declared disabled","Female","160","150","21460","21260"
"Leaver Dept.","2022","AA/AO","Declared disabled","Male","120","120","21190","21260"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Female","1330","1200","21400","21260"
"Leaver Dept.","2022","AA/AO","Declared non-disabled","Male","830","800","21570","21260"
"Leaver Dept.","2022","AA/AO","Undeclared","Female","70","60","21850","21260"
"Leaver Dept.","2022","AA/AO","Undeclared","Male","50","50","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Female","480","440","21620","21260"
"Leaver Dept.","2022","AA/AO","Unknown","Male","300","290","21660","21130"
"Leaver Dept.","2022","EO","Declared disabled","Female","310","290","27320","27570"
"Leaver Dept.","2022","EO","Declared disabled","Male","200","190","27100","27570"
"Leaver Dept.","2022","EO","Declared non-disabled","Female","2180","2070","26930","27570"
"Leaver Dept.","2022","EO","Declared non-disabled","Male","1390","1360","27030","27570"
"Leaver Dept.","2022","EO","Undeclared","Female","120","110","27230","27570"
"Leaver Dept.","2022","EO","Undeclared","Male","90","90","27260","27570"
"Leaver Dept.","2022","EO","Unknown","Female","620","480","27310","27570"
"Leaver Dept.","2022","EO","Unknown","Male","350","290","27410","27570"
"Leaver Dept.","2022","G6/G7","Declared disabled","Female","180","160","56580","54700"
"Leaver Dept.","2022","G6/G7","Declared disabled","Male","110","100","58140","56520"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Female","1560","1450","57730","54700"
"Leaver Dept.","2022","G6/G7","Declared non-disabled","Male","1230","1170","58340","55730"
"Leaver Dept.","2022","G6/G7","Undeclared","Female","60","60","56740","54680"
"Leaver Dept.","2022","G6/G7","Undeclared","Male","70","70","57680","54680"
"Leaver Dept.","2022","G6/G7","Unknown","Female","850","600","57670","54700"
"Leaver Dept.","2022","G6/G7","Unknown","Male","730","510","59070","55930"
"Leaver Dept.","2022","SCS","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Declared non-disabled","Female","270","230","94840","94090"
"Leaver Dept.","2022","SCS","Declared non-disabled","Male","230","200","95190","92500"
"Leaver Dept.","2022","SCS","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Unknown","Female","150","100","107510","107720"
"Leaver Dept.","2022","SCS","Unknown","Male","150","100","107830","102340"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Female","430","400","35370","34640"
"Leaver Dept.","2022","SEO/HEO","Declared disabled","Male","270","260","35520","34600"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Female","3220","3020","35730","35200"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Male","2040","1960","36130","35560"
"Leaver Dept.","2022","SEO/HEO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Female","190","180","36250","36160"
"Leaver Dept.","2022","SEO/HEO","Undeclared","Male","180","180","36760","36500"
"Leaver Dept.","2022","SEO/HEO","Unknown","Female","1540","1180","35450","34550"
"Leaver Dept.","2022","SEO/HEO","Unknown","Male","1190","960","35600","34550"
"Leaver Dept.","2022","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared non-disabled","Female","90","80","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared non-disabled","Male","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Female","100","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Male","70","40","[c]","[c]"
"New entrant CS","2021","AA/AO","Declared disabled","Female","710","680","21180","21010"
"New entrant CS","2021","AA/AO","Declared disabled","Male","580","570","21310","21010"
"New entrant CS","2021","AA/AO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Declared non-disabled","Female","5710","5530","21410","21010"
"New entrant CS","2021","AA/AO","Declared non-disabled","Male","4900","4850","22000","21010"
"New entrant CS","2021","AA/AO","Undeclared","Female","260","250","21360","21010"
"New entrant CS","2021","AA/AO","Undeclared","Male","240","230","21680","21010"
"New entrant CS","2021","AA/AO","Unknown","Female","4350","4190","21160","20800"
"New entrant CS","2021","AA/AO","Unknown","Male","3830","3760","21820","20810"
"New entrant CS","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","Female","1110","1070","27920","27570"
"New entrant CS","2021","EO","Declared disabled","Male","650","640","27740","27570"
"New entrant CS","2021","EO","Declared non-disabled","Female","6630","6430","27890","27570"
"New entrant CS","2021","EO","Declared non-disabled","Male","4480","4450","27750","27570"
"New entrant CS","2021","EO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Female","390","380","27670","27570"
"New entrant CS","2021","EO","Undeclared","Male","260","260","27550","27570"
"New entrant CS","2021","EO","Unknown","Female","2790","2710","27190","27570"
"New entrant CS","2021","EO","Unknown","Male","2360","2340","26910","26410"
"New entrant CS","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Female","80","80","54980","54120"
"New entrant CS","2021","G6/G7","Declared disabled","Male","90","90","55590","54390"
"New entrant CS","2021","G6/G7","Declared non-disabled","Female","810","760","56970","54000"
"New entrant CS","2021","G6/G7","Declared non-disabled","Male","920","910","58350","55440"
"New entrant CS","2021","G6/G7","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Female","80","80","57700","54700"
"New entrant CS","2021","G6/G7","Undeclared","Male","80","80","58530","55530"
"New entrant CS","2021","G6/G7","Unknown","Female","830","790","57090","54000"
"New entrant CS","2021","G6/G7","Unknown","Male","860","850","58220","55000"
