"Status","Year","Region_ITL1","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Vehicle Certification Agency","70","70","36000","34290"
"In post","2021","East Midlands (England)","Lincolnshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Defence Equipment and Support","210","200","35900","34880"
"In post","2021","East Midlands (England)","Lincolnshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Department for Work and Pensions (excl. agencies)","550","480","26440","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","HM Courts and Tribunals Service","100","80","23300","20100"
"In post","2021","East Midlands (England)","Lincolnshire","HM Prison and Probation Service","830","790","28790","26810"
"In post","2021","East Midlands (England)","Lincolnshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Ministry of Defence (excl. agencies)","920","890","26140","21130"
"In post","2021","East Midlands (England)","Lincolnshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Crown Prosecution Service","170","150","42490","40000"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Defence Equipment and Support","60","60","36410","35370"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","1110","1020","28790","29290"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","120","120","29890","30350"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Health and Safety Executive","60","60","43690","45100"
"In post","2021","East of England","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","320","280","23790","21300"
"In post","2021","East of England","Bedfordshire and Hertfordshire","HM Prison and Probation Service","1000","960","29780","29920"
"In post","2021","East of England","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","60","50","30510","29570"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Home Office (incl. agencies)","280","250","28740","26520"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Medicines and Healthcare Products Regulatory Agency","320","310","44060","41010"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","740","730","35930","33630"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","National Crime Agency","120","110","39150","39700"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"In post","2021","East of England","East Anglia","Animal and Plant Health Agency","90","80","31270","29180"
"In post","2021","East of England","East Anglia","Cabinet Office (excl. agencies)","110","110","47220","40250"
"In post","2021","East of England","East Anglia","Centre for Environment, Fisheries and Aquaculture Science","460","440","34620","30220"
"In post","2021","East of England","East Anglia","Crown Commercial Service","170","160","35020","33340"
"In post","2021","East of England","East Anglia","Crown Prosecution Service","120","110","36490","28430"
"In post","2021","East of England","East Anglia","Defence Equipment and Support","160","150","34080","33250"
"In post","2021","East of England","East Anglia","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East of England","East Anglia","Department for Environment, Food and Rural Affairs (excl. agencies)","160","150","38090","36750"
"In post","2021","East of England","East Anglia","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Department for Work and Pensions (excl. agencies)","1840","1610","26920","27570"
"In post","2021","East of England","East Anglia","Driver and Vehicle Standards Agency","180","170","28150","26780"
"In post","2021","East of England","East Anglia","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Food Standards Agency","40","30","[c]","[c]"
"In post","2021","East of England","East Anglia","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","HM Courts and Tribunals Service","500","440","22910","20100"
"In post","2021","East of England","East Anglia","HM Land Registry","280","260","31050","27130"
"In post","2021","East of England","East Anglia","HM Prison and Probation Service","3730","3520","29610","28400"
"In post","2021","East of England","East Anglia","HM Revenue and Customs (excl. agencies)","600","550","29770","28130"
"In post","2021","East of England","East Anglia","HM Treasury (excl. agencies)","70","60","29430","23780"
"In post","2021","East of England","East Anglia","Home Office (incl. agencies)","830","750","24910","21430"
"In post","2021","East of England","East Anglia","Insolvency Service","80","70","28240","23560"
"In post","2021","East of England","East Anglia","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Ministry of Defence (excl. agencies)","2230","2150","29500","26670"
"In post","2021","East of England","East Anglia","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","East of England","East Anglia","Ministry of Justice (excl. agencies)","50","50","41350","42000"
"In post","2021","East of England","East Anglia","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Office for Standards in Education, Children's Services and Skills","100","100","62230","64500"
"In post","2021","East of England","East Anglia","Public Health England","320","290","42820","34700"
"In post","2021","East of England","East Anglia","Rural Payments Agency","50","50","27520","25190"
"In post","2021","East of England","East Anglia","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Valuation Office Agency","90","80","34460","31270"
"In post","2021","East of England","Essex","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","East of England","Essex","Crown Prosecution Service","190","170","41150","35020"
"In post","2021","East of England","Essex","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Department for Work and Pensions (excl. agencies)","1620","1460","29030","29290"
"In post","2021","East of England","Essex","Driver and Vehicle Standards Agency","80","70","28290","26780"
"In post","2021","East of England","Essex","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","East of England","Essex","HM Courts and Tribunals Service","270","230","23890","20650"
"In post","2021","East of England","Essex","HM Prison and Probation Service","630","600","29710","29310"
"In post","2021","East of England","Essex","HM Revenue and Customs (excl. agencies)","1030","930","33360","31810"
"In post","2021","East of England","Essex","Home Office (incl. agencies)","850","770","27190","25310"
"In post","2021","East of England","Essex","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Ministry of Defence (excl. agencies)","600","580","33340","28890"
"In post","2021","East of England","Essex","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Public Health England","80","70","46700","38200"
"In post","2021","East of England","Essex","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Valuation Office Agency","70","70","32490","28990"
"In post","2021","London","Inner London - East","Cabinet Office (excl. agencies)","900","880","52110","54700"
"In post","2021","London","Inner London - East","Competition and Markets Authority","790","760","60810","56630"
"In post","2021","London","Inner London - East","Crown Commercial Service","70","70","50350","49300"
"In post","2021","London","Inner London - East","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - East","Department for Transport (excl. agencies)","90","70","33020","32740"
"In post","2021","London","Inner London - East","Department for Work and Pensions (excl. agencies)","2840","2650","29890","31060"
"In post","2021","London","Inner London - East","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - East","Health and Safety Executive","140","130","48000","45830"
"In post","2021","London","Inner London - East","HM Courts and Tribunals Service","760","720","26140","23500"
"In post","2021","London","Inner London - East","HM Prison and Probation Service","1550","1510","33790","33360"
"In post","2021","London","Inner London - East","HM Revenue and Customs (excl. agencies)","2470","2330","43520","38650"
"In post","2021","London","Inner London - East","Home Office (incl. agencies)","510","490","35090","30070"
"In post","2021","London","Inner London - East","Insolvency Service","250","240","42830","42790"
"In post","2021","London","Inner London - East","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - East","Medicines and Healthcare Products Regulatory Agency","1000","970","49410","41770"
"In post","2021","London","Inner London - East","Ministry of Defence (excl. agencies)","70","70","26310","24350"
"In post","2021","London","Inner London - East","Ministry of Justice (excl. agencies)","1060","1040","44330","40480"
"In post","2021","London","Inner London - East","National Crime Agency","1570","1530","43970","40170"
"In post","2021","London","Inner London - East","Office of Gas and Electricity Markets","670","660","51150","47180"
"In post","2021","London","Inner London - East","Office of Rail and Road","210","200","55460","55430"
"In post","2021","London","Inner London - East","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - East","Public Health England","1860","1690","49590","41640"
"In post","2021","London","Inner London - East","Valuation Office Agency","340","320","43910","38180"
"In post","2021","London","Inner London - West","Advisory, Conciliation and Arbitration Service","200","190","42390","38670"
"In post","2021","London","Inner London - West","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Attorney General's Office","50","50","[c]","[c]"
"In post","2021","London","Inner London - West","Cabinet Office (excl. agencies)","5550","5480","49460","40600"
"In post","2021","London","Inner London - West","Charity Commission","70","70","42950","37910"
"In post","2021","London","Inner London - West","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Crown Prosecution Service","1570","1480","45210","40530"
"In post","2021","London","Inner London - West","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Debt Management Office","110","110","58680","51550"
"In post","2021","London","Inner London - West","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Department for Business, Energy and Industrial Strategy (excl. agencies)","4830","4740","49520","53380"
"In post","2021","London","Inner London - West","Department for Digital, Culture, Media and Sport","1710","1680","49440","51730"
"In post","2021","London","Inner London - West","Department for Education (excl. agencies)","2130","2050","50210","53420"
"In post","2021","London","Inner London - West","Department for Environment, Food and Rural Affairs (excl. agencies)","2480","2410","45270","39830"
"In post","2021","London","Inner London - West","Department for International Trade","2320","2290","45240","38950"
"In post","2021","London","Inner London - West","Department for Transport (excl. agencies)","2980","2930","48780","44030"
"In post","2021","London","Inner London - West","Department for Work and Pensions (excl. agencies)","2690","2580","42590","36650"
"In post","2021","London","Inner London - West","Department of Health and Social Care (excl. agencies)","2440","2390","48400","41890"
"In post","2021","London","Inner London - West","Education and Skills Funding Agency","310","300","50420","53420"
"In post","2021","London","Inner London - West","FCDO Services","170","160","47700","44410"
"In post","2021","London","Inner London - West","Food Standards Agency","470","460","42540","40350"
"In post","2021","London","Inner London - West","Foreign, Commonwealth and Development Office (excl. agencies)","4090","3990","49420","44880"
"In post","2021","London","Inner London - West","Government Actuary's Department","200","190","64910","57250"
"In post","2021","London","Inner London - West","Government Internal Audit Agency","170","160","52570","51280"
"In post","2021","London","Inner London - West","Government Legal Department","2390","2230","54840","52100"
"In post","2021","London","Inner London - West","Government Property Agency","80","80","50750","54180"
"In post","2021","London","Inner London - West","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","HM Courts and Tribunals Service","2470","2370","31460","26410"
"In post","2021","London","Inner London - West","HM Prison and Probation Service","1930","1870","39720","34940"
"In post","2021","London","Inner London - West","HM Revenue and Customs (excl. agencies)","3250","3120","46550","41760"
"In post","2021","London","Inner London - West","HM Treasury (excl. agencies)","1960","1920","47850","52500"
"In post","2021","London","Inner London - West","Home Office (incl. agencies)","4500","4360","47130","41970"
"In post","2021","London","Inner London - West","Institute for Apprenticeships and Technical Education","110","110","53820","53950"
"In post","2021","London","Inner London - West","Legal Aid Agency","170","160","44790","40530"
"In post","2021","London","Inner London - West","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Ministry of Defence (excl. agencies)","2960","2920","44680","42200"
"In post","2021","London","Inner London - West","Ministry of Housing, Communities and Local Government (excl. agencies)","1820","1790","48450","53130"
"In post","2021","London","Inner London - West","Ministry of Justice (excl. agencies)","2370","2310","44360","37990"
"In post","2021","London","Inner London - West","National Infrastructure Commission","40","40","[c]","[c]"
"In post","2021","London","Inner London - West","National Savings and Investments","160","160","52510","47410"
"In post","2021","London","Inner London - West","Northern Ireland Office","80","80","50360","47630"
"In post","2021","London","Inner London - West","Office for Budget Responsibility","40","30","[c]","[c]"
"In post","2021","London","Inner London - West","Office for Standards in Education, Children's Services and Skills","450","440","56860","51360"
"In post","2021","London","Inner London - West","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Queen Elizabeth II Centre","40","40","[c]","[c]"
"In post","2021","London","Inner London - West","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Scotland Office (incl. Office of the Advocate General for Scotland)","40","30","[c]","[c]"
"In post","2021","London","Inner London - West","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Serious Fraud Office","490","480","46240","40700"
"In post","2021","London","Inner London - West","Standards and Testing Agency","40","40","[c]","[c]"
"In post","2021","London","Inner London - West","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","UK Export Finance","400","390","53500","48830"
"In post","2021","London","Inner London - West","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","UK Space Agency","140","130","47220","40220"
"In post","2021","London","Inner London - West","UK Supreme Court","60","50","38600","35150"
"In post","2021","London","Inner London - West","United Kingdom Statistics Authority","390","380","42630","32540"
"In post","2021","London","Inner London - West","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Water Services Regulation Authority","70","70","69430","66360"
"In post","2021","London","Inner London - West","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Department for Work and Pensions (excl. agencies)","1940","1780","30190","31060"
"In post","2021","London","Outer London - East and North East","Driver and Vehicle Standards Agency","130","120","31960","30780"
"In post","2021","London","Outer London - East and North East","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","HM Courts and Tribunals Service","280","250","23970","22450"
"In post","2021","London","Outer London - East and North East","HM Prison and Probation Service","1260","1220","32350","32600"
"In post","2021","London","Outer London - East and North East","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Ministry of Defence (excl. agencies)","120","120","32770","33950"
"In post","2021","London","Outer London - East and North East","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - South","Cabinet Office (excl. agencies)","50","50","43890","32000"
"In post","2021","London","Outer London - South","Crown Prosecution Service","50","40","[c]","[c]"
"In post","2021","London","Outer London - South","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","London","Outer London - South","Department for Work and Pensions (excl. agencies)","840","790","30800","31060"
"In post","2021","London","Outer London - South","Driver and Vehicle Standards Agency","70","60","32180","30780"
"In post","2021","London","Outer London - South","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - South","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - South","Government Legal Department","50","50","[c]","[c]"
"In post","2021","London","Outer London - South","HM Courts and Tribunals Service","480","440","25400","22450"
"In post","2021","London","Outer London - South","HM Land Registry","380","360","41430","37290"
"In post","2021","London","Outer London - South","HM Prison and Probation Service","810","780","37610","32090"
"In post","2021","London","Outer London - South","HM Revenue and Customs (excl. agencies)","2230","2110","39210","36160"
"In post","2021","London","Outer London - South","Home Office (incl. agencies)","5310","5030","38510","35070"
"In post","2021","London","Outer London - South","Insolvency Service","70","60","32350","27650"
"In post","2021","London","Outer London - South","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - South","Ministry of Justice (excl. agencies)","70","70","47700","48890"
"In post","2021","London","Outer London - South","National Crime Agency","80","80","41780","40590"
"In post","2021","London","Outer London - South","Valuation Office Agency","200","180","37150","34810"
"In post","2021","London","Outer London - West and North West","Animal and Plant Health Agency","80","80","33930","31800"
"In post","2021","London","Outer London - West and North West","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Defence Equipment and Support","180","170","24050","21530"
"In post","2021","London","Outer London - West and North West","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","60","43510","40220"
"In post","2021","London","Outer London - West and North West","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Department for Work and Pensions (excl. agencies)","1710","1590","30890","31060"
"In post","2021","London","Outer London - West and North West","Driver and Vehicle Standards Agency","140","130","32500","30780"
"In post","2021","London","Outer London - West and North West","HM Courts and Tribunals Service","460","420","25100","22680"
"In post","2021","London","Outer London - West and North West","HM Prison and Probation Service","920","890","33350","33590"
"In post","2021","London","Outer London - West and North West","HM Revenue and Customs (excl. agencies)","100","90","30420","29570"
"In post","2021","London","Outer London - West and North West","Home Office (incl. agencies)","3010","2710","31930","29080"
"In post","2021","London","Outer London - West and North West","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Ministry of Defence (excl. agencies)","530","510","32890","29250"
"In post","2021","London","Outer London - West and North West","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Public Health England","1120","1050","43220","39350"
"In post","2021","London","Outer London - West and North West","The National Archives","540","520","35580","33330"
"In post","2021","London","Outer London - West and North West","Valuation Office Agency","140","130","37250","34280"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Advisory, Conciliation and Arbitration Service","140","130","29960","30950"
