"Status","Year","Function_of_post","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Economics","90","90","44730","36120"
"In post","2021","Analysis","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Operational Research","60","50","46850","46080"
"In post","2021","Analysis","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Science and Engineering","40","30","[c]","[c]"
"In post","2021","Analysis","Undeclared","Social Research","40","30","[c]","[c]"
"In post","2021","Analysis","Undeclared","Statistics","90","80","42870","41760"
"In post","2021","Analysis","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Economics","300","290","39580","33880"
"In post","2021","Analysis","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Intelligence Analysis","170","170","53890","53360"
"In post","2021","Analysis","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Operational Delivery","160","150","31630","29540"
"In post","2021","Analysis","Unknown","Operational Research","90","90","41580","37320"
"In post","2021","Analysis","Unknown","Other","40","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Policy","70","70","46750","39090"
"In post","2021","Analysis","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Science and Engineering","180","160","38210","36580"
"In post","2021","Analysis","Unknown","Social Research","250","250","35260","32540"
"In post","2021","Analysis","Unknown","Statistics","370","360","39070","36920"
"In post","2021","Analysis","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Commercial","380","360","39070","37940"
"In post","2021","Commercial","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Knowledge and Information Management","100","100","34070","30870"
"In post","2021","Commercial","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Commercial","2600","2510","41210","38200"
"In post","2021","Commercial","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Finance","50","50","34410","31070"
"In post","2021","Commercial","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Knowledge and Information Management","450","430","32500","29200"
"In post","2021","Commercial","Declared non-disabled","Operational Delivery","330","320","44840","39880"
"In post","2021","Commercial","Declared non-disabled","Other","50","40","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Project Delivery","50","50","46850","43640"
"In post","2021","Commercial","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Science and Engineering","80","80","40270","40310"
"In post","2021","Commercial","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Unknown","340","330","73910","64500"
"In post","2021","Commercial","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Commercial","260","260","42470","40000"
"In post","2021","Commercial","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Knowledge and Information Management","70","60","34750","33300"
"In post","2021","Commercial","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Commercial","850","820","38260","35760"
"In post","2021","Commercial","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Knowledge and Information Management","70","70","37960","33300"
"In post","2021","Commercial","Unknown","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","1040","1030","69170","64500"
"In post","2021","Communications","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Communications","230","220","36880","33830"
"In post","2021","Communications","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Operational Delivery","130","110","27140","25560"
"In post","2021","Communications","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Tax","130","120","28490","25560"
"In post","2021","Communications","Declared disabled","Unknown","40","30","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Communications","2130","2050","41490","38180"
"In post","2021","Communications","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Operational Delivery","980","930","30820","28130"
"In post","2021","Communications","Declared non-disabled","Other","170","160","27020","22100"
"In post","2021","Communications","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Tax","990","950","27760","25560"
"In post","2021","Communications","Declared non-disabled","Unknown","410","410","39500","34550"
"In post","2021","Communications","Undeclared","Communications","180","180","42100","38620"
"In post","2021","Communications","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Operational Delivery","60","60","28110","25560"
"In post","2021","Communications","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Tax","70","70","28970","25560"
"In post","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Communications","890","860","41880","38600"
"In post","2021","Communications","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Operational Delivery","360","340","28680","25560"
"In post","2021","Communications","Unknown","Other","40","40","[c]","[c]"
"In post","2021","Communications","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Tax","950","930","26760","25560"
"In post","2021","Communications","Unknown","Unknown","320","320","35990","31810"
"In post","2021","Counter Fraud","Declared disabled","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Legal","230","210","31330","29570"
"In post","2021","Counter Fraud","Declared disabled","Operational Delivery","290","270","29950","28130"
"In post","2021","Counter Fraud","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Other","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Tax","160","140","39830","35000"
"In post","2021","Counter Fraud","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Counter Fraud","430","410","41340","39490"
"In post","2021","Counter Fraud","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Intelligence Analysis","120","120","39760","36160"
"In post","2021","Counter Fraud","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Legal","1980","1900","31460","29570"
"In post","2021","Counter Fraud","Declared non-disabled","Operational Delivery","1790","1650","30920","29570"
"In post","2021","Counter Fraud","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Other","210","190","40390","35000"
"In post","2021","Counter Fraud","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Tax","1220","1150","39870","36160"
"In post","2021","Counter Fraud","Declared non-disabled","Unknown","140","140","40930","36160"
"In post","2021","Counter Fraud","Undeclared","Counter Fraud","60","60","38190","34450"
"In post","2021","Counter Fraud","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Legal","230","220","33410","31810"
"In post","2021","Counter Fraud","Undeclared","Operational Delivery","170","160","30590","28130"
"In post","2021","Counter Fraud","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Tax","130","120","43890","38700"
"In post","2021","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Counter Fraud","130","120","41020","35070"
"In post","2021","Counter Fraud","Unknown","Intelligence Analysis","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Legal","890","860","30690","29570"
"In post","2021","Counter Fraud","Unknown","Operational Delivery","640","590","27960","25560"
"In post","2021","Counter Fraud","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Other","60","50","36120","31810"
"In post","2021","Counter Fraud","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Tax","400","370","35740","31810"
"In post","2021","Counter Fraud","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Debt","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","Operational Delivery","340","290","23180","21440"
"In post","2021","Debt","Declared disabled","Tax","30","30","[c]","[c]"
"In post","2021","Debt","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared non-disabled","Operational Delivery","1980","1740","24550","21440"
"In post","2021","Debt","Declared non-disabled","Tax","290","280","21120","20140"
"In post","2021","Debt","Declared non-disabled","Unknown","40","40","[c]","[c]"
"In post","2021","Debt","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Operational Delivery","190","170","24430","21440"
"In post","2021","Debt","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Operational Delivery","1070","960","22980","20140"
"In post","2021","Debt","Unknown","Tax","660","650","20540","20140"
"In post","2021","Debt","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Digital, Data and Technology","860","820","38380","35000"
"In post","2021","Digital, Data & Technology","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Unknown","110","100","46280","52580"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Digital, Data and Technology","6540","6350","41580","38630"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Knowledge and Information Management","100","100","37110","35230"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Operational Delivery","300","290","35130","31810"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Science and Engineering","510","470","42950","40040"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Security","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Tax","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Unknown","900","880","50650","54700"
"In post","2021","Digital, Data & Technology","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Digital, Data and Technology","580","570","40220","38100"
"In post","2021","Digital, Data & Technology","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Digital, Data and Technology","2870","2820","40410","36840"
"In post","2021","Digital, Data & Technology","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Operational Delivery","110","100","33460","31810"
"In post","2021","Digital, Data & Technology","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","280","280","44750","40570"
"In post","2021","Finance","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Finance","640","600","37540","33440"
"In post","2021","Finance","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Operational Delivery","80","70","30070","27400"
"In post","2021","Finance","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Other","30","30","[c]","[c]"
"In post","2021","Finance","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Corporate Finance","100","100","45950","45740"
"In post","2021","Finance","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Finance","5190","4930","40630","36820"
"In post","2021","Finance","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Operational Delivery","540","500","29150","25560"
"In post","2021","Finance","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Other","100","100","47250","37660"
"In post","2021","Finance","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Project Delivery","60","60","42470","39890"
"In post","2021","Finance","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
