"Status","Year","Ethnicity","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","30-39","30","30","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","40-49","30","30","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","20-29","100","100","34400","29570"
"In post","2021","Asian","Legal","30-39","270","250","44840","48080"
"In post","2021","Asian","Legal","40-49","350","320","49790","51120"
"In post","2021","Asian","Legal","50-59","140","130","54150","55610"
"In post","2021","Asian","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","30-39","50","50","47420","37260"
"In post","2021","Asian","Medicine","40-49","70","60","76870","85000"
"In post","2021","Asian","Medicine","50-59","40","40","[c]","[c]"
"In post","2021","Asian","Medicine","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","20-29","1710","1640","25070","24440"
"In post","2021","Asian","Operational Delivery","30-39","2820","2600","27420","25560"
"In post","2021","Asian","Operational Delivery","40-49","2710","2440","29400","26560"
"In post","2021","Asian","Operational Delivery","50-59","1990","1840","29240","26780"
"In post","2021","Asian","Operational Delivery","60-64","540","460","27770","25630"
"In post","2021","Asian","Operational Delivery","65+","290","220","27600","25630"
"In post","2021","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","20-29","160","160","30850","28420"
"In post","2021","Asian","Other","30-39","210","200","35210","32590"
"In post","2021","Asian","Other","40-49","200","190","35520","31080"
"In post","2021","Asian","Other","50-59","170","170","31240","26350"
"In post","2021","Asian","Other","60-64","70","60","29620","25630"
"In post","2021","Asian","Other","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","20-29","570","560","36750","33960"
"In post","2021","Asian","Policy","30-39","570","550","45510","42170"
"In post","2021","Asian","Policy","40-49","470","450","45990","40940"
"In post","2021","Asian","Policy","50-59","260","260","46400","40620"
"In post","2021","Asian","Policy","60-64","40","40","[c]","[c]"
"In post","2021","Asian","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","20-29","120","120","32860","32780"
"In post","2021","Asian","Project Delivery","30-39","250","240","40300","38610"
"In post","2021","Asian","Project Delivery","40-49","250","240","43390","40540"
"In post","2021","Asian","Project Delivery","50-59","160","160","43820","40580"
"In post","2021","Asian","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","20-29","30","30","[c]","[c]"
"In post","2021","Asian","Property","30-39","60","60","38260","36470"
"In post","2021","Asian","Property","40-49","70","60","37720","33630"
"In post","2021","Asian","Property","50-59","60","60","37160","31050"
"In post","2021","Asian","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","20-29","160","160","30070","28270"
"In post","2021","Asian","Science and Engineering","30-39","160","150","35600","33330"
"In post","2021","Asian","Science and Engineering","40-49","140","130","41680","40070"
"In post","2021","Asian","Science and Engineering","50-59","80","80","40690","40470"
"In post","2021","Asian","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","20-29","30","30","[c]","[c]"
"In post","2021","Asian","Security","30-39","60","60","35800","32690"
"In post","2021","Asian","Security","40-49","70","70","34330","32280"
"In post","2021","Asian","Security","50-59","90","80","26890","22210"
"In post","2021","Asian","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","20-29","60","60","35240","33910"
"In post","2021","Asian","Statistics","30-39","40","40","[c]","[c]"
"In post","2021","Asian","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","20-29","340","330","29540","25560"
"In post","2021","Asian","Tax","30-39","400","390","33280","31810"
"In post","2021","Asian","Tax","40-49","290","270","32810","31810"
"In post","2021","Asian","Tax","50-59","250","240","35100","34580"
"In post","2021","Asian","Tax","60-64","80","60","35440","36160"
"In post","2021","Asian","Tax","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","20-29","1760","1730","28230","27570"
"In post","2021","Asian","Unknown","30-39","2090","1950","29990","27570"
"In post","2021","Asian","Unknown","40-49","2280","2010","29620","27570"
"In post","2021","Asian","Unknown","50-59","1720","1550","29320","27570"
"In post","2021","Asian","Unknown","60-64","400","330","27960","27570"
"In post","2021","Asian","Unknown","65+","190","130","27980","27570"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","30-39","40","40","[c]","[c]"
"In post","2021","Black","Commercial","40-49","50","50","[c]","[c]"
"In post","2021","Black","Commercial","50-59","60","60","40270","39710"
"In post","2021","Black","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","50-59","30","30","[c]","[c]"
"In post","2021","Black","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","20-29","40","40","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","30-39","90","90","39350","36160"
"In post","2021","Black","Digital, Data and Technology","40-49","120","120","41000","38830"
"In post","2021","Black","Digital, Data and Technology","50-59","130","120","42320","39410"
"In post","2021","Black","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","20-29","40","40","[c]","[c]"
"In post","2021","Black","Economics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","20-29","30","30","[c]","[c]"
"In post","2021","Black","Finance","30-39","70","70","40180","36980"
"In post","2021","Black","Finance","40-49","110","100","40070","37920"
"In post","2021","Black","Finance","50-59","130","130","41750","39870"
"In post","2021","Black","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","20-29","40","40","[c]","[c]"
"In post","2021","Black","Human Resources","30-39","70","70","36590","35030"
"In post","2021","Black","Human Resources","40-49","70","70","40530","37280"
"In post","2021","Black","Human Resources","50-59","100","90","39920","35400"
"In post","2021","Black","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","20-29","40","40","[c]","[c]"
"In post","2021","Black","Legal","30-39","100","100","42630","40800"
"In post","2021","Black","Legal","40-49","100","100","52040","51830"
"In post","2021","Black","Legal","50-59","160","150","53810","55610"
"In post","2021","Black","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","20-29","650","640","26840","25630"
"In post","2021","Black","Operational Delivery","30-39","1110","1050","28980","27730"
"In post","2021","Black","Operational Delivery","40-49","1310","1230","29950","28650"
"In post","2021","Black","Operational Delivery","50-59","2140","2050","30080","28200"
"In post","2021","Black","Operational Delivery","60-64","500","450","28830","26630"
"In post","2021","Black","Operational Delivery","65+","140","130","28050","25630"
"In post","2021","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","20-29","70","70","28470","27350"
"In post","2021","Black","Other","30-39","110","110","30600","28000"
"In post","2021","Black","Other","40-49","100","100","34030","30060"
"In post","2021","Black","Other","50-59","170","160","31660","28950"
"In post","2021","Black","Other","60-64","50","50","28600","25630"
"In post","2021","Black","Other","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","20-29","260","260","34860","33570"
"In post","2021","Black","Policy","30-39","210","210","41690","38400"
"In post","2021","Black","Policy","40-49","210","210","42550","40030"
"In post","2021","Black","Policy","50-59","340","330","39670","35200"
"In post","2021","Black","Policy","60-64","60","60","35520","31180"
"In post","2021","Black","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","20-29","50","50","35450","34540"
"In post","2021","Black","Project Delivery","30-39","150","140","38320","36160"
"In post","2021","Black","Project Delivery","40-49","140","140","41050","39270"
"In post","2021","Black","Project Delivery","50-59","130","130","43120","38600"
"In post","2021","Black","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","40-49","30","30","[c]","[c]"
"In post","2021","Black","Property","50-59","50","50","36920","34470"
"In post","2021","Black","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","20-29","60","60","27660","27540"
"In post","2021","Black","Science and Engineering","30-39","80","70","36580","35290"
"In post","2021","Black","Science and Engineering","40-49","70","60","39710","40260"
"In post","2021","Black","Science and Engineering","50-59","60","50","42340","39310"
"In post","2021","Black","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","16-19","[c]","[c]","[c]","[c]"
