"Status","Year","Region_ITL1","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Scotland","Unknown","Declared disabled","550","490","30390","27570"
"In post","2021","Scotland","Unknown","Declared non-disabled","4220","3780","31160","27570"
"In post","2021","Scotland","Unknown","Undeclared","140","120","27600","25560"
"In post","2021","Scotland","Unknown","Unknown","8730","8220","30800","27150"
"In post","2021","South East (England)","Heterosexual / straight","Declared disabled","3440","3170","30380","27570"
"In post","2021","South East (England)","Heterosexual / straight","Declared non-disabled","22400","20950","31670","28630"
"In post","2021","South East (England)","Heterosexual / straight","Undeclared","1360","1260","30840","29200"
"In post","2021","South East (England)","Heterosexual / straight","Unknown","1740","1610","32000","29540"
"In post","2021","South East (England)","LGBO","Declared disabled","360","340","29430","27570"
"In post","2021","South East (England)","LGBO","Declared non-disabled","1100","1060","30390","27850"
"In post","2021","South East (England)","LGBO","Undeclared","110","110","30850","29290"
"In post","2021","South East (England)","LGBO","Unknown","80","80","29610","27710"
"In post","2021","South East (England)","Undeclared","Declared disabled","480","430","30190","27570"
"In post","2021","South East (England)","Undeclared","Declared non-disabled","2170","2000","31850","28650"
"In post","2021","South East (England)","Undeclared","Undeclared","1290","1220","32900","31630"
"In post","2021","South East (England)","Undeclared","Unknown","280","260","34080","31150"
"In post","2021","South East (England)","Unknown","Declared disabled","290","250","29400","27570"
"In post","2021","South East (England)","Unknown","Declared non-disabled","2270","2000","31070","28130"
"In post","2021","South East (England)","Unknown","Undeclared","600","550","33270","31650"
"In post","2021","South East (England)","Unknown","Unknown","3800","3560","31250","27850"
"In post","2021","South West (England)","Heterosexual / straight","Declared disabled","3500","3240","32390","28380"
"In post","2021","South West (England)","Heterosexual / straight","Declared non-disabled","24650","23290","34530","31380"
"In post","2021","South West (England)","Heterosexual / straight","Undeclared","1130","1060","33770","31180"
"In post","2021","South West (England)","Heterosexual / straight","Unknown","1730","1650","35500","33300"
"In post","2021","South West (England)","LGBO","Declared disabled","350","340","30320","27570"
"In post","2021","South West (England)","LGBO","Declared non-disabled","980","950","31470","27570"
"In post","2021","South West (England)","LGBO","Undeclared","80","80","33840","30670"
"In post","2021","South West (England)","LGBO","Unknown","80","80","32360","28660"
"In post","2021","South West (England)","Undeclared","Declared disabled","580","520","33410","30080"
"In post","2021","South West (England)","Undeclared","Declared non-disabled","2290","2120","35090","32430"
"In post","2021","South West (England)","Undeclared","Undeclared","1280","1220","36840","33840"
"In post","2021","South West (England)","Undeclared","Unknown","360","340","39090","36950"
"In post","2021","South West (England)","Unknown","Declared disabled","340","300","30990","27570"
"In post","2021","South West (England)","Unknown","Declared non-disabled","3750","3390","34640","32060"
"In post","2021","South West (England)","Unknown","Undeclared","330","300","33550","31650"
"In post","2021","South West (England)","Unknown","Unknown","3770","3580","33490","28650"
"In post","2021","Unknown","Heterosexual / straight","Declared disabled","140","140","30980","27570"
"In post","2021","Unknown","Heterosexual / straight","Declared non-disabled","780","740","33340","27570"
"In post","2021","Unknown","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Unknown","50","50","42680","42080"
"In post","2021","Unknown","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Unknown","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Declared non-disabled","70","60","31810","27570"
"In post","2021","Unknown","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Declared non-disabled","120","110","31830","27570"
"In post","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2410","2400","37080","32700"
"In post","2021","Wales","Heterosexual / straight","Declared disabled","2540","2280","29070","27290"
"In post","2021","Wales","Heterosexual / straight","Declared non-disabled","19220","17890","32190","27570"
"In post","2021","Wales","Heterosexual / straight","Undeclared","790","730","28920","26780"
"In post","2021","Wales","Heterosexual / straight","Unknown","1200","1130","31320","28560"
"In post","2021","Wales","LGBO","Declared disabled","260","250","30300","27570"
"In post","2021","Wales","LGBO","Declared non-disabled","920","890","30890","27570"
"In post","2021","Wales","LGBO","Undeclared","60","60","28760","25560"
"In post","2021","Wales","LGBO","Unknown","90","90","29140","25560"
"In post","2021","Wales","Undeclared","Declared disabled","540","460","26660","21590"
"In post","2021","Wales","Undeclared","Declared non-disabled","2540","2240","29950","26670"
"In post","2021","Wales","Undeclared","Undeclared","870","800","31410","27570"
"In post","2021","Wales","Undeclared","Unknown","190","180","35230","31640"
"In post","2021","Wales","Unknown","Declared disabled","210","170","26920","26420"
"In post","2021","Wales","Unknown","Declared non-disabled","2300","1990","29490","27570"
"In post","2021","Wales","Unknown","Undeclared","210","180","29330","27570"
"In post","2021","Wales","Unknown","Unknown","4150","3910","27850","24120"
"In post","2021","West Midlands (England)","Heterosexual / straight","Declared disabled","2700","2470","29090","27570"
"In post","2021","West Midlands (England)","Heterosexual / straight","Declared non-disabled","15810","14760","30580","27570"
"In post","2021","West Midlands (England)","Heterosexual / straight","Undeclared","910","850","29480","27570"
"In post","2021","West Midlands (England)","Heterosexual / straight","Unknown","940","900","33440","30020"
"In post","2021","West Midlands (England)","LGBO","Declared disabled","270","250","27900","27570"
"In post","2021","West Midlands (England)","LGBO","Declared non-disabled","650","630","30030","27520"
"In post","2021","West Midlands (England)","LGBO","Undeclared","50","50","31360","27570"
"In post","2021","West Midlands (England)","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","West Midlands (England)","Undeclared","Declared disabled","350","320","28660","27570"
"In post","2021","West Midlands (England)","Undeclared","Declared non-disabled","1380","1250","29730","27570"
"In post","2021","West Midlands (England)","Undeclared","Undeclared","660","620","31170","27570"
"In post","2021","West Midlands (England)","Undeclared","Unknown","110","100","34440","32240"
"In post","2021","West Midlands (England)","Unknown","Declared disabled","280","240","28370","27570"
"In post","2021","West Midlands (England)","Unknown","Declared non-disabled","2980","2610","29170","27570"
"In post","2021","West Midlands (England)","Unknown","Undeclared","330","290","29800","27570"
"In post","2021","West Midlands (England)","Unknown","Unknown","3040","2900","29740","25560"
"In post","2021","Yorkshire and The Humber","Heterosexual / straight","Declared disabled","3020","2720","30170","27570"
"In post","2021","Yorkshire and The Humber","Heterosexual / straight","Declared non-disabled","19340","17900","31670","27570"
"In post","2021","Yorkshire and The Humber","Heterosexual / straight","Undeclared","1030","960","30870","29120"
"In post","2021","Yorkshire and The Humber","Heterosexual / straight","Unknown","960","910","34140","30820"
"In post","2021","Yorkshire and The Humber","LGBO","Declared disabled","320","300","30530","27570"
"In post","2021","Yorkshire and The Humber","LGBO","Declared non-disabled","970","940","31070","27570"
"In post","2021","Yorkshire and The Humber","LGBO","Undeclared","90","90","30580","27570"
"In post","2021","Yorkshire and The Humber","LGBO","Unknown","70","70","30540","28970"
"In post","2021","Yorkshire and The Humber","Undeclared","Declared disabled","390","340","29600","27570"
"In post","2021","Yorkshire and The Humber","Undeclared","Declared non-disabled","1740","1570","30560","27570"
"In post","2021","Yorkshire and The Humber","Undeclared","Undeclared","790","740","32220","30820"
"In post","2021","Yorkshire and The Humber","Undeclared","Unknown","140","130","32110","28840"
"In post","2021","Yorkshire and The Humber","Unknown","Declared disabled","260","220","28720","27570"
"In post","2021","Yorkshire and The Humber","Unknown","Declared non-disabled","2940","2560","31170","27570"
"In post","2021","Yorkshire and The Humber","Unknown","Undeclared","370","330","30670","31650"
"In post","2021","Yorkshire and The Humber","Unknown","Unknown","4180","4020","29820","25560"
"In post","2022","East Midlands (England)","Heterosexual / straight","Declared disabled","2220","2030","29210","27570"
"In post","2022","East Midlands (England)","Heterosexual / straight","Declared non-disabled","12170","11360","31180","27570"
"In post","2022","East Midlands (England)","Heterosexual / straight","Undeclared","700","650","29780","27570"
"In post","2022","East Midlands (England)","Heterosexual / straight","Unknown","610","580","33820","30270"
"In post","2022","East Midlands (England)","LGBO","Declared disabled","250","230","29630","27570"
"In post","2022","East Midlands (England)","LGBO","Declared non-disabled","600","580","30410","27470"
"In post","2022","East Midlands (England)","LGBO","Undeclared","60","60","28680","27570"
"In post","2022","East Midlands (England)","LGBO","Unknown","40","40","[c]","[c]"
"In post","2022","East Midlands (England)","Undeclared","Declared disabled","320","290","29290","27570"
"In post","2022","East Midlands (England)","Undeclared","Declared non-disabled","1050","960","30910","27570"
"In post","2022","East Midlands (England)","Undeclared","Undeclared","540","510","32650","30650"
"In post","2022","East Midlands (England)","Undeclared","Unknown","90","90","35280","33040"
"In post","2022","East Midlands (England)","Unknown","Declared disabled","170","150","27540","27130"
"In post","2022","East Midlands (England)","Unknown","Declared non-disabled","1450","1260","29320","27570"
"In post","2022","East Midlands (England)","Unknown","Undeclared","210","190","29360","29870"
"In post","2022","East Midlands (England)","Unknown","Unknown","2510","2390","28570","26590"
"In post","2022","East of England","Heterosexual / straight","Declared disabled","2090","1910","30600","28010"
"In post","2022","East of England","Heterosexual / straight","Declared non-disabled","12470","11680","31380","28700"
"In post","2022","East of England","Heterosexual / straight","Undeclared","710","670","31250","29290"
"In post","2022","East of England","Heterosexual / straight","Unknown","790","760","34650","32640"
"In post","2022","East of England","LGBO","Declared disabled","190","180","28940","27570"
"In post","2022","East of England","LGBO","Declared non-disabled","540","530","30370","27570"
"In post","2022","East of England","LGBO","Undeclared","50","50","29780","28200"
"In post","2022","East of England","LGBO","Unknown","40","40","[c]","[c]"
"In post","2022","East of England","Undeclared","Declared disabled","270","250","30190","28200"
"In post","2022","East of England","Undeclared","Declared non-disabled","1150","1050","30850","27570"
"In post","2022","East of England","Undeclared","Undeclared","590","550","32350","31150"
"In post","2022","East of England","Undeclared","Unknown","140","140","40030","36630"
"In post","2022","East of England","Unknown","Declared disabled","160","140","28840","27570"
"In post","2022","East of England","Unknown","Declared non-disabled","1370","1200","30880","28100"
"In post","2022","East of England","Unknown","Undeclared","230","200","31470","31650"
"In post","2022","East of England","Unknown","Unknown","2150","2020","30980","26820"
"In post","2022","London","Heterosexual / straight","Declared disabled","7230","6880","41330","35900"
"In post","2022","London","Heterosexual / straight","Declared non-disabled","54310","52290","44510","39420"
"In post","2022","London","Heterosexual / straight","Undeclared","2370","2290","42110","36900"
"In post","2022","London","Heterosexual / straight","Unknown","4810","4690","44670","40230"
"In post","2022","London","LGBO","Declared disabled","1150","1130","43080","37930"
"In post","2022","London","LGBO","Declared non-disabled","3740","3680","46250","41750"
"In post","2022","London","LGBO","Undeclared","260","260","43050","38590"
"In post","2022","London","LGBO","Unknown","450","440","44140","40650"
"In post","2022","London","Undeclared","Declared disabled","1020","960","40530","35070"
"In post","2022","London","Undeclared","Declared non-disabled","4970","4720","43310","37930"
"In post","2022","London","Undeclared","Undeclared","2170","2100","44770","40220"
"In post","2022","London","Undeclared","Unknown","1580","1540","47460","41750"
"In post","2022","London","Unknown","Declared disabled","540","490","38230","31880"
"In post","2022","London","Unknown","Declared non-disabled","4340","4000","41120","34260"
"In post","2022","London","Unknown","Undeclared","550","510","37850","34780"
"In post","2022","London","Unknown","Unknown","15340","14970","43410","37890"
"In post","2022","North East (England)","Heterosexual / straight","Declared disabled","2980","2650","28430","27130"
"In post","2022","North East (England)","Heterosexual / straight","Declared non-disabled","17360","15890","30590","27570"
"In post","2022","North East (England)","Heterosexual / straight","Undeclared","840","770","29970","27570"
"In post","2022","North East (England)","Heterosexual / straight","Unknown","920","840","31020","26820"
"In post","2022","North East (England)","LGBO","Declared disabled","260","240","28420","27140"
"In post","2022","North East (England)","LGBO","Declared non-disabled","910","880","30180","27570"
"In post","2022","North East (England)","LGBO","Undeclared","80","70","28270","27570"
"In post","2022","North East (England)","LGBO","Unknown","60","50","31470","26820"
"In post","2022","North East (England)","Undeclared","Declared disabled","310","270","28490","26820"
"In post","2022","North East (England)","Undeclared","Declared non-disabled","1200","1070","29500","26820"
"In post","2022","North East (England)","Undeclared","Undeclared","610","560","31970","27740"
"In post","2022","North East (England)","Undeclared","Unknown","130","120","33510","26820"
"In post","2022","North East (England)","Unknown","Declared disabled","280","230","25930","22080"
"In post","2022","North East (England)","Unknown","Declared non-disabled","2550","2160","27630","22600"
"In post","2022","North East (England)","Unknown","Undeclared","290","250","29760","31650"
"In post","2022","North East (England)","Unknown","Unknown","4330","3990","28050","24880"
"In post","2022","North West (England)","Heterosexual / straight","Declared disabled","5750","5200","29550","27570"
"In post","2022","North West (England)","Heterosexual / straight","Declared non-disabled","33330","31110","31130","27570"
"In post","2022","North West (England)","Heterosexual / straight","Undeclared","1580","1460","29730","27570"
"In post","2022","North West (England)","Heterosexual / straight","Unknown","2300","2210","33790","30820"
"In post","2022","North West (England)","LGBO","Declared disabled","630","600","29520","27570"
"In post","2022","North West (England)","LGBO","Declared non-disabled","1870","1820","30660","27570"
"In post","2022","North West (England)","LGBO","Undeclared","170","170","29850","27570"
"In post","2022","North West (England)","LGBO","Unknown","170","170","31660","29360"
"In post","2022","North West (England)","Undeclared","Declared disabled","740","660","28700","27570"
"In post","2022","North West (England)","Undeclared","Declared non-disabled","2590","2370","30070","27570"
"In post","2022","North West (England)","Undeclared","Undeclared","1200","1110","32540","29440"
"In post","2022","North West (England)","Undeclared","Unknown","250","230","35060","32160"
"In post","2022","North West (England)","Unknown","Declared disabled","570","490","27500","26750"
"In post","2022","North West (England)","Unknown","Declared non-disabled","4950","4320","28100","27130"
"In post","2022","North West (England)","Unknown","Undeclared","550","490","29730","31650"
"In post","2022","North West (England)","Unknown","Unknown","7670","7290","29430","26590"
"In post","2022","Northern Ireland","Heterosexual / straight","Declared disabled","270","250","29470","26820"
"In post","2022","Northern Ireland","Heterosexual / straight","Declared non-disabled","2260","2150","30300","26820"
"In post","2022","Northern Ireland","Heterosexual / straight","Undeclared","130","120","29830","26820"
"In post","2022","Northern Ireland","Heterosexual / straight","Unknown","250","240","31230","27420"
"In post","2022","Northern Ireland","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Declared non-disabled","90","90","28890","26590"
"In post","2022","Northern Ireland","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","Declared non-disabled","110","100","29160","26220"
"In post","2022","Northern Ireland","Undeclared","Undeclared","70","70","30820","27420"
"In post","2022","Northern Ireland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Declared non-disabled","110","100","29980","26820"
"In post","2022","Northern Ireland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","Unknown","860","820","27560","24880"
"In post","2022","Overseas","Heterosexual / straight","Declared disabled","170","170","48220","44140"
"In post","2022","Overseas","Heterosexual / straight","Declared non-disabled","1970","1960","49070","46600"
"In post","2022","Overseas","Heterosexual / straight","Undeclared","50","50","46790","41500"
"In post","2022","Overseas","Heterosexual / straight","Unknown","300","300","55140","53740"
"In post","2022","Overseas","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Declared non-disabled","130","130","52510","52760"
"In post","2022","Overseas","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Undeclared","Declared non-disabled","190","190","46310","41240"
"In post","2022","Overseas","Undeclared","Undeclared","90","90","46850","41960"
"In post","2022","Overseas","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2022","Overseas","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Declared non-disabled","70","70","50200","52400"
"In post","2022","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","Unknown","570","570","50400","51450"
"In post","2022","Scotland","Heterosexual / straight","Declared disabled","3390","3090","31520","27570"
"In post","2022","Scotland","Heterosexual / straight","Declared non-disabled","22840","21460","34030","27940"
"In post","2022","Scotland","Heterosexual / straight","Undeclared","740","690","31450","27570"
"In post","2022","Scotland","Heterosexual / straight","Unknown","3860","3640","38180","35000"
"In post","2022","Scotland","LGBO","Declared disabled","520","500","31650","27570"
"In post","2022","Scotland","LGBO","Declared non-disabled","1300","1270","33170","27570"
"In post","2022","Scotland","LGBO","Undeclared","80","80","32030","27570"
"In post","2022","Scotland","LGBO","Unknown","230","220","35560","32990"
"In post","2022","Scotland","Undeclared","Declared disabled","390","350","30760","27570"
"In post","2022","Scotland","Undeclared","Declared non-disabled","1710","1580","32780","27570"
"In post","2022","Scotland","Undeclared","Undeclared","600","560","33470","27570"
"In post","2022","Scotland","Undeclared","Unknown","290","260","38240","35000"
"In post","2022","Scotland","Unknown","Declared disabled","540","480","31400","27570"
"In post","2022","Scotland","Unknown","Declared non-disabled","3600","3230","32120","27570"
"In post","2022","Scotland","Unknown","Undeclared","120","100","27470","25630"
"In post","2022","Scotland","Unknown","Unknown","10810","10180","31750","27570"
"In post","2022","South East (England)","Heterosexual / straight","Declared disabled","3550","3260","30840","27570"
"In post","2022","South East (England)","Heterosexual / straight","Declared non-disabled","22380","20930","32180","28920"
"In post","2022","South East (England)","Heterosexual / straight","Undeclared","1390","1290","31270","29290"
"In post","2022","South East (England)","Heterosexual / straight","Unknown","1840","1700","33240","30210"
"In post","2022","South East (England)","LGBO","Declared disabled","400","380","29880","28570"
"In post","2022","South East (England)","LGBO","Declared non-disabled","1150","1120","31470","28200"
"In post","2022","South East (England)","LGBO","Undeclared","110","110","30730","28920"
