"Status","Year","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Scotland","Mixed","260","250","34960","29120"
"In post","2021","Scotland","Other ethnicity","100","90","34670","27570"
"In post","2021","Scotland","Undeclared","1640","1510","32650","28630"
"In post","2021","Scotland","Unknown","10140","9490","30040","26160"
"In post","2021","Scotland","White","34670","32140","32730","27570"
"In post","2021","South East (England)","Asian","1380","1270","30230","27780"
"In post","2021","South East (England)","Black","850","810","30420","29290"
"In post","2021","South East (England)","Chinese","100","90","31400","28970"
"In post","2021","South East (England)","Mixed","670","640","31410","29070"
"In post","2021","South East (England)","Other ethnicity","220","200","30260","27570"
"In post","2021","South East (England)","Undeclared","2270","2110","33030","30110"
"In post","2021","South East (England)","Unknown","4230","3950","30220","27570"
"In post","2021","South East (England)","White","32060","29790","31620","28650"
"In post","2021","South West (England)","Asian","780","740","34300","31310"
"In post","2021","South West (England)","Black","540","510","32500","30710"
"In post","2021","South West (England)","Chinese","50","50","30920","28250"
"In post","2021","South West (England)","Mixed","610","580","33110","29200"
"In post","2021","South West (England)","Other ethnicity","180","170","33540","29600"
"In post","2021","South West (England)","Undeclared","2460","2330","36610","33860"
"In post","2021","South West (England)","Unknown","4180","3950","31940","27570"
"In post","2021","South West (England)","White","36390","34140","34450","31580"
"In post","2021","Unknown","Asian","170","150","29630","27570"
"In post","2021","Unknown","Black","60","60","30280","29870"
"In post","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","60","50","34660","30330"
"In post","2021","Unknown","Unknown","2440","2430","37020","32700"
"In post","2021","Unknown","White","970","920","33710","27570"
"In post","2021","Wales","Asian","430","400","30150","25560"
"In post","2021","Wales","Black","190","180","28720","26300"
"In post","2021","Wales","Chinese","70","60","31560","29540"
"In post","2021","Wales","Mixed","380","360","30770","27570"
"In post","2021","Wales","Other ethnicity","100","90","31920","27570"
"In post","2021","Wales","Undeclared","1250","1160","32020","27570"
"In post","2021","Wales","Unknown","4470","4200","28330","24880"
"In post","2021","Wales","White","29200","26800","31200","27570"
"In post","2021","West Midlands (England)","Asian","4070","3790","27830","26120"
"In post","2021","West Midlands (England)","Black","1200","1130","28220","26990"
"In post","2021","West Midlands (England)","Chinese","40","40","[c]","[c]"
"In post","2021","West Midlands (England)","Mixed","530","500","28860","27130"
"In post","2021","West Midlands (England)","Other ethnicity","150","140","30110","27570"
"In post","2021","West Midlands (England)","Undeclared","1260","1150","30270","27570"
"In post","2021","West Midlands (England)","Unknown","3610","3410","28700","25560"
"In post","2021","West Midlands (England)","White","19630","18120","31110","27570"
"In post","2021","Yorkshire and The Humber","Asian","2310","2130","28050","25860"
"In post","2021","Yorkshire and The Humber","Black","520","500","29250","27570"
"In post","2021","Yorkshire and The Humber","Chinese","50","50","28840","25040"
"In post","2021","Yorkshire and The Humber","Mixed","510","470","31300","27570"
"In post","2021","Yorkshire and The Humber","Other ethnicity","120","110","32940","27570"
"In post","2021","Yorkshire and The Humber","Undeclared","1400","1300","31150","27570"
"In post","2021","Yorkshire and The Humber","Unknown","4850","4620","29920","25560"
"In post","2021","Yorkshire and The Humber","White","26850","24640","31750","27570"
"In post","2022","East Midlands (England)","Asian","1940","1770","28390","26820"
"In post","2022","East Midlands (England)","Black","610","570","28370","26820"
"In post","2022","East Midlands (England)","Mixed","420","390","29960","26950"
"In post","2022","East Midlands (England)","Other ethnicity","80","70","31410","27570"
"In post","2022","East Midlands (England)","Undeclared","940","870","31560","27570"
"In post","2022","East Midlands (England)","Unknown","2860","2690","28700","26590"
"In post","2022","East Midlands (England)","White","16150","14990","31150","27570"
"In post","2022","East of England","Asian","1180","1080","31410","27570"
"In post","2022","East of England","Black","640","610","30990","29290"
"In post","2022","East of England","Mixed","440","420","31510","29260"
"In post","2022","East of England","Other ethnicity","120","110","33040","29290"
"In post","2022","East of England","Undeclared","1060","990","31990","29480"
"In post","2022","East of England","Unknown","2300","2160","29780","26670"
"In post","2022","East of England","White","17190","15990","31480","28920"
"In post","2022","London","Asian","14800","14040","38230","33550"
"In post","2022","London","Black","10500","10140","35320","31650"
"In post","2022","London","Mixed","3600","3480","41700","36910"
"In post","2022","London","Other ethnicity","1310","1250","40770","35140"
"In post","2022","London","Undeclared","4430","4220","42570","37660"
"In post","2022","London","Unknown","16780","16380","43190","37610"
"In post","2022","London","White","53420","51440","47660","42470"
"In post","2022","North East (England)","Asian","590","550","29740","26820"
"In post","2022","North East (England)","Black","170","160","28820","26820"
"In post","2022","North East (England)","Mixed","260","250","29730","27570"
"In post","2022","North East (England)","Other ethnicity","60","50","31010","26290"
"In post","2022","North East (England)","Undeclared","1060","970","31180","27570"
"In post","2022","North East (England)","Unknown","4600","4250","28010","24920"
"In post","2022","North East (England)","White","26370","23840","29970","27570"
"In post","2022","North West (England)","Asian","3240","3010","28970","26820"
"In post","2022","North West (England)","Black","940","900","29700","27570"
"In post","2022","North West (England)","Mixed","890","840","30230","27370"
"In post","2022","North West (England)","Other ethnicity","180","170","31830","27570"
"In post","2022","North West (England)","Undeclared","2230","2040","31630","27570"
"In post","2022","North West (England)","Unknown","8550","8090","29130","26590"
"In post","2022","North West (England)","White","48280","44640","30820","27570"
"In post","2022","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Undeclared","90","90","31390","27620"
"In post","2022","Northern Ireland","Unknown","810","780","27760","24880"
"In post","2022","Northern Ireland","White","3310","3140","30020","26820"
"In post","2022","Overseas","Asian","170","170","45170","38600"
"In post","2022","Overseas","Black","70","70","44130","38600"
"In post","2022","Overseas","Mixed","120","120","49870","49030"
"In post","2022","Overseas","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Overseas","Undeclared","240","240","47580","43020"
"In post","2022","Overseas","Unknown","520","520","49310","47170"
"In post","2022","Overseas","White","2530","2520","50050","49810"
"In post","2022","Scotland","Asian","730","690","32470","27570"
"In post","2022","Scotland","Black","310","300","31430","27570"
"In post","2022","Scotland","Mixed","320","300","35720","30360"
"In post","2022","Scotland","Other ethnicity","110","100","33900","27570"
"In post","2022","Scotland","Undeclared","1580","1460","34030","30940"
"In post","2022","Scotland","Unknown","10770","10130","31390","27230"
"In post","2022","Scotland","White","37210","34710","33950","28920"
"In post","2022","South East (England)","Asian","1540","1420","30690","28350"
"In post","2022","South East (England)","Black","920","870","30830","29290"
"In post","2022","South East (England)","Mixed","760","730","31950","29230"
"In post","2022","South East (England)","Other ethnicity","190","180","31910","28000"
"In post","2022","South East (England)","Undeclared","2180","2020","33910","31040"
"In post","2022","South East (England)","Unknown","4570","4260","30850","27570"
"In post","2022","South East (England)","White","32470","30180","32450","29230"
"In post","2022","South West (England)","Asian","900","850","34890","31990"
"In post","2022","South West (England)","Black","580","560","32870","31150"
"In post","2022","South West (England)","Mixed","670","630","33770","30210"
"In post","2022","South West (England)","Other ethnicity","160","150","35050","31490"
"In post","2022","South West (England)","Undeclared","2350","2220","36900","34290"
"In post","2022","South West (England)","Unknown","4390","4160","32160","27570"
"In post","2022","South West (England)","White","37670","35380","34960","31900"
"In post","2022","Unknown","Asian","170","150","29660","29290"
"In post","2022","Unknown","Black","60","60","33750","31060"
"In post","2022","Unknown","Mixed","30","30","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2022","Unknown","Unknown","2220","2200","37060","32700"
"In post","2022","Unknown","White","780","750","34610","30260"
"In post","2022","Wales","Asian","590","560","31250","27260"
"In post","2022","Wales","Black","230","220","30560","27570"
"In post","2022","Wales","Mixed","430","410","31690","27570"
"In post","2022","Wales","Other ethnicity","110","110","32380","29430"
"In post","2022","Wales","Undeclared","1260","1180","33340","28150"
"In post","2022","Wales","Unknown","4510","4250","29420","26130"
"In post","2022","Wales","White","30750","28380","32080","27570"
"In post","2022","West Midlands (England)","Asian","4860","4550","28860","27570"
"In post","2022","West Midlands (England)","Black","1430","1340","29100","27570"
"In post","2022","West Midlands (England)","Mixed","650","610","29800","27570"
"In post","2022","West Midlands (England)","Other ethnicity","170","160","30940","27210"
"In post","2022","West Midlands (England)","Undeclared","1280","1170","31180","27570"
"In post","2022","West Midlands (England)","Unknown","4160","3930","29950","26590"
"In post","2022","West Midlands (England)","White","20620","19110","31900","27570"
"In post","2022","Yorkshire and The Humber","Asian","2930","2720","29010","27570"
"In post","2022","Yorkshire and The Humber","Black","620","590","29700","27570"
"In post","2022","Yorkshire and The Humber","Mixed","560","530","31790","27570"
"In post","2022","Yorkshire and The Humber","Other ethnicity","120","110","32670","27570"
"In post","2022","Yorkshire and The Humber","Undeclared","1460","1350","32000","27570"
"In post","2022","Yorkshire and The Humber","Unknown","5460","5210","31220","26820"
"In post","2022","Yorkshire and The Humber","White","28080","25900","32580","27570"
"Leaver CS","2021","East Midlands (England)","Asian","70","60","24710","21010"
"Leaver CS","2021","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Undeclared","60","60","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Unknown","350","310","25540","24250"
"Leaver CS","2021","East Midlands (England)","White","1060","940","27890","25980"
"Leaver CS","2021","East of England","Asian","60","50","[c]","[c]"
"Leaver CS","2021","East of England","Black","40","30","[c]","[c]"
"Leaver CS","2021","East of England","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Undeclared","140","110","30770","30290"
"Leaver CS","2021","East of England","Unknown","330","300","27770","26000"
"Leaver CS","2021","East of England","White","1200","1060","30970","26890"
"Leaver CS","2021","London","Asian","590","530","33550","29080"
"Leaver CS","2021","London","Black","350","330","32340","27760"
"Leaver CS","2021","London","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Mixed","160","150","36880","32120"
"Leaver CS","2021","London","Other ethnicity","70","60","43770","37910"
"Leaver CS","2021","London","Undeclared","290","260","37480","31100"
"Leaver CS","2021","London","Unknown","1390","1230","38730","31060"
"Leaver CS","2021","London","White","2450","2200","46000","39910"
"Leaver CS","2021","North East (England)","Asian","30","30","[c]","[c]"
"Leaver CS","2021","North East (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Undeclared","50","40","[c]","[c]"
"Leaver CS","2021","North East (England)","Unknown","350","300","24790","21050"
"Leaver CS","2021","North East (England)","White","1230","980","26830","21010"
"Leaver CS","2021","North West (England)","Asian","90","90","25270","21010"
"Leaver CS","2021","North West (England)","Black","30","30","[c]","[c]"
"Leaver CS","2021","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Mixed","30","30","[c]","[c]"
"Leaver CS","2021","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Undeclared","100","80","27940","26840"
"Leaver CS","2021","North West (England)","Unknown","560","510","26370","21050"
"Leaver CS","2021","North West (England)","White","1940","1620","28480","24890"
"Leaver CS","2021","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Northern Ireland","White","160","140","27250","21430"
"Leaver CS","2021","Overseas","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Overseas","White","90","70","42660","38690"
"Leaver CS","2021","Scotland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Undeclared","100","80","32900","29190"
"Leaver CS","2021","Scotland","Unknown","640","570","31740","27150"
"Leaver CS","2021","Scotland","White","1550","1330","32490","27570"
"Leaver CS","2021","South East (England)","Asian","40","40","[c]","[c]"
"Leaver CS","2021","South East (England)","Black","30","30","[c]","[c]"
"Leaver CS","2021","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Mixed","40","40","[c]","[c]"
"Leaver CS","2021","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","Undeclared","180","150","29440","26890"
"Leaver CS","2021","South East (England)","Unknown","550","510","29680","25150"
"Leaver CS","2021","South East (England)","White","1840","1620","29970","26930"
"Leaver CS","2021","South West (England)","Asian","40","30","[c]","[c]"
"Leaver CS","2021","South West (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Undeclared","130","120","34450","33010"
"Leaver CS","2021","South West (England)","Unknown","450","420","30790","27570"
"Leaver CS","2021","South West (England)","White","1780","1600","32450","27570"
"Leaver CS","2021","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","620","620","40850","32060"
"Leaver CS","2021","Unknown","White","50","50","[c]","[c]"
"Leaver CS","2021","Wales","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Undeclared","110","100","28030","22320"
"Leaver CS","2021","Wales","Unknown","340","300","27440","21590"
"Leaver CS","2021","Wales","White","1470","1240","29700","23320"
"Leaver CS","2021","West Midlands (England)","Asian","130","120","28620","21010"
"Leaver CS","2021","West Midlands (England)","Black","50","40","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Mixed","30","30","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Undeclared","70","60","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Unknown","400","370","28920","21590"
"Leaver CS","2021","West Midlands (England)","White","1170","1000","30520","26530"
"Leaver CS","2021","Yorkshire and The Humber","Asian","90","80","29770","25310"
"Leaver CS","2021","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Undeclared","90","70","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Unknown","510","430","30170","25970"
"Leaver CS","2021","Yorkshire and The Humber","White","1590","1340","30260","26750"
"Leaver CS","2022","East Midlands (England)","Asian","160","140","26710","25000"
"Leaver CS","2022","East Midlands (England)","Black","50","40","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Mixed","50","50","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Undeclared","100","80","28080","26240"
"Leaver CS","2022","East Midlands (England)","Unknown","460","420","24950","21260"
"Leaver CS","2022","East Midlands (England)","White","1470","1310","29480","27570"
"Leaver CS","2022","East of England","Asian","110","100","32830","27570"
"Leaver CS","2022","East of England","Black","80","80","30200","27570"
"Leaver CS","2022","East of England","Mixed","50","50","[c]","[c]"
"Leaver CS","2022","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","Undeclared","110","100","32090","27920"
"Leaver CS","2022","East of England","Unknown","370","340","28550","26130"
"Leaver CS","2022","East of England","White","1940","1750","31470","27570"
"Leaver CS","2022","London","Asian","1140","1020","37440","31060"
"Leaver CS","2022","London","Black","850","800","34300","31060"
"Leaver CS","2022","London","Mixed","350","330","37880","31060"
"Leaver CS","2022","London","Other ethnicity","130","120","39450","32590"
"Leaver CS","2022","London","Undeclared","410","370","42870","37640"
"Leaver CS","2022","London","Unknown","2270","1910","39990","32360"
"Leaver CS","2022","London","White","4490","4010","44710","38600"
"Leaver CS","2022","North East (England)","Asian","60","50","[c]","[c]"
"Leaver CS","2022","North East (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Undeclared","80","70","32020","22040"
"Leaver CS","2022","North East (England)","Unknown","520","460","26630","21800"
"Leaver CS","2022","North East (England)","White","1850","1540","28060","22200"
"Leaver CS","2022","North West (England)","Asian","170","160","28110","22570"
"Leaver CS","2022","North West (England)","Black","80","80","28280","23390"
"Leaver CS","2022","North West (England)","Mixed","60","50","[c]","[c]"
"Leaver CS","2022","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Undeclared","170","140","30480","26120"
"Leaver CS","2022","North West (England)","Unknown","840","780","28090","24880"
"Leaver CS","2022","North West (England)","White","3290","2840","29190","26120"
"Leaver CS","2022","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Northern Ireland","White","200","170","28020","22580"
"Leaver CS","2022","Overseas","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Overseas","White","90","80","51570","45840"
"Leaver CS","2022","Scotland","Asian","30","30","[c]","[c]"
"Leaver CS","2022","Scotland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Undeclared","120","100","31390","27570"
"Leaver CS","2022","Scotland","Unknown","1040","940","31250","27230"
"Leaver CS","2022","Scotland","White","2500","2190","32280","27570"
"Leaver CS","2022","South East (England)","Asian","150","140","33330","28320"
"Leaver CS","2022","South East (England)","Black","100","90","28850","27710"
"Leaver CS","2022","South East (England)","Mixed","80","80","27510","25730"
"Leaver CS","2022","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Undeclared","220","190","30900","27570"
"Leaver CS","2022","South East (England)","Unknown","710","660","28540","25000"
"Leaver CS","2022","South East (England)","White","3270","2920","30710","27570"
"Leaver CS","2022","South West (England)","Asian","90","80","31250","27570"
"Leaver CS","2022","South West (England)","Black","60","60","33820","31690"
"Leaver CS","2022","South West (England)","Mixed","80","70","28540","26350"
"Leaver CS","2022","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Undeclared","210","180","34920","33300"
"Leaver CS","2022","South West (England)","Unknown","670","630","29310","26000"
"Leaver CS","2022","South West (England)","White","2950","2680","32940","28050"
"Leaver CS","2022","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","690","550","35340","31990"
"Leaver CS","2022","Unknown","White","460","380","27650","21840"
"Leaver CS","2022","Wales","Asian","40","40","[c]","[c]"
"Leaver CS","2022","Wales","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Mixed","30","30","[c]","[c]"
"Leaver CS","2022","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Undeclared","130","110","28620","25100"
"Leaver CS","2022","Wales","Unknown","370","340","28290","24370"
"Leaver CS","2022","Wales","White","1600","1390","31660","27130"
"Leaver CS","2022","West Midlands (England)","Asian","230","210","27950","27370"
"Leaver CS","2022","West Midlands (England)","Black","90","90","29580","27570"
"Leaver CS","2022","West Midlands (England)","Mixed","60","50","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Undeclared","90","80","29570","27570"
"Leaver CS","2022","West Midlands (England)","Unknown","520","490","26840","22460"
"Leaver CS","2022","West Midlands (England)","White","1730","1530","32240","27570"
"Leaver CS","2022","Yorkshire and The Humber","Asian","200","190","27000","25120"
"Leaver CS","2022","Yorkshire and The Humber","Black","60","60","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Mixed","60","50","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Undeclared","120","100","30720","27570"
"Leaver CS","2022","Yorkshire and The Humber","Unknown","740","620","30320","25200"
"Leaver CS","2022","Yorkshire and The Humber","White","2290","1970","30770","27570"
