"Status","Year","Sex","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Criminal Injuries Compensation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","20-29","60","60","29210","27770"
"In post","2021","Female","Crown Commercial Service","30-39","140","130","36180","34800"
"In post","2021","Female","Crown Commercial Service","40-49","100","90","40190","35760"
"In post","2021","Female","Crown Commercial Service","50-59","100","100","38090","35570"
"In post","2021","Female","Crown Commercial Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","20-29","280","260","26170","22220"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","30-39","360","340","36650","32930"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","40-49","340","300","41100","34150"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","50-59","370","330","34910","29040"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","60-64","80","70","33660","22220"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service","20-29","640","630","27410","25480"
"In post","2021","Female","Crown Prosecution Service","30-39","800","730","39480","38760"
"In post","2021","Female","Crown Prosecution Service","40-49","1300","1150","43220","48080"
"In post","2021","Female","Crown Prosecution Service","50-59","1440","1300","42260","34480"
"In post","2021","Female","Crown Prosecution Service","60-64","250","200","40580","30110"
"In post","2021","Female","Crown Prosecution Service","65+","50","40","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","50-59","30","30","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Equipment and Support","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Equipment and Support","20-29","750","740","26210","25560"
"In post","2021","Female","Defence Equipment and Support","30-39","950","860","34710","33300"
"In post","2021","Female","Defence Equipment and Support","40-49","820","760","38920","36900"
"In post","2021","Female","Defence Equipment and Support","50-59","860","820","36560","33530"
"In post","2021","Female","Defence Equipment and Support","60-64","190","170","33690","30410"
"In post","2021","Female","Defence Equipment and Support","65+","50","40","[c]","[c]"
"In post","2021","Female","Defence Science and Technology Laboratory","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Science and Technology Laboratory","20-29","310","310","29310","28650"
"In post","2021","Female","Defence Science and Technology Laboratory","30-39","420","390","37910","37320"
"In post","2021","Female","Defence Science and Technology Laboratory","40-49","400","360","42080","46080"
"In post","2021","Female","Defence Science and Technology Laboratory","50-59","330","310","40910","38030"
"In post","2021","Female","Defence Science and Technology Laboratory","60-64","50","50","36000","31000"
"In post","2021","Female","Defence Science and Technology Laboratory","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","930","930","40160","38590"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","700","670","52130","53600"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","40-49","490","450","55840","53750"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","380","370","48160","43110"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","60-64","70","70","42920","36360"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","20-29","380","380","39990","34020"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","30-39","340","330","52100","52130"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","40-49","150","140","57440","55650"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","50-59","80","80","53910","52130"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education (excl. agencies)","20-29","780","770","36220","33190"
"In post","2021","Female","Department for Education (excl. agencies)","30-39","950","890","45600","45850"
"In post","2021","Female","Department for Education (excl. agencies)","40-49","860","780","48510","49860"
"In post","2021","Female","Department for Education (excl. agencies)","50-59","670","630","43920","38250"
"In post","2021","Female","Department for Education (excl. agencies)","60-64","90","80","45440","46840"
"In post","2021","Female","Department for Education (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","620","610","35230","32680"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","780","730","43150","39420"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","800","730","45280","40280"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","610","580","42820","38550"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","60-64","90","80","37200","30160"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","65+","50","40","[c]","[c]"
"In post","2021","Female","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","20-29","480","480","37560","33360"
"In post","2021","Female","Department for International Trade","30-39","350","340","49230","51970"
"In post","2021","Female","Department for International Trade","40-49","210","200","51320","51970"
"In post","2021","Female","Department for International Trade","50-59","190","190","47420","40840"
"In post","2021","Female","Department for International Trade","60-64","30","30","[c]","[c]"
"In post","2021","Female","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport (excl. agencies)","20-29","460","460","37790","34710"
"In post","2021","Female","Department for Transport (excl. agencies)","30-39","430","410","49000","53210"
"In post","2021","Female","Department for Transport (excl. agencies)","40-49","330","310","52730","54650"
"In post","2021","Female","Department for Transport (excl. agencies)","50-59","240","230","48560","44030"
"In post","2021","Female","Department for Transport (excl. agencies)","60-64","50","40","38130","33900"
"In post","2021","Female","Department for Transport (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","16-19","120","120","22720","21010"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","20-29","5930","5760","26760","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","30-39","8920","7760","27270","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","40-49","14240","12220","27570","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","50-59","22190","19440","27490","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","60-64","6430","4800","26380","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","65+","1690","1170","25800","26120"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","20-29","760","760","36790","32790"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","30-39","500","470","50470","53360"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","40-49","420","390","51500","49760"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","50-59","360","350","49230","46000"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","60-64","50","40","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","20-29","30","30","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","30-39","50","40","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","40-49","30","30","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","20-29","450","410","21970","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","30-39","990","810","23410","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","40-49","870","750","25700","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","50-59","930","790","25790","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","60-64","410","280","22680","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","65+","90","60","22720","21590"
"In post","2021","Female","Driver and Vehicle Standards Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","20-29","120","120","25650","26130"
"In post","2021","Female","Driver and Vehicle Standards Agency","30-39","260","240","28530","26680"
"In post","2021","Female","Driver and Vehicle Standards Agency","40-49","390","360","30220","26780"
"In post","2021","Female","Driver and Vehicle Standards Agency","50-59","500","460","29860","26780"
"In post","2021","Female","Driver and Vehicle Standards Agency","60-64","130","100","27430","26780"
"In post","2021","Female","Driver and Vehicle Standards Agency","65+","30","20","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","20-29","160","150","32870","30090"
"In post","2021","Female","Education and Skills Funding Agency","30-39","240","220","40120","36960"
"In post","2021","Female","Education and Skills Funding Agency","40-49","320","300","43710","40210"
"In post","2021","Female","Education and Skills Funding Agency","50-59","250","240","43640","37330"
"In post","2021","Female","Education and Skills Funding Agency","60-64","40","40","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","30-39","40","40","[c]","[c]"
"In post","2021","Female","Education Scotland","40-49","60","60","54090","52480"
"In post","2021","Female","Education Scotland","50-59","100","90","61080","68290"
"In post","2021","Female","Education Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","20-29","50","50","[c]","[c]"
"In post","2021","Female","FCDO Services","30-39","50","50","[c]","[c]"
"In post","2021","Female","FCDO Services","40-49","100","90","43170","34770"
"In post","2021","Female","FCDO Services","50-59","90","80","41530","40330"
"In post","2021","Female","FCDO Services","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","20-29","80","70","32780","32350"
"In post","2021","Female","Food Standards Agency","30-39","150","150","37600","37350"
"In post","2021","Female","Food Standards Agency","40-49","160","150","42680","39300"
"In post","2021","Female","Food Standards Agency","50-59","120","120","41470","37910"
"In post","2021","Female","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","30-39","40","40","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","40-49","30","30","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","20-29","790","780","35550","34770"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","30-39","1110","1090","47700","51500"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","40-49","980","930","53460","55620"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","50-59","810","780","49680","44110"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","60-64","120","120","46990","38230"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","65+","30","30","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","20-29","50","50","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","30-39","80","80","30310","29140"
"In post","2021","Female","Forestry and Land Scotland","40-49","90","80","34040","30160"
"In post","2021","Female","Forestry and Land Scotland","50-59","90","80","33710","30160"
"In post","2021","Female","Forestry and Land Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","30-39","30","30","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","40-49","70","70","47330","44200"
"In post","2021","Female","Government Internal Audit Agency","50-59","90","90","49350","47540"
"In post","2021","Female","Government Internal Audit Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Legal Department","20-29","200","200","36660","33460"
"In post","2021","Female","Government Legal Department","30-39","550","500","51640","51250"
"In post","2021","Female","Government Legal Department","40-49","500","430","59190","63730"
"In post","2021","Female","Government Legal Department","50-59","320","290","62660","66800"
"In post","2021","Female","Government Legal Department","60-64","50","40","55700","60960"
"In post","2021","Female","Government Legal Department","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Health and Safety Executive","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Health and Safety Executive","20-29","140","140","28740","26410"
"In post","2021","Female","Health and Safety Executive","30-39","190","170","36160","36040"
"In post","2021","Female","Health and Safety Executive","40-49","350","320","42600","41480"
"In post","2021","Female","Health and Safety Executive","50-59","510","470","40030","35910"
"In post","2021","Female","Health and Safety Executive","60-64","90","70","34650","29750"
"In post","2021","Female","Health and Safety Executive","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Courts and Tribunals Service","16-19","30","30","[c]","[c]"
"In post","2021","Female","HM Courts and Tribunals Service","20-29","1460","1420","21850","19930"
"In post","2021","Female","HM Courts and Tribunals Service","30-39","2080","1790","23820","21170"
"In post","2021","Female","HM Courts and Tribunals Service","40-49","2720","2330","25820","21810"
"In post","2021","Female","HM Courts and Tribunals Service","50-59","3910","3510","25400","21180"
"In post","2021","Female","HM Courts and Tribunals Service","60-64","1130","940","23110","20100"
"In post","2021","Female","HM Courts and Tribunals Service","65+","410","300","21160","20100"
"In post","2021","Female","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","20-29","630","620","24920","22350"
"In post","2021","Female","HM Land Registry","30-39","510","460","29310","26490"
"In post","2021","Female","HM Land Registry","40-49","790","710","32160","27130"
"In post","2021","Female","HM Land Registry","50-59","1520","1320","31360","27130"
"In post","2021","Female","HM Land Registry","60-64","280","190","30860","27130"
"In post","2021","Female","HM Land Registry","65+","70","40","32100","27130"
"In post","2021","Female","HM Prison and Probation Service","16-19","60","60","22490","22850"
"In post","2021","Female","HM Prison and Probation Service","20-29","6040","5920","25910","24880"
"In post","2021","Female","HM Prison and Probation Service","30-39","6720","6180","29580","28220"
"In post","2021","Female","HM Prison and Probation Service","40-49","5920","5470","32330","31130"
"In post","2021","Female","HM Prison and Probation Service","50-59","6110","5700","30520","28150"
"In post","2021","Female","HM Prison and Probation Service","60-64","1660","1380","28230","25830"
"In post","2021","Female","HM Prison and Probation Service","65+","460","340","28330","26150"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","16-19","120","110","20430","20140"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","20-29","4570","4420","26650","25560"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","30-39","6310","5720","30430","25560"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","40-49","7340","6500","31460","27220"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","50-59","10980","9680","31480","28130"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","60-64","3210","2340","27740","25560"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","65+","700","490","26280","21440"
"In post","2021","Female","HM Treasury (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury (excl. agencies)","20-29","460","460","37840","32320"
"In post","2021","Female","HM Treasury (excl. agencies)","30-39","300","290","55620","57840"
"In post","2021","Female","HM Treasury (excl. agencies)","40-49","120","110","56870","59950"
"In post","2021","Female","HM Treasury (excl. agencies)","50-59","80","80","42540","38890"
"In post","2021","Female","HM Treasury (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Home Office (incl. agencies)","16-19","40","40","[c]","[c]"
"In post","2021","Female","Home Office (incl. agencies)","20-29","2830","2740","28450","25040"
"In post","2021","Female","Home Office (incl. agencies)","30-39","4450","4010","31750","26200"
"In post","2021","Female","Home Office (incl. agencies)","40-49","4750","4250","33590","28850"
"In post","2021","Female","Home Office (incl. agencies)","50-59","4750","4320","31740","27370"
"In post","2021","Female","Home Office (incl. agencies)","60-64","1130","900","28330","25630"
"In post","2021","Female","Home Office (incl. agencies)","65+","370","270","26430","25630"
"In post","2021","Female","Insolvency Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Insolvency Service","20-29","130","120","23250","20880"
"In post","2021","Female","Insolvency Service","30-39","220","200","30100","26290"
"In post","2021","Female","Insolvency Service","40-49","310","280","34010","32060"
"In post","2021","Female","Insolvency Service","50-59","300","280","33630","29940"
"In post","2021","Female","Insolvency Service","60-64","50","50","27330","22870"
"In post","2021","Female","Insolvency Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","30-39","40","40","[c]","[c]"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","50-59","40","40","[c]","[c]"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal Aid Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal Aid Agency","20-29","70","70","20880","19930"
"In post","2021","Female","Legal Aid Agency","30-39","220","200","25330","22010"
"In post","2021","Female","Legal Aid Agency","40-49","180","160","29810","23370"
