"Status","Year","Organisation","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Female","420","410","49800","54700"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Male","550","540","52530","54700"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Female","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Male","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Female","740","690","39170","35590"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Male","390","380","39200","35320"
"In post","2021","Cabinet Office (excl. agencies)","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Legal","Male","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Female","2290","2260","39550","32000"
"In post","2021","Cabinet Office (excl. agencies)","No function","Male","1880","1870","42120","33250"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Female","90","90","63870","57840"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Male","100","100","74710","64500"
"In post","2021","Cabinet Office (excl. agencies)","Property","Female","50","50","47450","45150"
"In post","2021","Cabinet Office (excl. agencies)","Property","Male","50","50","54370","54700"
"In post","2021","Cabinet Office (excl. agencies)","Security","Female","460","430","32190","33000"
"In post","2021","Cabinet Office (excl. agencies)","Security","Male","420","410","34060","33300"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Female","210","190","30970","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Male","270","260","35910","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Female","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Female","150","140","31930","29160"
"In post","2021","Charity Commission","Unknown","Male","100","100","33290","29160"
"In post","2021","Companies House","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data & Technology","Female","80","70","36690","36440"
"In post","2021","Companies House","Digital, Data & Technology","Male","180","180","39770","38000"
"In post","2021","Companies House","Finance","Female","40","30","[c]","[c]"
"In post","2021","Companies House","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","Female","60","60","33220","30530"
"In post","2021","Companies House","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","No function","Female","390","330","25170","22490"
"In post","2021","Companies House","No function","Male","240","230","26310","22490"
"In post","2021","Companies House","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Female","60","50","57500","56360"
"In post","2021","Competition and Markets Authority","Analysis","Male","80","80","62080","56630"
"In post","2021","Competition and Markets Authority","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Male","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Female","90","80","67170","71370"
"In post","2021","Competition and Markets Authority","Legal","Male","80","70","71290","72430"
"In post","2021","Competition and Markets Authority","Project Delivery","Female","200","190","58920","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Male","170","170","63200","59360"
"In post","2021","Competition and Markets Authority","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","No function","Female","160","140","25820","22570"
"In post","2021","Criminal Injuries Compensation Authority","No function","Male","130","130","25130","22710"
"In post","2021","Crown Commercial Service","Commercial","Female","190","180","33620","33340"
"In post","2021","Crown Commercial Service","Commercial","Male","180","180","34510","34800"
"In post","2021","Crown Commercial Service","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","Female","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","Male","80","70","40390","35470"
"In post","2021","Crown Commercial Service","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","Female","100","100","39290","36740"
"In post","2021","Crown Commercial Service","No function","Male","80","80","41930","35350"
"In post","2021","Crown Commercial Service","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","Male","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Female","430","390","54110","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Male","170","170","55850","55850"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Female","980","890","26370","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Male","330","320","28300","25410"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Female","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","Female","60","60","38250","38180"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","Male","60","50","40700","38180"
"In post","2021","Crown Prosecution Service","Finance","Female","50","50","30600","30110"
"In post","2021","Crown Prosecution Service","Finance","Male","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","Female","110","110","41450","38180"
"In post","2021","Crown Prosecution Service","Human Resources","Male","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Legal","Female","4170","3760","39610","32490"
"In post","2021","Crown Prosecution Service","Legal","Male","2070","2020","45060","48080"
"In post","2021","Crown Prosecution Service","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Female","50","40","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Male","320","300","27800","28750"
"In post","2021","Defence Electronics and Components Agency","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Female","80","80","40860","35530"
"In post","2021","Defence Equipment and Support","Commercial","Male","200","200","45800","42000"
"In post","2021","Defence Equipment and Support","Communications","Female","90","80","30200","27220"
"In post","2021","Defence Equipment and Support","Communications","Male","200","200","25560","21380"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Female","230","210","35510","31800"
"In post","2021","Defence Equipment and Support","Finance","Male","200","190","39320","31500"
"In post","2021","Defence Equipment and Support","Human Resources","Female","150","140","37270","32540"
"In post","2021","Defence Equipment and Support","Human Resources","Male","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Female","2870","2690","33700","31600"
"In post","2021","Defence Equipment and Support","Project Delivery","Male","6250","6130","37420","35630"
"In post","2021","Defence Equipment and Support","Property","Female","100","100","36620","34180"
"In post","2021","Defence Equipment and Support","Property","Male","120","120","42630","39340"
"In post","2021","Defence Equipment and Support","Unknown","Female","110","100","34290","33380"
"In post","2021","Defence Equipment and Support","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Female","140","130","37880","37320"
"In post","2021","Defence Science and Technology Laboratory","Analysis","Male","320","310","41340","39420"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Female","40","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Male","30","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Female","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Female","60","60","34470","28650"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","No function","Female","680","640","38640","37320"
"In post","2021","Defence Science and Technology Laboratory","No function","Male","1910","1870","41260","39550"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Female","540","500","37190","37320"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Male","470","460","45160","46080"
"In post","2021","Defence Science and Technology Laboratory","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","Female","100","100","42610","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","Male","190","190","43790","37890"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Female","60","60","50360","47380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Male","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","Female","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","Male","90","90","47490","41120"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Female","60","60","53480","57870"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Male","60","60","52640","53330"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Female","80","80","46040","45970"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Male","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","Female","2170","2090","47610","44300"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","Male","2220","2190","50790","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Female","50","50","51450","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Male","60","60","51330","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Female","50","50","53780","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Male","90","90","51690","43280"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Male","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Female","40","40","[c]","[c]"
