"Status","Year","Sex","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","East Anglia","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Digital, Data and Technology","60","60","33630","30810"
"In post","2021","Female","East Anglia","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Finance","80","70","32350","26800"
"In post","2021","Female","East Anglia","Human Resources","80","80","34990","31180"
"In post","2021","Female","East Anglia","Inspector of Education and Training","60","60","61880","51360"
"In post","2021","Female","East Anglia","Intelligence Analysis","140","130","32270","33000"
"In post","2021","Female","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Knowledge and Information Management","80","80","35050","31080"
"In post","2021","Female","East Anglia","Legal","220","200","30300","25560"
"In post","2021","Female","East Anglia","Medicine","50","40","[c]","[c]"
"In post","2021","Female","East Anglia","Operational Delivery","2860","2560","26610","23930"
"In post","2021","Female","East Anglia","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Other","420","400","22680","21130"
"In post","2021","Female","East Anglia","Policy","50","40","[c]","[c]"
"In post","2021","Female","East Anglia","Project Delivery","150","140","37250","33300"
"In post","2021","Female","East Anglia","Property","170","160","32620","33130"
"In post","2021","Female","East Anglia","Psychology","130","120","35190","30450"
"In post","2021","Female","East Anglia","Science and Engineering","250","230","32540","30220"
"In post","2021","Female","East Anglia","Security","70","60","24860","20920"
"In post","2021","Female","East Anglia","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Tax","70","60","34340","31870"
"In post","2021","Female","East Anglia","Unknown","1260","1060","27700","27570"
"In post","2021","Female","East Anglia","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","Commercial","70","70","35610","31970"
"In post","2021","Female","East Wales","Communications","150","140","38400","36950"
"In post","2021","Female","East Wales","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","Digital, Data and Technology","350","340","39650","37020"
"In post","2021","Female","East Wales","Economics","60","60","35760","29840"
"In post","2021","Female","East Wales","Finance","210","190","37040","31270"
"In post","2021","Female","East Wales","Human Resources","410","380","35720","30660"
"In post","2021","Female","East Wales","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Female","East Wales","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","Knowledge and Information Management","70","60","33390","28850"
"In post","2021","Female","East Wales","Legal","330","300","45050","48080"
"In post","2021","Female","East Wales","Medicine","110","100","44300","37410"
"In post","2021","Female","East Wales","Operational Delivery","4830","4310","27350","23830"
"In post","2021","Female","East Wales","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","Other","230","220","31620","24890"
"In post","2021","Female","East Wales","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","Policy","720","680","41820","37410"
"In post","2021","Female","East Wales","Project Delivery","190","170","41280","38630"
"In post","2021","Female","East Wales","Property","90","80","36700","36450"
"In post","2021","Female","East Wales","Psychology","40","40","[c]","[c]"
"In post","2021","Female","East Wales","Science and Engineering","120","110","43070","40720"
"In post","2021","Female","East Wales","Security","40","40","[c]","[c]"
"In post","2021","Female","East Wales","Social Research","230","210","39610","37410"
"In post","2021","Female","East Wales","Statistics","180","170","39800","37020"
"In post","2021","Female","East Wales","Tax","760","710","29240","25560"
"In post","2021","Female","East Wales","Unknown","1670","1470","26300","27570"
"In post","2021","Female","East Wales","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Legal","40","30","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Operational Delivery","1180","1050","26390","24920"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Other","90","90","22650","21130"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Psychology","50","50","31920","29750"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Unknown","840","690","25750","27570"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Digital, Data and Technology","60","50","38650","34190"
"In post","2021","Female","Eastern Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Finance","90","90","35500","30540"
"In post","2021","Female","Eastern Scotland","Human Resources","140","130","34580","31720"
"In post","2021","Female","Eastern Scotland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Legal","200","190","52030","52490"
"In post","2021","Female","Eastern Scotland","Medicine","30","30","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Operational Delivery","2580","2370","27590","25560"
"In post","2021","Female","Eastern Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Other","340","320","28830","25560"
"In post","2021","Female","Eastern Scotland","Policy","30","30","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Project Delivery","80","80","40460","33300"
"In post","2021","Female","Eastern Scotland","Property","60","60","30910","30540"
"In post","2021","Female","Eastern Scotland","Psychology","40","40","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Tax","510","480","28700","25560"
"In post","2021","Female","Eastern Scotland","Unknown","6390","5820","35790","29190"
"In post","2021","Female","Eastern Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Digital, Data and Technology","70","60","38430","35000"
"In post","2021","Female","Essex","Finance","100","80","32370","31810"
"In post","2021","Female","Essex","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Legal","110","100","45190","42090"
"In post","2021","Female","Essex","Medicine","40","30","[c]","[c]"
"In post","2021","Female","Essex","Operational Delivery","1270","1140","26820","25300"
"In post","2021","Female","Essex","Other","90","90","23610","21130"
"In post","2021","Female","Essex","Policy","50","40","[c]","[c]"
"In post","2021","Female","Essex","Project Delivery","80","70","36960","34810"
"In post","2021","Female","Essex","Property","40","40","[c]","[c]"
"In post","2021","Female","Essex","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Security","60","50","34650","28750"
"In post","2021","Female","Essex","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Tax","70","60","30050","28130"
"In post","2021","Female","Essex","Unknown","1170","1030","28860","29290"
"In post","2021","Female","Essex","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","740","700","37030","34500"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","110","100","35130","33320"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data and Technology","330","310","37940","35900"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","660","620","38290","33360"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","550","500","35310","32580"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Inspector of Education and Training","60","60","62380","51360"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Internal Audit","40","30","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Knowledge and Information Management","200","180","34960","33300"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Legal","210","190","41780","38640"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Medicine","160","140","46060","36370"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Operational Delivery","2900","2610","29030","26080"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Operational Research","50","50","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Other","1720","1580","28880","26160"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Planning Inspectors","120","100","57830","58810"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Policy","410","380","39850","36520"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","1820","1730","37430","34850"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Property","210","200","34570","33300"
