"Status","Year","Disability","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","AA/AO","Unknown","2280","1960","27000","26630"
"In post","2021","Undeclared","EO","Heterosexual / straight","3140","2960","28220","27570"
"In post","2021","Undeclared","EO","LGBO","260","260","28130","27570"
"In post","2021","Undeclared","EO","Undeclared","2660","2490","28130","27570"
"In post","2021","Undeclared","EO","Unknown","1140","1050","29710","28080"
"In post","2021","Undeclared","G6/G7","Heterosexual / straight","1080","1050","58740","57270"
"In post","2021","Undeclared","G6/G7","LGBO","110","110","58580","54620"
"In post","2021","Undeclared","G6/G7","Undeclared","1520","1470","58720","57130"
"In post","2021","Undeclared","G6/G7","Unknown","440","430","57920","54760"
"In post","2021","Undeclared","SCS","Heterosexual / straight","120","110","88350","81790"
"In post","2021","Undeclared","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Undeclared","130","120","87560","81490"
"In post","2021","Undeclared","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Heterosexual / straight","3040","2940","37360","36520"
"In post","2021","Undeclared","SEO/HEO","LGBO","290","280","35580","34080"
"In post","2021","Undeclared","SEO/HEO","Undeclared","3480","3320","37250","36460"
"In post","2021","Undeclared","SEO/HEO","Unknown","1000","960","38520","37320"
"In post","2021","Undeclared","Unknown","Heterosexual / straight","350","330","31810","30210"
"In post","2021","Undeclared","Unknown","LGBO","50","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Undeclared","310","290","34880","33700"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Heterosexual / straight","4560","4170","22820","21440"
"In post","2021","Unknown","AA/AO","LGBO","280","270","22880","22050"
"In post","2021","Unknown","AA/AO","Undeclared","1410","1250","22310","21580"
"In post","2021","Unknown","AA/AO","Unknown","20750","19270","22100","21010"
"In post","2021","Unknown","EO","Heterosexual / straight","4830","4620","29310","28430"
"In post","2021","Unknown","EO","LGBO","300","290","28640","27660"
"In post","2021","Unknown","EO","Undeclared","990","930","28740","29350"
"In post","2021","Unknown","EO","Unknown","12470","11950","27500","27130"
"In post","2021","Unknown","G6/G7","Heterosexual / straight","2940","2840","58380","55960"
"In post","2021","Unknown","G6/G7","LGBO","190","180","56870","54410"
"In post","2021","Unknown","G6/G7","Undeclared","500","470","60190","57440"
"In post","2021","Unknown","G6/G7","Unknown","7830","7570","58730","56340"
"In post","2021","Unknown","SCS","Heterosexual / straight","290","280","95380","87830"
"In post","2021","Unknown","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Undeclared","50","40","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","1180","1150","92350","80590"
"In post","2021","Unknown","SEO/HEO","Heterosexual / straight","6200","5970","37960","37520"
"In post","2021","Unknown","SEO/HEO","LGBO","370","360","36300","36030"
"In post","2021","Unknown","SEO/HEO","Undeclared","1240","1180","38010","37410"
"In post","2021","Unknown","SEO/HEO","Unknown","15440","15000","35520","34460"
"In post","2021","Unknown","Unknown","Heterosexual / straight","190","180","38740","34420"
"In post","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2630","2560","34300","32690"
"In post","2022","Declared disabled","AA/AO","Heterosexual / straight","11440","10050","22410","21260"
"In post","2022","Declared disabled","AA/AO","LGBO","1210","1150","22820","21260"
"In post","2022","Declared disabled","AA/AO","Undeclared","1720","1480","22270","21260"
"In post","2022","Declared disabled","AA/AO","Unknown","1350","1130","22480","21260"
"In post","2022","Declared disabled","EO","Heterosexual / straight","12090","10960","27920","27570"
"In post","2022","Declared disabled","EO","LGBO","1330","1280","27800","27570"
"In post","2022","Declared disabled","EO","Undeclared","1680","1510","28000","27570"
"In post","2022","Declared disabled","EO","Unknown","1170","1030","28780","27570"
"In post","2022","Declared disabled","G6/G7","Heterosexual / straight","4000","3850","58610","56170"
"In post","2022","Declared disabled","G6/G7","LGBO","590","570","57880","55260"
"In post","2022","Declared disabled","G6/G7","Undeclared","520","500","59350","57430"
"In post","2022","Declared disabled","G6/G7","Unknown","280","260","58270","56500"
"In post","2022","Declared disabled","SCS","Heterosexual / straight","380","370","89830","80870"
"In post","2022","Declared disabled","SCS","LGBO","60","60","85990","77410"
"In post","2022","Declared disabled","SCS","Undeclared","40","40","[c]","[c]"
"In post","2022","Declared disabled","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SEO/HEO","Heterosexual / straight","9880","9410","37040","36000"
"In post","2022","Declared disabled","SEO/HEO","LGBO","1370","1330","36040","34860"
"In post","2022","Declared disabled","SEO/HEO","Undeclared","1300","1240","37130","35980"
"In post","2022","Declared disabled","SEO/HEO","Unknown","670","620","37010","36410"
"In post","2022","Declared disabled","Unknown","Heterosexual / straight","2860","2660","31210","28690"
"In post","2022","Declared disabled","Unknown","LGBO","320","310","30100","27980"
"In post","2022","Declared disabled","Unknown","Undeclared","290","270","32610","32600"
"In post","2022","Declared disabled","Unknown","Unknown","50","50","33790","34340"
"In post","2022","Declared non-disabled","AA/AO","Heterosexual / straight","66480","60470","22890","21380"
"In post","2022","Declared non-disabled","AA/AO","LGBO","3560","3420","23150","21300"
"In post","2022","Declared non-disabled","AA/AO","Undeclared","6320","5530","22580","21380"
"In post","2022","Declared non-disabled","AA/AO","Unknown","10540","8840","22540","21260"
"In post","2022","Declared non-disabled","EO","Heterosexual / straight","67580","63000","27770","27570"
"In post","2022","Declared non-disabled","EO","LGBO","3510","3410","27690","27570"
"In post","2022","Declared non-disabled","EO","Undeclared","6360","5790","27970","27570"
"In post","2022","Declared non-disabled","EO","Unknown","9800","8580","28070","27570"
"In post","2022","Declared non-disabled","G6/G7","Heterosexual / straight","38070","36730","59210","57400"
"In post","2022","Declared non-disabled","G6/G7","LGBO","2360","2320","58660","56340"
"In post","2022","Declared non-disabled","G6/G7","Undeclared","3050","2930","59750","57680"
"In post","2022","Declared non-disabled","G6/G7","Unknown","4240","4000","57370","56160"
"In post","2022","Declared non-disabled","SCS","Heterosexual / straight","4280","4140","89480","82040"
"In post","2022","Declared non-disabled","SCS","LGBO","280","270","86800","79410"
"In post","2022","Declared non-disabled","SCS","Undeclared","270","260","88920","81930"
"In post","2022","Declared non-disabled","SCS","Unknown","260","250","93390","83660"
"In post","2022","Declared non-disabled","SEO/HEO","Heterosexual / straight","76530","73640","37250","36340"
"In post","2022","Declared non-disabled","SEO/HEO","LGBO","4200","4130","36700","35740"
"In post","2022","Declared non-disabled","SEO/HEO","Undeclared","6550","6250","37890","37290"
"In post","2022","Declared non-disabled","SEO/HEO","Unknown","7150","6780","36830","36500"
"In post","2022","Declared non-disabled","Unknown","Heterosexual / straight","11690","10950","31610","28880"
"In post","2022","Declared non-disabled","Unknown","LGBO","640","620","29840","26810"
"In post","2022","Declared non-disabled","Unknown","Undeclared","690","640","33950","32710"
"In post","2022","Declared non-disabled","Unknown","Unknown","320","290","33130","34340"
"In post","2022","Undeclared","AA/AO","Heterosexual / straight","4120","3720","23950","21680"
"In post","2022","Undeclared","AA/AO","LGBO","320","310","24100","21300"
"In post","2022","Undeclared","AA/AO","Undeclared","2610","2370","23930","21840"
"In post","2022","Undeclared","AA/AO","Unknown","1740","1490","27000","26560"
"In post","2022","Undeclared","EO","Heterosexual / straight","3240","3040","28360","27570"
"In post","2022","Undeclared","EO","LGBO","300","290","28020","27570"
"In post","2022","Undeclared","EO","Undeclared","2500","2340","28500","27570"
"In post","2022","Undeclared","EO","Unknown","830","760","29940","27570"
"In post","2022","Undeclared","G6/G7","Heterosexual / straight","1220","1190","58980","57110"
"In post","2022","Undeclared","G6/G7","LGBO","130","130","58700","55420"
"In post","2022","Undeclared","G6/G7","Undeclared","1470","1430","59940","57540"
"In post","2022","Undeclared","G6/G7","Unknown","140","140","62110","60040"
"In post","2022","Undeclared","SCS","Heterosexual / straight","110","110","88250","80250"
"In post","2022","Undeclared","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Undeclared","120","120","84570","80930"
"In post","2022","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Heterosexual / straight","3360","3240","37650","36690"
"In post","2022","Undeclared","SEO/HEO","LGBO","310","310","36690","35310"
"In post","2022","Undeclared","SEO/HEO","Undeclared","3510","3370","37850","37230"
"In post","2022","Undeclared","SEO/HEO","Unknown","520","490","39620","38160"
"In post","2022","Undeclared","Unknown","Heterosexual / straight","520","480","32140","28690"
"In post","2022","Undeclared","Unknown","LGBO","60","60","28970","28090"
"In post","2022","Undeclared","Unknown","Undeclared","320","300","34810","33700"
"In post","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","Heterosexual / straight","4340","3960","23330","22080"
"In post","2022","Unknown","AA/AO","LGBO","300","290","23410","22080"
"In post","2022","Unknown","AA/AO","Undeclared","490","450","23650","22080"
"In post","2022","Unknown","AA/AO","Unknown","20610","19150","22850","21650"
"In post","2022","Unknown","EO","Heterosexual / straight","5430","5210","29670","28650"
"In post","2022","Unknown","EO","LGBO","390","380","28950","27500"
"In post","2022","Unknown","EO","Undeclared","720","690","28570","27270"
"In post","2022","Unknown","EO","Unknown","14360","13730","28070","27130"
"In post","2022","Unknown","G6/G7","Heterosexual / straight","3730","3610","58460","55240"
"In post","2022","Unknown","G6/G7","LGBO","250","250","57570","54700"
"In post","2022","Unknown","G6/G7","Undeclared","1060","1010","58510","54780"
"In post","2022","Unknown","G6/G7","Unknown","8360","8130","59960","57430"
"In post","2022","Unknown","SCS","Heterosexual / straight","340","340","95930","89520"
"In post","2022","Unknown","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS","Undeclared","140","130","94980","92360"
"In post","2022","Unknown","SCS","Unknown","890","860","97490","89300"
"In post","2022","Unknown","SEO/HEO","Heterosexual / straight","7110","6860","38150","37930"
"In post","2022","Unknown","SEO/HEO","LGBO","520","510","36690","36500"
"In post","2022","Unknown","SEO/HEO","Undeclared","1460","1410","37290","36820"
"In post","2022","Unknown","SEO/HEO","Unknown","17100","16660","36320","35050"
"In post","2022","Unknown","Unknown","Heterosexual / straight","440","420","32350","28200"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","80","70","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","5140","4810","31340","28680"
"Leaver CS","2021","Declared disabled","AA/AO","Heterosexual / straight","700","590","21020","21010"
"Leaver CS","2021","Declared disabled","AA/AO","LGBO","80","80","20950","21010"
"Leaver CS","2021","Declared disabled","AA/AO","Undeclared","110","90","21260","21010"
"Leaver CS","2021","Declared disabled","AA/AO","Unknown","380","290","21780","20810"
"Leaver CS","2021","Declared disabled","EO","Heterosexual / straight","440","370","27570","27570"
"Leaver CS","2021","Declared disabled","EO","LGBO","50","50","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Undeclared","90","70","27680","27570"
"Leaver CS","2021","Declared disabled","EO","Unknown","230","180","28570","27570"
"Leaver CS","2021","Declared disabled","G6/G7","Heterosexual / straight","100","90","61730","57390"
"Leaver CS","2021","Declared disabled","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Heterosexual / straight","300","270","36700","35430"
"Leaver CS","2021","Declared disabled","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Undeclared","50","50","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Unknown","170","140","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Heterosexual / straight","120","100","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","AA/AO","Heterosexual / straight","4010","3600","21310","21010"
"Leaver CS","2021","Declared non-disabled","AA/AO","LGBO","230","220","21020","21010"
"Leaver CS","2021","Declared non-disabled","AA/AO","Undeclared","390","320","21160","21010"
"Leaver CS","2021","Declared non-disabled","AA/AO","Unknown","1890","1480","21210","21010"
"Leaver CS","2021","Declared non-disabled","EO","Heterosexual / straight","1990","1770","27210","27570"
"Leaver CS","2021","Declared non-disabled","EO","LGBO","100","90","26940","27520"
"Leaver CS","2021","Declared non-disabled","EO","Undeclared","240","200","27680","27370"
"Leaver CS","2021","Declared non-disabled","EO","Unknown","1170","930","27650","27570"
"Leaver CS","2021","Declared non-disabled","G6/G7","Heterosexual / straight","950","870","60460","58800"
"Leaver CS","2021","Declared non-disabled","G6/G7","LGBO","50","50","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Undeclared","130","110","63110","60320"
"Leaver CS","2021","Declared non-disabled","G6/G7","Unknown","390","330","60940","58040"
"Leaver CS","2021","Declared non-disabled","SCS","Heterosexual / straight","200","180","97420","93000"
"Leaver CS","2021","Declared non-disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Unknown","60","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Heterosexual / straight","1930","1760","37220","36460"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","LGBO","90","90","37040","36790"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Undeclared","240","220","38370","37000"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Unknown","970","830","38350","36610"
"Leaver CS","2021","Declared non-disabled","Unknown","Heterosexual / straight","380","330","38960","36490"
"Leaver CS","2021","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","30","20","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Heterosexual / straight","250","220","21640","21010"
"Leaver CS","2021","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Undeclared","170","150","22240","21010"
"Leaver CS","2021","Undeclared","AA/AO","Unknown","370","290","21420","21010"
"Leaver CS","2021","Undeclared","EO","Heterosexual / straight","110","90","26870","27470"
"Leaver CS","2021","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","Undeclared","90","80","28320","27460"
"Leaver CS","2021","Undeclared","EO","Unknown","140","120","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Unknown","60","60","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","Heterosexual / straight","120","110","36810","36500"
"Leaver CS","2021","Undeclared","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","Undeclared","120","110","38910","38000"
"Leaver CS","2021","Undeclared","SEO/HEO","Unknown","160","150","34360","34530"
"Leaver CS","2021","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Heterosexual / straight","250","220","21620","20920"
"Leaver CS","2021","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Undeclared","90","80","22220","20850"
"Leaver CS","2021","Unknown","AA/AO","Unknown","2970","2690","21000","21010"
"Leaver CS","2021","Unknown","EO","Heterosexual / straight","140","130","28520","27650"
"Leaver CS","2021","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Unknown","1340","1190","27130","27570"
"Leaver CS","2021","Unknown","G6/G7","Heterosexual / straight","100","90","61350","56500"
"Leaver CS","2021","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Unknown","520","450","60170","57870"
"Leaver CS","2021","Unknown","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS","Unknown","110","90","95790","87400"
"Leaver CS","2021","Unknown","SEO/HEO","Heterosexual / straight","240","230","38180","38430"
"Leaver CS","2021","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Undeclared","60","50","39170","39230"
"Leaver CS","2021","Unknown","SEO/HEO","Unknown","1050","950","35920","35600"
"Leaver CS","2021","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","610","570","34680","32100"
"Leaver CS","2022","Declared disabled","AA/AO","Heterosexual / straight","1140","990","21480","21260"
"Leaver CS","2022","Declared disabled","AA/AO","LGBO","160","160","21640","21260"
"Leaver CS","2022","Declared disabled","AA/AO","Undeclared","160","130","21620","21260"
"Leaver CS","2022","Declared disabled","AA/AO","Unknown","340","250","22130","21260"
"Leaver CS","2022","Declared disabled","EO","Heterosexual / straight","850","720","27670","27570"
"Leaver CS","2022","Declared disabled","EO","LGBO","140","130","27420","27570"
"Leaver CS","2022","Declared disabled","EO","Undeclared","140","110","27880","27570"
"Leaver CS","2022","Declared disabled","EO","Unknown","150","120","28890","27570"
"Leaver CS","2022","Declared disabled","G6/G7","Heterosexual / straight","180","170","59070","56950"
"Leaver CS","2022","Declared disabled","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","G6/G7","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SEO/HEO","Heterosexual / straight","530","480","37690","36410"
"Leaver CS","2022","Declared disabled","SEO/HEO","LGBO","80","70","36000","34600"
"Leaver CS","2022","Declared disabled","SEO/HEO","Undeclared","80","70","38390","37450"
"Leaver CS","2022","Declared disabled","SEO/HEO","Unknown","120","100","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Heterosexual / straight","210","190","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","AA/AO","Heterosexual / straight","6900","6270","21680","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","LGBO","480","460","21310","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","Undeclared","600","500","21610","21260"
"Leaver CS","2022","Declared non-disabled","AA/AO","Unknown","2030","1630","21600","21260"
"Leaver CS","2022","Declared non-disabled","EO","Heterosexual / straight","4710","4260","27750","27570"
"Leaver CS","2022","Declared non-disabled","EO","LGBO","320","310","27680","27570"
"Leaver CS","2022","Declared non-disabled","EO","Undeclared","500","410","27750","27570"
"Leaver CS","2022","Declared non-disabled","EO","Unknown","1070","840","27730","27570"
"Leaver CS","2022","Declared non-disabled","G6/G7","Heterosexual / straight","1940","1790","60260","58460"
"Leaver CS","2022","Declared non-disabled","G6/G7","LGBO","110","110","60590","57480"
"Leaver CS","2022","Declared non-disabled","G6/G7","Undeclared","180","170","60690","57590"
"Leaver CS","2022","Declared non-disabled","G6/G7","Unknown","450","380","58640","58280"
"Leaver CS","2022","Declared non-disabled","SCS","Heterosexual / straight","340","310","95710","93740"
"Leaver CS","2022","Declared non-disabled","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SCS","Unknown","90","70","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Heterosexual / straight","3920","3630","37470","36700"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","LGBO","220","210","36890","36610"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Undeclared","410","380","38010","37500"
"Leaver CS","2022","Declared non-disabled","SEO/HEO","Unknown","860","710","37460","36360"
"Leaver CS","2022","Declared non-disabled","Unknown","Heterosexual / straight","900","800","38070","37970"
"Leaver CS","2022","Declared non-disabled","Unknown","LGBO","60","60","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Undeclared","50","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Heterosexual / straight","410","350","21520","21260"
"Leaver CS","2022","Undeclared","AA/AO","LGBO","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","Undeclared","220","200","22880","21260"
"Leaver CS","2022","Undeclared","AA/AO","Unknown","310","240","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Heterosexual / straight","230","210","27510","27570"
"Leaver CS","2022","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","EO","Undeclared","150","130","28100","27570"
"Leaver CS","2022","Undeclared","EO","Unknown","100","80","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Heterosexual / straight","60","60","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","G6/G7","Undeclared","80","80","59520","57130"
"Leaver CS","2022","Undeclared","G6/G7","Unknown","30","[c]","[c]","[c]"
