"Status","Year","Region_ITL3","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Unknown","70","70","61810","61010"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","No function","250","240","56400","43650"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Unknown","290","270","37830","35110"
"In post","2021","Angus and Dundee City","AA/AO","Legal","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","No function","250","230","20740","20140"
"In post","2021","Angus and Dundee City","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Unknown","810","750","21210","21010"
"In post","2021","Angus and Dundee City","EO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","No function","70","60","26660","27230"
"In post","2021","Angus and Dundee City","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Unknown","410","370","27510","27570"
"In post","2021","Angus and Dundee City","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Unknown","60","50","61910","61010"
"In post","2021","Angus and Dundee City","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Legal","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","No function","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Unknown","160","150","35860","34290"
"In post","2021","Antrim and Newtownabbey","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Security","70","70","20810","20310"
"In post","2021","Antrim and Newtownabbey","AA/AO","Unknown","70","70","20820","20310"
"In post","2021","Antrim and Newtownabbey","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Security","100","100","20900","20310"
"In post","2021","Ards and North Down","AA/AO","Unknown","50","50","[c]","[c]"
"In post","2021","Ards and North Down","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","No function","60","50","22000","22450"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Unknown","60","50","24610","25110"
"In post","2021","Barking & Dagenham and Havering","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","Unknown","360","330","31050","31060"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Unknown","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","No function","50","40","[c]","[c]"
"In post","2021","Barnet","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","No function","200","170","23520","23530"
"In post","2021","Barnet","AA/AO","Unknown","60","60","24740","25110"
"In post","2021","Barnet","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","No function","180","170","28830","27710"
"In post","2021","Barnet","EO","Unknown","250","230","30950","31060"
"In post","2021","Barnet","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","No function","240","230","59000","55130"
"In post","2021","Barnet","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2021","Barnet","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SCS","No function","40","40","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","No function","390","380","38360","39700"
"In post","2021","Barnet","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Unknown","110","110","41120","40430"
"In post","2021","Barnet","Unknown","No function","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","No function","880","820","24600","24120"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Unknown","610","510","20800","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","No function","210","190","29610","28800"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Security","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Unknown","680","580","27440","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","No function","160","150","39360","38160"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Unknown","100","100","33130","32250"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","No function","210","180","29460","30210"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Human Resources","110","100","21110","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","No function","390","360","24510","23330"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Security","90","90","22990","19560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Unknown","130","120","21180","21010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Commercial","60","50","25940","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Finance","180","170","22870","22580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Human Resources","90","80","24470","25480"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","No function","290","280","30750","32770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Project Delivery","1380","1320","23030","23000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Property","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Unknown","520","480","26820","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Commercial","120","110","59470","55110"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Finance","120","120","59770","57540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Human Resources","60","60","59200","55440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Legal","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Project Delivery","1360","1330","56740","55000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Property","70","60","57260","54540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Unknown","100","100","58810","54800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Project Delivery","80","80","99170","93640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Analysis","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Commercial","290","280","37590","39080"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Communications","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Digital, Data & Technology","60","50","37700","38440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Finance","320","300","37270","36740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Human Resources","160","150","35480","35000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","No function","210","200","40690","40210"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Project Delivery","4520","4370","36130","35950"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Property","190","180","35450","35630"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Unknown","500","490","37790","37970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Commercial","150","150","41730","38240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Digital, Data & Technology","50","50","37900","36500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Finance","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Human Resources","190","180","37910","32710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","No function","110","90","31000","31420"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Project Delivery","970","960","42680","39990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","AA/AO","No function","260","240","26510","27850"
"In post","2021","Bedford","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2021","Bedford","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","EO","No function","60","60","28860","28840"
"In post","2021","Bedford","EO","Unknown","200","190","27230","27570"
"In post","2021","Bedford","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","No function","90","80","40400","39560"
"In post","2021","Bedford","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Unknown","50","50","34270","33300"
"In post","2021","Bedford","Unknown","No function","70","60","27250","23840"
"In post","2021","Bedford","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","AA/AO","No function","690","630","20460","20140"
"In post","2021","Belfast","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","AA/AO","Unknown","250","210","21250","21430"
"In post","2021","Belfast","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","EO","Counter Fraud","170","160","25990","25560"
"In post","2021","Belfast","EO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","EO","No function","430","400","26620","25560"
"In post","2021","Belfast","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","EO","Unknown","180","170","25650","25310"
"In post","2021","Belfast","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","G6/G7","Legal","[c]","[c]","[c]","[c]"
