"Status","Year","Organisation","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Female","160","150","30630","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Male","180","180","37890","35900"
"In post","2021","Charity Commission","Heterosexual / straight","Female","130","120","34350","29160"
"In post","2021","Charity Commission","Heterosexual / straight","Male","100","100","34560","29160"
"In post","2021","Charity Commission","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Female","100","90","34130","29320"
"In post","2021","Charity Commission","Unknown","Male","80","70","37100","30980"
"In post","2021","Companies House","Heterosexual / straight","Female","430","380","30060","24900"
"In post","2021","Companies House","Heterosexual / straight","Male","290","280","34620","32810"
"In post","2021","Companies House","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Female","40","30","[c]","[c]"
"In post","2021","Companies House","Undeclared","Male","50","50","32620","31780"
"In post","2021","Companies House","Unknown","Female","130","100","26020","22490"
"In post","2021","Companies House","Unknown","Male","140","130","29330","24860"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Female","360","350","58160","55860"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Male","320","320","61680","58320"
"In post","2021","Competition and Markets Authority","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Male","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Female","120","100","27150","22710"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Male","70","70","25840","22640"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Female","300","280","37040","34800"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Male","260","260","40600","35420"
"In post","2021","Crown Commercial Service","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Female","80","80","34970","31000"
"In post","2021","Crown Commercial Service","Unknown","Male","90","80","34600","30970"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Female","1270","1160","34420","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Male","470","450","37130","31720"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Female","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Male","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Female","70","60","37190","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Male","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Female","80","70","43220","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Male","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Female","3240","2960","39340","33310"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Male","1550","1510","44330","48080"
"In post","2021","Crown Prosecution Service","LGBO","Female","120","110","37240","28430"
"In post","2021","Crown Prosecution Service","LGBO","Male","140","130","43600","40270"
"In post","2021","Crown Prosecution Service","Undeclared","Female","120","110","39780","34170"
"In post","2021","Crown Prosecution Service","Undeclared","Male","80","80","43040","46800"
"In post","2021","Crown Prosecution Service","Unknown","Female","1010","870","41150","34480"
"In post","2021","Crown Prosecution Service","Unknown","Male","500","490","46160","51470"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Heterosexual / straight","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Heterosexual / straight","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","Male","80","70","63150","58810"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Heterosexual / straight","Male","110","110","28590","27460"
"In post","2021","Defence Electronics and Components Agency","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","Female","40","40","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Undeclared","Male","250","240","28770","28750"
"In post","2021","Defence Electronics and Components Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","Female","2920","2730","34070","31600"
"In post","2021","Defence Equipment and Support","Heterosexual / straight","Male","5550","5450","37760","35630"
"In post","2021","Defence Equipment and Support","LGBO","Female","120","110","30080","27540"
"In post","2021","Defence Equipment and Support","LGBO","Male","160","160","33580","31390"
"In post","2021","Defence Equipment and Support","Undeclared","Female","400","380","36190","33920"
"In post","2021","Defence Equipment and Support","Undeclared","Male","850","820","39780","38910"
"In post","2021","Defence Equipment and Support","Unknown","Female","210","200","32750","31950"
"In post","2021","Defence Equipment and Support","Unknown","Male","500","490","32930","30210"
"In post","2021","Defence Science and Technology Laboratory","Heterosexual / straight","Female","1190","1100","37900","37320"
"In post","2021","Defence Science and Technology Laboratory","Heterosexual / straight","Male","1890","1850","41750","40850"
"In post","2021","Defence Science and Technology Laboratory","LGBO","Female","70","70","34120","33240"
"In post","2021","Defence Science and Technology Laboratory","LGBO","Male","90","80","35960","35160"
"In post","2021","Defence Science and Technology Laboratory","Undeclared","Female","80","80","37640","37320"
"In post","2021","Defence Science and Technology Laboratory","Undeclared","Male","230","230","44500","46080"
"In post","2021","Defence Science and Technology Laboratory","Unknown","Female","200","190","38010","37320"
"In post","2021","Defence Science and Technology Laboratory","Unknown","Male","640","620","42140","42260"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","Female","1900","1820","48160","47780"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","Male","1890","1870","50810","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","Female","200","200","45960","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","Male","250","250","49260","52730"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","Female","240","230","48820","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","Male","270","270","51860","53550"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Female","270","260","43450","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Male","310","310","45620","40050"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Female","700","670","48940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Male","550","550","50570","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Female","80","80","41960","34130"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Male","100","100","51280","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Female","60","60","47810","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Male","50","50","49250","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Female","120","120","48210","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Male","110","110","48200","46050"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Heterosexual / straight","Female","2430","2290","43600","40230"
"In post","2021","Department for Education (excl. agencies)","Heterosexual / straight","Male","1570","1560","45560","41990"
"In post","2021","Department for Education (excl. agencies)","LGBO","Female","160","160","42200","39780"
"In post","2021","Department for Education (excl. agencies)","LGBO","Male","170","170","44570","38280"
"In post","2021","Department for Education (excl. agencies)","Undeclared","Female","230","210","43600","40230"
"In post","2021","Department for Education (excl. agencies)","Undeclared","Male","190","180","45620","42320"
"In post","2021","Department for Education (excl. agencies)","Unknown","Female","550","520","44830","40780"
"In post","2021","Department for Education (excl. agencies)","Unknown","Male","410","400","44470","40330"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","Female","2120","2000","41430","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","Male","1660","1640","43950","39370"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","Female","130","130","43180","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","Male","160","160","42710","37860"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","Female","200","190","40370","36520"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","Male","180","180","41300","39330"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Female","510","470","42520","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Male","450","440","42900","38750"
"In post","2021","Department for International Trade","Heterosexual / straight","Female","740","720","45780","40290"
"In post","2021","Department for International Trade","Heterosexual / straight","Male","810","800","47070","42160"
"In post","2021","Department for International Trade","LGBO","Female","60","60","43870","38540"
"In post","2021","Department for International Trade","LGBO","Male","130","120","48750","51710"
"In post","2021","Department for International Trade","Undeclared","Female","70","70","44980","39340"
"In post","2021","Department for International Trade","Undeclared","Male","70","70","46650","40780"
"In post","2021","Department for International Trade","Unknown","Female","400","390","42510","38540"
"In post","2021","Department for International Trade","Unknown","Male","420","420","46100","39440"
"In post","2021","Department for Transport (excl. agencies)","Heterosexual / straight","Female","1070","1020","47240","43360"
"In post","2021","Department for Transport (excl. agencies)","Heterosexual / straight","Male","1210","1190","51060","46710"
"In post","2021","Department for Transport (excl. agencies)","LGBO","Female","80","80","43640","40480"
"In post","2021","Department for Transport (excl. agencies)","LGBO","Male","150","150","47640","43360"
"In post","2021","Department for Transport (excl. agencies)","Undeclared","Female","80","80","45120","42470"
"In post","2021","Department for Transport (excl. agencies)","Undeclared","Male","200","190","52020","47060"
"In post","2021","Department for Transport (excl. agencies)","Unknown","Female","310","300","41610","35430"
"In post","2021","Department for Transport (excl. agencies)","Unknown","Male","410","400","43360","37660"
"In post","2021","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","Female","39010","34060","27530","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","Male","19720","18990","28630","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","LGBO","Female","1690","1590","27670","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","LGBO","Male","1960","1900","27970","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Undeclared","Female","4620","3940","26670","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Undeclared","Male","2580","2450","27810","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Unknown","Female","14220","11710","26540","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Unknown","Male","7160","6790","28300","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","Female","840","790","46900","42000"
"In post","2021","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","Male","540","530","49990","49530"
"In post","2021","Department of Health and Social Care (excl. agencies)","LGBO","Female","80","80","42650","36820"
"In post","2021","Department of Health and Social Care (excl. agencies)","LGBO","Male","70","70","48660","52720"
"In post","2021","Department of Health and Social Care (excl. agencies)","Undeclared","Female","60","60","45710","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","Undeclared","Male","30","30","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","Female","1130","1100","44580","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","Male","780","780","47560","40650"
"In post","2021","Disclosure Scotland","Heterosexual / straight","Female","90","80","29290","26030"
"In post","2021","Disclosure Scotland","Heterosexual / straight","Male","100","90","29840","24110"
"In post","2021","Disclosure Scotland","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Unknown","Female","60","50","26060","22230"
"In post","2021","Disclosure Scotland","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Heterosexual / straight","Female","2270","1930","24890","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Heterosexual / straight","Male","1560","1510","29690","25910"
"In post","2021","Driver and Vehicle Licensing Agency","LGBO","Female","90","80","23080","21590"
"In post","2021","Driver and Vehicle Licensing Agency","LGBO","Male","80","80","26730","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Undeclared","Female","1000","750","23430","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Undeclared","Male","550","530","27920","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Unknown","Female","400","340","22760","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Unknown","Male","280","270","27460","21590"
"In post","2021","Driver and Vehicle Standards Agency","Heterosexual / straight","Female","790","730","29710","26780"
"In post","2021","Driver and Vehicle Standards Agency","Heterosexual / straight","Male","1990","1910","30480","27680"
"In post","2021","Driver and Vehicle Standards Agency","LGBO","Female","50","50","27440","26610"
"In post","2021","Driver and Vehicle Standards Agency","LGBO","Male","90","80","31210","29730"
"In post","2021","Driver and Vehicle Standards Agency","Undeclared","Female","270","230","29090","26780"
"In post","2021","Driver and Vehicle Standards Agency","Undeclared","Male","650","590","29600","26780"
"In post","2021","Driver and Vehicle Standards Agency","Unknown","Female","320","300","27500","26470"
"In post","2021","Driver and Vehicle Standards Agency","Unknown","Male","640","630","28380","26700"
"In post","2021","Education and Skills Funding Agency","Heterosexual / straight","Female","700","660","41010","36960"
"In post","2021","Education and Skills Funding Agency","Heterosexual / straight","Male","510","510","41870","36960"
"In post","2021","Education and Skills Funding Agency","LGBO","Female","40","30","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","LGBO","Male","40","40","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Undeclared","Female","50","50","40320","36780"
"In post","2021","Education and Skills Funding Agency","Undeclared","Male","50","50","44110","40940"
"In post","2021","Education and Skills Funding Agency","Unknown","Female","230","220","41630","37100"
"In post","2021","Education and Skills Funding Agency","Unknown","Male","200","200","45660","42580"
"In post","2021","Education Scotland","Heterosexual / straight","Female","130","130","57450","65650"
"In post","2021","Education Scotland","Heterosexual / straight","Male","40","40","[c]","[c]"
"In post","2021","Education Scotland","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Unknown","Female","90","80","51000","52480"
"In post","2021","Education Scotland","Unknown","Male","40","30","[c]","[c]"
"In post","2021","ESTYN","Heterosexual / straight","Female","60","50","53540","62360"
"In post","2021","ESTYN","Heterosexual / straight","Male","40","40","[c]","[c]"
"In post","2021","ESTYN","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Heterosexual / straight","Female","250","240","39210","32670"
"In post","2021","FCDO Services","Heterosexual / straight","Male","560","540","40960","38760"
"In post","2021","FCDO Services","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Undeclared","Male","70","60","44380","41320"
"In post","2021","FCDO Services","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Unknown","Male","120","120","40600","40410"
"In post","2021","Food Standards Agency","Heterosexual / straight","Female","390","370","39120","37910"
"In post","2021","Food Standards Agency","Heterosexual / straight","Male","470","460","37490","32830"
"In post","2021","Food Standards Agency","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Female","60","60","40570","40350"
"In post","2021","Food Standards Agency","Undeclared","Male","60","60","38990","35630"
"In post","2021","Food Standards Agency","Unknown","Female","60","60","38570","33150"
"In post","2021","Food Standards Agency","Unknown","Male","230","220","31320","26750"
"In post","2021","Food Standards Scotland","Heterosexual / straight","Female","70","70","35600","33620"
"In post","2021","Food Standards Scotland","Heterosexual / straight","Male","70","60","36350","30650"
"In post","2021","Food Standards Scotland","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Unknown","Female","30","30","[c]","[c]"
"In post","2021","Food Standards Scotland","Unknown","Male","60","60","33930","30650"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","Female","2720","2630","47070","41000"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","Male","2380","2360","50380","48840"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","Female","130","130","43550","38600"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","Male","250","240","51670","53470"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","Female","250","250","47640","42880"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","Male","330","330","50400","45660"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Female","750","720","47120","45490"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Male","670","660","49290","51500"
"In post","2021","Forestry and Land Scotland","Heterosexual / straight","Female","90","90","33980","30160"
"In post","2021","Forestry and Land Scotland","Heterosexual / straight","Male","130","120","35280","35330"
"In post","2021","Forestry and Land Scotland","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Unknown","Female","230","210","30440","28120"
"In post","2021","Forestry and Land Scotland","Unknown","Male","520","510","30630","28120"
"In post","2021","Government Actuary's Department","Heterosexual / straight","Female","60","60","61570","64100"
"In post","2021","Government Actuary's Department","Heterosexual / straight","Male","100","90","71170","60780"
"In post","2021","Government Actuary's Department","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Heterosexual / straight","Female","200","190","45600","42720"
"In post","2021","Government Internal Audit Agency","Heterosexual / straight","Male","190","190","51260","49750"
"In post","2021","Government Internal Audit Agency","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Heterosexual / straight","Female","1090","1000","53390","51830"
"In post","2021","Government Legal Department","Heterosexual / straight","Male","530","520","52870","51250"
"In post","2021","Government Legal Department","LGBO","Female","60","60","50820","51250"
"In post","2021","Government Legal Department","LGBO","Male","100","90","54030","51830"
"In post","2021","Government Legal Department","Undeclared","Female","110","100","53650","52080"
"In post","2021","Government Legal Department","Undeclared","Male","70","60","58090","63730"
"In post","2021","Government Legal Department","Unknown","Female","380","330","57850","63730"
"In post","2021","Government Legal Department","Unknown","Male","200","190","60120","65630"
"In post","2021","Government Property Agency","Heterosexual / straight","Female","80","70","46050","45200"
"In post","2021","Government Property Agency","Heterosexual / straight","Male","90","90","54480","53140"
"In post","2021","Government Property Agency","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Undeclared","Male","[c]","[c]","[c]","[c]"
