"Status","Year","Sexual_orientation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Female","900","840","35810","33050"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Male","740","730","37940","35070"
"In post","2021","Heterosexual / straight","Legal","Female","4650","4250","48850","50520"
"In post","2021","Heterosexual / straight","Legal","Male","3080","2990","47300","48080"
"In post","2021","Heterosexual / straight","Medicine","Female","1220","1080","49690","37890"
"In post","2021","Heterosexual / straight","Medicine","Male","500","460","65160","64380"
"In post","2021","Heterosexual / straight","Operational Delivery","Female","65030","58130","28030","25480"
"In post","2021","Heterosexual / straight","Operational Delivery","Male","50970","48930","30420","27370"
"In post","2021","Heterosexual / straight","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Female","320","300","43560","40530"
"In post","2021","Heterosexual / straight","Operational Research","Male","540","520","45310","46080"
"In post","2021","Heterosexual / straight","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Female","7950","7470","29240","24890"
"In post","2021","Heterosexual / straight","Other","Male","7310","7150","32050","26930"
"In post","2021","Heterosexual / straight","Planning","Female","80","80","45760","40790"
"In post","2021","Heterosexual / straight","Planning","Male","80","80","48270","41020"
"In post","2021","Heterosexual / straight","Planning Inspectors","Female","100","90","57580","58810"
"In post","2021","Heterosexual / straight","Planning Inspectors","Male","160","150","58050","58810"
"In post","2021","Heterosexual / straight","Policy","Female","10970","10500","46190","41760"
"In post","2021","Heterosexual / straight","Policy","Male","8720","8630","49450","48400"
"In post","2021","Heterosexual / straight","Project Delivery","Female","6040","5770","40490","37450"
"In post","2021","Heterosexual / straight","Project Delivery","Male","5830","5740","44410","40580"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Female","1940","1810","35030","33000"
"In post","2021","Heterosexual / straight","Property","Male","2930","2860","37940","33570"
"In post","2021","Heterosexual / straight","Psychology","Female","940","890","35650","31180"
"In post","2021","Heterosexual / straight","Psychology","Male","120","120","36780","31180"
"In post","2021","Heterosexual / straight","Science and Engineering","Female","2790","2580","38080","36150"
"In post","2021","Heterosexual / straight","Science and Engineering","Male","6100","5970","38510","37320"
"In post","2021","Heterosexual / straight","Security","Female","1220","1170","31980","28750"
"In post","2021","Heterosexual / straight","Security","Male","4670","4590","30520","26610"
"In post","2021","Heterosexual / straight","Social Research","Female","610","570","43210","41760"
"In post","2021","Heterosexual / straight","Social Research","Male","240","240","43850","40960"
"In post","2021","Heterosexual / straight","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Female","680","640","44190","40640"
"In post","2021","Heterosexual / straight","Statistics","Male","710","700","44500","40640"
"In post","2021","Heterosexual / straight","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Tax","Female","4640","4260","34380","31810"
"In post","2021","Heterosexual / straight","Tax","Male","4960","4770","36830","31810"
"In post","2021","Heterosexual / straight","Unknown","Female","47800","42400","30040","27570"
"In post","2021","Heterosexual / straight","Unknown","Male","27190","26360","32460","27570"
"In post","2021","Heterosexual / straight","Veterinarian","Female","170","160","44810","38750"
"In post","2021","Heterosexual / straight","Veterinarian","Male","120","120","46760","46450"
"In post","2021","LGBO","Commercial","Female","60","60","35350","32850"
"In post","2021","LGBO","Commercial","Male","110","100","38190","34710"
"In post","2021","LGBO","Communications","Female","80","70","39570","36780"
"In post","2021","LGBO","Communications","Male","130","130","43110","40960"
"In post","2021","LGBO","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Female","210","210","40070","37130"
"In post","2021","LGBO","Digital, Data and Technology","Male","280","270","42290","38040"
"In post","2021","LGBO","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Female","50","50","43250","36150"
"In post","2021","LGBO","Economics","Male","70","70","47610","40050"
"In post","2021","LGBO","Finance","Female","100","100","39000","33930"
"In post","2021","LGBO","Finance","Male","140","140","47040","45070"
"In post","2021","LGBO","Human Resources","Female","150","140","38280","32870"
"In post","2021","LGBO","Human Resources","Male","200","200","42860","39580"
"In post","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Female","60","60","32100","29280"
"In post","2021","LGBO","Intelligence Analysis","Male","60","60","39640","33900"
"In post","2021","LGBO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Male","60","60","51900","51970"
"In post","2021","LGBO","Knowledge and Information Management","Female","40","40","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","Male","50","50","[c]","[c]"
"In post","2021","LGBO","Legal","Female","170","160","46530","49540"
"In post","2021","LGBO","Legal","Male","270","270","52250","51830"
"In post","2021","LGBO","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Delivery","Female","3610","3470","28610","25900"
"In post","2021","LGBO","Operational Delivery","Male","2820","2730","29410","26220"
"In post","2021","LGBO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","Male","40","40","[c]","[c]"
"In post","2021","LGBO","Other","Female","270","260","30760","26510"
"In post","2021","LGBO","Other","Male","330","320","32510","28660"
"In post","2021","LGBO","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Policy","Female","800","790","44230","39600"
"In post","2021","LGBO","Policy","Male","1100","1090","49130","50870"
"In post","2021","LGBO","Project Delivery","Female","240","240","39490","35960"
"In post","2021","LGBO","Project Delivery","Male","320","320","43220","39310"
"In post","2021","LGBO","Property","Female","80","70","34040","32010"
"In post","2021","LGBO","Property","Male","100","100","37670","33300"
"In post","2021","LGBO","Psychology","Female","40","40","[c]","[c]"
"In post","2021","LGBO","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Science and Engineering","Female","190","180","35380","31250"
"In post","2021","LGBO","Science and Engineering","Male","240","230","37080","31710"
"In post","2021","LGBO","Security","Female","110","110","32010","28990"
"In post","2021","LGBO","Security","Male","140","140","33660","32860"
"In post","2021","LGBO","Social Research","Female","50","50","41890","37020"
"In post","2021","LGBO","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","Female","60","60","38870","37020"
"In post","2021","LGBO","Statistics","Male","80","70","42790","37800"
"In post","2021","LGBO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Tax","Female","250","240","32820","31810"
"In post","2021","LGBO","Tax","Male","390","380","33670","31810"
"In post","2021","LGBO","Unknown","Female","2250","2140","30210","27570"
"In post","2021","LGBO","Unknown","Male","2710","2640","31630","27570"
"In post","2021","LGBO","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Female","250","230","38420","36290"
"In post","2021","Undeclared","Commercial","Male","240","240","41620","39750"
"In post","2021","Undeclared","Communications","Female","170","150","38970","37390"
"In post","2021","Undeclared","Communications","Male","140","140","38520","36660"
"In post","2021","Undeclared","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Male","40","40","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Female","440","420","39980","37410"
"In post","2021","Undeclared","Digital, Data and Technology","Male","890","870","41570","38980"
"In post","2021","Undeclared","Economics","Female","50","50","[c]","[c]"
"In post","2021","Undeclared","Economics","Male","110","110","48310","48180"
"In post","2021","Undeclared","Finance","Female","520","470","37710","33300"
"In post","2021","Undeclared","Finance","Male","380","380","44010","41800"
"In post","2021","Undeclared","Human Resources","Female","400","370","35880","32890"
"In post","2021","Undeclared","Human Resources","Male","210","200","37890","35130"
"In post","2021","Undeclared","Inspector of Education and Training","Female","30","30","[c]","[c]"
"In post","2021","Undeclared","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","Female","190","180","32790","30100"
"In post","2021","Undeclared","Intelligence Analysis","Male","240","230","35480","32670"
"In post","2021","Undeclared","Internal Audit","Female","50","50","45460","42140"
"In post","2021","Undeclared","Internal Audit","Male","30","30","[c]","[c]"
"In post","2021","Undeclared","International Trade","Female","50","40","[c]","[c]"
"In post","2021","Undeclared","International Trade","Male","50","50","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Female","160","150","34910","32440"
"In post","2021","Undeclared","Knowledge and Information Management","Male","170","160","40210","37410"
"In post","2021","Undeclared","Legal","Female","550","490","47940","45480"
"In post","2021","Undeclared","Legal","Male","470","450","45670","41760"
"In post","2021","Undeclared","Medicine","Female","150","130","59100","45100"
"In post","2021","Undeclared","Medicine","Male","80","70","71920","82100"
"In post","2021","Undeclared","Operational Delivery","Female","9690","8400","27620","25560"
"In post","2021","Undeclared","Operational Delivery","Male","7800","7360","30340","27380"
"In post","2021","Undeclared","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Research","Female","30","30","[c]","[c]"
"In post","2021","Undeclared","Operational Research","Male","80","70","46200","46080"
"In post","2021","Undeclared","Other","Female","1040","970","29340","25610"
"In post","2021","Undeclared","Other","Male","1130","1100","33180","27880"
"In post","2021","Undeclared","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Policy","Female","1280","1240","45250","40580"
"In post","2021","Undeclared","Policy","Male","1340","1320","49160","47300"
"In post","2021","Undeclared","Project Delivery","Female","690","660","41310","38630"
"In post","2021","Undeclared","Project Delivery","Male","800","780","45970","41790"
"In post","2021","Undeclared","Property","Female","290","270","34990","33300"
"In post","2021","Undeclared","Property","Male","460","450","38750","36140"
"In post","2021","Undeclared","Psychology","Female","80","70","34770","31180"
"In post","2021","Undeclared","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","Female","420","390","40410","38130"
"In post","2021","Undeclared","Science and Engineering","Male","1160","1110","39250","37360"
"In post","2021","Undeclared","Security","Female","170","160","31380","29080"
"In post","2021","Undeclared","Security","Male","770","760","35170","39070"
"In post","2021","Undeclared","Social Research","Female","50","40","[c]","[c]"
"In post","2021","Undeclared","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","Female","60","60","41480","37750"
"In post","2021","Undeclared","Statistics","Male","80","80","42260","38500"
"In post","2021","Undeclared","Tax","Female","590","530","36420","31870"
"In post","2021","Undeclared","Tax","Male","740","700","39460","35000"
"In post","2021","Undeclared","Unknown","Female","5300","4590","28530","27570"
"In post","2021","Undeclared","Unknown","Male","3400","3260","31420","27570"
"In post","2021","Undeclared","Veterinarian","Female","40","40","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","Male","30","30","[c]","[c]"
"In post","2021","Unknown","Commercial","Female","480","460","38680","37300"
"In post","2021","Unknown","Commercial","Male","450","440","41890","39620"
"In post","2021","Unknown","Communications","Female","510","490","42160","38640"
"In post","2021","Unknown","Communications","Male","370","360","42990","38970"
"In post","2021","Unknown","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Female","90","80","38890","35240"
"In post","2021","Unknown","Counter Fraud","Male","120","110","42130","39740"
"In post","2021","Unknown","Digital, Data and Technology","Female","980","940","40200","36890"
"In post","2021","Unknown","Digital, Data and Technology","Male","2210","2180","41030","38160"
"In post","2021","Unknown","Economics","Female","170","160","45120","40170"
"In post","2021","Unknown","Economics","Male","320","310","45390","37890"
"In post","2021","Unknown","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Female","790","730","35740","32790"
"In post","2021","Unknown","Finance","Male","640","620","40030","36180"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Female","610","580","36090","32140"
"In post","2021","Unknown","Human Resources","Male","290","280","37230","33300"
"In post","2021","Unknown","Inspector of Education and Training","Female","30","30","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Female","160","150","41640","36290"
"In post","2021","Unknown","Intelligence Analysis","Male","220","220","41770","37400"
"In post","2021","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Male","30","30","[c]","[c]"
"In post","2021","Unknown","International Trade","Female","210","210","43580","38540"
"In post","2021","Unknown","International Trade","Male","250","250","46290","39110"
"In post","2021","Unknown","Knowledge and Information Management","Female","190","170","36200","33280"
"In post","2021","Unknown","Knowledge and Information Management","Male","140","140","37920","35370"
"In post","2021","Unknown","Legal","Female","1660","1490","48780","51990"
"In post","2021","Unknown","Legal","Male","1280","1240","46500","41760"
"In post","2021","Unknown","Medicine","Female","360","310","56840","40890"
"In post","2021","Unknown","Medicine","Male","160","140","66210","56450"
"In post","2021","Unknown","Operational Delivery","Female","18570","16290","26130","22920"
"In post","2021","Unknown","Operational Delivery","Male","17620","16700","28440","25930"
"In post","2021","Unknown","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Female","50","50","[c]","[c]"
"In post","2021","Unknown","Operational Research","Male","110","100","42980","40480"
"In post","2021","Unknown","Other","Female","1500","1420","34550","30150"
"In post","2021","Unknown","Other","Male","3140","3090","37110","33280"
"In post","2021","Unknown","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Female","2660","2560","45770","40650"
"In post","2021","Unknown","Policy","Male","2190","2170","47580","43360"
"In post","2021","Unknown","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Female","1080","1030","40820","38630"
"In post","2021","Unknown","Project Delivery","Male","1010","990","43060","39450"
"In post","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","Female","470","430","31650","29450"
"In post","2021","Unknown","Property","Male","700","680","35700","32100"
"In post","2021","Unknown","Psychology","Female","180","170","36260","33300"
"In post","2021","Unknown","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Science and Engineering","Female","1090","1000","38730","37420"
"In post","2021","Unknown","Science and Engineering","Male","2120","2050","40320","39650"
"In post","2021","Unknown","Security","Female","240","230","33580","30630"
"In post","2021","Unknown","Security","Male","990","990","31730","28890"
"In post","2021","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","Female","100","90","39220","37020"
"In post","2021","Unknown","Social Research","Male","70","70","39190","37020"
"In post","2021","Unknown","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","Female","140","130","39270","36160"
"In post","2021","Unknown","Statistics","Male","200","200","41970","37020"
"In post","2021","Unknown","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Tax","Female","2950","2750","27590","25560"
"In post","2021","Unknown","Tax","Male","3290","3170","29860","25560"
"In post","2021","Unknown","Unknown","Female","19490","16730","29720","27570"
"In post","2021","Unknown","Unknown","Male","12490","12030","33450","27570"
"In post","2021","Unknown","Veterinarian","Female","40","40","[c]","[c]"
"In post","2021","Unknown","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Commercial","Female","2500","2370","38960","36510"
"In post","2022","Heterosexual / straight","Commercial","Male","1950","1920","41980","38980"
"In post","2022","Heterosexual / straight","Communications","Female","1710","1620","42400","39250"
"In post","2022","Heterosexual / straight","Communications","Male","1050","1030","42660","38750"
"In post","2022","Heterosexual / straight","Corporate Finance","Female","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Corporate Finance","Male","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Counter Fraud","Female","2620","2320","28320","27570"
"In post","2022","Heterosexual / straight","Counter Fraud","Male","1750","1650","30600","27570"
"In post","2022","Heterosexual / straight","Digital, Data and Technology","Female","4750","4510","40910","37590"
"In post","2022","Heterosexual / straight","Digital, Data and Technology","Male","8470","8350","43050","40000"
"In post","2022","Heterosexual / straight","Economics","Female","540","520","48240","45260"
"In post","2022","Heterosexual / straight","Economics","Male","880","870","48540","49530"
"In post","2022","Heterosexual / straight","Finance","Female","5210","4920","38780","34290"
"In post","2022","Heterosexual / straight","Finance","Male","3900","3840","43030","39360"
"In post","2022","Heterosexual / straight","Geography","Female","110","100","31310","33000"
"In post","2022","Heterosexual / straight","Geography","Male","210","200","32270","33290"
"In post","2022","Heterosexual / straight","Human Resources","Female","5370","5030","39070","34710"
"In post","2022","Heterosexual / straight","Human Resources","Male","1970","1930","40260","36650"
"In post","2022","Heterosexual / straight","Inspector of Education and Training","Female","590","580","62630","51360"
"In post","2022","Heterosexual / straight","Inspector of Education and Training","Male","220","210","73060","75500"
"In post","2022","Heterosexual / straight","Intelligence Analysis","Female","1100","1030","31920","28990"
"In post","2022","Heterosexual / straight","Intelligence Analysis","Male","1280","1250","35070","31960"
"In post","2022","Heterosexual / straight","Internal Audit","Female","310","290","44500","42510"
"In post","2022","Heterosexual / straight","Internal Audit","Male","290","280","48430","46350"
"In post","2022","Heterosexual / straight","International Trade","Female","460","450","47630","47240"
"In post","2022","Heterosexual / straight","International Trade","Male","510","500","48210","48220"
"In post","2022","Heterosexual / straight","Knowledge and Information Management","Female","930","870","34320","31840"
"In post","2022","Heterosexual / straight","Knowledge and Information Management","Male","690","680","37030","33300"
"In post","2022","Heterosexual / straight","Legal","Female","5090","4660","49550","50500"
"In post","2022","Heterosexual / straight","Legal","Male","3230","3140","48450","48080"
"In post","2022","Heterosexual / straight","Medicine","Female","1240","1090","49700","39630"
"In post","2022","Heterosexual / straight","Medicine","Male","490","450","64080","63430"
"In post","2022","Heterosexual / straight","Operational Delivery","Female","101240","90120","28250","27130"
"In post","2022","Heterosexual / straight","Operational Delivery","Male","68090","65440","30210","27570"
"In post","2022","Heterosexual / straight","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Operational Research","Female","240","220","45320","42470"
"In post","2022","Heterosexual / straight","Operational Research","Male","310","300","47400","47010"
"In post","2022","Heterosexual / straight","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Other","Female","11930","10980","29040","26670"
"In post","2022","Heterosexual / straight","Other","Male","9180","8980","31350","27570"
"In post","2022","Heterosexual / straight","Planning","Female","80","80","45650","41650"
"In post","2022","Heterosexual / straight","Planning","Male","90","90","45810","41020"
"In post","2022","Heterosexual / straight","Planning Inspectors","Female","110","100","55090","58810"
"In post","2022","Heterosexual / straight","Planning Inspectors","Male","170","160","56990","58810"
"In post","2022","Heterosexual / straight","Policy","Female","12940","12360","46460","41970"
"In post","2022","Heterosexual / straight","Policy","Male","10200","10070","48970","47470"
"In post","2022","Heterosexual / straight","Project Delivery","Female","5930","5610","41960","39600"
"In post","2022","Heterosexual / straight","Project Delivery","Male","5540","5430","45690","41000"
"In post","2022","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Property","Female","2230","2090","36560","33300"
"In post","2022","Heterosexual / straight","Property","Male","3140","3070","39870","36390"
"In post","2022","Heterosexual / straight","Psychology","Female","1010","970","35900","30790"
"In post","2022","Heterosexual / straight","Psychology","Male","120","120","36900","31180"
"In post","2022","Heterosexual / straight","Science and Engineering","Female","2640","2460","38410","36330"
"In post","2022","Heterosexual / straight","Science and Engineering","Male","5770","5650","38890","37420"
"In post","2022","Heterosexual / straight","Security","Female","1480","1430","32920","30860"
"In post","2022","Heterosexual / straight","Security","Male","5120","5030","31410","27680"
"In post","2022","Heterosexual / straight","Social Research","Female","660","620","42520","38340"
"In post","2022","Heterosexual / straight","Social Research","Male","280","280","44010","39840"
"In post","2022","Heterosexual / straight","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Statistics","Female","780","730","45340","41340"
"In post","2022","Heterosexual / straight","Statistics","Male","910","890","44500","40200"
"In post","2022","Heterosexual / straight","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Tax","Female","5620","5230","35590","33370"
"In post","2022","Heterosexual / straight","Tax","Male","5880","5710","37830","33370"
"In post","2022","Heterosexual / straight","Unknown","Female","9990","9500","41800","36130"
"In post","2022","Heterosexual / straight","Unknown","Male","7800","7710","43810","37610"
"In post","2022","Heterosexual / straight","Veterinarian","Female","160","150","43520","38390"
"In post","2022","Heterosexual / straight","Veterinarian","Male","120","120","44060","40440"
"In post","2022","LGBO","Commercial","Female","120","120","35670","33000"
"In post","2022","LGBO","Commercial","Male","140","140","39300","36860"
"In post","2022","LGBO","Communications","Female","110","110","40190","37350"
"In post","2022","LGBO","Communications","Male","140","140","41710","39230"
"In post","2022","LGBO","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","Female","120","110","28780","27570"
"In post","2022","LGBO","Counter Fraud","Male","100","100","29290","27570"
"In post","2022","LGBO","Digital, Data and Technology","Female","370","360","39410","36120"
"In post","2022","LGBO","Digital, Data and Technology","Male","480","480","41670","37400"
"In post","2022","LGBO","Economics","Female","60","60","42430","37810"
"In post","2022","LGBO","Economics","Male","80","80","46060","40540"
"In post","2022","LGBO","Finance","Female","170","170","39120","34670"
"In post","2022","LGBO","Finance","Male","220","220","43410","40000"
"In post","2022","LGBO","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","Female","230","220","37920","33290"
"In post","2022","LGBO","Human Resources","Male","280","270","41850","37230"
"In post","2022","LGBO","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Intelligence Analysis","Female","70","60","31410","29250"
"In post","2022","LGBO","Intelligence Analysis","Male","50","50","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","International Trade","Female","30","30","[c]","[c]"
"In post","2022","LGBO","International Trade","Male","80","80","49120","43840"
"In post","2022","LGBO","Knowledge and Information Management","Female","50","50","31700","28050"
"In post","2022","LGBO","Knowledge and Information Management","Male","60","60","37760","35850"
"In post","2022","LGBO","Legal","Female","210","200","47050","48440"
"In post","2022","LGBO","Legal","Male","280","280","52850","52520"
"In post","2022","LGBO","Medicine","Female","40","30","[c]","[c]"
"In post","2022","LGBO","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Operational Delivery","Female","5690","5450","28500","27120"
"In post","2022","LGBO","Operational Delivery","Male","4690","4550","29030","27570"
"In post","2022","LGBO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Operational Research","Male","40","40","[c]","[c]"
"In post","2022","LGBO","Other","Female","490","470","29290","26950"
"In post","2022","LGBO","Other","Male","530","520","30970","27570"
"In post","2022","LGBO","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Policy","Female","1060","1040","43880","40050"
"In post","2022","LGBO","Policy","Male","1320","1300","48870","48500"
"In post","2022","LGBO","Project Delivery","Female","270","270","41010","37280"
"In post","2022","LGBO","Project Delivery","Male","340","330","44500","40520"
