"Status","Year","Ethnicity","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Black","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Declared non-disabled","180","170","31180","27570"
"In post","2021","Black","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Declared disabled","80","70","30990","27630"
"In post","2021","Black","South East (England)","Declared non-disabled","670","650","30530","29290"
"In post","2021","Black","South East (England)","Undeclared","50","40","[c]","[c]"
"In post","2021","Black","South East (England)","Unknown","50","50","28610","27050"
"In post","2021","Black","South West (England)","Declared disabled","50","50","31440","28650"
"In post","2021","Black","South West (England)","Declared non-disabled","420","410","32380","31020"
"In post","2021","Black","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Unknown","40","30","[c]","[c]"
"In post","2021","Black","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales","Declared non-disabled","150","140","28670","26290"
"In post","2021","Black","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","West Midlands (England)","Declared disabled","160","150","28180","27570"
"In post","2021","Black","West Midlands (England)","Declared non-disabled","910","860","27770","26550"
"In post","2021","Black","West Midlands (England)","Undeclared","60","50","27850","27570"
"In post","2021","Black","West Midlands (England)","Unknown","70","70","34380","26630"
"In post","2021","Black","Yorkshire and The Humber","Declared disabled","60","60","29750","27570"
"In post","2021","Black","Yorkshire and The Humber","Declared non-disabled","400","380","28670","27570"
"In post","2021","Black","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Yorkshire and The Humber","Unknown","40","40","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","Declared disabled","30","30","[c]","[c]"
"In post","2021","Chinese","London","Declared non-disabled","480","460","43440","39830"
"In post","2021","Chinese","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","Unknown","60","60","47100","41880"
"In post","2021","Chinese","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North East (England)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North West (England)","Declared non-disabled","120","110","28690","25190"
"In post","2021","Chinese","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South East (England)","Declared non-disabled","80","70","31350","28750"
"In post","2021","Chinese","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South West (England)","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Chinese","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","Declared non-disabled","50","50","31470","29720"
"In post","2021","Chinese","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East Midlands (England)","Declared disabled","60","60","30080","27570"
"In post","2021","Mixed","East Midlands (England)","Declared non-disabled","250","230","30120","27570"
"In post","2021","Mixed","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East of England","Declared disabled","70","60","29580","27570"
"In post","2021","Mixed","East of England","Declared non-disabled","300","280","30160","28080"
"In post","2021","Mixed","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East of England","Unknown","30","30","[c]","[c]"
"In post","2021","Mixed","London","Declared disabled","420","400","39090","33640"
"In post","2021","Mixed","London","Declared non-disabled","2560","2480","40960","35700"
"In post","2021","Mixed","London","Undeclared","160","150","40760","35090"
"In post","2021","Mixed","London","Unknown","270","260","42490","39680"
"In post","2021","Mixed","North East (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Mixed","North East (England)","Declared non-disabled","160","150","28670","25560"
"In post","2021","Mixed","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","North West (England)","Declared disabled","150","130","27900","26470"
"In post","2021","Mixed","North West (England)","Declared non-disabled","530","500","29840","26470"
"In post","2021","Mixed","North West (England)","Undeclared","40","40","[c]","[c]"
"In post","2021","Mixed","North West (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Mixed","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Overseas","Declared non-disabled","90","90","48410","50940"
"In post","2021","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland","Declared disabled","40","30","[c]","[c]"
"In post","2021","Mixed","Scotland","Declared non-disabled","180","180","34940","27570"
"In post","2021","Mixed","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland","Unknown","30","30","[c]","[c]"
"In post","2021","Mixed","South East (England)","Declared disabled","100","90","31890","29290"
"In post","2021","Mixed","South East (England)","Declared non-disabled","480","460","31290","28650"
"In post","2021","Mixed","South East (England)","Undeclared","40","40","[c]","[c]"
"In post","2021","Mixed","South East (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Mixed","South West (England)","Declared disabled","90","80","32630","27570"
"In post","2021","Mixed","South West (England)","Declared non-disabled","460","440","32810","29000"
"In post","2021","Mixed","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","South West (England)","Unknown","30","30","[c]","[c]"
"In post","2021","Mixed","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Wales","Declared disabled","60","50","28850","27570"
"In post","2021","Mixed","Wales","Declared non-disabled","260","250","30950","27570"
"In post","2021","Mixed","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Wales","Unknown","40","40","[c]","[c]"
"In post","2021","Mixed","West Midlands (England)","Declared disabled","80","70","27670","27470"
"In post","2021","Mixed","West Midlands (England)","Declared non-disabled","390","360","28950","26780"
"In post","2021","Mixed","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","West Midlands (England)","Unknown","50","50","30440","28490"
"In post","2021","Mixed","Yorkshire and The Humber","Declared disabled","90","80","29770","27570"
"In post","2021","Mixed","Yorkshire and The Humber","Declared non-disabled","350","330","31080","27570"
"In post","2021","Mixed","Yorkshire and The Humber","Undeclared","30","30","[c]","[c]"
"In post","2021","Mixed","Yorkshire and The Humber","Unknown","30","30","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East of England","Declared non-disabled","80","80","32250","27670"
"In post","2021","Other ethnicity","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","London","Declared disabled","160","150","39730","34650"
"In post","2021","Other ethnicity","London","Declared non-disabled","910","870","40750","34940"
"In post","2021","Other ethnicity","London","Undeclared","80","70","45390","39300"
"In post","2021","Other ethnicity","London","Unknown","120","120","48250","41500"
"In post","2021","Other ethnicity","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North East (England)","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Other ethnicity","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North West (England)","Declared disabled","40","30","[c]","[c]"
"In post","2021","Other ethnicity","North West (England)","Declared non-disabled","120","110","30800","27570"
"In post","2021","Other ethnicity","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Scotland","Declared non-disabled","60","60","33930","27570"
"In post","2021","Other ethnicity","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","South East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","South East (England)","Declared non-disabled","160","150","29870","27570"
"In post","2021","Other ethnicity","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","South West (England)","Declared non-disabled","130","120","31020","27620"
"In post","2021","Other ethnicity","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales","Declared non-disabled","70","70","32950","27570"
"In post","2021","Other ethnicity","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","West Midlands (England)","Declared non-disabled","110","100","28990","26120"
"In post","2021","Other ethnicity","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Yorkshire and The Humber","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Yorkshire and The Humber","Declared non-disabled","80","70","32290","26510"
"In post","2021","Other ethnicity","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","East Midlands (England)","Declared disabled","110","100","27910","27370"
"In post","2021","Undeclared","East Midlands (England)","Declared non-disabled","400","360","29160","27570"
"In post","2021","Undeclared","East Midlands (England)","Undeclared","350","330","31400","29280"
"In post","2021","Undeclared","East Midlands (England)","Unknown","50","50","34600","30320"
"In post","2021","Undeclared","East of England","Declared disabled","100","90","30840","29050"
"In post","2021","Undeclared","East of England","Declared non-disabled","460","420","29290","27680"
"In post","2021","Undeclared","East of England","Undeclared","440","410","32620","30590"
"In post","2021","Undeclared","East of England","Unknown","90","80","37150","33300"
"In post","2021","Undeclared","London","Declared disabled","400","380","38050","31880"
"In post","2021","Undeclared","London","Declared non-disabled","2150","2030","40330","35050"
"In post","2021","Undeclared","London","Undeclared","1610","1550","44350","39800"
"In post","2021","Undeclared","London","Unknown","500","480","45380","41350"
"In post","2021","Undeclared","North East (England)","Declared disabled","100","90","28050","25560"
"In post","2021","Undeclared","North East (England)","Declared non-disabled","420","380","27810","25560"
"In post","2021","Undeclared","North East (England)","Undeclared","430","400","30350","27230"
"In post","2021","Undeclared","North East (England)","Unknown","80","70","30380","25560"
"In post","2021","Undeclared","North West (England)","Declared disabled","260","230","28050","27570"
"In post","2021","Undeclared","North West (England)","Declared non-disabled","1000","900","29170","27570"
"In post","2021","Undeclared","North West (England)","Undeclared","800","750","32340","28210"
"In post","2021","Undeclared","North West (England)","Unknown","160","150","32300","30120"
"In post","2021","Undeclared","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland","Undeclared","50","50","27800","26500"
"In post","2021","Undeclared","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Overseas","Declared non-disabled","90","80","47400","41760"
"In post","2021","Undeclared","Overseas","Undeclared","80","80","46070","41620"
"In post","2021","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland","Declared disabled","150","140","30480","27570"
"In post","2021","Undeclared","Scotland","Declared non-disabled","650","590","31360","27570"
"In post","2021","Undeclared","Scotland","Undeclared","370","340","33380","27570"
"In post","2021","Undeclared","Scotland","Unknown","470","440","34530","33650"
"In post","2021","Undeclared","South East (England)","Declared disabled","220","190","29530","27570"
"In post","2021","Undeclared","South East (England)","Declared non-disabled","910","830","31670","28550"
"In post","2021","Undeclared","South East (England)","Undeclared","920","870","33770","31810"
"In post","2021","Undeclared","South East (England)","Unknown","230","210","38860","37320"
"In post","2021","Undeclared","South West (England)","Declared disabled","270","250","33490","29360"
"In post","2021","Undeclared","South West (England)","Declared non-disabled","970","900","35220","33000"
"In post","2021","Undeclared","South West (England)","Undeclared","950","910","37690","36500"
"In post","2021","Undeclared","South West (England)","Unknown","270","260","40810","37320"
"In post","2021","Undeclared","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Wales","Declared disabled","110","100","29200","27570"
"In post","2021","Undeclared","Wales","Declared non-disabled","520","480","30550","27570"
"In post","2021","Undeclared","Wales","Undeclared","460","440","33410","28850"
"In post","2021","Undeclared","Wales","Unknown","160","150","34690","31780"
"In post","2021","Undeclared","West Midlands (England)","Declared disabled","140","120","29230","27570"
"In post","2021","Undeclared","West Midlands (England)","Declared non-disabled","640","570","28220","27570"
"In post","2021","Undeclared","West Midlands (England)","Undeclared","400","380","32290","27800"
"In post","2021","Undeclared","West Midlands (England)","Unknown","80","80","38180","32290"
"In post","2021","Undeclared","Yorkshire and The Humber","Declared disabled","150","140","29660","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","Declared non-disabled","690","630","30480","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","Undeclared","490","460","32340","28570"
"In post","2021","Undeclared","Yorkshire and The Humber","Unknown","70","70","32550","29790"
"In post","2021","Unknown","East Midlands (England)","Declared disabled","60","50","29490","27570"
"In post","2021","Unknown","East Midlands (England)","Declared non-disabled","470","420","30050","27570"
"In post","2021","Unknown","East Midlands (England)","Undeclared","100","80","29780","29200"
"In post","2021","Unknown","East Midlands (England)","Unknown","2080","1980","26880","25560"
"In post","2021","Unknown","East of England","Declared disabled","40","40","[c]","[c]"
"In post","2021","Unknown","East of England","Declared non-disabled","460","420","30440","28220"
"In post","2021","Unknown","East of England","Undeclared","80","70","28750","28820"
"In post","2021","Unknown","East of England","Unknown","1500","1430","28940","26350"
"In post","2021","Unknown","London","Declared disabled","250","240","39450","35630"
"In post","2021","Unknown","London","Declared non-disabled","1750","1650","43290","36580"
"In post","2021","Unknown","London","Undeclared","870","840","42240","36360"
"In post","2021","Unknown","London","Unknown","12710","12460","42910","36160"
"In post","2021","Unknown","North East (England)","Declared disabled","90","80","25120","21440"
"In post","2021","Unknown","North East (England)","Declared non-disabled","690","610","27890","25190"
"In post","2021","Unknown","North East (England)","Undeclared","80","70","28860","27850"
"In post","2021","Unknown","North East (England)","Unknown","3480","3210","25700","21440"
"In post","2021","Unknown","North West (England)","Declared disabled","140","120","27360","26000"
"In post","2021","Unknown","North West (England)","Declared non-disabled","1500","1370","28070","26610"
"In post","2021","Unknown","North West (England)","Undeclared","220","200","29550","27570"
"In post","2021","Unknown","North West (England)","Unknown","5410","5150","27880","25560"
"In post","2021","Unknown","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Unknown","610","580","25650","21440"
"In post","2021","Unknown","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Unknown","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","Unknown","510","510","51790","51500"
"In post","2021","Unknown","Scotland","Declared disabled","250","220","31960","33430"
"In post","2021","Unknown","Scotland","Declared non-disabled","670","610","28710","24500"
"In post","2021","Unknown","Scotland","Undeclared","60","50","32040","27570"
"In post","2021","Unknown","Scotland","Unknown","9160","8610","30070","26160"
"In post","2021","Unknown","South East (England)","Declared disabled","110","100","28500","26700"
"In post","2021","Unknown","South East (England)","Declared non-disabled","700","630","30440","28270"
"In post","2021","Unknown","South East (England)","Undeclared","180","170","34930","31650"
"In post","2021","Unknown","South East (England)","Unknown","3250","3060","29980","27570"
