"Status","Year","Sexual_orientation","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","No function","240","230","34750","31650"
"In post","2021","Undeclared","Mixed","Project Delivery","30","30","[c]","[c]"
"In post","2021","Undeclared","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Unknown","200","180","30440","27570"
"In post","2021","Undeclared","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Legal","40","30","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","No function","80","80","37350","34000"
"In post","2021","Undeclared","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Unknown","120","120","37570","31060"
"In post","2021","Undeclared","Undeclared","Analysis","160","160","44560","41780"
"In post","2021","Undeclared","Undeclared","Commercial","220","210","40190","36300"
"In post","2021","Undeclared","Undeclared","Communications","150","150","34240","31810"
"In post","2021","Undeclared","Undeclared","Counter Fraud","420","390","36560","31950"
"In post","2021","Undeclared","Undeclared","Debt","90","80","25080","21440"
"In post","2021","Undeclared","Undeclared","Digital, Data & Technology","450","430","41770","39010"
"In post","2021","Undeclared","Undeclared","Finance","280","260","40790","36790"
"In post","2021","Undeclared","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Human Resources","210","200","36150","32300"
"In post","2021","Undeclared","Undeclared","Internal Audit","30","30","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Legal","230","210","47240","46530"
"In post","2021","Undeclared","Undeclared","No function","4300","4040","35210","31810"
"In post","2021","Undeclared","Undeclared","Project Delivery","1250","1210","41910","40050"
"In post","2021","Undeclared","Undeclared","Property","360","340","36850","33300"
"In post","2021","Undeclared","Undeclared","Security","390","390","34800","36460"
"In post","2021","Undeclared","Undeclared","Unknown","4680","4360","31950","27570"
"In post","2021","Undeclared","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Communications","30","30","[c]","[c]"
"In post","2021","Undeclared","Unknown","Counter Fraud","60","50","35020","31810"
"In post","2021","Undeclared","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Digital, Data & Technology","100","90","35790","30900"
"In post","2021","Undeclared","Unknown","Finance","50","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Legal","1560","1400","27270","22820"
"In post","2021","Undeclared","Unknown","No function","890","820","32140","28590"
"In post","2021","Undeclared","Unknown","Project Delivery","80","70","43050","41540"
"In post","2021","Undeclared","Unknown","Property","50","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","120","120","34500","27570"
"In post","2021","Undeclared","White","Analysis","280","260","44310","38550"
"In post","2021","Undeclared","White","Commercial","300","290","40240","36410"
"In post","2021","Undeclared","White","Communications","260","250","33080","31040"
