"Status","Year","Sexual_orientation","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","LGBO","Male","Economics","70","70","47610","40050"
"In post","2021","LGBO","Male","Finance","140","140","47040","45070"
"In post","2021","LGBO","Male","Human Resources","200","200","42860","39580"
"In post","2021","LGBO","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Intelligence Analysis","60","60","39640","33900"
"In post","2021","LGBO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","International Trade","60","60","51900","51970"
"In post","2021","LGBO","Male","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","LGBO","Male","Legal","270","270","52250","51830"
"In post","2021","LGBO","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Operational Delivery","2820","2730","29410","26220"
"In post","2021","LGBO","Male","Operational Research","40","40","[c]","[c]"
"In post","2021","LGBO","Male","Other","330","320","32510","28660"
"In post","2021","LGBO","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Policy","1100","1090","49130","50870"
"In post","2021","LGBO","Male","Project Delivery","320","320","43220","39310"
"In post","2021","LGBO","Male","Property","100","100","37670","33300"
"In post","2021","LGBO","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Science and Engineering","240","230","37080","31710"
"In post","2021","LGBO","Male","Security","140","140","33660","32860"
"In post","2021","LGBO","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Statistics","80","70","42790","37800"
"In post","2021","LGBO","Male","Tax","390","380","33670","31810"
"In post","2021","LGBO","Male","Unknown","2710","2640","31630","27570"
"In post","2021","LGBO","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Commercial","250","230","38420","36290"
"In post","2021","Undeclared","Female","Communications","170","150","38970","37390"
"In post","2021","Undeclared","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Digital, Data and Technology","440","420","39980","37410"
"In post","2021","Undeclared","Female","Economics","50","50","[c]","[c]"
"In post","2021","Undeclared","Female","Finance","520","470","37710","33300"
"In post","2021","Undeclared","Female","Human Resources","400","370","35880","32890"
"In post","2021","Undeclared","Female","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Undeclared","Female","Intelligence Analysis","190","180","32790","30100"
"In post","2021","Undeclared","Female","Internal Audit","50","50","45460","42140"
"In post","2021","Undeclared","Female","International Trade","50","40","[c]","[c]"
"In post","2021","Undeclared","Female","Knowledge and Information Management","160","150","34910","32440"
"In post","2021","Undeclared","Female","Legal","550","490","47940","45480"
"In post","2021","Undeclared","Female","Medicine","150","130","59100","45100"
"In post","2021","Undeclared","Female","Operational Delivery","9690","8400","27620","25560"
"In post","2021","Undeclared","Female","Operational Research","30","30","[c]","[c]"
"In post","2021","Undeclared","Female","Other","1040","970","29340","25610"
"In post","2021","Undeclared","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Policy","1280","1240","45250","40580"
"In post","2021","Undeclared","Female","Project Delivery","690","660","41310","38630"
"In post","2021","Undeclared","Female","Property","290","270","34990","33300"
"In post","2021","Undeclared","Female","Psychology","80","70","34770","31180"
"In post","2021","Undeclared","Female","Science and Engineering","420","390","40410","38130"
"In post","2021","Undeclared","Female","Security","170","160","31380","29080"
"In post","2021","Undeclared","Female","Social Research","50","40","[c]","[c]"
"In post","2021","Undeclared","Female","Statistics","60","60","41480","37750"
"In post","2021","Undeclared","Female","Tax","590","530","36420","31870"
"In post","2021","Undeclared","Female","Unknown","5300","4590","28530","27570"
"In post","2021","Undeclared","Female","Veterinarian","40","40","[c]","[c]"
"In post","2021","Undeclared","Male","Commercial","240","240","41620","39750"
"In post","2021","Undeclared","Male","Communications","140","140","38520","36660"
"In post","2021","Undeclared","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Undeclared","Male","Digital, Data and Technology","890","870","41570","38980"
"In post","2021","Undeclared","Male","Economics","110","110","48310","48180"
"In post","2021","Undeclared","Male","Finance","380","380","44010","41800"
"In post","2021","Undeclared","Male","Human Resources","210","200","37890","35130"
"In post","2021","Undeclared","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Intelligence Analysis","240","230","35480","32670"
"In post","2021","Undeclared","Male","Internal Audit","30","30","[c]","[c]"
"In post","2021","Undeclared","Male","International Trade","50","50","[c]","[c]"
"In post","2021","Undeclared","Male","Knowledge and Information Management","170","160","40210","37410"
"In post","2021","Undeclared","Male","Legal","470","450","45670","41760"
"In post","2021","Undeclared","Male","Medicine","80","70","71920","82100"
"In post","2021","Undeclared","Male","Operational Delivery","7800","7360","30340","27380"
"In post","2021","Undeclared","Male","Operational Research","80","70","46200","46080"
"In post","2021","Undeclared","Male","Other","1130","1100","33180","27880"
"In post","2021","Undeclared","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Policy","1340","1320","49160","47300"
"In post","2021","Undeclared","Male","Project Delivery","800","780","45970","41790"
"In post","2021","Undeclared","Male","Property","460","450","38750","36140"
"In post","2021","Undeclared","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Science and Engineering","1160","1110","39250","37360"
"In post","2021","Undeclared","Male","Security","770","760","35170","39070"
"In post","2021","Undeclared","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Statistics","80","80","42260","38500"
"In post","2021","Undeclared","Male","Tax","740","700","39460","35000"
"In post","2021","Undeclared","Male","Unknown","3400","3260","31420","27570"
"In post","2021","Undeclared","Male","Veterinarian","30","30","[c]","[c]"
"In post","2021","Undeclared","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Commercial","480","460","38680","37300"
"In post","2021","Unknown","Female","Communications","510","490","42160","38640"
"In post","2021","Unknown","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Counter Fraud","90","80","38890","35240"
"In post","2021","Unknown","Female","Digital, Data and Technology","980","940","40200","36890"
"In post","2021","Unknown","Female","Economics","170","160","45120","40170"
"In post","2021","Unknown","Female","Finance","790","730","35740","32790"
"In post","2021","Unknown","Female","Human Resources","610","580","36090","32140"
"In post","2021","Unknown","Female","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Unknown","Female","Intelligence Analysis","160","150","41640","36290"
"In post","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","International Trade","210","210","43580","38540"
"In post","2021","Unknown","Female","Knowledge and Information Management","190","170","36200","33280"
"In post","2021","Unknown","Female","Legal","1660","1490","48780","51990"
"In post","2021","Unknown","Female","Medicine","360","310","56840","40890"
"In post","2021","Unknown","Female","Operational Delivery","18570","16290","26130","22920"
"In post","2021","Unknown","Female","Operational Research","50","50","[c]","[c]"
"In post","2021","Unknown","Female","Other","1500","1420","34550","30150"
"In post","2021","Unknown","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Policy","2660","2560","45770","40650"
"In post","2021","Unknown","Female","Project Delivery","1080","1030","40820","38630"
"In post","2021","Unknown","Female","Property","470","430","31650","29450"
"In post","2021","Unknown","Female","Psychology","180","170","36260","33300"
"In post","2021","Unknown","Female","Science and Engineering","1090","1000","38730","37420"
"In post","2021","Unknown","Female","Security","240","230","33580","30630"
"In post","2021","Unknown","Female","Social Research","100","90","39220","37020"
"In post","2021","Unknown","Female","Statistics","140","130","39270","36160"
"In post","2021","Unknown","Female","Tax","2950","2750","27590","25560"
"In post","2021","Unknown","Female","Unknown","19490","16730","29720","27570"
"In post","2021","Unknown","Female","Veterinarian","40","40","[c]","[c]"
"In post","2021","Unknown","Male","Commercial","450","440","41890","39620"
"In post","2021","Unknown","Male","Communications","370","360","42990","38970"
"In post","2021","Unknown","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Counter Fraud","120","110","42130","39740"
"In post","2021","Unknown","Male","Digital, Data and Technology","2210","2180","41030","38160"
"In post","2021","Unknown","Male","Economics","320","310","45390","37890"
"In post","2021","Unknown","Male","Finance","640","620","40030","36180"
"In post","2021","Unknown","Male","Human Resources","290","280","37230","33300"
"In post","2021","Unknown","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Intelligence Analysis","220","220","41770","37400"
"In post","2021","Unknown","Male","Internal Audit","30","30","[c]","[c]"
"In post","2021","Unknown","Male","International Trade","250","250","46290","39110"
"In post","2021","Unknown","Male","Knowledge and Information Management","140","140","37920","35370"
"In post","2021","Unknown","Male","Legal","1280","1240","46500","41760"
"In post","2021","Unknown","Male","Medicine","160","140","66210","56450"
"In post","2021","Unknown","Male","Operational Delivery","17620","16700","28440","25930"
"In post","2021","Unknown","Male","Operational Research","110","100","42980","40480"
"In post","2021","Unknown","Male","Other","3140","3090","37110","33280"
"In post","2021","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Policy","2190","2170","47580","43360"
"In post","2021","Unknown","Male","Project Delivery","1010","990","43060","39450"
"In post","2021","Unknown","Male","Property","700","680","35700","32100"
"In post","2021","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Science and Engineering","2120","2050","40320","39650"
"In post","2021","Unknown","Male","Security","990","990","31730","28890"
"In post","2021","Unknown","Male","Social Research","70","70","39190","37020"
"In post","2021","Unknown","Male","Statistics","200","200","41970","37020"
"In post","2021","Unknown","Male","Tax","3290","3170","29860","25560"
"In post","2021","Unknown","Male","Unknown","12490","12030","33450","27570"
"In post","2021","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Female","Commercial","2500","2370","38960","36510"
"In post","2022","Heterosexual / straight","Female","Communications","1710","1620","42400","39250"
"In post","2022","Heterosexual / straight","Female","Corporate Finance","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Female","Counter Fraud","2620","2320","28320","27570"
"In post","2022","Heterosexual / straight","Female","Digital, Data and Technology","4750","4510","40910","37590"
"In post","2022","Heterosexual / straight","Female","Economics","540","520","48240","45260"
"In post","2022","Heterosexual / straight","Female","Finance","5210","4920","38780","34290"
"In post","2022","Heterosexual / straight","Female","Geography","110","100","31310","33000"
"In post","2022","Heterosexual / straight","Female","Human Resources","5370","5030","39070","34710"
"In post","2022","Heterosexual / straight","Female","Inspector of Education and Training","590","580","62630","51360"
"In post","2022","Heterosexual / straight","Female","Intelligence Analysis","1100","1030","31920","28990"
"In post","2022","Heterosexual / straight","Female","Internal Audit","310","290","44500","42510"
"In post","2022","Heterosexual / straight","Female","International Trade","460","450","47630","47240"
"In post","2022","Heterosexual / straight","Female","Knowledge and Information Management","930","870","34320","31840"
"In post","2022","Heterosexual / straight","Female","Legal","5090","4660","49550","50500"
"In post","2022","Heterosexual / straight","Female","Medicine","1240","1090","49700","39630"
"In post","2022","Heterosexual / straight","Female","Operational Delivery","101240","90120","28250","27130"
"In post","2022","Heterosexual / straight","Female","Operational Research","240","220","45320","42470"
"In post","2022","Heterosexual / straight","Female","Other","11930","10980","29040","26670"
"In post","2022","Heterosexual / straight","Female","Planning","80","80","45650","41650"
"In post","2022","Heterosexual / straight","Female","Planning Inspectors","110","100","55090","58810"
"In post","2022","Heterosexual / straight","Female","Policy","12940","12360","46460","41970"
"In post","2022","Heterosexual / straight","Female","Project Delivery","5930","5610","41960","39600"
"In post","2022","Heterosexual / straight","Female","Property","2230","2090","36560","33300"
"In post","2022","Heterosexual / straight","Female","Psychology","1010","970","35900","30790"
"In post","2022","Heterosexual / straight","Female","Science and Engineering","2640","2460","38410","36330"
"In post","2022","Heterosexual / straight","Female","Security","1480","1430","32920","30860"
"In post","2022","Heterosexual / straight","Female","Social Research","660","620","42520","38340"
"In post","2022","Heterosexual / straight","Female","Statistics","780","730","45340","41340"
"In post","2022","Heterosexual / straight","Female","Tax","5620","5230","35590","33370"
"In post","2022","Heterosexual / straight","Female","Unknown","9990","9500","41800","36130"
"In post","2022","Heterosexual / straight","Female","Veterinarian","160","150","43520","38390"
"In post","2022","Heterosexual / straight","Male","Commercial","1950","1920","41980","38980"
"In post","2022","Heterosexual / straight","Male","Communications","1050","1030","42660","38750"
"In post","2022","Heterosexual / straight","Male","Corporate Finance","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Male","Counter Fraud","1750","1650","30600","27570"
"In post","2022","Heterosexual / straight","Male","Digital, Data and Technology","8470","8350","43050","40000"
"In post","2022","Heterosexual / straight","Male","Economics","880","870","48540","49530"
"In post","2022","Heterosexual / straight","Male","Finance","3900","3840","43030","39360"
"In post","2022","Heterosexual / straight","Male","Geography","210","200","32270","33290"
"In post","2022","Heterosexual / straight","Male","Human Resources","1970","1930","40260","36650"
"In post","2022","Heterosexual / straight","Male","Inspector of Education and Training","220","210","73060","75500"
"In post","2022","Heterosexual / straight","Male","Intelligence Analysis","1280","1250","35070","31960"
"In post","2022","Heterosexual / straight","Male","Internal Audit","290","280","48430","46350"
"In post","2022","Heterosexual / straight","Male","International Trade","510","500","48210","48220"
"In post","2022","Heterosexual / straight","Male","Knowledge and Information Management","690","680","37030","33300"
"In post","2022","Heterosexual / straight","Male","Legal","3230","3140","48450","48080"
"In post","2022","Heterosexual / straight","Male","Medicine","490","450","64080","63430"
"In post","2022","Heterosexual / straight","Male","Operational Delivery","68090","65440","30210","27570"
"In post","2022","Heterosexual / straight","Male","Operational Research","310","300","47400","47010"
"In post","2022","Heterosexual / straight","Male","Other","9180","8980","31350","27570"
"In post","2022","Heterosexual / straight","Male","Planning","90","90","45810","41020"
"In post","2022","Heterosexual / straight","Male","Planning Inspectors","170","160","56990","58810"
"In post","2022","Heterosexual / straight","Male","Policy","10200","10070","48970","47470"
"In post","2022","Heterosexual / straight","Male","Project Delivery","5540","5430","45690","41000"
"In post","2022","Heterosexual / straight","Male","Property","3140","3070","39870","36390"
"In post","2022","Heterosexual / straight","Male","Psychology","120","120","36900","31180"
"In post","2022","Heterosexual / straight","Male","Science and Engineering","5770","5650","38890","37420"
"In post","2022","Heterosexual / straight","Male","Security","5120","5030","31410","27680"
"In post","2022","Heterosexual / straight","Male","Social Research","280","280","44010","39840"
"In post","2022","Heterosexual / straight","Male","Statistics","910","890","44500","40200"
"In post","2022","Heterosexual / straight","Male","Tax","5880","5710","37830","33370"
"In post","2022","Heterosexual / straight","Male","Unknown","7800","7710","43810","37610"
"In post","2022","Heterosexual / straight","Male","Veterinarian","120","120","44060","40440"
"In post","2022","Heterosexual / straight","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","Commercial","120","120","35670","33000"
"In post","2022","LGBO","Female","Communications","110","110","40190","37350"
"In post","2022","LGBO","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","Counter Fraud","120","110","28780","27570"
"In post","2022","LGBO","Female","Digital, Data and Technology","370","360","39410","36120"
"In post","2022","LGBO","Female","Economics","60","60","42430","37810"
"In post","2022","LGBO","Female","Finance","170","170","39120","34670"
"In post","2022","LGBO","Female","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","Human Resources","230","220","37920","33290"
"In post","2022","LGBO","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","Intelligence Analysis","70","60","31410","29250"
"In post","2022","LGBO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","International Trade","30","30","[c]","[c]"
"In post","2022","LGBO","Female","Knowledge and Information Management","50","50","31700","28050"
"In post","2022","LGBO","Female","Legal","210","200","47050","48440"
"In post","2022","LGBO","Female","Medicine","40","30","[c]","[c]"
"In post","2022","LGBO","Female","Operational Delivery","5690","5450","28500","27120"
"In post","2022","LGBO","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","Other","490","470","29290","26950"
"In post","2022","LGBO","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Female","Policy","1060","1040","43880","40050"
"In post","2022","LGBO","Female","Project Delivery","270","270","41010","37280"
"In post","2022","LGBO","Female","Property","100","90","35940","33300"
"In post","2022","LGBO","Female","Psychology","60","60","30870","28380"
"In post","2022","LGBO","Female","Science and Engineering","210","200","34060","30930"
"In post","2022","LGBO","Female","Security","140","140","33090","30810"
"In post","2022","LGBO","Female","Social Research","90","80","40970","37490"
"In post","2022","LGBO","Female","Statistics","90","80","40410","38340"
"In post","2022","LGBO","Female","Tax","350","340","34150","33080"
"In post","2022","LGBO","Female","Unknown","790","770","38290","33720"
"In post","2022","LGBO","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Male","Commercial","140","140","39300","36860"
"In post","2022","LGBO","Male","Communications","140","140","41710","39230"
"In post","2022","LGBO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Male","Counter Fraud","100","100","29290","27570"
"In post","2022","LGBO","Male","Digital, Data and Technology","480","480","41670","37400"
"In post","2022","LGBO","Male","Economics","80","80","46060","40540"
"In post","2022","LGBO","Male","Finance","220","220","43410","40000"
"In post","2022","LGBO","Male","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Male","Human Resources","280","270","41850","37230"
"In post","2022","LGBO","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Male","Intelligence Analysis","50","50","[c]","[c]"
"In post","2022","LGBO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Male","International Trade","80","80","49120","43840"
"In post","2022","LGBO","Male","Knowledge and Information Management","60","60","37760","35850"
"In post","2022","LGBO","Male","Legal","280","280","52850","52520"
"In post","2022","LGBO","Male","Medicine","[c]","[c]","[c]","[c]"
