"Status","Year","Responsibility_level","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","HM Prison and Probation Service","Declared non-disabled","18040","17150","26240","25400"
"In post","2021","AA/AO","HM Prison and Probation Service","Undeclared","4210","3790","27840","30400"
"In post","2021","AA/AO","HM Prison and Probation Service","Unknown","3840","3760","25430","24920"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Declared disabled","1900","1590","20980","20640"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Declared non-disabled","9470","8150","20790","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Undeclared","770","660","21090","21260"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Unknown","8620","7580","20600","20140"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office (incl. agencies)","Declared disabled","840","730","21870","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","Declared non-disabled","6630","5850","22010","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","Undeclared","290","250","22290","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","Unknown","570","550","21830","21430"
"In post","2021","AA/AO","Insolvency Service","Declared disabled","60","50","21160","20880"
"In post","2021","AA/AO","Insolvency Service","Declared non-disabled","300","280","21430","20880"
"In post","2021","AA/AO","Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Insolvency Service","Unknown","270","260","20960","20880"
"In post","2021","AA/AO","Institute for Apprenticeships and Technical Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Institute for Apprenticeships and Technical Education","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","Declared disabled","70","60","19610","19770"
"In post","2021","AA/AO","Legal Aid Agency","Declared non-disabled","300","270","19830","19930"
"In post","2021","AA/AO","Legal Aid Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","Unknown","50","50","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Declared non-disabled","150","140","24040","21980"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Unknown","110","100","24520","26590"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","Declared non-disabled","100","100","23460","21430"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Declared disabled","1360","1290","22430","20920"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Declared non-disabled","10210","9820","22430","20920"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Undeclared","1090","1050","23100","21130"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Unknown","2950","2850","24550","21130"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Declared non-disabled","180","170","21200","20890"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Undeclared","30","30","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Declared non-disabled","60","50","25750","25450"
"In post","2021","AA/AO","National Crime Agency","Unknown","240","230","23190","22600"
"In post","2021","AA/AO","National Infrastructure Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Infrastructure Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Records of Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Records of Scotland","Declared non-disabled","60","60","22710","22230"
"In post","2021","AA/AO","National Records of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Records of Scotland","Unknown","70","70","22560","22230"
"In post","2021","AA/AO","National Savings and Investments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Savings and Investments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Budget Responsibility","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Budget Responsibility","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","180","160","21280","21160"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of the Public Guardian","Declared disabled","110","100","19750","19930"
"In post","2021","AA/AO","Office of the Public Guardian","Declared non-disabled","550","500","19770","19930"
"In post","2021","AA/AO","Office of the Public Guardian","Undeclared","70","60","19860","19930"
"In post","2021","AA/AO","Office of the Public Guardian","Unknown","130","120","19680","19930"
"In post","2021","AA/AO","Office of the Scottish Charity Regulator","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of the Scottish Charity Regulator","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning Inspectorate","Declared non-disabled","100","90","21630","22560"
"In post","2021","AA/AO","Planning Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning Inspectorate","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","Public Health England","Declared disabled","80","70","21020","20140"
"In post","2021","AA/AO","Public Health England","Declared non-disabled","630","560","21030","20040"
"In post","2021","AA/AO","Public Health England","Undeclared","50","40","20740","19630"
"In post","2021","AA/AO","Public Health England","Unknown","150","130","22110","22020"
"In post","2021","AA/AO","Queen Elizabeth II Centre","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Queen Elizabeth II Centre","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","Declared disabled","50","50","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","Declared non-disabled","150","150","24130","24130"
"In post","2021","AA/AO","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","Unknown","140","130","23900","24130"
"In post","2021","AA/AO","Revenue Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Revenue Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Rural Payments Agency","Declared disabled","90","70","21050","21050"
"In post","2021","AA/AO","Rural Payments Agency","Declared non-disabled","880","790","21000","21050"
"In post","2021","AA/AO","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Rural Payments Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Declared non-disabled","60","60","21190","20850"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Unknown","850","740","21720","22820"
"In post","2021","AA/AO","Scottish Forestry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Forestry","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","AA/AO","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government (excl. agencies)","Declared disabled","90","80","23190","22230"
"In post","2021","AA/AO","Scottish Government (excl. agencies)","Declared non-disabled","420","400","23470","23340"
"In post","2021","AA/AO","Scottish Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government (excl. agencies)","Unknown","400","380","24150","23340"
"In post","2021","AA/AO","Scottish Housing Regulator","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Housing Regulator","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","Declared disabled","90","80","25550","25870"
"In post","2021","AA/AO","Scottish Prison Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","Unknown","1430","1360","23630","24450"
"In post","2021","AA/AO","Scottish Public Pensions Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Public Pensions Agency","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","AA/AO","Scottish Public Pensions Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Public Pensions Agency","Unknown","70","60","24040","24110"
"In post","2021","AA/AO","Serious Fraud Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Serious Fraud Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Serious Fraud Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Security Scotland","Declared disabled","60","60","21010","20060"
"In post","2021","AA/AO","Social Security Scotland","Declared non-disabled","200","190","21110","20060"
"In post","2021","AA/AO","Social Security Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Security Scotland","Unknown","130","130","21130","21150"
"In post","2021","AA/AO","Student Awards Agency for Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Student Awards Agency for Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Student Awards Agency for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Student Awards Agency for Scotland","Unknown","90","80","21840","22230"
"In post","2021","AA/AO","Teaching Regulation Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Teaching Regulation Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Teaching Regulation Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Declared non-disabled","50","40","[c]","[c]"
