"Status","Year","Region_ITL2","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cheshire","National Crime Agency","North West (England)","1190","1170","36300","36410"
"In post","2021","Cornwall and Isles of Scilly","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","South West (England)","90","90","33110","29180"
"In post","2021","Cornwall and Isles of Scilly","Department for Transport","South West (England)","60","50","29350","26780"
"In post","2021","Cornwall and Isles of Scilly","Department for Work and Pensions","South West (England)","830","740","25490","27570"
"In post","2021","Cornwall and Isles of Scilly","Department of Health and Social Care","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Defence","South West (England)","470","440","25410","21580"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Housing, Communities and Local Government","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Ministry of Justice","South West (England)","120","100","26320","22260"
"In post","2021","Cumbria","Attorney General's Departments","North West (England)","40","30","[c]","[c]"
"In post","2021","Cumbria","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Department for Environment, Food and Rural Affairs","North West (England)","1000","900","25920","21050"
"In post","2021","Cumbria","Department for Transport","North West (England)","30","30","[c]","[c]"
"In post","2021","Cumbria","Department for Work and Pensions","North West (England)","280","240","27170","27570"
"In post","2021","Cumbria","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Ministry of Defence","North West (England)","390","380","33240","29760"
"In post","2021","Cumbria","Ministry of Justice","North West (England)","400","360","27630","25790"
"In post","2021","Derbyshire and Nottinghamshire","Attorney General's Departments","East Midlands (England)","270","260","37450","30370"
"In post","2021","Derbyshire and Nottinghamshire","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Department for Business, Energy and Industrial Strategy","East Midlands (England)","190","170","31230","30950"
"In post","2021","Derbyshire and Nottinghamshire","Department for Education","East Midlands (England)","290","280","41750","37100"
"In post","2021","Derbyshire and Nottinghamshire","Department for Environment, Food and Rural Affairs","East Midlands (England)","160","150","32770","29190"
"In post","2021","Derbyshire and Nottinghamshire","Department for International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Department for Transport","East Midlands (England)","440","420","35050","31380"
"In post","2021","Derbyshire and Nottinghamshire","Department for Work and Pensions","East Midlands (England)","2690","2390","28460","27570"
"In post","2021","Derbyshire and Nottinghamshire","Department of Health and Social Care","East Midlands (England)","170","160","43750","36330"
"In post","2021","Derbyshire and Nottinghamshire","Food Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","HM Land Registry","East Midlands (England)","560","510","31980","27130"
"In post","2021","Derbyshire and Nottinghamshire","HM Revenue and Customs","East Midlands (England)","3480","3270","32740","31810"
"In post","2021","Derbyshire and Nottinghamshire","HM Treasury","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Ministry of Defence","East Midlands (England)","250","240","29430","26350"
"In post","2021","Derbyshire and Nottinghamshire","Ministry of Housing, Communities and Local Government","East Midlands (England)","50","50","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Ministry of Justice","East Midlands (England)","3460","3210","27300","24610"
"In post","2021","Derbyshire and Nottinghamshire","National Crime Agency","East Midlands (England)","70","60","37210","36410"
"In post","2021","Derbyshire and Nottinghamshire","Office for Standards in Education","East Midlands (England)","170","160","44560","39850"
"In post","2021","Derbyshire and Nottinghamshire","Other Cabinet Office Agencies","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Attorney General's Departments","South West (England)","100","90","39950","36240"
"In post","2021","Devon","Cabinet Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Department for Business, Energy and Industrial Strategy","South West (England)","1820","1740","39690","39650"
"In post","2021","Devon","Department for Environment, Food and Rural Affairs","South West (England)","530","490","29560","25490"
"In post","2021","Devon","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Department for Transport","South West (England)","110","100","34110","29080"
"In post","2021","Devon","Department for Work and Pensions","South West (England)","2070","1760","25790","27570"
"In post","2021","Devon","Department of Health and Social Care","South West (England)","40","40","[c]","[c]"
"In post","2021","Devon","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","HM Land Registry","South West (England)","920","850","34820","33840"
"In post","2021","Devon","HM Revenue and Customs","South West (England)","420","390","26690","21100"
"In post","2021","Devon","HM Treasury","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Home Office","South West (England)","100","90","29950","26080"
"In post","2021","Devon","Ministry of Defence","South West (England)","1450","1390","29350","25680"
"In post","2021","Devon","Ministry of Housing, Communities and Local Government","South West (England)","40","40","[c]","[c]"
"In post","2021","Devon","Ministry of Justice","South West (England)","1380","1260","28430","25400"
"In post","2021","Devon","National Crime Agency","South West (England)","50","50","[c]","[c]"
"In post","2021","Dorset and Somerset","Cabinet Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Charity Commission","South West (England)","50","50","35580","30350"
"In post","2021","Dorset and Somerset","Department for Environment, Food and Rural Affairs","South West (England)","220","210","33530","29720"
"In post","2021","Dorset and Somerset","Department for Transport","South West (England)","70","60","28650","26780"
"In post","2021","Dorset and Somerset","Department for Work and Pensions","South West (England)","910","800","26650","27570"
"In post","2021","Dorset and Somerset","Department of Health and Social Care","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","HM Land Registry","South West (England)","290","250","29180","27130"
"In post","2021","Dorset and Somerset","Home Office","South West (England)","90","80","28040","27130"
"In post","2021","Dorset and Somerset","Ministry of Defence","South West (England)","2190","2100","31530","30000"
"In post","2021","Dorset and Somerset","Ministry of Justice","South West (England)","1350","1250","27890","25850"
"In post","2021","Dorset and Somerset","United Kingdom Statistics Authority","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Attorney General's Departments","East of England","120","110","36490","28430"
"In post","2021","East Anglia","Cabinet Office","East of England","110","110","47220","40250"
"In post","2021","East Anglia","Department for Business, Energy and Industrial Strategy","East of England","140","130","32090","30950"
"In post","2021","East Anglia","Department for Education","East of England","40","40","[c]","[c]"
"In post","2021","East Anglia","Department for Environment, Food and Rural Affairs","East of England","760","720","34490","30220"
"In post","2021","East Anglia","Department for International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Department for Transport","East of England","180","170","28420","26780"
"In post","2021","East Anglia","Department for Work and Pensions","East of England","1870","1640","27130","27570"
"In post","2021","East Anglia","Department of Health and Social Care","East of England","320","290","42820","34700"
"In post","2021","East Anglia","Food Standards Agency","East of England","40","30","[c]","[c]"
"In post","2021","East Anglia","HM Land Registry","East of England","280","260","31050","27130"
"In post","2021","East Anglia","HM Revenue and Customs","East of England","680","630","30360","28130"
"In post","2021","East Anglia","HM Treasury","East of England","70","70","30090","23780"
"In post","2021","East Anglia","Home Office","East of England","830","750","24910","21430"
"In post","2021","East Anglia","Ministry of Defence","East of England","2400","2320","29900","26930"
"In post","2021","East Anglia","Ministry of Housing, Communities and Local Government","East of England","30","30","[c]","[c]"
"In post","2021","East Anglia","Ministry of Justice","East of England","4300","4030","28980","27850"
"In post","2021","East Anglia","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Office for Standards in Education","East of England","100","100","62230","64500"
"In post","2021","East Anglia","Other Cabinet Office Agencies","East of England","170","160","35200","33340"
"In post","2021","East Wales","Attorney General's Departments","Wales","290","270","41190","38760"
"In post","2021","East Wales","Cabinet Office","Wales","60","60","38710","30620"
"In post","2021","East Wales","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Department for Business, Energy and Industrial Strategy","Wales","2770","2590","34630","30170"
"In post","2021","East Wales","Department for Environment, Food and Rural Affairs","Wales","120","120","30980","26520"
"In post","2021","East Wales","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Department for Transport","Wales","150","130","30090","26780"
"In post","2021","East Wales","Department for Work and Pensions","Wales","2330","2110","26760","27570"
"In post","2021","East Wales","Department of Health and Social Care","Wales","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","ESTYN","Wales","110","100","58000","74730"
"In post","2021","East Wales","Food Standards Agency","Wales","120","110","38970","37910"
"In post","2021","East Wales","HM Revenue and Customs","Wales","4300","3970","28180","25560"
"In post","2021","East Wales","HM Treasury","Wales","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Home Office","Wales","540","490","27520","25040"
"In post","2021","East Wales","Ministry of Defence","Wales","930","890","27000","26670"
"In post","2021","East Wales","Ministry of Housing, Communities and Local Government","Wales","40","40","[c]","[c]"
"In post","2021","East Wales","Ministry of Justice","Wales","2570","2440","28310","24920"
"In post","2021","East Wales","Office of Gas and Electricity Markets","Wales","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Other Cabinet Office Agencies","Wales","110","110","33670","31680"
"In post","2021","East Wales","United Kingdom Statistics Authority","Wales","2710","2570","34510","31090"
"In post","2021","East Wales","Wales Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Water Services Regulation Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Welsh Government","Wales","3190","3010","42690","37410"
"In post","2021","East Yorkshire and Northern Lincolnshire","Attorney General's Departments","Yorkshire and The Humber","70","70","38580","28430"
"In post","2021","East Yorkshire and Northern Lincolnshire","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Department for Transport","Yorkshire and The Humber","140","130","33900","27680"
"In post","2021","East Yorkshire and Northern Lincolnshire","Department for Work and Pensions","Yorkshire and The Humber","1210","1030","25920","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","HM Land Registry","Yorkshire and The Humber","340","300","29120","27130"
"In post","2021","East Yorkshire and Northern Lincolnshire","HM Revenue and Customs","Yorkshire and The Humber","80","70","31270","27530"
"In post","2021","East Yorkshire and Northern Lincolnshire","Home Office","Yorkshire and The Humber","280","270","26250","25040"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Defence","Yorkshire and The Humber","500","480","26780","26670"
"In post","2021","East Yorkshire and Northern Lincolnshire","Ministry of Justice","Yorkshire and The Humber","2050","1910","28350","26630"
"In post","2021","Eastern Scotland","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Competition and Markets Authority","Scotland","50","50","56490","55860"
"In post","2021","Eastern Scotland","Department for Business, Energy and Industrial Strategy","Scotland","140","130","27470","23560"
"In post","2021","Eastern Scotland","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Environment, Food and Rural Affairs","Scotland","60","60","34060","29180"
"In post","2021","Eastern Scotland","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Department for Transport","Scotland","130","120","28920","27230"
"In post","2021","Eastern Scotland","Department for Work and Pensions","Scotland","3290","2930","25350","27570"
"In post","2021","Eastern Scotland","HM Revenue and Customs","Scotland","2370","2230","27800","25560"
"In post","2021","Eastern Scotland","HM Treasury","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Home Office","Scotland","170","160","28180","25410"
"In post","2021","Eastern Scotland","Ministry of Defence","Scotland","790","760","30440","26670"
"In post","2021","Eastern Scotland","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Other Cabinet Office Agencies","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Scotland Office","Scotland","80","80","47970","46600"
"In post","2021","Eastern Scotland","Scottish Government","Scotland","12690","12050","38090","33650"
"In post","2021","Eastern Scotland","United Kingdom Statistics Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Attorney General's Departments","East of England","190","170","41150","35020"
"In post","2021","Essex","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Department for Environment, Food and Rural Affairs","East of England","60","50","30500","28340"
"In post","2021","Essex","Department for Transport","East of England","90","80","32890","26780"
"In post","2021","Essex","Department for Work and Pensions","East of England","1660","1500","29500","29290"
"In post","2021","Essex","Department of Health and Social Care","East of England","80","70","46700","38200"
"In post","2021","Essex","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Essex","HM Revenue and Customs","East of England","1100","1000","33300","31810"
"In post","2021","Essex","HM Treasury","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Home Office","East of England","850","770","27190","25310"
"In post","2021","Essex","Ministry of Defence","East of England","610","590","33260","28750"
"In post","2021","Essex","Ministry of Justice","East of England","900","840","28090","25850"
"In post","2021","Essex","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Attorney General's Departments","South West (England)","200","190","43320","48080"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Cabinet Office","South West (England)","170","170","55360","52600"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Business, Energy and Industrial Strategy","South West (England)","250","240","40490","36740"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Education","South West (England)","220","210","43730","39780"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Environment, Food and Rural Affairs","South West (England)","940","890","38700","36520"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","South West (England)","530","510","33630","30060"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Work and Pensions","South West (England)","2010","1770","27290","27570"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Department of Health and Social Care","South West (England)","1170","1080","38150","34530"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Land Registry","South West (England)","350","300","30310","27130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Revenue and Customs","South West (England)","1400","1310","35240","31810"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","HM Treasury","South West (England)","30","30","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Home Office","South West (England)","200","190","27420","25310"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","South West (England)","17930","17310","37810","35630"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Housing, Communities and Local Government","South West (England)","880","810","43320","41020"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Justice","South West (England)","2250","2090","28200","25330"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","National Crime Agency","South West (England)","420","410","35990","34250"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Office for Standards in Education","South West (England)","280","270","43010","35010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Office of Rail and Road","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Other Cabinet Office Agencies","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Attorney General's Departments","North West (England)","370","340","41260","38000"
"In post","2021","Greater Manchester","Cabinet Office","North West (England)","270","270","45320","38650"
"In post","2021","Greater Manchester","Department for Business, Energy and Industrial Strategy","North West (England)","360","340","32560","30950"
"In post","2021","Greater Manchester","Department for Digital, Culture, Media and Sport","North West (England)","40","40","[c]","[c]"
"In post","2021","Greater Manchester","Department for Education","North West (England)","1140","1120","40360","36780"
"In post","2021","Greater Manchester","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Department for International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Department for Transport","North West (England)","160","150","27540","26740"
"In post","2021","Greater Manchester","Department for Work and Pensions","North West (England)","5140","4700","27390","27570"
"In post","2021","Greater Manchester","Department of Health and Social Care","North West (England)","390","360","34000","28200"
"In post","2021","Greater Manchester","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","HM Revenue and Customs","North West (England)","5790","5460","31920","31810"
"In post","2021","Greater Manchester","HM Treasury","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Home Office","North West (England)","1570","1510","30600","26410"
"In post","2021","Greater Manchester","Ministry of Defence","North West (England)","480","450","28030","22310"
"In post","2021","Greater Manchester","Ministry of Housing, Communities and Local Government","North West (England)","40","40","[c]","[c]"
"In post","2021","Greater Manchester","Ministry of Justice","North West (England)","3360","3140","27660","24440"
"In post","2021","Greater Manchester","National Crime Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Office for Standards in Education","North West (England)","500","480","39650","32010"
"In post","2021","Greater Manchester","Office of Rail and Road","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Greater Manchester","Other Cabinet Office Agencies","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Attorney General's Departments","South East (England)","260","240","42870","39750"
"In post","2021","Hampshire and Isle of Wight","Cabinet Office","South East (England)","90","90","51790","51480"
"In post","2021","Hampshire and Isle of Wight","Department for Business, Energy and Industrial Strategy","South East (England)","90","90","35300","36580"
"In post","2021","Hampshire and Isle of Wight","Department for Environment, Food and Rural Affairs","South East (England)","50","50","32980","30280"
"In post","2021","Hampshire and Isle of Wight","Department for Transport","South East (England)","890","860","39360","32050"
"In post","2021","Hampshire and Isle of Wight","Department for Work and Pensions","South East (England)","1380","1200","26680","27570"
"In post","2021","Hampshire and Isle of Wight","Department of Health and Social Care","South East (England)","30","30","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Food Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","HM Revenue and Customs","South East (England)","1100","970","28080","25560"
"In post","2021","Hampshire and Isle of Wight","Home Office","South East (England)","540","510","28650","26410"
"In post","2021","Hampshire and Isle of Wight","Ministry of Defence","South East (England)","6740","6520","34550","33300"
"In post","2021","Hampshire and Isle of Wight","Ministry of Justice","South East (England)","1670","1550","28110","26300"
"In post","2021","Hampshire and Isle of Wight","National Crime Agency","South East (England)","70","70","36710","36410"
"In post","2021","Hampshire and Isle of Wight","United Kingdom Statistics Authority","South East (England)","2430","1990","28660","23520"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Department for Environment, Food and Rural Affairs","West Midlands (England)","440","410","32880","29180"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Department for Transport","West Midlands (England)","60","60","28710","26780"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Department for Work and Pensions","West Midlands (England)","920","800","25490","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Food Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Home Office","West Midlands (England)","110","110","25080","21430"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Ministry of Defence","West Midlands (England)","620","610","26010","21860"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Ministry of Justice","West Midlands (England)","1820","1730","28970","25790"
"In post","2021","Highlands and Islands","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Department for Environment, Food and Rural Affairs","Scotland","30","30","[c]","[c]"
"In post","2021","Highlands and Islands","Department for Transport","Scotland","80","80","31890","31780"
"In post","2021","Highlands and Islands","Department for Work and Pensions","Scotland","470","430","26040","27570"
"In post","2021","Highlands and Islands","HM Revenue and Customs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Home Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Ministry of Defence","Scotland","340","330","26020","20920"
"In post","2021","Highlands and Islands","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Scottish Government","Scotland","990","930","30640","29140"
"In post","2021","Inner London - East","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - East","Cabinet Office","London","900","880","52110","54700"
"In post","2021","Inner London - East","Competition and Markets Authority","London","790","760","60810","56630"
"In post","2021","Inner London - East","Department for Business, Energy and Industrial Strategy","London","250","240","42830","42790"
"In post","2021","Inner London - East","Department for Transport","London","110","100","32660","32740"
"In post","2021","Inner London - East","Department for Work and Pensions","London","2980","2780","30710","31060"
"In post","2021","Inner London - East","Department of Health and Social Care","London","2860","2660","49530","41690"
"In post","2021","Inner London - East","HM Revenue and Customs","London","2800","2650","43570","38430"
"In post","2021","Inner London - East","Home Office","London","510","490","35090","30070"
"In post","2021","Inner London - East","Ministry of Defence","London","70","70","26310","24350"
"In post","2021","Inner London - East","Ministry of Justice","London","3380","3270","35380","32870"
"In post","2021","Inner London - East","National Crime Agency","London","1570","1530","43970","40170"
"In post","2021","Inner London - East","Office of Gas and Electricity Markets","London","670","660","51150","47180"
"In post","2021","Inner London - East","Office of Rail and Road","London","210","200","55460","55430"
"In post","2021","Inner London - East","Other Cabinet Office Agencies","London","70","70","50350","49300"
"In post","2021","Inner London - West","Attorney General's Departments","London","4510","4250","50510","51250"
"In post","2021","Inner London - West","Cabinet Office","London","5550","5480","49460","40600"
"In post","2021","Inner London - West","Chancellor's other departments","London","360","350","59470","50060"
"In post","2021","Inner London - West","Charity Commission","London","70","70","42950","37910"
"In post","2021","Inner London - West","Department for Business, Energy and Industrial Strategy","London","5210","5100","49150","52080"
"In post","2021","Inner London - West","Department for Digital, Culture, Media and Sport","London","1710","1680","49440","51730"
