"Status","Year","Organisation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Transport (excl. agencies)","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions (excl. agencies)","Unknown","Department for Work and Pensions","90950","81420","27650","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Analysis","Department of Health and Social Care","290","280","52060","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Commercial","Department of Health and Social Care","200","200","48750","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","Communications","Department of Health and Social Care","190","180","43490","38360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","Department of Health and Social Care","170","170","43630","36820"
"In post","2021","Department of Health and Social Care (excl. agencies)","Finance","Department of Health and Social Care","430","420","40100","36820"
"In post","2021","Department of Health and Social Care (excl. agencies)","Human Resources","Department of Health and Social Care","130","130","39780","32790"
"In post","2021","Department of Health and Social Care (excl. agencies)","No function","Department of Health and Social Care","2020","1970","48000","42030"
"In post","2021","Department of Health and Social Care (excl. agencies)","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","Department of Health and Social Care","60","60","52120","53360"
"In post","2021","Disclosure Scotland","Unknown","Scottish Government","310","290","28110","23170"
"In post","2021","Driver and Vehicle Licensing Agency","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","Department for Transport","160","140","32760","31040"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","Department for Transport","70","60","29810","26740"
"In post","2021","Driver and Vehicle Licensing Agency","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data & Technology","Department for Transport","710","690","40340","39040"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","Department for Transport","140","130","32910","30730"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","Department for Transport","170","160","32650","31380"
"In post","2021","Driver and Vehicle Licensing Agency","No function","Department for Transport","4690","4020","22790","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Project Delivery","Department for Transport","90","80","39900","39040"
"In post","2021","Driver and Vehicle Licensing Agency","Property","Department for Transport","60","50","30360","30540"
"In post","2021","Driver and Vehicle Licensing Agency","Security","Department for Transport","120","110","30490","26350"
"In post","2021","Driver and Vehicle Standards Agency","Analysis","Department for Transport","60","60","31040","31860"
"In post","2021","Driver and Vehicle Standards Agency","Commercial","Department for Transport","40","40","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Communications","Department for Transport","90","80","31290","30730"
"In post","2021","Driver and Vehicle Standards Agency","Counter Fraud","Department for Transport","50","50","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Digital, Data & Technology","Department for Transport","220","220","36270","33350"
"In post","2021","Driver and Vehicle Standards Agency","Finance","Department for Transport","90","80","38780","34040"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","Department for Transport","100","90","35500","33350"
"In post","2021","Driver and Vehicle Standards Agency","No function","Department for Transport","3990","3740","28590","26780"
"In post","2021","Driver and Vehicle Standards Agency","Project Delivery","Department for Transport","90","80","38290","39470"
"In post","2021","Driver and Vehicle Standards Agency","Property","Department for Transport","70","60","32390","31380"
"In post","2021","Driver and Vehicle Standards Agency","Security","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Communications","Department for Education","90","90","43280","40300"
"In post","2021","Education and Skills Funding Agency","Digital, Data & Technology","Department for Education","220","220","39740","36780"
"In post","2021","Education and Skills Funding Agency","Finance","Department for Education","130","130","44530","43250"
"In post","2021","Education and Skills Funding Agency","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","No function","Department for Education","1270","1230","41620","37100"
"In post","2021","Education and Skills Funding Agency","Project Delivery","Department for Education","60","60","34310","30200"
"In post","2021","Education and Skills Funding Agency","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Unknown","Scottish Government","320","300","55840","61010"
"In post","2021","ESTYN","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","No function","ESTYN","90","80","62680","74730"
"In post","2021","ESTYN","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Security","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Commercial","Foreign, Commonwealth and Development Office","80","80","47060","41610"
"In post","2021","FCDO Services","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Digital, Data & Technology","Foreign, Commonwealth and Development Office","120","120","44710","40670"
"In post","2021","FCDO Services","Finance","Foreign, Commonwealth and Development Office","60","50","37800","29760"
"In post","2021","FCDO Services","Human Resources","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","FCDO Services","Legal","Foreign, Commonwealth and Development Office","60","30","51960","57760"
"In post","2021","FCDO Services","Project Delivery","Foreign, Commonwealth and Development Office","70","70","39490","35390"
"In post","2021","FCDO Services","Property","Foreign, Commonwealth and Development Office","380","380","39290","37360"
"In post","2021","FCDO Services","Security","Foreign, Commonwealth and Development Office","230","230","35300","32200"
"In post","2021","FCDO Services","Unknown","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Analysis","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Communications","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Counter Fraud","Food Standards Agency","60","60","38850","37630"
"In post","2021","Food Standards Agency","Digital, Data & Technology","Food Standards Agency","60","60","44630","40350"
