"Status","Year","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other Cabinet Office Agencies","60","60","44090","39000"
"In post","2021","Finance","Scottish Government","190","180","34510","33650"
"In post","2021","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","50","50","[c]","[c]"
"In post","2021","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","60","60","37140","29840"
"In post","2021","Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Department for Environment, Food and Rural Affairs","1890","1730","25510","21050"
"In post","2021","Grants Management","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Attorney General's Departments","220","210","39830","33930"
"In post","2021","Human Resources","Cabinet Office","1120","1070","39180","35590"
"In post","2021","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Human Resources","Department for Business, Energy and Industrial Strategy","400","380","40040","38200"
"In post","2021","Human Resources","Department for Digital, Culture, Media and Sport","60","60","49570","38540"
"In post","2021","Human Resources","Department for Education","150","150","36220","30200"
"In post","2021","Human Resources","Department for Environment, Food and Rural Affairs","270","250","42740","38600"
"In post","2021","Human Resources","Department for International Trade","130","130","43250","38540"
"In post","2021","Human Resources","Department for Transport","420","400","36540","32810"
"In post","2021","Human Resources","Department for Work and Pensions","90","80","39880","35910"
"In post","2021","Human Resources","Department of Health and Social Care","290","280","42950","36820"
"In post","2021","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Human Resources","Foreign, Commonwealth and Development Office","280","270","43530","38860"
"In post","2021","Human Resources","HM Land Registry","90","80","40290","33840"
"In post","2021","Human Resources","HM Revenue and Customs","1670","1550","35590","31810"
"In post","2021","Human Resources","HM Treasury","110","100","42540","39200"
"In post","2021","Human Resources","Ministry of Defence","2190","2050","32330","26670"
"In post","2021","Human Resources","Ministry of Housing, Communities and Local Government","90","80","40860","36340"
"In post","2021","Human Resources","Ministry of Justice","980","940","41700","36800"
"In post","2021","Human Resources","National Crime Agency","190","180","40160","39240"
"In post","2021","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office for Standards in Education","60","50","39210","32010"
"In post","2021","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other Cabinet Office Agencies","50","40","[c]","[c]"
"In post","2021","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Scottish Government","310","290","34150","33650"
"In post","2021","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","United Kingdom Statistics Authority","220","200","37360","32540"
"In post","2021","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Foreign, Commonwealth and Development Office","70","70","41330","37480"
"In post","2021","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","HM Revenue and Customs","80","70","44180","41350"
"In post","2021","Internal Audit","HM Treasury","350","330","50540","48780"
"In post","2021","Internal Audit","Ministry of Defence","150","140","38660","34630"
"In post","2021","Internal Audit","Ministry of Justice","70","60","48010","48800"
"In post","2021","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Attorney General's Departments","8720","8090","45470","49580"
"In post","2021","Legal","Cabinet Office","60","50","79760","79760"
"In post","2021","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Competition and Markets Authority","160","160","69080","72430"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","90","80","51950","52960"
"In post","2021","Legal","Department for Education","70","60","54640","55000"
"In post","2021","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","120","100","58300","58470"
"In post","2021","Legal","HM Land Registry","260","240","50540","57000"
"In post","2021","Legal","HM Revenue and Customs","1280","1200","40270","32030"
"In post","2021","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Legal","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice","1440","1310","42410","43090"
"In post","2021","Legal","National Crime Agency","50","50","55660","59160"
"In post","2021","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","80","80","63840","63540"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Government","2270","2060","34540","29350"
"In post","2021","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","40","40","[c]","[c]"
"In post","2021","Legal","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","No function","Attorney General's Departments","90","80","41110","38450"
"In post","2021","No function","Cabinet Office","4170","4130","40710","32000"
"In post","2021","No function","Chancellor's other departments","110","110","53710","45130"
"In post","2021","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Department for Business, Energy and Industrial Strategy","8610","8250","40470","36730"
"In post","2021","No function","Department for Digital, Culture, Media and Sport","1190","1170","47990","51730"
"In post","2021","No function","Department for Education","4150","4000","43080","37510"
"In post","2021","No function","Department for Environment, Food and Rural Affairs","5530","5290","37380","33120"
"In post","2021","No function","Department for International Trade","1880","1860","46340","39960"
"In post","2021","No function","Department for Transport","11970","10960","30460","26700"
"In post","2021","No function","Department for Work and Pensions","2200","2070","43600","41480"
"In post","2021","No function","Department of Health and Social Care","8400","7770","44810","38890"
"In post","2021","No function","ESTYN","90","80","62680","74730"
"In post","2021","No function","Food Standards Agency","950","930","35400","30810"
"In post","2021","No function","Foreign, Commonwealth and Development Office","3680","3630","47920","39770"
"In post","2021","No function","HM Land Registry","5030","4520","28310","27130"
"In post","2021","No function","HM Revenue and Customs","31530","28390","28440","25560"
"In post","2021","No function","HM Treasury","1620","1590","47540","52500"
"In post","2021","No function","Ministry of Defence","3140","3030","39140","37320"
"In post","2021","No function","Ministry of Housing, Communities and Local Government","2530","2420","45280","41980"
"In post","2021","No function","Ministry of Justice","71190","66520","28260","26300"
"In post","2021","No function","National Crime Agency","4720","4620","39700","37560"
"In post","2021","No function","Northern Ireland Office","130","120","44760","38680"
"In post","2021","No function","Office for Standards in Education","1340","1290","51840","51360"
"In post","2021","No function","Office of Gas and Electricity Markets","860","850","41550","35720"
"In post","2021","No function","Office of Qualifications and Examinations Regulation","200","190","46050","40940"
"In post","2021","No function","Office of Rail and Road","220","220","55610","55870"
"In post","2021","No function","Other Cabinet Office Agencies","190","180","40460","35520"
"In post","2021","No function","Scottish Government","6130","5730","30540","30080"
"In post","2021","No function","The National Archives","340","320","34280","30830"
"In post","2021","No function","United Kingdom Statistics Authority","2570","2090","25880","22660"
"In post","2021","No function","Wales Office","30","30","[c]","[c]"
"In post","2021","No function","Water Services Regulation Authority","120","110","57630","52650"
"In post","2021","Project Delivery","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Project Delivery","Cabinet Office","190","190","69400","62550"
"In post","2021","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Competition and Markets Authority","380","360","60880","56360"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","900","880","44120","40220"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","210","210","48480","51730"
"In post","2021","Project Delivery","Department for Education","530","510","47490","50130"
"In post","2021","Project Delivery","Department for Environment, Food and Rural Affairs","510","480","38300","35900"
"In post","2021","Project Delivery","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Project Delivery","Department for Transport","620","600","49850","44030"
"In post","2021","Project Delivery","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office","2050","2000","51380","53000"
"In post","2021","Project Delivery","HM Land Registry","140","140","40870","38550"
"In post","2021","Project Delivery","HM Revenue and Customs","4570","4320","43760","38630"
"In post","2021","Project Delivery","HM Treasury","30","30","[c]","[c]"
"In post","2021","Project Delivery","Ministry of Defence","16450","15950","37790","35130"
"In post","2021","Project Delivery","Ministry of Housing, Communities and Local Government","150","140","45810","40720"
"In post","2021","Project Delivery","Ministry of Justice","720","710","40680","36800"
"In post","2021","Project Delivery","National Crime Agency","90","90","46620","45480"
"In post","2021","Project Delivery","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other Cabinet Office Agencies","60","60","48010","46920"
"In post","2021","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Scottish Government","290","280","36330","35330"
"In post","2021","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","United Kingdom Statistics Authority","230","220","40440","36030"
"In post","2021","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Cabinet Office","100","100","50780","52720"
"In post","2021","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department for Business, Energy and Industrial Strategy","80","80","33990","27690"
"In post","2021","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department for Education","270","260","49500","50630"
"In post","2021","Property","Department for Environment, Food and Rural Affairs","390","370","36760","32560"
"In post","2021","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department for Transport","160","150","33580","31040"
"In post","2021","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Property","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Property","Foreign, Commonwealth and Development Office","460","460","41470","39410"
"In post","2021","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Property","HM Revenue and Customs","3500","3240","33390","30000"
"In post","2021","Property","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Property","Ministry of Defence","2730","2650","32270","33300"
"In post","2021","Property","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Property","Ministry of Justice","360","350","40300","35040"
"In post","2021","Property","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Property","Other Cabinet Office Agencies","50","40","[c]","[c]"
"In post","2021","Property","Scottish Government","1020","980","30540","28870"
"In post","2021","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Cabinet Office","870","840","33080","33300"
"In post","2021","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education","30","30","[c]","[c]"
"In post","2021","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Transport","130","120","30940","26410"
"In post","2021","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Security","ESTYN","[c]","[c]","[c]","[c]"
