"Status","Year","Parent_department","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Legal","350","330","48330","51250"
"In post","2021","Attorney General's Departments","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Counter Fraud","60","60","46380","40270"
"In post","2021","Attorney General's Departments","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Legal","2080","1870","47690","52100"
"In post","2021","Attorney General's Departments","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Commercial","300","290","72280","64500"
"In post","2021","Cabinet Office","Heterosexual / straight","Communications","190","180","47440","42210"
"In post","2021","Cabinet Office","Heterosexual / straight","Counter Fraud","70","70","48510","50730"
"In post","2021","Cabinet Office","Heterosexual / straight","Digital, Data & Technology","660","650","51890","54700"
"In post","2021","Cabinet Office","Heterosexual / straight","Finance","60","60","48280","43090"
"In post","2021","Cabinet Office","Heterosexual / straight","Human Resources","870","820","39480","35590"
"In post","2021","Cabinet Office","Heterosexual / straight","Legal","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","No function","1520","1500","47360","41760"
"In post","2021","Cabinet Office","Heterosexual / straight","Project Delivery","150","150","70290","64500"
"In post","2021","Cabinet Office","Heterosexual / straight","Property","80","80","50370","53000"
"In post","2021","Cabinet Office","Heterosexual / straight","Security","470","450","34980","33300"
"In post","2021","Cabinet Office","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Digital, Data & Technology","90","90","49320","54700"
"In post","2021","Cabinet Office","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Human Resources","70","70","38240","35820"
"In post","2021","Cabinet Office","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","No function","180","170","46130","40600"
"In post","2021","Cabinet Office","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Security","30","30","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Commercial","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Digital, Data & Technology","100","90","52380","54700"
"In post","2021","Cabinet Office","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Human Resources","50","50","41150","35670"
"In post","2021","Cabinet Office","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","No function","190","180","45420","40600"
"In post","2021","Cabinet Office","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Security","60","60","35870","33300"
"In post","2021","Cabinet Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Commercial","1070","1060","70560","64500"
"In post","2021","Cabinet Office","Unknown","Communications","120","120","47830","42320"
"In post","2021","Cabinet Office","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Digital, Data & Technology","130","130","49140","49700"
"In post","2021","Cabinet Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Human Resources","130","120","36850","34550"
"In post","2021","Cabinet Office","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","No function","2280","2280","35460","29250"
"In post","2021","Cabinet Office","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Security","310","300","29810","26670"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Analysis","140","130","70300","65470"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","No function","80","70","53230","45080"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","No function","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Unknown","120","110","32660","29160"
"In post","2021","Charity Commission","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","120","110","32430","29160"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Analysis","100","100","59350","56360"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Digital, Data & Technology","60","60","56130","51270"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Human Resources","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Legal","130","130","68500","72430"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Project Delivery","310","290","59990","56360"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Analysis","220","220","45240","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Commercial","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Communications","130","120","44230","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Counter Fraud","150","140","39500","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Digital, Data & Technology","450","440","44020","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Finance","210","200","45330","41580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Human Resources","260","250","40970","39210"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Legal","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","No function","5140","4910","42760","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Project Delivery","310","300","46850","43440"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Property","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","No function","510","510","43450","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Project Delivery","60","50","48610","48050"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Digital, Data & Technology","70","70","45750","42500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Finance","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","No function","650","620","44310","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Project Delivery","90","80","46700","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Analysis","50","50","36650","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Commercial","200","190","43040","40140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Communications","80","80","41580","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Counter Fraud","120","110","39210","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Digital, Data & Technology","1040","990","40090","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Finance","70","70","40310","40040"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Human Resources","110","100","37630","33860"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Legal","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","No function","2310","2210","33650","30170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Project Delivery","460","440","41250","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Property","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Analysis","110","100","52430","50400"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Communications","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Finance","60","60","57990","61730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Human Resources","50","50","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","No function","810","790","48360","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Project Delivery","150","150","49030","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","No function","130","130","46240","39000"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","No function","80","80","47880","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","No function","170","170","47620","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Analysis","290","270","43830","42420"
"In post","2021","Department for Education","Heterosexual / straight","Commercial","170","160","41260","38140"
"In post","2021","Department for Education","Heterosexual / straight","Communications","210","200","39950","36960"
"In post","2021","Department for Education","Heterosexual / straight","Digital, Data & Technology","400","390","39570","36780"
"In post","2021","Department for Education","Heterosexual / straight","Finance","380","360","43360","42520"
