"Status","Year","Region_ITL2","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cumbria","Male","Science and Engineering","80","80","41540","40710"
"In post","2021","Cumbria","Male","Security","80","70","28410","23540"
"In post","2021","Cumbria","Male","Unknown","70","70","26410","27570"
"In post","2021","Cumbria","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Commercial","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Communications","60","50","37320","36780"
"In post","2021","Derbyshire and Nottinghamshire","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Digital, Data and Technology","60","60","41390","39060"
"In post","2021","Derbyshire and Nottinghamshire","Female","Finance","90","90","35230","32230"
"In post","2021","Derbyshire and Nottinghamshire","Female","Human Resources","230","210","39080","33840"
"In post","2021","Derbyshire and Nottinghamshire","Female","Inspector of Education and Training","50","50","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Legal","180","160","41440","38630"
"In post","2021","Derbyshire and Nottinghamshire","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Operational Delivery","3090","2790","27120","25040"
"In post","2021","Derbyshire and Nottinghamshire","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Other","100","100","26900","21580"
"In post","2021","Derbyshire and Nottinghamshire","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Policy","160","150","40060","36780"
"In post","2021","Derbyshire and Nottinghamshire","Female","Project Delivery","100","100","42120","38630"
"In post","2021","Derbyshire and Nottinghamshire","Female","Property","150","130","36450","33630"
"In post","2021","Derbyshire and Nottinghamshire","Female","Psychology","90","80","35160","30450"
"In post","2021","Derbyshire and Nottinghamshire","Female","Science and Engineering","130","120","39450","37890"
"In post","2021","Derbyshire and Nottinghamshire","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Tax","570","530","32700","31810"
"In post","2021","Derbyshire and Nottinghamshire","Female","Unknown","1710","1470","26600","27570"
"In post","2021","Derbyshire and Nottinghamshire","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Commercial","40","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Digital, Data and Technology","120","110","37200","32240"
"In post","2021","Derbyshire and Nottinghamshire","Male","Finance","60","60","40420","37270"
"In post","2021","Derbyshire and Nottinghamshire","Male","Human Resources","90","80","39320","33950"
"In post","2021","Derbyshire and Nottinghamshire","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Legal","190","180","39400","33840"
"In post","2021","Derbyshire and Nottinghamshire","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Operational Delivery","2430","2330","28470","26700"
"In post","2021","Derbyshire and Nottinghamshire","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Other","100","90","37360","26470"
"In post","2021","Derbyshire and Nottinghamshire","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Policy","80","80","43460","37900"
"In post","2021","Derbyshire and Nottinghamshire","Male","Project Delivery","90","90","44170","41800"
"In post","2021","Derbyshire and Nottinghamshire","Male","Property","160","150","40750","38630"
"In post","2021","Derbyshire and Nottinghamshire","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Science and Engineering","190","180","44390","42530"
"In post","2021","Derbyshire and Nottinghamshire","Male","Security","60","60","32810","33200"
"In post","2021","Derbyshire and Nottinghamshire","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Male","Tax","700","680","33460","31810"
"In post","2021","Derbyshire and Nottinghamshire","Male","Unknown","920","880","27740","27570"
"In post","2021","Derbyshire and Nottinghamshire","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Commercial","120","110","40890","38370"
"In post","2021","Devon","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Digital, Data and Technology","270","240","36290","35030"
"In post","2021","Devon","Female","Finance","50","40","[c]","[c]"
"In post","2021","Devon","Female","Human Resources","80","70","36150","32810"
"In post","2021","Devon","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Legal","50","50","47770","49050"
"In post","2021","Devon","Female","Medicine","90","80","34450","23770"
"In post","2021","Devon","Female","Operational Delivery","1420","1260","26750","23840"
"In post","2021","Devon","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Other","170","160","24210","21440"
"In post","2021","Devon","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Project Delivery","180","170","38120","38550"
"In post","2021","Devon","Female","Property","90","80","32580","32100"
"In post","2021","Devon","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Science and Engineering","270","240","36830","38300"
"In post","2021","Devon","Female","Security","50","50","25680","20920"
"In post","2021","Devon","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Unknown","1410","1140","25320","27570"
"In post","2021","Devon","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Commercial","110","110","44830","46100"
"In post","2021","Devon","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Digital, Data and Technology","620","610","38420","38450"
"In post","2021","Devon","Male","Finance","50","50","[c]","[c]"
"In post","2021","Devon","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Legal","40","40","[c]","[c]"
"In post","2021","Devon","Male","Medicine","50","40","[c]","[c]"
"In post","2021","Devon","Male","Operational Delivery","1450","1370","29800","26780"
"In post","2021","Devon","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Other","220","220","26150","21100"
"In post","2021","Devon","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Project Delivery","210","210","41580","40040"
"In post","2021","Devon","Male","Property","140","130","34560","33300"
"In post","2021","Devon","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Science and Engineering","650","620","39490","39750"
"In post","2021","Devon","Male","Security","380","360","27190","20920"
"In post","2021","Devon","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Male","Unknown","680","640","26320","27570"
"In post","2021","Devon","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Female","Commercial","40","40","[c]","[c]"
"In post","2021","Dorset and Somerset","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Female","Digital, Data and Technology","50","50","35110","33290"
"In post","2021","Dorset and Somerset","Female","Finance","30","30","[c]","[c]"
"In post","2021","Dorset and Somerset","Female","Human Resources","40","40","[c]","[c]"
