"Status","Year","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Mixed","50","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Undeclared","140","120","30150","27570"
"Leaver CS","2021","Declared disabled","Unknown","90","80","[c]","[c]"
"Leaver CS","2021","Declared disabled","White","2500","2130","29590","26670"
"Leaver CS","2021","Declared non-disabled","Asian","900","810","30470","26680"
"Leaver CS","2021","Declared non-disabled","Black","460","430","31060","26480"
"Leaver CS","2021","Declared non-disabled","Chinese","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Mixed","290","270","30770","26510"
"Leaver CS","2021","Declared non-disabled","Other ethnicity","100","90","37120","30960"
"Leaver CS","2021","Declared non-disabled","Undeclared","410","340","33120","27570"
"Leaver CS","2021","Declared non-disabled","Unknown","630","540","36340","27570"
"Leaver CS","2021","Declared non-disabled","White","12670","11000","33150","27570"
"Leaver CS","2021","Undeclared","Asian","60","50","[c]","[c]"
"Leaver CS","2021","Undeclared","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","480","420","34460","32900"
"Leaver CS","2021","Undeclared","Unknown","180","160","37100","32780"
"Leaver CS","2021","Undeclared","White","960","820","31500","27570"
"Leaver CS","2021","Unknown","Asian","120","100","34390","28180"
"Leaver CS","2021","Unknown","Black","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Mixed","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","310","280","29310","23050"
"Leaver CS","2021","Unknown","Unknown","5650","5160","31690","27570"
"Leaver CS","2021","Unknown","White","1440","1260","37280","32770"
"Leaver CS","2022","Declared disabled","Asian","210","190","29120","27570"
"Leaver CS","2022","Declared disabled","Black","160","140","31370","27570"
"Leaver CS","2022","Declared disabled","Mixed","130","120","29030","27570"
"Leaver CS","2022","Declared disabled","Other ethnicity","40","40","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","190","160","33560","27570"
"Leaver CS","2022","Declared disabled","Unknown","120","100","31450","28400"
"Leaver CS","2022","Declared disabled","White","3640","3110","30200","27570"
"Leaver CS","2022","Declared non-disabled","Asian","1820","1660","33420","28650"
"Leaver CS","2022","Declared non-disabled","Black","1110","1050","32290","30850"
"Leaver CS","2022","Declared non-disabled","Mixed","620","580","32640","27570"
"Leaver CS","2022","Declared non-disabled","Other ethnicity","170","150","33760","31050"
"Leaver CS","2022","Declared non-disabled","Undeclared","690","590","32190","27570"
"Leaver CS","2022","Declared non-disabled","Unknown","740","650","31900","27070"
"Leaver CS","2022","Declared non-disabled","White","21070","18710","33550","27570"
"Leaver CS","2022","Undeclared","Asian","90","80","31180","27570"
"Leaver CS","2022","Undeclared","Black","60","60","[c]","[c]"
"Leaver CS","2022","Undeclared","Mixed","50","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","550","490","35900","33270"
"Leaver CS","2022","Undeclared","Unknown","90","80","[c]","[c]"
"Leaver CS","2022","Undeclared","White","1360","1190","30950","27570"
"Leaver CS","2022","Unknown","Asian","290","250","36550","30210"
"Leaver CS","2022","Unknown","Black","130","110","35980","32980"
"Leaver CS","2022","Unknown","Mixed","80","70","35110","28500"
"Leaver CS","2022","Unknown","Other ethnicity","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","360","320","35420","30460"
"Leaver CS","2022","Unknown","Unknown","8330","7410","32340","27570"
"Leaver CS","2022","Unknown","White","2050","1760","38460","34000"
"Leaver Dept.","2021","Declared disabled","Asian","90","90","33810","32000"
"Leaver Dept.","2021","Declared disabled","Black","40","40","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Mixed","50","40","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","White","760","730","36110","32300"
"Leaver Dept.","2021","Declared non-disabled","Asian","760","730","34920","31060"
"Leaver Dept.","2021","Declared non-disabled","Black","380","360","34180","31370"
"Leaver Dept.","2021","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Mixed","250","230","39390","33990"
"Leaver Dept.","2021","Declared non-disabled","Other ethnicity","50","50","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Undeclared","150","140","37130","33300"
"Leaver Dept.","2021","Declared non-disabled","Unknown","250","230","39380","32820"
"Leaver Dept.","2021","Declared non-disabled","White","5090","4830","38330","32830"
"Leaver Dept.","2021","Undeclared","Asian","50","50","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","140","130","37060","32620"
"Leaver Dept.","2021","Undeclared","Unknown","100","100","40410","36650"
"Leaver Dept.","2021","Undeclared","White","270","250","37190","32000"
"Leaver Dept.","2021","Unknown","Asian","70","70","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","40","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","120","120","38820","36740"
"Leaver Dept.","2021","Unknown","Unknown","2820","2540","37310","32560"
"Leaver Dept.","2021","Unknown","White","370","340","42720","37410"
"Leaver Dept.","2022","Declared disabled","Asian","180","170","32110","30510"
"Leaver Dept.","2022","Declared disabled","Black","90","90","34440","31060"
"Leaver Dept.","2022","Declared disabled","Mixed","80","70","33740","29250"
"Leaver Dept.","2022","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Undeclared","70","70","38150","33570"
"Leaver Dept.","2022","Declared disabled","Unknown","50","40","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","White","1380","1290","36150","31460"
"Leaver Dept.","2022","Declared non-disabled","Asian","1870","1760","35430","30850"
"Leaver Dept.","2022","Declared non-disabled","Black","970","920","34720","31060"
"Leaver Dept.","2022","Declared non-disabled","Mixed","460","430","37280","33290"
"Leaver Dept.","2022","Declared non-disabled","Other ethnicity","130","120","39540","32330"
"Leaver Dept.","2022","Declared non-disabled","Undeclared","300","290","37190","32560"
"Leaver Dept.","2022","Declared non-disabled","Unknown","290","270","37160","30870"
"Leaver Dept.","2022","Declared non-disabled","White","10390","9780","38870","33210"
"Leaver Dept.","2022","Undeclared","Asian","80","80","32200","30320"
"Leaver Dept.","2022","Undeclared","Black","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Mixed","30","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","230","220","39510","36330"
"Leaver Dept.","2022","Undeclared","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","White","420","410","34610","31470"
"Leaver Dept.","2022","Unknown","Asian","310","270","45840","37830"
"Leaver Dept.","2022","Unknown","Black","140","120","49260","40070"
"Leaver Dept.","2022","Unknown","Mixed","70","50","39950","37380"
"Leaver Dept.","2022","Unknown","Other ethnicity","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Undeclared","470","420","45060","40070"
"Leaver Dept.","2022","Unknown","Unknown","3940","2800","36970","32000"
"Leaver Dept.","2022","Unknown","White","1580","1350","46260","40470"
"New entrant CS","2021","Declared disabled","Asian","280","270","29320","27570"
"New entrant CS","2021","Declared disabled","Black","250","250","29780","29400"
"New entrant CS","2021","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Mixed","190","180","28160","27570"
"New entrant CS","2021","Declared disabled","Other ethnicity","50","50","[c]","[c]"
"New entrant CS","2021","Declared disabled","Undeclared","80","80","28280","27570"
"New entrant CS","2021","Declared disabled","Unknown","80","80","28590","27570"
"New entrant CS","2021","Declared disabled","White","3080","3000","27660","27570"
"New entrant CS","2021","Declared non-disabled","Asian","3190","3110","29570","27570"
"New entrant CS","2021","Declared non-disabled","Black","2090","2050","29650","29290"
"New entrant CS","2021","Declared non-disabled","Chinese","100","100","31250","29290"
"New entrant CS","2021","Declared non-disabled","Mixed","1110","1090","29500","27570"
"New entrant CS","2021","Declared non-disabled","Other ethnicity","270","270","30170","29290"
"New entrant CS","2021","Declared non-disabled","Undeclared","410","410","29990","27570"
"New entrant CS","2021","Declared non-disabled","Unknown","280","270","30510","27570"
"New entrant CS","2021","Declared non-disabled","White","22970","22380","28930","27570"
"New entrant CS","2021","Undeclared","Asian","160","160","31860","27620"
"New entrant CS","2021","Undeclared","Black","90","90","29930","29880"
"New entrant CS","2021","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Mixed","60","60","29260","27570"
"New entrant CS","2021","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Undeclared","330","310","33280","28590"
"New entrant CS","2021","Undeclared","Unknown","220","220","37300","34710"
"New entrant CS","2021","Undeclared","White","1000","970","29830","27570"
"New entrant CS","2021","Unknown","Asian","460","460","33000","28650"
"New entrant CS","2021","Unknown","Black","220","210","32880","30650"
"New entrant CS","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Mixed","180","180","33240","29540"
"New entrant CS","2021","Unknown","Other ethnicity","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","160","160","29290","26350"
"New entrant CS","2021","Unknown","Unknown","16240","15820","29340","25560"
"New entrant CS","2021","Unknown","White","3530","3450","32630","29360"
"New entrant CS","2022","Declared disabled","Asian","320","300","29130","27570"
"New entrant CS","2022","Declared disabled","Black","300","290","30780","29230"
"New entrant CS","2022","Declared disabled","Mixed","250","240","30010","27570"
"New entrant CS","2022","Declared disabled","Other ethnicity","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","Undeclared","90","90","32140","28760"
"New entrant CS","2022","Declared disabled","Unknown","140","130","30610","27500"
"New entrant CS","2022","Declared disabled","White","4080","3930","28760","26590"
"New entrant CS","2022","Declared non-disabled","Asian","3990","3870","29510","27570"
"New entrant CS","2022","Declared non-disabled","Black","2110","2060","29900","27850"
"New entrant CS","2022","Declared non-disabled","Mixed","1130","1100","29320","27130"
"New entrant CS","2022","Declared non-disabled","Other ethnicity","320","310","30100","27570"
"New entrant CS","2022","Declared non-disabled","Undeclared","430","410","30360","27570"
"New entrant CS","2022","Declared non-disabled","Unknown","950","920","26700","22000"
"New entrant CS","2022","Declared non-disabled","White","27980","27210","29750","26590"
"New entrant CS","2022","Undeclared","Asian","180","180","29290","27570"
"New entrant CS","2022","Undeclared","Black","80","80","30980","30480"
"New entrant CS","2022","Undeclared","Mixed","70","60","30490","27660"
"New entrant CS","2022","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Undeclared","320","300","33390","29520"
"New entrant CS","2022","Undeclared","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","White","1180","1140","29040","27230"
"New entrant CS","2022","Unknown","Asian","630","610","31550","28410"
"New entrant CS","2022","Unknown","Black","230","220","32630","29360"
"New entrant CS","2022","Unknown","Mixed","190","180","32060","29360"
"New entrant CS","2022","Unknown","Other ethnicity","50","50","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","150","140","34490","31890"
"New entrant CS","2022","Unknown","Unknown","20480","19370","29140","26310"
"New entrant CS","2022","Unknown","White","3680","3530","32290","28840"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Ethnicity","Self reported ethnicity. For consistency with Civil Service Statistics, 'Chinese' is shown separately in the 2021 figures, but counted within 'Asian' for 2022.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
