"Status","Year","Sexual_orientation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Psychology","Declared disabled","90","80","33760","30450"
"In post","2021","Heterosexual / straight","Psychology","Declared non-disabled","880","840","35770","30450"
"In post","2021","Heterosexual / straight","Psychology","Undeclared","70","60","38120","31180"
"In post","2021","Heterosexual / straight","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Declared disabled","810","780","36660","35120"
"In post","2021","Heterosexual / straight","Science and Engineering","Declared non-disabled","7160","6880","38410","37210"
"In post","2021","Heterosexual / straight","Science and Engineering","Undeclared","330","320","38190","35890"
"In post","2021","Heterosexual / straight","Science and Engineering","Unknown","590","570","40420","38070"
"In post","2021","Heterosexual / straight","Security","Declared disabled","450","430","31220","28070"
"In post","2021","Heterosexual / straight","Security","Declared non-disabled","4450","4360","30740","26670"
"In post","2021","Heterosexual / straight","Security","Undeclared","290","280","31640","27420"
"In post","2021","Heterosexual / straight","Security","Unknown","700","690","30750","28170"
"In post","2021","Heterosexual / straight","Social Research","Declared disabled","70","70","42710","39460"
"In post","2021","Heterosexual / straight","Social Research","Declared non-disabled","630","600","45180","44580"
"In post","2021","Heterosexual / straight","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","Unknown","140","130","35040","32540"
"In post","2021","Heterosexual / straight","Statistics","Declared disabled","130","120","43760","39140"
"In post","2021","Heterosexual / straight","Statistics","Declared non-disabled","1090","1050","44720","41760"
"In post","2021","Heterosexual / straight","Statistics","Undeclared","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","Unknown","140","140","40810","37020"
"In post","2021","Heterosexual / straight","Tax","Declared disabled","990","920","35250","31810"
"In post","2021","Heterosexual / straight","Tax","Declared non-disabled","7970","7520","35760","31810"
"In post","2021","Heterosexual / straight","Tax","Undeclared","230","220","35370","31810"
"In post","2021","Heterosexual / straight","Tax","Unknown","410","380","34510","31810"
"In post","2021","Heterosexual / straight","Unknown","Declared disabled","12620","11210","28750","27570"
"In post","2021","Heterosexual / straight","Unknown","Declared non-disabled","57460","52920","31110","27570"
"In post","2021","Heterosexual / straight","Unknown","Undeclared","2580","2410","29120","27570"
"In post","2021","Heterosexual / straight","Unknown","Unknown","2330","2220","39820","34550"
"In post","2021","Heterosexual / straight","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","Declared non-disabled","240","230","45570","44640"
"In post","2021","Heterosexual / straight","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Declared non-disabled","110","110","37100","33300"
"In post","2021","LGBO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Declared disabled","30","30","[c]","[c]"
"In post","2021","LGBO","Communications","Declared non-disabled","140","140","43050","40610"
"In post","2021","LGBO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Declared disabled","110","100","39140","36500"
"In post","2021","LGBO","Digital, Data and Technology","Declared non-disabled","300","300","42700","38630"
"In post","2021","LGBO","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","Unknown","60","60","38390","35190"
"In post","2021","LGBO","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Declared non-disabled","90","90","46460","40930"
"In post","2021","LGBO","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Declared disabled","30","30","[c]","[c]"
"In post","2021","LGBO","Finance","Declared non-disabled","190","180","44300","40680"
"In post","2021","LGBO","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Declared disabled","90","90","40860","35000"
"In post","2021","LGBO","Human Resources","Declared non-disabled","220","220","42450","38630"
"In post","2021","LGBO","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Declared non-disabled","90","90","34720","30830"
"In post","2021","LGBO","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Declared non-disabled","60","50","53110","51970"
"In post","2021","LGBO","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","Declared non-disabled","60","60","34020","31400"
"In post","2021","LGBO","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Declared disabled","70","70","52970","52490"
"In post","2021","LGBO","Legal","Declared non-disabled","320","310","50890","51250"
"In post","2021","LGBO","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","LGBO","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Delivery","Declared disabled","1300","1240","28340","25830"
"In post","2021","LGBO","Operational Delivery","Declared non-disabled","4300","4140","29150","25960"
"In post","2021","LGBO","Operational Delivery","Undeclared","410","390","29000","26850"
"In post","2021","LGBO","Operational Delivery","Unknown","440","420","29030","26300"
"In post","2021","LGBO","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","Declared non-disabled","50","50","40700","37320"
"In post","2021","LGBO","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other","Declared disabled","100","100","28470","26350"
"In post","2021","LGBO","Other","Declared non-disabled","410","400","32970","28120"
"In post","2021","LGBO","Other","Undeclared","40","40","[c]","[c]"
"In post","2021","LGBO","Other","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Policy","Declared disabled","340","330","44610","40050"
"In post","2021","LGBO","Policy","Declared non-disabled","1320","1310","48080","46000"
"In post","2021","LGBO","Policy","Undeclared","90","90","44740","37700"
"In post","2021","LGBO","Policy","Unknown","160","160","45070","40230"
"In post","2021","LGBO","Project Delivery","Declared disabled","110","110","40040","35760"
"In post","2021","LGBO","Project Delivery","Declared non-disabled","390","380","41950","38630"
"In post","2021","LGBO","Project Delivery","Undeclared","30","30","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","LGBO","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Declared non-disabled","130","120","36270","32260"
"In post","2021","LGBO","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","LGBO","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Science and Engineering","Declared disabled","80","80","36130","30930"
"In post","2021","LGBO","Science and Engineering","Declared non-disabled","300","290","35810","31600"
"In post","2021","LGBO","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Declared non-disabled","150","150","32380","30120"
"In post","2021","LGBO","Security","Undeclared","30","30","[c]","[c]"
"In post","2021","LGBO","Security","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","LGBO","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","Declared non-disabled","100","90","41320","37220"
"In post","2021","LGBO","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Tax","Declared disabled","120","110","34200","31810"
"In post","2021","LGBO","Tax","Declared non-disabled","470","460","33210","31810"
"In post","2021","LGBO","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Declared disabled","1390","1320","29910","27570"
"In post","2021","LGBO","Unknown","Declared non-disabled","3210","3110","31290","27570"
"In post","2021","LGBO","Unknown","Undeclared","230","220","29530","27570"
"In post","2021","LGBO","Unknown","Unknown","140","140","37160","32190"
"In post","2021","LGBO","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Declared disabled","60","50","38010","36660"
"In post","2021","Undeclared","Commercial","Declared non-disabled","250","240","39990","36970"
"In post","2021","Undeclared","Commercial","Undeclared","130","130","41250","40190"
"In post","2021","Undeclared","Commercial","Unknown","50","50","39020","39440"
"In post","2021","Undeclared","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Declared non-disabled","180","170","38790","37410"
"In post","2021","Undeclared","Communications","Undeclared","70","70","38640","37800"
"In post","2021","Undeclared","Communications","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Declared disabled","120","110","39720","37240"
"In post","2021","Undeclared","Digital, Data and Technology","Declared non-disabled","650","630","42020","39250"
"In post","2021","Undeclared","Digital, Data and Technology","Undeclared","390","380","41050","38630"
"In post","2021","Undeclared","Digital, Data and Technology","Unknown","170","160","38120","35230"
"In post","2021","Undeclared","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Declared non-disabled","110","110","48920","52750"
"In post","2021","Undeclared","Economics","Undeclared","30","30","[c]","[c]"
"In post","2021","Undeclared","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Declared disabled","80","70","36890","31810"
"In post","2021","Undeclared","Finance","Declared non-disabled","490","460","40950","37410"
"In post","2021","Undeclared","Finance","Undeclared","240","230","40540","36460"
"In post","2021","Undeclared","Finance","Unknown","90","90","40010","39770"
"In post","2021","Undeclared","Human Resources","Declared disabled","80","80","39520","35200"
"In post","2021","Undeclared","Human Resources","Declared non-disabled","310","290","36590","33300"
"In post","2021","Undeclared","Human Resources","Undeclared","160","150","36980","33300"
"In post","2021","Undeclared","Human Resources","Unknown","60","60","31640","29350"
"In post","2021","Undeclared","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Inspector of Education and Training","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","Declared disabled","40","30","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","Declared non-disabled","230","210","33150","30500"
"In post","2021","Undeclared","Intelligence Analysis","Undeclared","150","140","34940","32100"
"In post","2021","Undeclared","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Declared disabled","50","40","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Declared non-disabled","150","150","35660","33310"
"In post","2021","Undeclared","Knowledge and Information Management","Undeclared","90","90","39460","36460"
"In post","2021","Undeclared","Knowledge and Information Management","Unknown","40","30","[c]","[c]"
"In post","2021","Undeclared","Legal","Declared disabled","100","90","48210","46590"
"In post","2021","Undeclared","Legal","Declared non-disabled","520","480","48820","46530"
"In post","2021","Undeclared","Legal","Undeclared","300","280","43800","38630"
"In post","2021","Undeclared","Legal","Unknown","100","90","44910","45190"
"In post","2021","Undeclared","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Medicine","Declared non-disabled","120","100","60220","47000"
"In post","2021","Undeclared","Medicine","Undeclared","50","50","69910","77770"
"In post","2021","Undeclared","Medicine","Unknown","50","40","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Declared disabled","1870","1660","27560","25630"
"In post","2021","Undeclared","Operational Delivery","Declared non-disabled","8810","7870","28790","26700"
"In post","2021","Undeclared","Operational Delivery","Undeclared","4520","4160","29720","27370"
"In post","2021","Undeclared","Operational Delivery","Unknown","2290","2080","28320","25560"
"In post","2021","Undeclared","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Research","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","Operational Research","Undeclared","50","50","[c]","[c]"
"In post","2021","Undeclared","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other","Declared disabled","220","210","28370","23990"
"In post","2021","Undeclared","Other","Declared non-disabled","1110","1070","31910","26670"
"In post","2021","Undeclared","Other","Undeclared","560","540","30700","26930"
"In post","2021","Undeclared","Other","Unknown","260","250","32830","26670"
"In post","2021","Undeclared","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Policy","Declared disabled","240","240","43970","40050"
"In post","2021","Undeclared","Policy","Declared non-disabled","1460","1410","47810","45070"
"In post","2021","Undeclared","Policy","Undeclared","700","690","48190","47000"
"In post","2021","Undeclared","Policy","Unknown","230","220","44200","40050"
"In post","2021","Undeclared","Project Delivery","Declared disabled","160","150","43170","40580"
"In post","2021","Undeclared","Project Delivery","Declared non-disabled","750","720","44520","40580"
"In post","2021","Undeclared","Project Delivery","Undeclared","440","430","42610","40000"
"In post","2021","Undeclared","Project Delivery","Unknown","150","140","44480","40580"
"In post","2021","Undeclared","Property","Declared disabled","70","60","38320","33630"
"In post","2021","Undeclared","Property","Declared non-disabled","380","360","37110","33300"
"In post","2021","Undeclared","Property","Undeclared","250","240","37930","34690"
"In post","2021","Undeclared","Property","Unknown","60","60","34710","33300"
"In post","2021","Undeclared","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","Psychology","Undeclared","40","40","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","Declared disabled","120","120","37530","37290"
"In post","2021","Undeclared","Science and Engineering","Declared non-disabled","750","710","39620","37320"
"In post","2021","Undeclared","Science and Engineering","Undeclared","570","540","38770","37360"
"In post","2021","Undeclared","Science and Engineering","Unknown","130","130","44450","42150"
"In post","2021","Undeclared","Security","Declared disabled","90","80","34850","37130"
"In post","2021","Undeclared","Security","Declared non-disabled","420","400","33630","35360"
"In post","2021","Undeclared","Security","Undeclared","310","300","35440","39070"
"In post","2021","Undeclared","Security","Unknown","130","130","34840","39070"
"In post","2021","Undeclared","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Research","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Undeclared","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Research","Unknown","[c]","[c]","[c]","[c]"
