"Status","Year","Disability","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","450","420","29260","26780"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","160","150","39590","36960"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","80","80","36780","32810"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","70","70","34990","30810"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","720","700","44370","38600"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","40","40","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","50","50","44710","42720"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","190","180","52980","52040"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","320","300","39350","35910"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","2080","1870","23730","20650"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","490","420","30520","27130"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","5960","5590","30620","29110"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5490","4910","30940","27810"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","190","180","46160","42900"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","3060","2810","31320","27370"
"In post","2021","Declared disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","180","170","32860","29940"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal Aid Agency","Ministry of Justice","130","130","25680","21170"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","Department for Transport","70","60","34190","30730"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","50","50","[c]","[c]"
"In post","2021","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","100","100","36210","33860"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","3460","3320","31720","28190"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","280","270","42990","39100"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","560","540","40400","36720"
"In post","2021","Declared disabled","National Crime Agency","National Crime Agency","200","190","38020","36410"
"In post","2021","Declared disabled","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Records of Scotland","Scottish Government","50","40","[c]","[c]"
"In post","2021","Declared disabled","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","140","130","45350","42850"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","50","50","39210","31720"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of the Public Guardian","Ministry of Justice","200","190","22800","20650"
"In post","2021","Declared disabled","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectorate","Ministry of Housing, Communities and Local Government","60","50","34380","24310"
"In post","2021","Declared disabled","Public Health England","Department of Health and Social Care","340","310","38640","32650"
"In post","2021","Declared disabled","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Registers of Scotland","Scottish Government","140","130","32380","30080"
"In post","2021","Declared disabled","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Rural Payments Agency","Department for Environment, Food and Rural Affairs","180","160","26230","24920"
"In post","2021","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government (excl. agencies)","Scottish Government","690","660","40320","35110"
"In post","2021","Declared disabled","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Prison Service","Scottish Government","380","350","33790","33650"
"In post","2021","Declared disabled","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Security Scotland","Scottish Government","120","120","28130","24510"
"In post","2021","Declared disabled","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Submarine Delivery Agency","Ministry of Defence","170","170","39470","38380"
"In post","2021","Declared disabled","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","The National Archives","30","30","[c]","[c]"
"In post","2021","Declared disabled","Transport Scotland","Scottish Government","50","50","38580","36340"
"In post","2021","Declared disabled","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Hydrographic Office","Ministry of Defence","70","60","34970","33290"
"In post","2021","Declared disabled","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","80","70","37670","37140"
"In post","2021","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","United Kingdom Statistics Authority","530","460","31630","29540"
"In post","2021","Declared disabled","Valuation Office Agency","HM Revenue and Customs","250","230","32890","28090"
"In post","2021","Declared disabled","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","320","300","38660","37410"
"In post","2021","Declared disabled","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Accountant in Bankruptcy","Scottish Government","70","60","32520","29190"
"In post","2021","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","220","210","33990","30950"
"In post","2021","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","2000","1890","31120","28030"
"In post","2021","Declared non-disabled","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","4500","4390","49000","41850"
"In post","2021","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","400","380","32850","29270"
"In post","2021","Declared non-disabled","Charity Commission","Charity Commission","220","210","35240","29160"
"In post","2021","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","670","630","32040","27460"
"In post","2021","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","710","690","59490","56360"
"In post","2021","Declared non-disabled","Criminal Injuries Compensation Authority","Ministry of Justice","160","150","27760","22720"
"In post","2021","Declared non-disabled","Crown Commercial Service","Other Cabinet Office Agencies","210","200","41250","35420"
"In post","2021","Declared non-disabled","Crown Office and Procurator Fiscal Service","Scottish Government","1800","1670","35540","29040"
"In post","2021","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","4550","4200","42620","38760"
"In post","2021","Declared non-disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Defence Electronics and Components Agency","Ministry of Defence","210","210","28560","28750"
"In post","2021","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","7840","7580","36570","33740"
"In post","2021","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","2770","2660","40610","37360"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","3690","3600","50020","53380"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","1330","1300","49620","51730"
"In post","2021","Declared non-disabled","Department for Education (excl. agencies)","Department for Education","3860","3700","45890","42660"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","3770","3630","42700","38640"
"In post","2021","Declared non-disabled","Department for International Trade","Department for International Trade","1410","1400","46700","41160"
"In post","2021","Declared non-disabled","Department for Transport (excl. agencies)","Department for Transport","2360","2290","49650","45130"
"In post","2021","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","68510","61280","27750","27570"
"In post","2021","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","860","830","49900","50620"
"In post","2021","Declared non-disabled","Disclosure Scotland","Scottish Government","130","120","28110","22230"
"In post","2021","Declared non-disabled","Driver and Vehicle Licensing Agency","Department for Transport","4430","3930","26540","21590"
"In post","2021","Declared non-disabled","Driver and Vehicle Standards Agency","Department for Transport","3250","3040","30110","27680"
"In post","2021","Declared non-disabled","Education and Skills Funding Agency","Department for Education","1390","1350","42730","37100"
"In post","2021","Declared non-disabled","Education Scotland","Scottish Government","130","120","57550","66290"
"In post","2021","Declared non-disabled","ESTYN","ESTYN","100","90","58270","74730"
"In post","2021","Declared non-disabled","FCDO Services","Foreign, Commonwealth and Development Office","900","870","40640","37900"
"In post","2021","Declared non-disabled","Food Standards Agency","Food Standards Agency","810","780","36740","31240"
"In post","2021","Declared non-disabled","Food Standards Scotland","Scottish Government","110","110","35710","30650"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","4940","4850","48970","44770"
"In post","2021","Declared non-disabled","Forestry and Land Scotland","Scottish Government","910","870","31700","30160"
"In post","2021","Declared non-disabled","Government Actuary's Department","Chancellor's other departments","150","140","69800","65470"
"In post","2021","Declared non-disabled","Government Internal Audit Agency","HM Treasury","360","340","48930","47170"
"In post","2021","Declared non-disabled","Government Legal Department","Attorney General's Departments","1860","1730","54010","51830"
"In post","2021","Declared non-disabled","Government Property Agency","Other Cabinet Office Agencies","160","150","50100","49700"
"In post","2021","Declared non-disabled","Health and Safety Executive","Department for Work and Pensions","2040","1910","43820","41480"
"In post","2021","Declared non-disabled","HM Courts and Tribunals Service","Ministry of Justice","11710","10490","25200","21270"
"In post","2021","Declared non-disabled","HM Land Registry","HM Land Registry","3690","3260","33100","30600"
"In post","2021","Declared non-disabled","HM Prison and Probation Service","Ministry of Justice","35880","33980","30500","28350"
"In post","2021","Declared non-disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","35110","32350","32720","29570"
"In post","2021","Declared non-disabled","HM Treasury (excl. agencies)","HM Treasury","1450","1410","48160","52500"
"In post","2021","Declared non-disabled","Home Office (incl. agencies)","Home Office","28490","26420","32000","27370"
"In post","2021","Declared non-disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","1080","1020","34600","32060"
"In post","2021","Declared non-disabled","Institute for Apprenticeships and Technical Education","Department for Education","190","180","48750","50260"
"In post","2021","Declared non-disabled","Legal Aid Agency","Ministry of Justice","890","840","29240","22990"
"In post","2021","Declared non-disabled","Maritime and Coastguard Agency","Department for Transport","820","790","38850","35860"
"In post","2021","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","540","520","51090","50800"
"In post","2021","Declared non-disabled","Met Office","Department for Business, Energy and Industrial Strategy","2000","1910","40290","39650"
"In post","2021","Declared non-disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","25530","24690","32180","28390"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","1870","1810","46570","42900"
"In post","2021","Declared non-disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","3600","3500","42240","37000"
"In post","2021","Declared non-disabled","National Crime Agency","National Crime Agency","1750","1700","43290","40210"
"In post","2021","Declared non-disabled","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","National Records of Scotland","Scottish Government","200","190","36460","35110"
"In post","2021","Declared non-disabled","National Savings and Investments","Chancellor's other departments","180","180","51680","45860"
"In post","2021","Declared non-disabled","Northern Ireland Office","Northern Ireland Office","80","80","45530","38980"
"In post","2021","Declared non-disabled","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","1480","1420","50470","51360"
"In post","2021","Declared non-disabled","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","1020","1010","44860","38550"
"In post","2021","Declared non-disabled","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","160","150","44400","38760"
"In post","2021","Declared non-disabled","Office of Rail and Road","Office of Rail and Road","290","280","54650","55430"
"In post","2021","Declared non-disabled","Office of the Public Guardian","Ministry of Justice","950","880","22150","19930"
"In post","2021","Declared non-disabled","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning Inspectorate","Ministry of Housing, Communities and Local Government","610","550","44550","47660"
"In post","2021","Declared non-disabled","Public Health England","Department of Health and Social Care","4470","4090","41760","36330"
"In post","2021","Declared non-disabled","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Registers of Scotland","Scottish Government","540","530","33620","30080"
"In post","2021","Declared non-disabled","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Rural Payments Agency","Department for Environment, Food and Rural Affairs","1940","1770","26500","24920"
"In post","2021","Declared non-disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Scottish Courts and Tribunals Service","Scottish Government","110","110","30940","22820"
"In post","2021","Declared non-disabled","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scottish Forestry","Scottish Government","170","160","35280","35330"
"In post","2021","Declared non-disabled","Scottish Government (excl. agencies)","Scottish Government","4380","4190","44440","39660"
"In post","2021","Declared non-disabled","Scottish Housing Regulator","Scottish Government","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Scottish Prison Service","Scottish Government","70","70","38740","33650"
"In post","2021","Declared non-disabled","Scottish Public Pensions Agency","Scottish Government","130","120","31000","29190"
"In post","2021","Declared non-disabled","Serious Fraud Office","Attorney General's Departments","320","320","45910","40950"
"In post","2021","Declared non-disabled","Social Security Scotland","Scottish Government","660","650","31670","27150"
"In post","2021","Declared non-disabled","Standards and Testing Agency","Department for Education","100","90","43110","41690"
"In post","2021","Declared non-disabled","Student Awards Agency for Scotland","Scottish Government","80","80","35220","31150"
"In post","2021","Declared non-disabled","Submarine Delivery Agency","Ministry of Defence","1290","1260","41450","39860"
"In post","2021","Declared non-disabled","Teaching Regulation Agency","Department for Education","50","50","32530","29550"
"In post","2021","Declared non-disabled","The National Archives","The National Archives","340","330","35890","34260"
"In post","2021","Declared non-disabled","Transport Scotland","Scottish Government","260","250","44870","40930"
"In post","2021","Declared non-disabled","UK Export Finance","UK Export Finance","380","370","54030","49200"
"In post","2021","Declared non-disabled","UK Hydrographic Office","Ministry of Defence","500","480","34870","33290"
"In post","2021","Declared non-disabled","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","1040","970","39780","39120"
"In post","2021","Declared non-disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","130","120","48490","49080"
"In post","2021","Declared non-disabled","UK Supreme Court","UK Supreme Court","50","50","37580","32770"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","United Kingdom Statistics Authority","2600","2300","34340","30660"
"In post","2021","Declared non-disabled","Valuation Office Agency","HM Revenue and Customs","2290","2120","35080","32100"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Department for Transport","180","170","37350","34660"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","140","140","42880","38790"
"In post","2021","Declared non-disabled","Wales Office","Wales Office","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Water Services Regulation Authority","170","160","57080","51120"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Welsh Government","4920","4660","41290","37410"
"In post","2021","Declared non-disabled","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wilton Park","Foreign, Commonwealth and Development Office","70","60","33280","28640"
"In post","2021","Undeclared","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","140","130","31510","28740"
"In post","2021","Undeclared","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","290","280","44640","38890"
"In post","2021","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","70","60","30000","25460"
"In post","2021","Undeclared","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Criminal Injuries Compensation Authority","Ministry of Justice","70","70","23640","22570"
"In post","2021","Undeclared","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Crown Office and Procurator Fiscal Service","Scottish Government","70","70","41450","34150"
"In post","2021","Undeclared","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Ministry of Defence","190","180","28230","28110"
"In post","2021","Undeclared","Defence Equipment and Support","Ministry of Defence","690","670","38560","37690"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Ministry of Defence","410","400","42400","46080"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","280","270","50500","53380"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","70","70","46060","51440"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Department for Education","270","260","44800","40300"
"In post","2021","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","220","210","41230","37240"
"In post","2021","Undeclared","Department for International Trade","Department for International Trade","70","70","47320","51710"
"In post","2021","Undeclared","Department for Transport (excl. agencies)","Department for Transport","730","710","42650","36340"
"In post","2021","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","4030","3730","27380","27570"
"In post","2021","Undeclared","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","470","420","27160","21590"
"In post","2021","Undeclared","Driver and Vehicle Standards Agency","Department for Transport","260","250","29730","27680"
"In post","2021","Undeclared","Education and Skills Funding Agency","Department for Education","80","80","40810","36780"
"In post","2021","Undeclared","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","FCDO Services","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Undeclared","Food Standards Agency","Food Standards Agency","430","420","38670","37350"
"In post","2021","Undeclared","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","300","290","49720","45160"
"In post","2021","Undeclared","Government Internal Audit Agency","HM Treasury","50","40","[c]","[c]"
"In post","2021","Undeclared","Government Legal Department","Attorney General's Departments","120","110","57580","64680"
"In post","2021","Undeclared","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Health and Safety Executive","Department for Work and Pensions","170","160","45730","45870"
"In post","2021","Undeclared","HM Courts and Tribunals Service","Ministry of Justice","1180","1060","24900","21170"
"In post","2021","Undeclared","HM Land Registry","HM Land Registry","230","210","32430","31740"
"In post","2021","Undeclared","HM Prison and Probation Service","Ministry of Justice","7200","6620","31400","31650"
"In post","2021","Undeclared","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2970","2730","33230","31810"
"In post","2021","Undeclared","HM Treasury (excl. agencies)","HM Treasury","330","330","43540","35980"
"In post","2021","Undeclared","Home Office (incl. agencies)","Home Office","1810","1680","32620","28930"
"In post","2021","Undeclared","Insolvency Service","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Undeclared","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal Aid Agency","Ministry of Justice","100","90","29110","21170"
"In post","2021","Undeclared","Maritime and Coastguard Agency","Department for Transport","80","80","37520","35180"
"In post","2021","Undeclared","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","2720","2640","32060","29200"
"In post","2021","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","130","130","44570","41540"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","440","420","41700","37650"
"In post","2021","Undeclared","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Ministry of Justice","110","100","22230","20420"
"In post","2021","Undeclared","Planning Inspectorate","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","Undeclared","Public Health England","Department of Health and Social Care","510","450","46580","40070"
"In post","2021","Undeclared","Registers of Scotland","Scottish Government","50","50","34980","32140"
