"Status","Year","Age","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Merseyside","50","40","[c]","[c]"
"In post","2021","16-19","AA/AO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Northumberland and Tyne and Wear","70","70","20480","20140"
"In post","2021","16-19","AA/AO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","West Central Scotland","50","50","20500","20140"
"In post","2021","16-19","AA/AO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","West Wales and The Valleys","60","50","19920","21010"
"In post","2021","16-19","AA/AO","West Yorkshire","60","60","20350","20140"
"In post","2021","16-19","EO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","18650","17780"
"In post","2021","16-19","EO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Inner London - West","70","70","25870","25170"
"In post","2021","16-19","EO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Bedfordshire and Hertfordshire","290","290","26030","27850"
"In post","2021","20-29","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","790","790","25940","26610"
"In post","2021","20-29","AA/AO","Cheshire","260","250","22700","21300"
"In post","2021","20-29","AA/AO","Cornwall and Isles of Scilly","70","70","20830","21010"
"In post","2021","20-29","AA/AO","Cumbria","140","140","21700","21050"
"In post","2021","20-29","AA/AO","Derbyshire and Nottinghamshire","810","780","22100","21010"
"In post","2021","20-29","AA/AO","Devon","530","520","22280","21080"
"In post","2021","20-29","AA/AO","Dorset and Somerset","290","280","22640","21490"
"In post","2021","20-29","AA/AO","East Anglia","860","830","23790","21950"
"In post","2021","20-29","AA/AO","East Wales","1370","1340","21250","20500"
"In post","2021","20-29","AA/AO","East Yorkshire and Northern Lincolnshire","470","460","23180","22350"
"In post","2021","20-29","AA/AO","Eastern Scotland","1410","1370","21730","21010"
"In post","2021","20-29","AA/AO","Essex","270","270","23950","24180"
"In post","2021","20-29","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","910","880","21380","20920"
"In post","2021","20-29","AA/AO","Greater Manchester","1160","1140","21040","20600"
"In post","2021","20-29","AA/AO","Hampshire and Isle of Wight","610","590","22350","20920"
"In post","2021","20-29","AA/AO","Herefordshire, Worcestershire and Warwickshire","360","360","22600","22850"
"In post","2021","20-29","AA/AO","Highlands and Islands","120","120","22080","21100"
"In post","2021","20-29","AA/AO","Inner London - East","510","500","25740","24490"
"In post","2021","20-29","AA/AO","Inner London - West","1130","1120","25440","24490"
"In post","2021","20-29","AA/AO","Kent","700","690","25750","24440"
"In post","2021","20-29","AA/AO","Lancashire","970","940","21720","21010"
"In post","2021","20-29","AA/AO","Leicestershire, Rutland and Northamptonshire","560","550","21960","21010"
"In post","2021","20-29","AA/AO","Lincolnshire","150","150","22920","21360"
"In post","2021","20-29","AA/AO","Merseyside","1200","1150","21060","21430"
"In post","2021","20-29","AA/AO","North Eastern Scotland","110","110","23830","22220"
"In post","2021","20-29","AA/AO","North Yorkshire","200","200","21760","20920"
"In post","2021","20-29","AA/AO","Northern Ireland","260","250","20360","20140"
"In post","2021","20-29","AA/AO","Northumberland and Tyne and Wear","1170","1120","20540","20140"
"In post","2021","20-29","AA/AO","Outer London - East and North East","300","290","27110","25110"
"In post","2021","20-29","AA/AO","Outer London - South","320","310","23790","24120"
"In post","2021","20-29","AA/AO","Outer London - West and North West","400","390","26440","25630"
"In post","2021","20-29","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Shropshire and Staffordshire","650","630","22480","22350"
"In post","2021","20-29","AA/AO","South Yorkshire","620","610","22250","21430"
"In post","2021","20-29","AA/AO","Southern Scotland","330","320","21010","20140"
"In post","2021","20-29","AA/AO","Surrey, East and West Sussex","560","550","25450","24370"
"In post","2021","20-29","AA/AO","Tees Valley and Durham","840","810","22190","21430"
"In post","2021","20-29","AA/AO","Unknown","50","50","[c]","[c]"
"In post","2021","20-29","AA/AO","West Central Scotland","1240","1190","21530","20920"
"In post","2021","20-29","AA/AO","West Midlands","1010","980","20680","20140"
"In post","2021","20-29","AA/AO","West Wales and The Valleys","1150","1090","21250","21590"
"In post","2021","20-29","AA/AO","West Yorkshire","1310","1280","21590","20600"
"In post","2021","20-29","EO","Bedfordshire and Hertfordshire","220","210","28470","28000"
"In post","2021","20-29","EO","Berkshire, Buckinghamshire and Oxfordshire","370","370","28040","27570"
"In post","2021","20-29","EO","Cheshire","300","300","29270","28840"
"In post","2021","20-29","EO","Cornwall and Isles of Scilly","40","40","[c]","[c]"
"In post","2021","20-29","EO","Cumbria","40","40","[c]","[c]"
"In post","2021","20-29","EO","Derbyshire and Nottinghamshire","580","570","25880","25560"
"In post","2021","20-29","EO","Devon","290","290","26420","27130"
"In post","2021","20-29","EO","Dorset and Somerset","150","140","26270","26740"
"In post","2021","20-29","EO","East Anglia","360","360","26300","26670"
"In post","2021","20-29","EO","East Wales","1090","1080","25930","25560"
"In post","2021","20-29","EO","East Yorkshire and Northern Lincolnshire","120","120","26960","27380"
"In post","2021","20-29","EO","Eastern Scotland","820","810","27680","27570"
"In post","2021","20-29","EO","Essex","270","270","28030","29290"
"In post","2021","20-29","EO","Gloucestershire, Wiltshire and Bath/Bristol area","1760","1730","24470","25550"
"In post","2021","20-29","EO","Greater Manchester","1050","1050","25980","25560"
"In post","2021","20-29","EO","Hampshire and Isle of Wight","510","500","25740","26350"
"In post","2021","20-29","EO","Herefordshire, Worcestershire and Warwickshire","110","110","25590","26470"
"In post","2021","20-29","EO","Highlands and Islands","60","60","28040","27840"
"In post","2021","20-29","EO","Inner London - East","1140","1130","30090","31060"
"In post","2021","20-29","EO","Inner London - West","2830","2810","28450","27960"
"In post","2021","20-29","EO","Kent","380","380","27480","26060"
"In post","2021","20-29","EO","Lancashire","440","430","27090","27570"
"In post","2021","20-29","EO","Leicestershire, Rutland and Northamptonshire","190","190","26650","27570"
"In post","2021","20-29","EO","Lincolnshire","80","80","27510","27570"
"In post","2021","20-29","EO","Merseyside","990","970","25500","25040"
"In post","2021","20-29","EO","North Eastern Scotland","80","80","28500","27840"
"In post","2021","20-29","EO","North Yorkshire","170","170","26160","26370"
"In post","2021","20-29","EO","Northern Ireland","110","110","25520","25560"
"In post","2021","20-29","EO","Northumberland and Tyne and Wear","910","900","26010","25560"
"In post","2021","20-29","EO","Outer London - East and North East","310","310","31100","31060"
"In post","2021","20-29","EO","Outer London - South","510","510","29610","29570"
"In post","2021","20-29","EO","Outer London - West and North West","670","660","29510","29250"
"In post","2021","20-29","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Shropshire and Staffordshire","310","300","26870","27570"
"In post","2021","20-29","EO","South Yorkshire","380","370","26170","25040"
"In post","2021","20-29","EO","Southern Scotland","220","210","25590","26120"
"In post","2021","20-29","EO","Surrey, East and West Sussex","380","370","27540","27570"
"In post","2021","20-29","EO","Tees Valley and Durham","250","240","26850","27130"
"In post","2021","20-29","EO","Unknown","100","100","27360","27570"
"In post","2021","20-29","EO","West Central Scotland","700","700","26430","26160"
"In post","2021","20-29","EO","West Midlands","900","890","26100","25560"
"In post","2021","20-29","EO","West Wales and The Valleys","420","410","27180","27570"
"In post","2021","20-29","EO","West Yorkshire","1020","1010","26000","25560"
"In post","2021","20-29","G6/G7","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","20-29","G6/G7","Devon","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","East Wales","90","90","51740","49600"
"In post","2021","20-29","G6/G7","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Eastern Scotland","60","60","52570","52480"
"In post","2021","20-29","G6/G7","Essex","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","50800","52260"
"In post","2021","20-29","G6/G7","Greater Manchester","110","110","51650","52580"
"In post","2021","20-29","G6/G7","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","20-29","G6/G7","Inner London - East","250","250","55690","54700"
"In post","2021","20-29","G6/G7","Inner London - West","3070","3060","55190","53870"
"In post","2021","20-29","G6/G7","Kent","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Merseyside","30","30","[c]","[c]"
"In post","2021","20-29","G6/G7","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Northumberland and Tyne and Wear","50","50","[c]","[c]"
"In post","2021","20-29","G6/G7","Outer London - South","70","70","58740","59160"
"In post","2021","20-29","G6/G7","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Overseas","40","40","[c]","[c]"
"In post","2021","20-29","G6/G7","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","South Yorkshire","50","50","52730","50400"
"In post","2021","20-29","G6/G7","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","West Central Scotland","40","40","[c]","[c]"
"In post","2021","20-29","G6/G7","West Midlands","70","70","51850","52580"
"In post","2021","20-29","G6/G7","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","West Yorkshire","110","110","51690","52150"
"In post","2021","20-29","SCS","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Inner London - West","40","40","[c]","[c]"
"In post","2021","20-29","SCS","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Bedfordshire and Hertfordshire","110","100","36450","37000"
"In post","2021","20-29","SEO/HEO","Berkshire, Buckinghamshire and Oxfordshire","170","170","34590","33390"
"In post","2021","20-29","SEO/HEO","Cheshire","50","50","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Derbyshire and Nottinghamshire","340","340","32060","31810"
"In post","2021","20-29","SEO/HEO","Devon","170","170","34930","33840"
"In post","2021","20-29","SEO/HEO","Dorset and Somerset","70","70","33260","33290"
"In post","2021","20-29","SEO/HEO","East Anglia","190","190","32010","31100"
"In post","2021","20-29","SEO/HEO","East Wales","840","840","32970","31810"
"In post","2021","20-29","SEO/HEO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Eastern Scotland","670","660","34220","32140"
"In post","2021","20-29","SEO/HEO","Essex","60","60","34200","31810"
"In post","2021","20-29","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","2140","2130","31950","31600"
"In post","2021","20-29","SEO/HEO","Greater Manchester","830","820","32770","31810"
"In post","2021","20-29","SEO/HEO","Hampshire and Isle of Wight","710","710","32280","30730"
"In post","2021","20-29","SEO/HEO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Inner London - East","990","980","36140","35930"
"In post","2021","20-29","SEO/HEO","Inner London - West","9380","9350","35590","34550"
"In post","2021","20-29","SEO/HEO","Kent","90","90","31490","29430"
"In post","2021","20-29","SEO/HEO","Lancashire","90","90","32210","31990"
"In post","2021","20-29","SEO/HEO","Leicestershire, Rutland and Northamptonshire","50","50","33120","31990"
"In post","2021","20-29","SEO/HEO","Lincolnshire","30","30","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Merseyside","390","380","31950","31810"
"In post","2021","20-29","SEO/HEO","North Eastern Scotland","40","40","[c]","[c]"
"In post","2021","20-29","SEO/HEO","North Yorkshire","120","120","32390","31340"
"In post","2021","20-29","SEO/HEO","Northern Ireland","50","50","32670","31810"
"In post","2021","20-29","SEO/HEO","Northumberland and Tyne and Wear","510","510","32530","31810"
"In post","2021","20-29","SEO/HEO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Outer London - South","470","470","36710","36160"
"In post","2021","20-29","SEO/HEO","Outer London - West and North West","240","240","34910","35050"
"In post","2021","20-29","SEO/HEO","Overseas","230","230","35900","34220"
"In post","2021","20-29","SEO/HEO","Shropshire and Staffordshire","120","120","33510","33000"
"In post","2021","20-29","SEO/HEO","South Yorkshire","310","310","33110","31990"
"In post","2021","20-29","SEO/HEO","Southern Scotland","150","150","33860","33930"
"In post","2021","20-29","SEO/HEO","Surrey, East and West Sussex","90","90","33000","32350"
"In post","2021","20-29","SEO/HEO","Tees Valley and Durham","100","90","32140","30200"
"In post","2021","20-29","SEO/HEO","Unknown","350","350","31170","31990"
"In post","2021","20-29","SEO/HEO","West Central Scotland","440","440","33970","32140"
"In post","2021","20-29","SEO/HEO","West Midlands","530","520","32550","31810"
"In post","2021","20-29","SEO/HEO","West Wales and The Valleys","120","120","34540","32540"
"In post","2021","20-29","SEO/HEO","West Yorkshire","690","680","31980","31810"
"In post","2021","20-29","Unknown","Bedfordshire and Hertfordshire","80","70","23530","22920"
"In post","2021","20-29","Unknown","Berkshire, Buckinghamshire and Oxfordshire","140","130","24100","24020"
"In post","2021","20-29","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Cumbria","30","30","[c]","[c]"
"In post","2021","20-29","Unknown","Derbyshire and Nottinghamshire","90","90","24960","22920"
"In post","2021","20-29","Unknown","Devon","40","30","[c]","[c]"
"In post","2021","20-29","Unknown","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","20-29","Unknown","East Anglia","90","90","25440","24020"
"In post","2021","20-29","Unknown","East Wales","70","70","24670","22920"
"In post","2021","20-29","Unknown","East Yorkshire and Northern Lincolnshire","40","40","[c]","[c]"
"In post","2021","20-29","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Essex","60","60","22840","22920"
"In post","2021","20-29","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","430","430","28050","27540"
"In post","2021","20-29","Unknown","Greater Manchester","120","110","25570","23840"
"In post","2021","20-29","Unknown","Hampshire and Isle of Wight","60","60","25810","22920"
"In post","2021","20-29","Unknown","Herefordshire, Worcestershire and Warwickshire","50","40","[c]","[c]"
"In post","2021","20-29","Unknown","Inner London - East","150","150","28090","26810"
"In post","2021","20-29","Unknown","Inner London - West","50","50","[c]","[c]"
"In post","2021","20-29","Unknown","Kent","40","40","[c]","[c]"
"In post","2021","20-29","Unknown","Lancashire","50","50","25170","23380"
"In post","2021","20-29","Unknown","Leicestershire, Rutland and Northamptonshire","60","60","25350","22920"
"In post","2021","20-29","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Merseyside","60","60","24510","22920"
"In post","2021","20-29","Unknown","North Yorkshire","30","30","[c]","[c]"
"In post","2021","20-29","Unknown","Northumberland and Tyne and Wear","50","50","24730","22920"
"In post","2021","20-29","Unknown","Outer London - East and North East","60","60","29270","26810"
"In post","2021","20-29","Unknown","Outer London - South","30","30","[c]","[c]"
"In post","2021","20-29","Unknown","Outer London - West and North West","70","70","28350","26810"
"In post","2021","20-29","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Shropshire and Staffordshire","50","50","[c]","[c]"
"In post","2021","20-29","Unknown","South Yorkshire","60","60","24670","22920"
"In post","2021","20-29","Unknown","Surrey, East and West Sussex","70","70","24740","22920"
"In post","2021","20-29","Unknown","Tees Valley and Durham","50","50","24480","22920"
"In post","2021","20-29","Unknown","Unknown","370","370","28960","28980"
"In post","2021","20-29","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","West Midlands","130","120","24400","22920"
"In post","2021","20-29","Unknown","West Wales and The Valleys","90","80","24510","22920"
"In post","2021","20-29","Unknown","West Yorkshire","100","90","24460","22920"
"In post","2021","30-39","AA/AO","Bedfordshire and Hertfordshire","240","230","25200","23520"
"In post","2021","30-39","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","710","690","27140","25840"
"In post","2021","30-39","AA/AO","Cheshire","220","210","23460","22600"
"In post","2021","30-39","AA/AO","Cornwall and Isles of Scilly","120","100","21060","21010"
"In post","2021","30-39","AA/AO","Cumbria","160","140","22060","21050"
"In post","2021","30-39","AA/AO","Derbyshire and Nottinghamshire","720","660","22420","21010"
"In post","2021","30-39","AA/AO","Devon","570","510","22340","21010"
"In post","2021","30-39","AA/AO","Dorset and Somerset","290","270","23160","21710"
"In post","2021","30-39","AA/AO","East Anglia","940","870","24320","21820"
"In post","2021","30-39","AA/AO","East Wales","1130","1040","21570","21010"
"In post","2021","30-39","AA/AO","East Yorkshire and Northern Lincolnshire","430","390","23890","22850"
"In post","2021","30-39","AA/AO","Eastern Scotland","1210","1110","22050","21010"
"In post","2021","30-39","AA/AO","Essex","240","210","24750","24180"
"In post","2021","30-39","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","700","640","22670","21050"
"In post","2021","30-39","AA/AO","Greater Manchester","990","910","21380","21010"
"In post","2021","30-39","AA/AO","Hampshire and Isle of Wight","600","530","23510","21010"
"In post","2021","30-39","AA/AO","Herefordshire, Worcestershire and Warwickshire","330","310","23080","21430"
"In post","2021","30-39","AA/AO","Highlands and Islands","130","120","22840","22220"
"In post","2021","30-39","AA/AO","Inner London - East","400","360","27010","25110"
"In post","2021","30-39","AA/AO","Inner London - West","640","610","26840","25390"
"In post","2021","30-39","AA/AO","Kent","590","560","26260","25820"
"In post","2021","30-39","AA/AO","Lancashire","1040","950","21840","21010"
"In post","2021","30-39","AA/AO","Leicestershire, Rutland and Northamptonshire","610","550","22340","21010"
"In post","2021","30-39","AA/AO","Lincolnshire","220","210","23340","21710"
"In post","2021","30-39","AA/AO","Merseyside","1320","1180","21140","21400"
"In post","2021","30-39","AA/AO","North Eastern Scotland","100","100","26150","22920"
"In post","2021","30-39","AA/AO","North Yorkshire","170","160","24040","21050"
"In post","2021","30-39","AA/AO","Northern Ireland","300","280","20610","20140"
"In post","2021","30-39","AA/AO","Northumberland and Tyne and Wear","1500","1310","20580","20800"
"In post","2021","30-39","AA/AO","Outer London - East and North East","280","270","28210","28720"
"In post","2021","30-39","AA/AO","Outer London - South","280","250","24130","24520"
"In post","2021","30-39","AA/AO","Outer London - West and North West","360","340","26890","25630"
"In post","2021","30-39","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Shropshire and Staffordshire","610","570","23240","22350"
"In post","2021","30-39","AA/AO","South Yorkshire","640","570","22220","21430"
"In post","2021","30-39","AA/AO","Southern Scotland","390","340","21140","20140"
"In post","2021","30-39","AA/AO","Surrey, East and West Sussex","520","480","26160","24370"
"In post","2021","30-39","AA/AO","Tees Valley and Durham","940","860","22740","21430"
"In post","2021","30-39","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2021","30-39","AA/AO","West Central Scotland","1310","1200","22450","21010"
"In post","2021","30-39","AA/AO","West Midlands","1080","960","20700","20140"
"In post","2021","30-39","AA/AO","West Wales and The Valleys","1780","1550","21170","21590"
"In post","2021","30-39","AA/AO","West Yorkshire","980","870","22080","21010"
"In post","2021","30-39","EO","Bedfordshire and Hertfordshire","270","260","28760","29290"
"In post","2021","30-39","EO","Berkshire, Buckinghamshire and Oxfordshire","450","430","29720","27810"
"In post","2021","30-39","EO","Cheshire","340","330","30160","28840"
"In post","2021","30-39","EO","Cornwall and Isles of Scilly","90","90","27270","27570"
"In post","2021","30-39","EO","Cumbria","90","80","25340","25190"
"In post","2021","30-39","EO","Derbyshire and Nottinghamshire","700","660","26350","26330"
"In post","2021","30-39","EO","Devon","430","390","27270","27570"
"In post","2021","30-39","EO","Dorset and Somerset","230","220","26850","27250"
"In post","2021","30-39","EO","East Anglia","520","480","27380","27570"
"In post","2021","30-39","EO","East Wales","1380","1310","26350","25690"
"In post","2021","30-39","EO","East Yorkshire and Northern Lincolnshire","240","230","28160","27570"
