"Status","Year","Organisation","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Cheshire","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Cornwall and Isles of Scilly","50","50","32140","26520"
"In post","2021","Animal and Plant Health Agency","No function","Cumbria","160","150","25660","21050"
"In post","2021","Animal and Plant Health Agency","No function","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Devon","210","200","27290","21050"
"In post","2021","Animal and Plant Health Agency","No function","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","East Anglia","90","80","31270","29180"
"In post","2021","Animal and Plant Health Agency","No function","East Wales","110","100","28980","24920"
"In post","2021","Animal and Plant Health Agency","No function","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Eastern Scotland","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Essex","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Gloucestershire, Wiltshire and Bath/Bristol area","120","110","28900","25320"
"In post","2021","Animal and Plant Health Agency","No function","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Herefordshire, Worcestershire and Warwickshire","110","110","28420","25420"
"In post","2021","Animal and Plant Health Agency","No function","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Kent","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Lancashire","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","North Yorkshire","190","180","29030","25330"
"In post","2021","Animal and Plant Health Agency","No function","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","Outer London - West and North West","80","80","33930","31800"
"In post","2021","Animal and Plant Health Agency","No function","Shropshire and Staffordshire","110","100","29190","24920"
"In post","2021","Animal and Plant Health Agency","No function","Southern Scotland","50","50","30950","26520"
"In post","2021","Animal and Plant Health Agency","No function","Surrey, East and West Sussex","570","540","33160","28600"
"In post","2021","Animal and Plant Health Agency","No function","West Wales and The Valleys","210","190","27590","25100"
"In post","2021","Animal and Plant Health Agency","No function","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Lancashire","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Inner London - West","30","30","[c]","[c]"
"In post","2021","Attorney General's Office","No function","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","East Anglia","70","60","57230","54620"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","80","80","73750","64500"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Greater Manchester","90","90","61760","56210"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Hampshire and Isle of Wight","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Inner London - East","110","110","60160","56510"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Inner London - West","640","630","78260","69150"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Lancashire","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Merseyside","70","70","63830","55750"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","West Yorkshire","60","60","67060","64500"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Inner London - West","320","320","47710","42990"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Inner London - West","80","70","49870","54700"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Inner London - East","650","640","52720","54700"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Inner London - West","230","230","50810","54700"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Inner London - West","90","90","46340","41820"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Greater Manchester","100","100","38660","37300"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Inner London - West","510","490","47060","41820"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Northumberland and Tyne and Wear","340","320","26930","23850"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","West Yorkshire","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Legal","Inner London - West","60","50","79760","79760"
"In post","2021","Cabinet Office (excl. agencies)","No function","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","East Wales","50","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Greater Manchester","50","50","33130","29250"
"In post","2021","Cabinet Office (excl. agencies)","No function","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Inner London - East","70","70","34960","31420"
"In post","2021","Cabinet Office (excl. agencies)","No function","Inner London - West","3220","3180","42870","34550"
"In post","2021","Cabinet Office (excl. agencies)","No function","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Northumberland and Tyne and Wear","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Outer London - South","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","Unknown","470","470","34850","32000"
"In post","2021","Cabinet Office (excl. agencies)","No function","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Inner London - West","180","180","70510","64500"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Inner London - East","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Inner London - West","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Berkshire, Buckinghamshire and Oxfordshire","100","90","30270","33300"
"In post","2021","Cabinet Office (excl. agencies)","Security","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Inner London - West","170","170","44880","38580"
"In post","2021","Cabinet Office (excl. agencies)","Security","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","North Yorkshire","430","410","28880","26670"
"In post","2021","Cabinet Office (excl. agencies)","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","Unknown","60","60","33480","33300"
"In post","2021","Cabinet Office (excl. agencies)","Security","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","Dorset and Somerset","120","110","33040","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","East Anglia","350","330","34300","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","Dorset and Somerset","[c]","[c]","[c]","[c]"
