"Status","Year","Parent_department","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Charity Commission","White","Female","190","170","33700","29160"
"In post","2021","Charity Commission","White","Male","140","130","35200","29400"
"In post","2021","Competition and Markets Authority","Asian","Female","60","60","42590","35270"
"In post","2021","Competition and Markets Authority","Asian","Male","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Female","290","270","62780","58920"
"In post","2021","Competition and Markets Authority","White","Male","280","270","64700","59940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Female","410","390","39490","35300"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Male","310","300","39140","35150"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Female","250","250","37750","33640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Male","150","140","39440","36880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Male","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Female","150","140","42120","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Male","140","140","45630","41020"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Female","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Male","50","50","46540","48250"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Female","210","200","42130","39690"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Male","410","390","46070","43100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","1080","1020","33260","30170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","1230","1200","37460","34690"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Female","4310","4010","40280","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Male","4370","4280","44840","40720"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Female","70","70","46090","50860"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Male","60","60","47270","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Female","60","60","39590","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Female","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Male","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Female","100","90","46660","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Male","90","90","48370","44530"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Female","660","640","49730","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Male","560","560","51320","51730"
"In post","2021","Department for Education","Asian","Female","410","390","39370","36570"
"In post","2021","Department for Education","Asian","Male","300","300","40130","36780"
"In post","2021","Department for Education","Black","Female","200","200","39630","36500"
"In post","2021","Department for Education","Black","Male","90","90","40400","37100"
"In post","2021","Department for Education","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Female","120","120","42700","40780"
"In post","2021","Department for Education","Mixed","Male","70","70","41310","38330"
"In post","2021","Department for Education","Other ethnicity","Female","40","30","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Female","120","110","44460","40940"
"In post","2021","Department for Education","Undeclared","Male","170","170","43860","40300"
"In post","2021","Department for Education","Unknown","Female","520","490","42750","38400"
"In post","2021","Department for Education","Unknown","Male","390","390","42650","37280"
"In post","2021","Department for Education","White","Female","3220","3030","43820","40230"
"In post","2021","Department for Education","White","Male","2220","2200","46140","42420"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Female","200","190","35160","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Male","150","150","37270","33510"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Female","130","130","34650","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Male","80","80","36200","32640"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Female","110","100","36730","32620"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Male","80","80","39670","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Female","180","170","35360","31900"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Male","270","270","35830","31640"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Female","1040","960","33990","29720"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Male","850","830","34430","29690"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Female","4490","4120","35010","30760"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Male","3390","3330","38290","35620"
"In post","2021","Department for International Trade","Asian","Female","100","100","41680","38160"
"In post","2021","Department for International Trade","Asian","Male","110","110","43610","38540"
"In post","2021","Department for International Trade","Black","Female","80","80","37270","32230"
"In post","2021","Department for International Trade","Black","Male","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","Female","50","50","44740","39680"
"In post","2021","Department for International Trade","Mixed","Male","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Male","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Female","370","370","42470","38540"
"In post","2021","Department for International Trade","Unknown","Male","410","410","46380","39110"
"In post","2021","Department for International Trade","White","Female","610","590","47450","51710"
"In post","2021","Department for International Trade","White","Male","740","740","48050","44030"
"In post","2021","Department for Transport","Asian","Female","220","210","38720","35060"
"In post","2021","Department for Transport","Asian","Male","300","300","41130","35060"
"In post","2021","Department for Transport","Black","Female","130","130","38010","35430"
"In post","2021","Department for Transport","Black","Male","120","110","35950","33390"
"In post","2021","Department for Transport","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Female","110","100","33020","30720"
"In post","2021","Department for Transport","Mixed","Male","100","100","36490","33730"
"In post","2021","Department for Transport","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Male","30","30","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Female","300","280","30970","26780"
"In post","2021","Department for Transport","Undeclared","Male","750","730","34170","30580"
"In post","2021","Department for Transport","Unknown","Female","1020","940","30330","26350"
"In post","2021","Department for Transport","Unknown","Male","1280","1250","33420","27680"
"In post","2021","Department for Transport","White","Female","5450","4700","29630","26130"
"In post","2021","Department for Transport","White","Male","6090","5860","35150","30350"
"In post","2021","Department for Work and Pensions","Asian","Female","4420","3780","27730","27570"
"In post","2021","Department for Work and Pensions","Asian","Male","2980","2890","28180","27570"
"In post","2021","Department for Work and Pensions","Black","Female","2720","2520","29080","30330"
"In post","2021","Department for Work and Pensions","Black","Male","1170","1150","29530","29290"
"In post","2021","Department for Work and Pensions","Chinese","Female","100","90","27190","27570"
"In post","2021","Department for Work and Pensions","Chinese","Male","60","60","31100","27570"
"In post","2021","Department for Work and Pensions","Mixed","Female","1060","970","27930","27570"
"In post","2021","Department for Work and Pensions","Mixed","Male","580","560","29180","27570"
"In post","2021","Department for Work and Pensions","Other ethnicity","Female","280","250","28990","28210"
"In post","2021","Department for Work and Pensions","Other ethnicity","Male","200","190","31630","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Female","2510","2100","27310","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Male","2030","1910","29500","27570"
"In post","2021","Department for Work and Pensions","Unknown","Female","3720","3280","27540","27570"
"In post","2021","Department for Work and Pensions","Unknown","Male","2570","2500","30230","27570"
"In post","2021","Department for Work and Pensions","White","Female","46040","39470","27330","27570"
"In post","2021","Department for Work and Pensions","White","Male","23100","22100","29170","27570"
"In post","2021","Department of Health and Social Care","Asian","Female","770","710","41160","32980"
"In post","2021","Department of Health and Social Care","Asian","Male","390","380","44280","38930"
"In post","2021","Department of Health and Social Care","Black","Female","500","470","38000","32790"
"In post","2021","Department of Health and Social Care","Black","Male","180","170","44090","35980"
"In post","2021","Department of Health and Social Care","Chinese","Female","60","60","47360","41460"
"In post","2021","Department of Health and Social Care","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Mixed","Female","230","210","39720","33640"
"In post","2021","Department of Health and Social Care","Mixed","Male","100","100","44510","40470"
"In post","2021","Department of Health and Social Care","Other ethnicity","Female","80","70","49930","41030"
"In post","2021","Department of Health and Social Care","Other ethnicity","Male","50","50","53760","51810"
"In post","2021","Department of Health and Social Care","Undeclared","Female","380","330","42800","38930"
"In post","2021","Department of Health and Social Care","Undeclared","Male","200","190","52040","48220"
"In post","2021","Department of Health and Social Care","Unknown","Female","1170","1130","44380","40650"
"In post","2021","Department of Health and Social Care","Unknown","Male","820","810","47640","40650"
"In post","2021","Department of Health and Social Care","White","Female","4510","4100","44140","39400"
"In post","2021","Department of Health and Social Care","White","Male","2310","2220","49900","44950"
"In post","2021","ESTYN","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","White","Female","60","60","53430","62360"
"In post","2021","ESTYN","White","Male","50","40","[c]","[c]"
"In post","2021","Food Standards Agency","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Female","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Male","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","White","Female","410","400","39370","37910"
"In post","2021","Food Standards Agency","White","Male","660","640","35640","30810"
"In post","2021","Foreign, Commonwealth and Development Office","Asian","Female","260","250","40810","36360"
"In post","2021","Foreign, Commonwealth and Development Office","Asian","Male","210","210","45050","38680"
"In post","2021","Foreign, Commonwealth and Development Office","Black","Female","180","180","37730","34260"
"In post","2021","Foreign, Commonwealth and Development Office","Black","Male","80","80","40030","36020"
"In post","2021","Foreign, Commonwealth and Development Office","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Mixed","Female","150","150","44140","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Mixed","Male","120","120","47050","44230"
"In post","2021","Foreign, Commonwealth and Development Office","Other ethnicity","Female","50","50","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Other ethnicity","Male","50","50","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Female","110","110","44320","39230"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Male","230","220","49460","44710"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Female","620","610","46710","43910"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Male","580","570","47770","49370"
"In post","2021","Foreign, Commonwealth and Development Office","White","Female","2830","2720","47390","42890"
"In post","2021","Foreign, Commonwealth and Development Office","White","Male","3130","3090","49320","45590"
"In post","2021","HM Land Registry","Asian","Female","110","100","30340","27130"
"In post","2021","HM Land Registry","Asian","Male","90","90","31440","27130"
"In post","2021","HM Land Registry","Black","Female","40","40","[c]","[c]"
"In post","2021","HM Land Registry","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Mixed","Female","50","40","[c]","[c]"
"In post","2021","HM Land Registry","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Female","110","100","31840","27130"
"In post","2021","HM Land Registry","Undeclared","Male","140","120","34780","33840"
"In post","2021","HM Land Registry","Unknown","Female","580","540","27040","22350"
"In post","2021","HM Land Registry","Unknown","Male","460","450","29220","22350"
"In post","2021","HM Land Registry","White","Female","2900","2520","30700","27130"
"In post","2021","HM Land Registry","White","Male","1790","1690","33230","31740"
"In post","2021","HM Revenue and Customs","Asian","Female","2080","1870","30580","28130"
"In post","2021","HM Revenue and Customs","Asian","Male","2310","2230","31270","29570"
"In post","2021","HM Revenue and Customs","Black","Female","890","840","31930","30430"
"In post","2021","HM Revenue and Customs","Black","Male","570","560","32390","30470"
"In post","2021","HM Revenue and Customs","Chinese","Female","100","90","35840","29570"
"In post","2021","HM Revenue and Customs","Chinese","Male","80","80","32320","29570"
"In post","2021","HM Revenue and Customs","Mixed","Female","400","370","32060","29450"
"In post","2021","HM Revenue and Customs","Mixed","Male","360","340","35800","31810"
"In post","2021","HM Revenue and Customs","Other ethnicity","Female","120","110","33910","29780"
"In post","2021","HM Revenue and Customs","Other ethnicity","Male","110","100","35950","31810"
"In post","2021","HM Revenue and Customs","Undeclared","Female","1040","910","31780","28130"
"In post","2021","HM Revenue and Customs","Undeclared","Male","1610","1520","35580","31810"
"In post","2021","HM Revenue and Customs","Unknown","Female","7870","7020","26790","21440"
"In post","2021","HM Revenue and Customs","Unknown","Male","8020","7750","28940","25560"
"In post","2021","HM Revenue and Customs","White","Female","22560","19700","31100","27230"
"In post","2021","HM Revenue and Customs","White","Male","18380","17590","33990","31810"
"In post","2021","HM Treasury","Asian","Female","150","150","44290","40680"
"In post","2021","HM Treasury","Asian","Male","130","130","45690","39410"
"In post","2021","HM Treasury","Black","Female","60","60","37940","32960"
"In post","2021","HM Treasury","Black","Male","40","40","[c]","[c]"
"In post","2021","HM Treasury","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Mixed","Female","60","60","43640","38360"
"In post","2021","HM Treasury","Mixed","Male","50","50","49920","52530"
"In post","2021","HM Treasury","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Female","40","40","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Male","80","80","47690","43870"
"In post","2021","HM Treasury","Unknown","Female","40","40","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Male","70","70","48580","52500"
"In post","2021","HM Treasury","White","Female","910","860","47210","43520"
"In post","2021","HM Treasury","White","Male","1000","990","51510","52500"
"In post","2021","Home Office","Asian","Female","2600","2340","31130","28850"
"In post","2021","Home Office","Asian","Male","1890","1820","31490","28810"
"In post","2021","Home Office","Black","Female","1220","1130","32360","29080"
"In post","2021","Home Office","Black","Male","670","650","32890","29080"
"In post","2021","Home Office","Chinese","Female","90","80","32130","29080"
"In post","2021","Home Office","Chinese","Male","60","60","31320","28670"
"In post","2021","Home Office","Mixed","Female","430","390","33510","28850"
"In post","2021","Home Office","Mixed","Male","300","280","33020","29010"
"In post","2021","Home Office","Other ethnicity","Female","110","100","32580","28920"
"In post","2021","Home Office","Other ethnicity","Male","100","100","31530","28650"
"In post","2021","Home Office","Undeclared","Female","850","760","32250","28650"
"In post","2021","Home Office","Undeclared","Male","1270","1210","33620","29360"
"In post","2021","Home Office","Unknown","Female","800","770","31650","27240"
"In post","2021","Home Office","Unknown","Male","920","910","32080","25630"
"In post","2021","Home Office","White","Female","12220","10970","31150","25630"
"In post","2021","Home Office","White","Male","11850","11320","32740","27370"
"In post","2021","Ministry of Defence","Asian","Female","560","530","33590","30420"
"In post","2021","Ministry of Defence","Asian","Male","780","770","34870","33020"
"In post","2021","Ministry of Defence","Black","Female","380","380","32430","30750"
"In post","2021","Ministry of Defence","Black","Male","370","370","33080","32050"
"In post","2021","Ministry of Defence","Chinese","Female","40","40","[c]","[c]"
"In post","2021","Ministry of Defence","Chinese","Male","40","40","[c]","[c]"
"In post","2021","Ministry of Defence","Mixed","Female","280","270","33820","30750"
"In post","2021","Ministry of Defence","Mixed","Male","330","320","35760","33300"
"In post","2021","Ministry of Defence","Other ethnicity","Female","100","90","30590","26670"
"In post","2021","Ministry of Defence","Other ethnicity","Male","120","120","37450","35340"
"In post","2021","Ministry of Defence","Undeclared","Female","900","860","33780","33250"
"In post","2021","Ministry of Defence","Undeclared","Male","2450","2410","37340","36900"
"In post","2021","Ministry of Defence","Unknown","Female","1690","1600","33670","30890"
"In post","2021","Ministry of Defence","Unknown","Male","4380","4340","35090","32700"
"In post","2021","Ministry of Defence","White","Female","18860","17750","31970","28500"
"In post","2021","Ministry of Defence","White","Male","26410","25930","35160","33300"
"In post","2021","Ministry of Housing, Communities and Local Government","Asian","Female","130","130","40730","36340"
"In post","2021","Ministry of Housing, Communities and Local Government","Asian","Male","90","90","41450","36340"
"In post","2021","Ministry of Housing, Communities and Local Government","Black","Female","100","90","41010","39600"
"In post","2021","Ministry of Housing, Communities and Local Government","Black","Male","60","60","40030","34920"
"In post","2021","Ministry of Housing, Communities and Local Government","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Mixed","Female","50","50","41100","38880"
"In post","2021","Ministry of Housing, Communities and Local Government","Mixed","Male","40","30","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Female","40","40","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Male","70","70","44750","46120"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Female","140","130","43620","39600"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Male","170","160","44460","41880"
"In post","2021","Ministry of Housing, Communities and Local Government","White","Female","1200","1130","44900","40750"
"In post","2021","Ministry of Housing, Communities and Local Government","White","Male","1260","1230","47570","47660"
"In post","2021","Ministry of Justice","Asian","Female","2250","2030","27810","23500"
"In post","2021","Ministry of Justice","Asian","Male","1700","1630","29530","26410"
"In post","2021","Ministry of Justice","Black","Female","2210","2110","29410","26630"
"In post","2021","Ministry of Justice","Black","Male","1390","1370","30910","30260"
"In post","2021","Ministry of Justice","Chinese","Female","80","80","31660","27360"
"In post","2021","Ministry of Justice","Chinese","Male","60","60","30080","26410"
"In post","2021","Ministry of Justice","Mixed","Female","950","880","30570","26850"
"In post","2021","Ministry of Justice","Mixed","Male","640","620","31730","30210"
"In post","2021","Ministry of Justice","Other ethnicity","Female","230","210","30180","26550"
"In post","2021","Ministry of Justice","Other ethnicity","Male","180","180","31330","31650"
"In post","2021","Ministry of Justice","Undeclared","Female","980","900","28420","25100"
"In post","2021","Ministry of Justice","Undeclared","Male","1130","1090","31660","30400"
