"Status","Year","Ethnicity","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Male","Bedfordshire and Hertfordshire","80","80","32090","30270"
"In post","2021","Black","Male","Berkshire, Buckinghamshire and Oxfordshire","110","110","31590","29290"
"In post","2021","Black","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Derbyshire and Nottinghamshire","120","120","27970","27570"
"In post","2021","Black","Male","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","East Anglia","50","50","33730","29200"
"In post","2021","Black","Male","East Wales","80","80","30620","27570"
"In post","2021","Black","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Black","Male","Essex","80","80","30680","29290"
"In post","2021","Black","Male","Gloucestershire, Wiltshire and Bath/Bristol area","240","240","34220","33150"
"In post","2021","Black","Male","Greater Manchester","220","210","28700","27470"
"In post","2021","Black","Male","Hampshire and Isle of Wight","70","60","29160","27200"
"In post","2021","Black","Male","Herefordshire, Worcestershire and Warwickshire","40","40","[c]","[c]"
"In post","2021","Black","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Inner London - East","810","790","35030","31730"
"In post","2021","Black","Male","Inner London - West","1390","1380","37810","34550"
"In post","2021","Black","Male","Kent","70","70","31270","29290"
"In post","2021","Black","Male","Lancashire","30","30","[c]","[c]"
"In post","2021","Black","Male","Leicestershire, Rutland and Northamptonshire","60","60","28250","27250"
"In post","2021","Black","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Merseyside","60","50","29780","27570"
"In post","2021","Black","Male","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Northumberland and Tyne and Wear","50","50","29740","25560"
"In post","2021","Black","Male","Outer London - East and North East","200","200","31050","31060"
"In post","2021","Black","Male","Outer London - South","490","480","33770","31060"
"In post","2021","Black","Male","Outer London - West and North West","330","320","31970","31060"
"In post","2021","Black","Male","Overseas","30","30","[c]","[c]"
"In post","2021","Black","Male","Shropshire and Staffordshire","60","50","28280","27570"
"In post","2021","Black","Male","South Yorkshire","70","60","26860","25000"
"In post","2021","Black","Male","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Surrey, East and West Sussex","120","110","31760","31680"
"In post","2021","Black","Male","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","West Central Scotland","50","50","31740","27570"
"In post","2021","Black","Male","West Midlands","310","300","29790","27570"
"In post","2021","Black","Male","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","West Yorkshire","140","140","28560","27570"
"In post","2021","Black","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Greater Manchester","40","40","[c]","[c]"
"In post","2021","Chinese","Female","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Inner London - East","70","70","42930","40450"
"In post","2021","Chinese","Female","Inner London - West","210","210","46230","41780"
"In post","2021","Chinese","Female","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Outer London - South","40","40","[c]","[c]"
"In post","2021","Chinese","Female","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Greater Manchester","40","40","[c]","[c]"
"In post","2021","Chinese","Male","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Inner London - East","40","40","[c]","[c]"
"In post","2021","Chinese","Male","Inner London - West","150","150","42560","40050"
"In post","2021","Chinese","Male","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Male","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Bedfordshire and Hertfordshire","90","80","31240","29290"
"In post","2021","Mixed","Female","Berkshire, Buckinghamshire and Oxfordshire","90","80","30200","27570"
"In post","2021","Mixed","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Derbyshire and Nottinghamshire","130","120","29920","27130"
"In post","2021","Mixed","Female","Devon","50","40","[c]","[c]"
"In post","2021","Mixed","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","East Anglia","110","100","27700","27570"
"In post","2021","Mixed","Female","East Wales","170","160","31460","27570"
"In post","2021","Mixed","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Eastern Scotland","60","60","37880","33450"
"In post","2021","Mixed","Female","Essex","50","50","31270","29290"
"In post","2021","Mixed","Female","Gloucestershire, Wiltshire and Bath/Bristol area","230","210","32610","28900"
"In post","2021","Mixed","Female","Greater Manchester","200","190","28420","25560"
"In post","2021","Mixed","Female","Hampshire and Isle of Wight","90","80","28890","26670"
"In post","2021","Mixed","Female","Herefordshire, Worcestershire and Warwickshire","30","30","[c]","[c]"
"In post","2021","Mixed","Female","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Inner London - East","390","380","37300","31880"
"In post","2021","Mixed","Female","Inner London - West","1170","1130","43330","38750"
"In post","2021","Mixed","Female","Kent","60","60","29960","29290"
"In post","2021","Mixed","Female","Lancashire","80","70","27960","26970"
"In post","2021","Mixed","Female","Leicestershire, Rutland and Northamptonshire","60","60","28120","27570"
"In post","2021","Mixed","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Merseyside","150","130","27180","24890"
"In post","2021","Mixed","Female","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Northumberland and Tyne and Wear","70","60","30220","27570"
"In post","2021","Mixed","Female","Outer London - East and North East","70","70","30480","31060"
"In post","2021","Mixed","Female","Outer London - South","230","220","35260","31060"
"In post","2021","Mixed","Female","Outer London - West and North West","180","170","31140","31060"
"In post","2021","Mixed","Female","Overseas","50","50","[c]","[c]"
"In post","2021","Mixed","Female","Shropshire and Staffordshire","70","60","31570","27130"
"In post","2021","Mixed","Female","South Yorkshire","90","80","30190","27570"
"In post","2021","Mixed","Female","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Surrey, East and West Sussex","110","100","30090","27570"
"In post","2021","Mixed","Female","Tees Valley and Durham","50","40","[c]","[c]"
"In post","2021","Mixed","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","West Central Scotland","60","60","30980","27570"
"In post","2021","Mixed","Female","West Midlands","250","220","27760","26560"
"In post","2021","Mixed","Female","West Wales and The Valleys","60","60","26410","22640"
"In post","2021","Mixed","Female","West Yorkshire","160","150","30530","27570"
"In post","2021","Mixed","Male","Bedfordshire and Hertfordshire","50","50","32770","29290"
"In post","2021","Mixed","Male","Berkshire, Buckinghamshire and Oxfordshire","90","90","34330","30430"
"In post","2021","Mixed","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Derbyshire and Nottinghamshire","80","80","31010","27570"
"In post","2021","Mixed","Male","Devon","50","50","33870","31620"
"In post","2021","Mixed","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","East Anglia","80","70","30730","27850"
"In post","2021","Mixed","Male","East Wales","110","110","33180","29540"
"In post","2021","Mixed","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Eastern Scotland","60","60","37770","30650"
"In post","2021","Mixed","Male","Essex","50","40","[c]","[c]"
"In post","2021","Mixed","Male","Gloucestershire, Wiltshire and Bath/Bristol area","220","210","35950","33000"
"In post","2021","Mixed","Male","Greater Manchester","120","120","31300","27570"
"In post","2021","Mixed","Male","Hampshire and Isle of Wight","90","90","35000","31650"
"In post","2021","Mixed","Male","Herefordshire, Worcestershire and Warwickshire","30","30","[c]","[c]"
"In post","2021","Mixed","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Inner London - East","220","210","39880","35050"
"In post","2021","Mixed","Male","Inner London - West","880","870","45740","40840"
"In post","2021","Mixed","Male","Kent","50","50","31600","29290"
"In post","2021","Mixed","Male","Lancashire","50","50","29680","27570"
"In post","2021","Mixed","Male","Leicestershire, Rutland and Northamptonshire","40","30","[c]","[c]"
"In post","2021","Mixed","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Merseyside","100","100","31660","26080"
"In post","2021","Mixed","Male","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Northumberland and Tyne and Wear","70","70","29000","25560"
"In post","2021","Mixed","Male","Outer London - East and North East","50","50","[c]","[c]"
"In post","2021","Mixed","Male","Outer London - South","130","130","36170","32000"
"In post","2021","Mixed","Male","Outer London - West and North West","90","90","33140","31060"
"In post","2021","Mixed","Male","Overseas","50","50","51740","53000"
"In post","2021","Mixed","Male","Shropshire and Staffordshire","40","40","[c]","[c]"
"In post","2021","Mixed","Male","South Yorkshire","50","50","31850","27370"
"In post","2021","Mixed","Male","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","Surrey, East and West Sussex","90","90","31010","28240"
"In post","2021","Mixed","Male","Tees Valley and Durham","40","40","[c]","[c]"
"In post","2021","Mixed","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Male","West Central Scotland","50","50","[c]","[c]"
"In post","2021","Mixed","Male","West Midlands","120","120","30060","27570"
"In post","2021","Mixed","Male","West Wales and The Valleys","40","40","[c]","[c]"
"In post","2021","Mixed","Male","West Yorkshire","110","100","31780","27570"
"In post","2021","Mixed","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Berkshire, Buckinghamshire and Oxfordshire","40","30","[c]","[c]"
"In post","2021","Other ethnicity","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Eastern Scotland","[c]","[c]","[c]","[c]"
