"Status","Year","Organisation","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Male","Shropshire and Staffordshire","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Surrey, East and West Sussex","240","230","35330","32560"
"In post","2021","Animal and Plant Health Agency","Male","West Wales and The Valleys","70","70","28680","25520"
"In post","2021","Animal and Plant Health Agency","Male","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Berkshire, Buckinghamshire and Oxfordshire","60","60","33420","33000"
"In post","2021","Cabinet Office (excl. agencies)","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","East Anglia","60","50","47860","40250"
"In post","2021","Cabinet Office (excl. agencies)","Female","East Wales","40","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","56320","51230"
"In post","2021","Cabinet Office (excl. agencies)","Female","Greater Manchester","160","160","43420","37300"
"In post","2021","Cabinet Office (excl. agencies)","Female","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Inner London - East","450","440","49270","54700"
"In post","2021","Cabinet Office (excl. agencies)","Female","Inner London - West","2970","2910","46810","38580"
"In post","2021","Cabinet Office (excl. agencies)","Female","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Merseyside","60","60","47310","49700"
"In post","2021","Cabinet Office (excl. agencies)","Female","North Yorkshire","230","220","28570","26670"
"In post","2021","Cabinet Office (excl. agencies)","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Northumberland and Tyne and Wear","250","230","27650","23850"
"In post","2021","Cabinet Office (excl. agencies)","Female","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","South Yorkshire","60","50","46160","40160"
"In post","2021","Cabinet Office (excl. agencies)","Female","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Unknown","330","320","36050","32000"
"In post","2021","Cabinet Office (excl. agencies)","Female","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","West Yorkshire","100","100","47700","40250"
"In post","2021","Cabinet Office (excl. agencies)","Male","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Berkshire, Buckinghamshire and Oxfordshire","60","60","37790","33300"
"In post","2021","Cabinet Office (excl. agencies)","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","East Anglia","50","50","46530","44060"
"In post","2021","Cabinet Office (excl. agencies)","Male","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","54730","53190"
"In post","2021","Cabinet Office (excl. agencies)","Male","Greater Manchester","120","110","47950","49700"
"In post","2021","Cabinet Office (excl. agencies)","Male","Hampshire and Isle of Wight","50","50","55730","53320"
"In post","2021","Cabinet Office (excl. agencies)","Male","Inner London - East","450","440","54950","54700"
"In post","2021","Cabinet Office (excl. agencies)","Male","Inner London - West","2580","2570","52520","46550"
"In post","2021","Cabinet Office (excl. agencies)","Male","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Merseyside","70","70","50760","49700"
"In post","2021","Cabinet Office (excl. agencies)","Male","North Yorkshire","210","210","30380","26670"
"In post","2021","Cabinet Office (excl. agencies)","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Northumberland and Tyne and Wear","160","150","29760","23850"
"In post","2021","Cabinet Office (excl. agencies)","Male","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","Unknown","280","280","36480","32000"
"In post","2021","Cabinet Office (excl. agencies)","Male","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Male","West Yorkshire","80","80","46190","39810"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","Dorset and Somerset","70","60","31190","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","East Anglia","220","200","31780","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","Dorset and Somerset","70","70","34900","29750"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","East Anglia","250","240","37130","32770"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Inner London - West","50","50","[c]","[c]"
"In post","2021","Charity Commission","Female","Merseyside","180","160","32560","29160"
"In post","2021","Charity Commission","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Merseyside","130","130","33070","29160"
"In post","2021","Companies House","Female","East Wales","570","490","29340","24500"
"In post","2021","Companies House","Female","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","East Wales","460","450","33330","30720"
"In post","2021","Companies House","Male","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Inner London - East","400","380","58800","56000"
"In post","2021","Competition and Markets Authority","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Inner London - East","390","380","62910","59170"
"In post","2021","Competition and Markets Authority","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","West Central Scotland","160","140","26500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Male","West Central Scotland","140","140","25680","22860"
"In post","2021","Crown Commercial Service","Female","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","East Anglia","80","70","34840","34800"
"In post","2021","Crown Commercial Service","Female","East Wales","50","50","33860","31680"
"In post","2021","Crown Commercial Service","Female","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Inner London - East","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Merseyside","230","220","36320","34800"
"In post","2021","Crown Commercial Service","Female","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","East Anglia","90","90","35180","32640"
"In post","2021","Crown Commercial Service","Male","East Wales","60","60","33490","31300"
"In post","2021","Crown Commercial Service","Male","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Inner London - East","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Merseyside","180","170","40710","35040"
"In post","2021","Crown Commercial Service","Male","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Eastern Scotland","540","500","35950","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Highlands and Islands","60","50","31120","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","North Eastern Scotland","80","70","32540","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Southern Scotland","210","190","33530","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","West Central Scotland","570","520","35050","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Eastern Scotland","230","220","38970","33040"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Southern Scotland","60","50","41080","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","West Central Scotland","250","240","35910","31720"
"In post","2021","Crown Prosecution Service","Female","Bedfordshire and Hertfordshire","120","100","38990","30110"
"In post","2021","Crown Prosecution Service","Female","Berkshire, Buckinghamshire and Oxfordshire","100","90","41740","36240"
"In post","2021","Crown Prosecution Service","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Cumbria","30","20","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Derbyshire and Nottinghamshire","180","160","36980","28430"
"In post","2021","Crown Prosecution Service","Female","Devon","50","50","38720","36240"
"In post","2021","Crown Prosecution Service","Female","East Anglia","80","70","32660","28430"
"In post","2021","Crown Prosecution Service","Female","East Wales","190","170","38610","37890"
"In post","2021","Crown Prosecution Service","Female","East Yorkshire and Northern Lincolnshire","50","50","37270","28430"
"In post","2021","Crown Prosecution Service","Female","Essex","130","120","40170","34140"
"In post","2021","Crown Prosecution Service","Female","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","38140","30930"
"In post","2021","Crown Prosecution Service","Female","Greater Manchester","240","210","39260","33310"
"In post","2021","Crown Prosecution Service","Female","Hampshire and Isle of Wight","170","160","42130","36240"
"In post","2021","Crown Prosecution Service","Female","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Inner London - West","1020","950","44070","40000"
"In post","2021","Crown Prosecution Service","Female","Kent","80","70","36790","30110"
"In post","2021","Crown Prosecution Service","Female","Lancashire","110","100","38190","32890"
"In post","2021","Crown Prosecution Service","Female","Leicestershire, Rutland and Northamptonshire","110","100","37620","34480"
"In post","2021","Crown Prosecution Service","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Merseyside","240","220","35850","28430"
"In post","2021","Crown Prosecution Service","Female","North Yorkshire","190","170","45680","51470"
"In post","2021","Crown Prosecution Service","Female","Northumberland and Tyne and Wear","160","140","36040","28430"
"In post","2021","Crown Prosecution Service","Female","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Outer London - South","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Shropshire and Staffordshire","50","50","39470","38760"
"In post","2021","Crown Prosecution Service","Female","South Yorkshire","100","80","34320","28430"
"In post","2021","Crown Prosecution Service","Female","Surrey, East and West Sussex","120","110","41010","33960"
"In post","2021","Crown Prosecution Service","Female","Tees Valley and Durham","70","60","36990","28430"
"In post","2021","Crown Prosecution Service","Female","West Midlands","330","300","38140","32170"
"In post","2021","Crown Prosecution Service","Female","West Wales and The Valleys","50","50","38900","33310"
"In post","2021","Crown Prosecution Service","Female","West Yorkshire","270","240","37730","33310"
"In post","2021","Crown Prosecution Service","Male","Bedfordshire and Hertfordshire","60","60","49620","51120"
"In post","2021","Crown Prosecution Service","Male","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Derbyshire and Nottinghamshire","90","90","38360","34480"
"In post","2021","Crown Prosecution Service","Male","Devon","50","50","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","East Anglia","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","East Wales","100","90","46140","48830"
"In post","2021","Crown Prosecution Service","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Essex","50","50","43630","36240"
"In post","2021","Crown Prosecution Service","Male","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","44110","49580"
"In post","2021","Crown Prosecution Service","Male","Greater Manchester","120","110","43770","48080"
"In post","2021","Crown Prosecution Service","Male","Hampshire and Isle of Wight","90","90","44300","50520"
"In post","2021","Crown Prosecution Service","Male","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Inner London - West","550","530","47350","45530"
"In post","2021","Crown Prosecution Service","Male","Kent","50","50","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Lancashire","60","60","43340","48080"
"In post","2021","Crown Prosecution Service","Male","Leicestershire, Rutland and Northamptonshire","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Merseyside","120","120","40890","38180"
"In post","2021","Crown Prosecution Service","Male","North Yorkshire","120","120","48490","55610"
"In post","2021","Crown Prosecution Service","Male","Northumberland and Tyne and Wear","80","80","41760","48080"
"In post","2021","Crown Prosecution Service","Male","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Surrey, East and West Sussex","50","50","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Tees Valley and Durham","[c]","[c]","[c]","[c]"
