"Status","Year","Age","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","220","210","20660","20140"
"In post","2021","16-19","No function","White","230","220","21390","20600"
"In post","2021","16-19","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","60","60","17450","16780"
"In post","2021","16-19","Project Delivery","White","70","70","18820","17780"
"In post","2021","16-19","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","White","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Asian","30","30","[c]","[c]"
"In post","2021","16-19","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","110","110","20670","21150"
"In post","2021","16-19","Unknown","White","250","250","22130","21010"
"In post","2021","20-29","Analysis","Asian","180","180","36210","33930"
"In post","2021","20-29","Analysis","Black","60","60","34560","32540"
"In post","2021","20-29","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Mixed","90","90","36910","34070"
"In post","2021","20-29","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Undeclared","50","50","36850","34780"
"In post","2021","20-29","Analysis","Unknown","460","450","35190","32750"
"In post","2021","20-29","Analysis","White","1600","1590","36090","33930"
"In post","2021","20-29","Commercial","Asian","50","50","31580","31330"
"In post","2021","20-29","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","230","220","37590","33000"
"In post","2021","20-29","Commercial","White","580","570","31480","29650"
"In post","2021","20-29","Communications","Asian","150","150","29070","25940"
"In post","2021","20-29","Communications","Black","40","40","[c]","[c]"
"In post","2021","20-29","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Mixed","50","50","32180","31810"
"In post","2021","20-29","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Unknown","810","810","29190","25560"
"In post","2021","20-29","Communications","White","990","980","30640","26980"
"In post","2021","20-29","Counter Fraud","Asian","80","80","30050","29570"
"In post","2021","20-29","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Mixed","30","30","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Unknown","370","370","28290","25560"
"In post","2021","20-29","Counter Fraud","White","560","560","30240","27240"
"In post","2021","20-29","Debt","Asian","70","60","21380","20140"
"In post","2021","20-29","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Unknown","600","580","20820","20140"
"In post","2021","20-29","Debt","White","360","350","21880","20140"
"In post","2021","20-29","Digital, Data & Technology","Asian","170","170","33190","30990"
"In post","2021","20-29","Digital, Data & Technology","Black","50","50","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Mixed","50","50","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Undeclared","50","50","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","640","640","32710","31810"
"In post","2021","20-29","Digital, Data & Technology","White","1090","1090","33610","31810"
"In post","2021","20-29","Finance","Asian","150","140","30550","29370"
"In post","2021","20-29","Finance","Black","30","30","[c]","[c]"
"In post","2021","20-29","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Mixed","30","30","[c]","[c]"
"In post","2021","20-29","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Undeclared","30","30","[c]","[c]"
"In post","2021","20-29","Finance","Unknown","350","340","30610","28970"
"In post","2021","20-29","Finance","White","710","700","32690","30090"
"In post","2021","20-29","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","Unknown","170","170","22100","21050"
"In post","2021","20-29","Grants Management","White","70","70","23150","21050"
"In post","2021","20-29","Human Resources","Asian","100","90","31240","29070"
"In post","2021","20-29","Human Resources","Black","50","50","[c]","[c]"
"In post","2021","20-29","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Mixed","50","50","[c]","[c]"
"In post","2021","20-29","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Unknown","230","230","28930","27270"
"In post","2021","20-29","Human Resources","White","970","960","30590","28140"
"In post","2021","20-29","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Asian","180","170","30840","26970"
"In post","2021","20-29","Legal","Black","70","70","28980","27050"
"In post","2021","20-29","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Mixed","60","60","32820","29280"
"In post","2021","20-29","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Unknown","460","450","26840","25480"
"In post","2021","20-29","Legal","White","1040","1030","31630","27350"
"In post","2021","20-29","No function","Asian","2150","2090","29000","26980"
"In post","2021","20-29","No function","Black","890","870","29210","27850"
"In post","2021","20-29","No function","Chinese","100","100","34710","31960"
"In post","2021","20-29","No function","Mixed","960","940","30950","28970"
"In post","2021","20-29","No function","Other ethnicity","190","180","32220","32320"
"In post","2021","20-29","No function","Undeclared","660","650","30640","28650"
"In post","2021","20-29","No function","Unknown","10740","10570","27630","26130"
"In post","2021","20-29","No function","White","20350","20060","29190","26850"
"In post","2021","20-29","Project Delivery","Asian","200","200","31950","30990"
"In post","2021","20-29","Project Delivery","Black","80","80","33040","30580"
"In post","2021","20-29","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Mixed","110","110","31810","30750"
"In post","2021","20-29","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Undeclared","140","140","32520","31860"
"In post","2021","20-29","Project Delivery","Unknown","710","710","32190","31600"
"In post","2021","20-29","Project Delivery","White","2930","2910","30420","29000"
"In post","2021","20-29","Property","Asian","40","40","[c]","[c]"
"In post","2021","20-29","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Unknown","300","290","25990","24500"
"In post","2021","20-29","Property","White","570","560","27570","26150"
"In post","2021","20-29","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Unknown","380","380","26610","25680"
"In post","2021","20-29","Security","White","760","760","26980","25680"
"In post","2021","20-29","Unknown","Asian","2190","2140","28090","27570"
"In post","2021","20-29","Unknown","Black","820","810","29500","30830"
"In post","2021","20-29","Unknown","Chinese","50","50","29180","27570"
"In post","2021","20-29","Unknown","Mixed","660","640","28540","27570"
"In post","2021","20-29","Unknown","Other ethnicity","160","150","29750","28670"
"In post","2021","20-29","Unknown","Undeclared","380","370","28830","27570"
"In post","2021","20-29","Unknown","Unknown","3290","3250","28430","27570"
"In post","2021","20-29","Unknown","White","12880","12640","27270","27390"
"In post","2021","30-39","Analysis","Asian","110","110","48780","51710"
"In post","2021","30-39","Analysis","Black","30","30","[c]","[c]"
"In post","2021","30-39","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","Mixed","50","50","45230","43760"
"In post","2021","30-39","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","Undeclared","90","80","46130","46080"
"In post","2021","30-39","Analysis","Unknown","280","270","43860","41730"
"In post","2021","30-39","Analysis","White","1450","1390","45380","42420"
"In post","2021","30-39","Commercial","Asian","70","70","41500","38330"
"In post","2021","30-39","Commercial","Black","40","40","[c]","[c]"
"In post","2021","30-39","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Undeclared","60","60","39840","40600"
"In post","2021","30-39","Commercial","Unknown","350","350","55610","54130"
"In post","2021","30-39","Commercial","White","960","930","39080","36970"
"In post","2021","30-39","Communications","Asian","180","170","33570","31810"
"In post","2021","30-39","Communications","Black","60","60","30800","27270"
"In post","2021","30-39","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Mixed","60","60","38410","36690"
"In post","2021","30-39","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Undeclared","60","50","34980","31810"
"In post","2021","30-39","Communications","Unknown","700","680","34040","31810"
"In post","2021","30-39","Communications","White","1380","1330","36640","31810"
"In post","2021","30-39","Counter Fraud","Asian","170","160","32490","31810"
"In post","2021","30-39","Counter Fraud","Black","50","50","31360","29570"
"In post","2021","30-39","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Mixed","40","30","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Undeclared","80","70","34960","31810"
"In post","2021","30-39","Counter Fraud","Unknown","420","410","31050","29570"
"In post","2021","30-39","Counter Fraud","White","1300","1260","33150","31810"
"In post","2021","30-39","Debt","Asian","60","60","21900","20140"
"In post","2021","30-39","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","Unknown","340","320","21110","20140"
"In post","2021","30-39","Debt","White","410","370","22800","20140"
"In post","2021","30-39","Digital, Data & Technology","Asian","260","260","41670","38580"
"In post","2021","30-39","Digital, Data & Technology","Black","90","90","40710","36160"
"In post","2021","30-39","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Mixed","70","70","46820","48740"
"In post","2021","30-39","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Undeclared","150","150","42740","40670"
"In post","2021","30-39","Digital, Data & Technology","Unknown","730","720","41190","38470"
"In post","2021","30-39","Digital, Data & Technology","White","2110","2060","40970","38630"
"In post","2021","30-39","Finance","Asian","200","190","39870","36820"
"In post","2021","30-39","Finance","Black","60","60","37720","36160"
"In post","2021","30-39","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Mixed","50","40","[c]","[c]"
"In post","2021","30-39","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Undeclared","60","60","41250","38630"
"In post","2021","30-39","Finance","Unknown","290","280","39410","36420"
"In post","2021","30-39","Finance","White","1230","1170","41070","37970"
"In post","2021","30-39","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","Unknown","170","160","23530","21050"
"In post","2021","30-39","Grants Management","White","180","150","24910","24920"
"In post","2021","30-39","Human Resources","Asian","150","150","34790","31910"
"In post","2021","30-39","Human Resources","Black","80","80","36950","33870"
"In post","2021","30-39","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Mixed","60","60","42310","37610"
"In post","2021","30-39","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Undeclared","60","50","34440","30730"
"In post","2021","30-39","Human Resources","Unknown","260","250","35710","31970"
"In post","2021","30-39","Human Resources","White","1580","1490","36400","32170"
"In post","2021","30-39","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","White","90","90","41450","39200"
"In post","2021","30-39","Legal","Asian","320","300","42180","43920"
"In post","2021","30-39","Legal","Black","130","120","38980","35590"
"In post","2021","30-39","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Mixed","90","90","47100","51250"
"In post","2021","30-39","Legal","Other ethnicity","40","40","[c]","[c]"
"In post","2021","30-39","Legal","Undeclared","70","70","45180","48450"
"In post","2021","30-39","Legal","Unknown","760","720","37690","30540"
"In post","2021","30-39","Legal","White","1960","1840","46980","50520"
"In post","2021","30-39","No function","Asian","2670","2500","32390","29570"
"In post","2021","30-39","No function","Black","1180","1140","31840","30340"
"In post","2021","30-39","No function","Chinese","120","120","37500","34210"
"In post","2021","30-39","No function","Mixed","950","910","35820","32320"
"In post","2021","30-39","No function","Other ethnicity","240","230","36310","33200"
"In post","2021","30-39","No function","Undeclared","1430","1380","35520","32150"
"In post","2021","30-39","No function","Unknown","7610","7250","31520","27150"
"In post","2021","30-39","No function","White","27840","26330","33860","30990"
"In post","2021","30-39","Project Delivery","Asian","330","320","41480","38630"
"In post","2021","30-39","Project Delivery","Black","180","170","38020","36160"
"In post","2021","30-39","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Project Delivery","Mixed","140","130","44650","40050"
"In post","2021","30-39","Project Delivery","Other ethnicity","40","40","[c]","[c]"
"In post","2021","30-39","Project Delivery","Undeclared","250","250","42860","40580"
"In post","2021","30-39","Project Delivery","Unknown","810","800","43630","40580"
"In post","2021","30-39","Project Delivery","White","4540","4390","40240","38600"
"In post","2021","30-39","Property","Asian","80","80","34520","30780"
"In post","2021","30-39","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","Undeclared","50","50","33370","32100"
"In post","2021","30-39","Property","Unknown","290","270","31580","28410"
"In post","2021","30-39","Property","White","1050","1010","34060","32110"
"In post","2021","30-39","Security","Asian","60","60","38640","36410"
"In post","2021","30-39","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","Undeclared","70","70","35710","35360"
"In post","2021","30-39","Security","Unknown","320","320","31170","28890"
"In post","2021","30-39","Security","White","1090","1080","32560","31340"
"In post","2021","30-39","Unknown","Asian","3280","3050","29900","27570"
"In post","2021","30-39","Unknown","Black","1160","1100","30470","29290"
"In post","2021","30-39","Unknown","Chinese","90","90","32230","28990"
"In post","2021","30-39","Unknown","Mixed","730","680","32170","28500"
"In post","2021","30-39","Unknown","Other ethnicity","180","170","32810","28990"
"In post","2021","30-39","Unknown","Undeclared","1090","1030","31760","27570"
"In post","2021","30-39","Unknown","Unknown","3600","3390","33040","27570"
"In post","2021","30-39","Unknown","White","21400","19940","31200","27570"
"In post","2021","40-49","Analysis","Asian","80","70","48870","49100"
"In post","2021","40-49","Analysis","Black","40","40","[c]","[c]"
"In post","2021","40-49","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Analysis","Mixed","40","40","[c]","[c]"
"In post","2021","40-49","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Analysis","Undeclared","50","50","[c]","[c]"
"In post","2021","40-49","Analysis","Unknown","130","120","50800","52560"
"In post","2021","40-49","Analysis","White","1060","990","49380","47550"
"In post","2021","40-49","Commercial","Asian","80","70","45510","40400"
"In post","2021","40-49","Commercial","Black","50","40","[c]","[c]"
"In post","2021","40-49","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Commercial","Undeclared","70","70","40460","34800"
"In post","2021","40-49","Commercial","Unknown","510","500","64360","62010"
"In post","2021","40-49","Commercial","White","1140","1100","45800","40580"
"In post","2021","40-49","Communications","Asian","110","100","38060","31810"
"In post","2021","40-49","Communications","Black","60","50","33840","29730"
"In post","2021","40-49","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Communications","Undeclared","50","50","[c]","[c]"
"In post","2021","40-49","Communications","Unknown","390","370","38740","31810"
"In post","2021","40-49","Communications","White","1200","1140","39120","34260"
"In post","2021","40-49","Counter Fraud","Asian","160","150","32510","31810"
"In post","2021","40-49","Counter Fraud","Black","40","40","[c]","[c]"
"In post","2021","40-49","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
