"Status","Year","Parent_department","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Heterosexual / straight","180","170","35150","29160"
"In post","2021","Charity Commission","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","160","150","35470","29550"
"In post","2021","Competition and Markets Authority","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Heterosexual / straight","610","590","59400","56190"
"In post","2021","Competition and Markets Authority","Declared non-disabled","LGBO","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Undeclared","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Heterosexual / straight","660","620","41430","37820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","LGBO","120","120","40070","33640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Undeclared","70","60","40430","35840"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Unknown","190","170","34340","32730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Heterosexual / straight","5340","5140","44140","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","LGBO","440","430","44880","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Undeclared","410","390","47390","46880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Unknown","2630","2490","39480","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Heterosexual / straight","160","150","43350","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","LGBO","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Undeclared","210","210","46500","44750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","850","810","38120","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","80","80","40680","39580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","240","220","39920","38670"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","1740","1680","33600","30170"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Heterosexual / straight","80","80","48390","39360"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Heterosexual / straight","1110","1090","49900","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","LGBO","140","140","47720","44770"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Undeclared","60","60","49820","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","220","220","48400","48580"
"In post","2021","Department for Education","Declared disabled","Heterosexual / straight","530","500","41480","37100"
"In post","2021","Department for Education","Declared disabled","LGBO","70","70","39650","33510"
"In post","2021","Department for Education","Declared disabled","Undeclared","60","60","41770","37100"
"In post","2021","Department for Education","Declared disabled","Unknown","60","50","44600","40940"
"In post","2021","Department for Education","Declared non-disabled","Heterosexual / straight","4180","4020","44810","40780"
"In post","2021","Department for Education","Declared non-disabled","LGBO","290","280","45020","40510"
"In post","2021","Department for Education","Declared non-disabled","Undeclared","330","310","45360","43250"
"In post","2021","Department for Education","Declared non-disabled","Unknown","790","760","46050","42930"
"In post","2021","Department for Education","Undeclared","Heterosexual / straight","220","210","43600","37100"
"In post","2021","Department for Education","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Undeclared","110","100","45250","42580"
"In post","2021","Department for Education","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Department for Education","Unknown","Heterosexual / straight","570","560","37820","36500"
"In post","2021","Department for Education","Unknown","LGBO","50","50","37110","32940"
"In post","2021","Department for Education","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","600","580","41650","36500"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Heterosexual / straight","840","790","34700","30730"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","LGBO","120","110","35110","31740"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Undeclared","110","100","34540","31760"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Unknown","100","90","29190","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Heterosexual / straight","5850","5560","37250","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","LGBO","370","360","36860","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Undeclared","520","500","36540","33510"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Unknown","1490","1390","28500","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Heterosexual / straight","190","180","36870","33570"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Undeclared","200","190","37280","33800"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","80","80","41860","37360"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Unknown","1120","1060","39930","36520"
"In post","2021","Department for International Trade","Declared disabled","Heterosexual / straight","120","120","45620","41640"
"In post","2021","Department for International Trade","Declared disabled","LGBO","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared non-disabled","Heterosexual / straight","1100","1090","46840","42230"
"In post","2021","Department for International Trade","Declared non-disabled","LGBO","120","120","48990","49370"
"In post","2021","Department for International Trade","Declared non-disabled","Undeclared","70","70","43770","38540"
"In post","2021","Department for International Trade","Declared non-disabled","Unknown","120","120","44950","38960"
"In post","2021","Department for International Trade","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Heterosexual / straight","290","290","45250","38540"
"In post","2021","Department for International Trade","Unknown","LGBO","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Unknown","660","660","44300","38540"
"In post","2021","Department for Transport","Declared disabled","Heterosexual / straight","880","790","30420","26780"
"In post","2021","Department for Transport","Declared disabled","LGBO","80","80","35530","30420"
"In post","2021","Department for Transport","Declared disabled","Undeclared","380","310","25860","21590"
"In post","2021","Department for Transport","Declared disabled","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Transport","Declared non-disabled","Heterosexual / straight","8430","7920","34600","29730"
"In post","2021","Department for Transport","Declared non-disabled","LGBO","430","410","36070","31100"
"In post","2021","Department for Transport","Declared non-disabled","Undeclared","1960","1700","29420","26780"
"In post","2021","Department for Transport","Declared non-disabled","Unknown","220","190","28550","26580"
"In post","2021","Department for Transport","Undeclared","Heterosexual / straight","350","330","29410","26590"
"In post","2021","Department for Transport","Undeclared","LGBO","40","40","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Undeclared","450","410","29640","26780"
"In post","2021","Department for Transport","Undeclared","Unknown","710","690","42650","36160"
"In post","2021","Department for Transport","Unknown","Heterosexual / straight","300","280","36050","31350"
"In post","2021","Department for Transport","Unknown","LGBO","30","30","[c]","[c]"
"In post","2021","Department for Transport","Unknown","Undeclared","130","130","43260","40080"
"In post","2021","Department for Transport","Unknown","Unknown","1550","1460","26910","26350"
"In post","2021","Department for Work and Pensions","Declared disabled","Heterosexual / straight","11260","9890","27450","27570"
"In post","2021","Department for Work and Pensions","Declared disabled","LGBO","1120","1050","27830","27570"
"In post","2021","Department for Work and Pensions","Declared disabled","Undeclared","1650","1430","26860","27570"
"In post","2021","Department for Work and Pensions","Declared disabled","Unknown","1520","1280","26260","27570"
"In post","2021","Department for Work and Pensions","Declared non-disabled","Heterosexual / straight","46660","42410","28610","27570"
"In post","2021","Department for Work and Pensions","Declared non-disabled","LGBO","2410","2320","28340","27570"
"In post","2021","Department for Work and Pensions","Declared non-disabled","Undeclared","4980","4420","28090","27570"
"In post","2021","Department for Work and Pensions","Declared non-disabled","Unknown","16490","14040","27100","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Heterosexual / straight","2260","2090","27760","27570"
"In post","2021","Department for Work and Pensions","Undeclared","LGBO","190","180","28060","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Undeclared","950","900","29700","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Unknown","800","720","27250","27570"
"In post","2021","Department for Work and Pensions","Unknown","Heterosexual / straight","390","360","28350","27570"
"In post","2021","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Unknown","Undeclared","40","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Unknown","Unknown","2790","2670","28980","27570"
"In post","2021","Department of Health and Social Care","Declared disabled","Heterosexual / straight","360","340","40750","36330"
"In post","2021","Department of Health and Social Care","Declared disabled","LGBO","70","70","38600","32480"
"In post","2021","Department of Health and Social Care","Declared disabled","Undeclared","50","40","[c]","[c]"
"In post","2021","Department of Health and Social Care","Declared disabled","Unknown","50","40","[c]","[c]"
"In post","2021","Department of Health and Social Care","Declared non-disabled","Heterosexual / straight","4870","4500","43290","38200"
"In post","2021","Department of Health and Social Care","Declared non-disabled","LGBO","280","260","43340","38020"
"In post","2021","Department of Health and Social Care","Declared non-disabled","Undeclared","490","440","44550","38200"
"In post","2021","Department of Health and Social Care","Declared non-disabled","Unknown","240","220","53290","49530"
"In post","2021","Department of Health and Social Care","Undeclared","Heterosexual / straight","200","170","45360","40070"
"In post","2021","Department of Health and Social Care","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Undeclared","Undeclared","280","250","46730","40070"
"In post","2021","Department of Health and Social Care","Undeclared","Unknown","60","60","53230","46780"
"In post","2021","Department of Health and Social Care","Unknown","Heterosexual / straight","1390","1340","46260","40650"
"In post","2021","Department of Health and Social Care","Unknown","LGBO","110","110","44180","40650"
"In post","2021","Department of Health and Social Care","Unknown","Undeclared","180","170","50220","42960"
"In post","2021","Department of Health and Social Care","Unknown","Unknown","3130","3010","47510","40850"
"In post","2021","ESTYN","Declared disabled","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Declared non-disabled","Heterosexual / straight","90","80","58230","74730"
"In post","2021","ESTYN","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Declared disabled","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Declared non-disabled","Heterosexual / straight","480","460","38230","32940"
"In post","2021","Food Standards Agency","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Declared non-disabled","Undeclared","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Declared non-disabled","Unknown","270","250","33210","28660"
"In post","2021","Food Standards Agency","Undeclared","Heterosexual / straight","340","330","38470","37350"
"In post","2021","Food Standards Agency","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Undeclared","70","70","39750","37910"
"In post","2021","Food Standards Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","Heterosexual / straight","620","610","43530","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","LGBO","80","80","44120","41810"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","Undeclared","60","60","44770","38910"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","Unknown","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Heterosexual / straight","4980","4870","47520","42510"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","LGBO","300","300","48200","44670"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Undeclared","380","380","47850","41200"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Unknown","240","230","46200","42890"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Heterosexual / straight","120","120","47490","41600"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Undeclared","210","200","49310","44170"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","260","250","52720","53630"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Unknown","1280","1260","47730","48500"
"In post","2021","HM Land Registry","Declared disabled","Heterosexual / straight","350","300","30630","27130"
"In post","2021","HM Land Registry","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","Undeclared","70","60","31130","27130"
"In post","2021","HM Land Registry","Declared disabled","Unknown","50","40","[c]","[c]"
"In post","2021","HM Land Registry","Declared non-disabled","Heterosexual / straight","2590","2320","33380","30600"
"In post","2021","HM Land Registry","Declared non-disabled","LGBO","60","60","32690","33840"
"In post","2021","HM Land Registry","Declared non-disabled","Undeclared","440","380","33480","27130"
"In post","2021","HM Land Registry","Declared non-disabled","Unknown","600","500","31620","27130"
"In post","2021","HM Land Registry","Undeclared","Heterosexual / straight","50","50","29700","27130"
"In post","2021","HM Land Registry","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Undeclared","Undeclared","170","150","33230","33840"
"In post","2021","HM Land Registry","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Heterosexual / straight","560","540","27210","22350"
"In post","2021","HM Land Registry","Unknown","LGBO","60","60","25430","22350"
"In post","2021","HM Land Registry","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Unknown","1310","1260","27390","22350"
"In post","2021","HM Revenue and Customs","Declared disabled","Heterosexual / straight","4080","3660","31450","28130"
"In post","2021","HM Revenue and Customs","Declared disabled","LGBO","430","400","31630","31810"
"In post","2021","HM Revenue and Customs","Declared disabled","Undeclared","500","450","31530","28130"
"In post","2021","HM Revenue and Customs","Declared disabled","Unknown","730","630","27970","25560"
"In post","2021","HM Revenue and Customs","Declared non-disabled","Heterosexual / straight","29630","27500","33340","31810"
"In post","2021","HM Revenue and Customs","Declared non-disabled","LGBO","1560","1510","32780","29570"
"In post","2021","HM Revenue and Customs","Declared non-disabled","Undeclared","2200","1990","33130","30000"
"In post","2021","HM Revenue and Customs","Declared non-disabled","Unknown","4020","3480","29290","25560"
"In post","2021","HM Revenue and Customs","Undeclared","Heterosexual / straight","910","850","31420","28130"
"In post","2021","HM Revenue and Customs","Undeclared","LGBO","120","110","30350","25600"
"In post","2021","HM Revenue and Customs","Undeclared","Undeclared","1880","1720","34850","31810"
"In post","2021","HM Revenue and Customs","Undeclared","Unknown","370","330","32560","28130"
"In post","2021","HM Revenue and Customs","Unknown","Heterosexual / straight","2080","1830","29580","25560"
"In post","2021","HM Revenue and Customs","Unknown","LGBO","120","110","29310","25560"
"In post","2021","HM Revenue and Customs","Unknown","Undeclared","350","310","30290","25630"
"In post","2021","HM Revenue and Customs","Unknown","Unknown","17520","16230","27920","25560"
"In post","2021","HM Treasury","Declared disabled","Heterosexual / straight","180","180","45430","41840"
"In post","2021","HM Treasury","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Declared non-disabled","Heterosexual / straight","1550","1500","48610","49940"
"In post","2021","HM Treasury","Declared non-disabled","LGBO","120","110","49570","52500"
"In post","2021","HM Treasury","Declared non-disabled","Undeclared","130","130","45770","43300"
"In post","2021","HM Treasury","Declared non-disabled","Unknown","40","40","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Heterosexual / straight","190","190","45260","39260"
"In post","2021","HM Treasury","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Undeclared","160","160","43740","39260"
"In post","2021","HM Treasury","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Unknown","170","160","56000","53360"
"In post","2021","Home Office","Declared disabled","Heterosexual / straight","2400","2200","31020","27370"
"In post","2021","Home Office","Declared disabled","LGBO","230","220","33680","30010"
"In post","2021","Home Office","Declared disabled","Undeclared","420","380","31840","28650"
"In post","2021","Home Office","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Declared non-disabled","Heterosexual / straight","24950","23130","31910","27370"
"In post","2021","Home Office","Declared non-disabled","LGBO","890","860","32770","27020"
"In post","2021","Home Office","Declared non-disabled","Undeclared","2600","2380","32610","28350"
"In post","2021","Home Office","Declared non-disabled","Unknown","60","50","31790","27370"
"In post","2021","Home Office","Undeclared","Heterosexual / straight","570","530","31080","28650"
"In post","2021","Home Office","Undeclared","LGBO","40","40","[c]","[c]"
"In post","2021","Home Office","Undeclared","Undeclared","1190","1110","33390","29370"
"In post","2021","Home Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Unknown","Heterosexual / straight","270","270","33700","28650"
"In post","2021","Home Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Unknown","Unknown","1710","1670","31780","25630"
"In post","2021","Ministry of Defence","Declared disabled","Heterosexual / straight","4140","3980","33160","31170"
"In post","2021","Ministry of Defence","Declared disabled","LGBO","270","260","32770","30060"
"In post","2021","Ministry of Defence","Declared disabled","Undeclared","690","660","34600","33300"
"In post","2021","Ministry of Defence","Declared disabled","Unknown","180","170","33010","31600"
"In post","2021","Ministry of Defence","Declared non-disabled","Heterosexual / straight","33230","32140","33990","31950"
"In post","2021","Ministry of Defence","Declared non-disabled","LGBO","930","920","32840","29550"
"In post","2021","Ministry of Defence","Declared non-disabled","Undeclared","3030","2900","35090","33300"
"In post","2021","Ministry of Defence","Declared non-disabled","Unknown","960","930","33120","31950"
"In post","2021","Ministry of Defence","Undeclared","Heterosexual / straight","1690","1640","32490","29200"
"In post","2021","Ministry of Defence","Undeclared","LGBO","110","110","32570","30130"
"In post","2021","Ministry of Defence","Undeclared","Undeclared","2140","2080","35410","33300"
"In post","2021","Ministry of Defence","Undeclared","Unknown","260","250","38670","37800"
"In post","2021","Ministry of Defence","Unknown","Heterosexual / straight","3190","3070","33240","29750"
"In post","2021","Ministry of Defence","Unknown","LGBO","90","90","29960","26640"
"In post","2021","Ministry of Defence","Unknown","Undeclared","730","700","35470","33300"
"In post","2021","Ministry of Defence","Unknown","Unknown","6070","5910","35230","33000"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Heterosexual / straight","260","250","41430","36340"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","LGBO","50","50","41400","34860"
