"Status","Year","Organisation","Sexual_orientation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Companies House","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","20-29","40","40","[c]","[c]"
"In post","2021","Companies House","Unknown","30-39","70","60","28590","24730"
"In post","2021","Companies House","Unknown","40-49","50","40","[c]","[c]"
"In post","2021","Companies House","Unknown","50-59","70","60","27900","22490"
"In post","2021","Companies House","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","20-29","120","120","39230","34150"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","30-39","260","250","59590","56630"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","40-49","180","170","70570","72430"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","50-59","110","110","65560","56630"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","30-39","50","50","25750","22710"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","40-49","50","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","50-59","60","60","29610","24250"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","20-29","80","80","28930","27770"
"In post","2021","Crown Commercial Service","Heterosexual / straight","30-39","170","160","35490","34800"
"In post","2021","Crown Commercial Service","Heterosexual / straight","40-49","150","140","42620","37550"
"In post","2021","Crown Commercial Service","Heterosexual / straight","50-59","150","140","42390","39000"
"In post","2021","Crown Commercial Service","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","20-29","50","50","28150","27770"
"In post","2021","Crown Commercial Service","Unknown","30-39","50","50","36290","34800"
"In post","2021","Crown Commercial Service","Unknown","40-49","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","20-29","350","340","26240","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","30-39","440","420","36360","32930"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","40-49","370","340","41840","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","50-59","430","390","36240","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","60-64","100","80","34530","24810"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","65+","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","50-59","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","40-49","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","20-29","690","680","27860","25480"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","30-39","930","870","40150","39750"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","40-49","1350","1240","43360","48080"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","50-59","1460","1370","45160","40800"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","60-64","280","240","43820","37210"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","65+","60","50","42070","30110"
"In post","2021","Crown Prosecution Service","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","20-29","60","60","26610","24590"
"In post","2021","Crown Prosecution Service","LGBO","30-39","50","50","38000","32080"
"In post","2021","Crown Prosecution Service","LGBO","40-49","60","50","46560","50520"
"In post","2021","Crown Prosecution Service","LGBO","50-59","70","70","47300","52830"
"In post","2021","Crown Prosecution Service","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Undeclared","16-19","[c]","[c]","[c]","[c]"
