"Status","Year","Sexual_orientation","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Mixed","330","310","30590","30210"
"In post","2021","Heterosexual / straight","Unknown","Other ethnicity","60","60","30190","31260"
"In post","2021","Heterosexual / straight","Unknown","Undeclared","90","90","31410","30210"
"In post","2021","Heterosexual / straight","Unknown","Unknown","120","110","31610","32690"
"In post","2021","Heterosexual / straight","Unknown","White","9660","9010","32070","30320"
"In post","2021","LGBO","AA/AO","Asian","180","160","22310","21050"
"In post","2021","LGBO","AA/AO","Black","80","80","23310","22530"
"In post","2021","LGBO","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","AA/AO","Mixed","140","140","23030","21430"
"In post","2021","LGBO","AA/AO","Other ethnicity","40","30","[c]","[c]"
"In post","2021","LGBO","AA/AO","Undeclared","100","90","23810","21430"
"In post","2021","LGBO","AA/AO","Unknown","70","60","23160","21440"
"In post","2021","LGBO","AA/AO","White","4290","4120","22720","21030"
"In post","2021","LGBO","EO","Asian","170","160","28390","27570"
"In post","2021","LGBO","EO","Black","130","130","29030","28770"
"In post","2021","LGBO","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","EO","Mixed","180","180","28000","27570"
"In post","2021","LGBO","EO","Other ethnicity","50","50","[c]","[c]"
"In post","2021","LGBO","EO","Undeclared","90","80","28540","27570"
"In post","2021","LGBO","EO","Unknown","50","50","28640","27660"
"In post","2021","LGBO","EO","White","4290","4160","27510","27570"
"In post","2021","LGBO","G6/G7","Asian","80","70","58050","56000"
"In post","2021","LGBO","G6/G7","Black","40","40","[c]","[c]"
"In post","2021","LGBO","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","G6/G7","Mixed","120","120","57070","55680"
"In post","2021","LGBO","G6/G7","Other ethnicity","30","30","[c]","[c]"
"In post","2021","LGBO","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","LGBO","G6/G7","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","G6/G7","White","2420","2380","58640","56630"
"In post","2021","LGBO","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SCS","White","300","290","87190","78810"
"In post","2021","LGBO","SEO/HEO","Asian","140","140","37200","36160"
"In post","2021","LGBO","SEO/HEO","Black","70","70","38340","36680"
"In post","2021","LGBO","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Mixed","200","200","36620","35940"
"In post","2021","LGBO","SEO/HEO","Other ethnicity","50","50","[c]","[c]"
"In post","2021","LGBO","SEO/HEO","Undeclared","60","50","36000","36040"
"In post","2021","LGBO","SEO/HEO","Unknown","60","50","37300","35000"
"In post","2021","LGBO","SEO/HEO","White","4570","4490","36040","35060"
"In post","2021","LGBO","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","White","590","570","29540","27730"
"In post","2021","Undeclared","AA/AO","Asian","590","500","22360","21430"
"In post","2021","Undeclared","AA/AO","Black","240","210","24030","23500"
"In post","2021","Undeclared","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Mixed","140","120","23110","21430"
"In post","2021","Undeclared","AA/AO","Other ethnicity","50","50","23570","21440"
"In post","2021","Undeclared","AA/AO","Undeclared","2900","2660","22780","21310"
"In post","2021","Undeclared","AA/AO","Unknown","1310","1160","22180","21710"
"In post","2021","Undeclared","AA/AO","White","7430","6460","22290","21010"
"In post","2021","Undeclared","EO","Asian","570","510","28370","28550"
"In post","2021","Undeclared","EO","Black","280","270","29350","29370"
"In post","2021","Undeclared","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Mixed","180","170","28040","27570"
"In post","2021","Undeclared","EO","Other ethnicity","80","70","28700","28670"
"In post","2021","Undeclared","EO","Undeclared","3440","3190","28010","27570"
"In post","2021","Undeclared","EO","Unknown","740","690","28470","29350"
"In post","2021","Undeclared","EO","White","6640","6000","27770","27570"
"In post","2021","Undeclared","G6/G7","Asian","120","120","59130","57170"
"In post","2021","Undeclared","G6/G7","Black","50","50","57420","55630"
"In post","2021","Undeclared","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Mixed","70","70","58620","55330"
"In post","2021","Undeclared","G6/G7","Other ethnicity","70","70","61240","59160"
"In post","2021","Undeclared","G6/G7","Undeclared","1970","1910","58940","57430"
"In post","2021","Undeclared","G6/G7","Unknown","260","250","58880","57130"
"In post","2021","Undeclared","G6/G7","White","2760","2650","60030","57870"
"In post","2021","Undeclared","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Undeclared","130","120","89210","82100"
"In post","2021","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","White","300","290","89660","82120"
"In post","2021","Undeclared","SEO/HEO","Asian","360","340","37510","36600"
"In post","2021","Undeclared","SEO/HEO","Black","180","170","37560","36800"
"In post","2021","Undeclared","SEO/HEO","Chinese","40","40","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Mixed","150","140","36700","35200"
"In post","2021","Undeclared","SEO/HEO","Other ethnicity","80","80","39050","38160"
"In post","2021","Undeclared","SEO/HEO","Undeclared","4360","4190","37540","36860"
"In post","2021","Undeclared","SEO/HEO","Unknown","690","650","37530","35230"
"In post","2021","Undeclared","SEO/HEO","White","6170","5860","37370","36520"
"In post","2021","Undeclared","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Undeclared","430","410","36090","34440"
"In post","2021","Undeclared","Unknown","Unknown","60","50","33300","32700"
"In post","2021","Undeclared","Unknown","White","670","610","33980","32940"
"In post","2021","Unknown","AA/AO","Asian","1130","920","22180","21010"
"In post","2021","Unknown","AA/AO","Black","510","460","24940","23520"
"In post","2021","Unknown","AA/AO","Chinese","30","30","[c]","[c]"
"In post","2021","Unknown","AA/AO","Mixed","180","160","23050","21010"
"In post","2021","Unknown","AA/AO","Other ethnicity","80","70","23980","22450"
"In post","2021","Unknown","AA/AO","Undeclared","1200","1000","21770","21010"
"In post","2021","Unknown","AA/AO","Unknown","21130","19610","22120","21010"
"In post","2021","Unknown","AA/AO","White","12670","10580","22940","21050"
"In post","2021","Unknown","EO","Asian","1110","980","28500","27570"
"In post","2021","Unknown","EO","Black","620","570","29970","31020"
"In post","2021","Unknown","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Mixed","140","130","28420","27570"
"In post","2021","Unknown","EO","Other ethnicity","90","80","28380","27570"
"In post","2021","Unknown","EO","Undeclared","1410","1240","28650","27570"
"In post","2021","Unknown","EO","Unknown","13220","12640","27520","27420"
"In post","2021","Unknown","EO","White","10120","8850","27980","27570"
"In post","2021","Unknown","G6/G7","Asian","280","270","59430","56610"
"In post","2021","Unknown","G6/G7","Black","110","110","59810","58940"
"In post","2021","Unknown","G6/G7","Chinese","30","30","[c]","[c]"
"In post","2021","Unknown","G6/G7","Mixed","100","90","59070","58030"
"In post","2021","Unknown","G6/G7","Other ethnicity","50","50","60530","59720"
"In post","2021","Unknown","G6/G7","Undeclared","510","490","56750","55020"
"In post","2021","Unknown","G6/G7","Unknown","7230","7010","58720","56200"
"In post","2021","Unknown","G6/G7","White","4020","3780","58490","56690"
"In post","2021","Unknown","SCS","Asian","40","40","[c]","[c]"
"In post","2021","Unknown","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Undeclared","40","40","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","1090","1070","90620","79410"
"In post","2021","Unknown","SCS","White","370","350","96180","86640"
"In post","2021","Unknown","SEO/HEO","Asian","630","610","37160","36650"
"In post","2021","Unknown","SEO/HEO","Black","280","270","37290","36650"
"In post","2021","Unknown","SEO/HEO","Chinese","40","40","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Mixed","170","160","36870","36610"
"In post","2021","Unknown","SEO/HEO","Other ethnicity","60","60","40000","38530"
"In post","2021","Unknown","SEO/HEO","Undeclared","980","930","36810","36730"
"In post","2021","Unknown","SEO/HEO","Unknown","14950","14550","35530","34370"
"In post","2021","Unknown","SEO/HEO","White","7690","7230","37160","36380"
"In post","2021","Unknown","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2920","2820","34180","32700"
"In post","2021","Unknown","Unknown","White","100","90","34540","32710"
"In post","2022","Heterosexual / straight","AA/AO","Asian","6710","6010","22670","21260"
"In post","2022","Heterosexual / straight","AA/AO","Black","3390","3170","24470","23760"
"In post","2022","Heterosexual / straight","AA/AO","Mixed","1550","1430","23540","21680"
"In post","2022","Heterosexual / straight","AA/AO","Other ethnicity","410","380","23880","22240"
"In post","2022","Heterosexual / straight","AA/AO","Undeclared","810","730","23180","21830"
"In post","2022","Heterosexual / straight","AA/AO","Unknown","1060","940","23280","21840"
"In post","2022","Heterosexual / straight","AA/AO","White","72480","65530","22820","21300"
"In post","2022","Heterosexual / straight","EO","Asian","8980","8490","28310","27570"
"In post","2022","Heterosexual / straight","EO","Black","4710","4530","29170","29250"
"In post","2022","Heterosexual / straight","EO","Mixed","1800","1720","28270","27570"
"In post","2022","Heterosexual / straight","EO","Other ethnicity","530","510","28580","27850"
"In post","2022","Heterosexual / straight","EO","Undeclared","980","920","28930","27570"
"In post","2022","Heterosexual / straight","EO","Unknown","710","670","28230","27570"
"In post","2022","Heterosexual / straight","EO","White","70620","65390","27760","27570"
"In post","2022","Heterosexual / straight","G6/G7","Asian","3240","3160","58820","57290"
"In post","2022","Heterosexual / straight","G6/G7","Black","1280","1260","57990","55770"
"In post","2022","Heterosexual / straight","G6/G7","Mixed","1150","1110","58470","56640"
"In post","2022","Heterosexual / straight","G6/G7","Other ethnicity","290","270","59610","57460"
"In post","2022","Heterosexual / straight","G6/G7","Undeclared","360","350","59400","57620"
"In post","2022","Heterosexual / straight","G6/G7","Unknown","480","460","59450","56500"
"In post","2022","Heterosexual / straight","G6/G7","White","40230","38760","59160","57190"
"In post","2022","Heterosexual / straight","SCS","Asian","270","260","90840","85000"
"In post","2022","Heterosexual / straight","SCS","Black","80","80","91020","82420"
"In post","2022","Heterosexual / straight","SCS","Mixed","120","110","84020","78000"
"In post","2022","Heterosexual / straight","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","Unknown","50","40","[c]","[c]"
"In post","2022","Heterosexual / straight","SCS","White","4550","4410","90010","82270"
"In post","2022","Heterosexual / straight","SEO/HEO","Asian","7960","7760","37250","36500"
"In post","2022","Heterosexual / straight","SEO/HEO","Black","3940","3880","37660","36970"
"In post","2022","Heterosexual / straight","SEO/HEO","Mixed","2050","2000","37260","36500"
"In post","2022","Heterosexual / straight","SEO/HEO","Other ethnicity","580","560","37810","37170"
"In post","2022","Heterosexual / straight","SEO/HEO","Undeclared","770","750","37540","36650"
"In post","2022","Heterosexual / straight","SEO/HEO","Unknown","930","880","37210","36500"
"In post","2022","Heterosexual / straight","SEO/HEO","White","80650","77320","37300","36480"
"In post","2022","Heterosexual / straight","Unknown","Asian","790","730","30030","28200"
"In post","2022","Heterosexual / straight","Unknown","Black","1130","1080","31400","28690"
"In post","2022","Heterosexual / straight","Unknown","Mixed","470","450","30930","30000"
"In post","2022","Heterosexual / straight","Unknown","Other ethnicity","90","80","31020","28820"
"In post","2022","Heterosexual / straight","Unknown","Undeclared","120","110","31370","30200"
"In post","2022","Heterosexual / straight","Unknown","Unknown","150","140","30640","28870"
"In post","2022","Heterosexual / straight","Unknown","White","12780","11920","31710","29040"
"In post","2022","LGBO","AA/AO","Asian","190","170","23060","21300"
"In post","2022","LGBO","AA/AO","Black","70","70","24490","23720"
"In post","2022","LGBO","AA/AO","Mixed","170","170","23730","21680"
"In post","2022","LGBO","AA/AO","Other ethnicity","40","40","[c]","[c]"
"In post","2022","LGBO","AA/AO","Undeclared","100","90","24730","22030"
"In post","2022","LGBO","AA/AO","Unknown","70","70","24310","22080"
"In post","2022","LGBO","AA/AO","White","4760","4570","23050","21260"
"In post","2022","LGBO","EO","Asian","200","190","28230","27570"
"In post","2022","LGBO","EO","Black","130","130","29220","28990"
"In post","2022","LGBO","EO","Mixed","190","180","28100","27570"
"In post","2022","LGBO","EO","Other ethnicity","50","50","28810","27960"
"In post","2022","LGBO","EO","Undeclared","90","80","29050","27570"
"In post","2022","LGBO","EO","Unknown","50","50","28830","27690"
"In post","2022","LGBO","EO","White","4820","4670","27710","27570"
"In post","2022","LGBO","G6/G7","Asian","110","100","57210","55210"
"In post","2022","LGBO","G6/G7","Black","50","50","[c]","[c]"
"In post","2022","LGBO","G6/G7","Mixed","140","140","57810","56360"
"In post","2022","LGBO","G6/G7","Other ethnicity","50","50","57050","54870"
"In post","2022","LGBO","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2022","LGBO","G6/G7","Unknown","40","40","[c]","[c]"
"In post","2022","LGBO","G6/G7","White","2910","2860","58490","55730"
"In post","2022","LGBO","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","SCS","White","320","320","87130","79410"
"In post","2022","LGBO","SEO/HEO","Asian","200","190","37580","36720"
"In post","2022","LGBO","SEO/HEO","Black","80","80","37500","36480"
"In post","2022","LGBO","SEO/HEO","Mixed","260","250","36840","36140"
"In post","2022","LGBO","SEO/HEO","Other ethnicity","60","60","38080","36330"
"In post","2022","LGBO","SEO/HEO","Undeclared","70","70","36930","36190"
"In post","2022","LGBO","SEO/HEO","Unknown","70","70","37650","36820"
"In post","2022","LGBO","SEO/HEO","White","5660","5560","36460","35310"
"In post","2022","LGBO","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Mixed","40","40","[c]","[c]"
"In post","2022","LGBO","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","White","930","900","29910","27060"
"In post","2022","Undeclared","AA/AO","Asian","610","520","22680","21680"
"In post","2022","Undeclared","AA/AO","Black","230","200","24370","24310"
"In post","2022","Undeclared","AA/AO","Mixed","150","130","23630","21830"
"In post","2022","Undeclared","AA/AO","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Undeclared","2700","2450","23200","21680"
"In post","2022","Undeclared","AA/AO","Unknown","390","350","23370","21960"
"In post","2022","Undeclared","AA/AO","White","7030","6120","22700","21300"
"In post","2022","Undeclared","EO","Asian","590","530","28580","28310"
"In post","2022","Undeclared","EO","Black","280","260","29450","29370"
"In post","2022","Undeclared","EO","Mixed","200","180","28270","27570"
"In post","2022","Undeclared","EO","Other ethnicity","70","70","28950","28990"
"In post","2022","Undeclared","EO","Undeclared","3310","3080","28270","27570"
"In post","2022","Undeclared","EO","Unknown","410","390","27920","27270"
"In post","2022","Undeclared","EO","White","6400","5810","27960","27570"
"In post","2022","Undeclared","G6/G7","Asian","180","170","58420","56740"
"In post","2022","Undeclared","G6/G7","Black","60","60","57140","55170"
"In post","2022","Undeclared","G6/G7","Mixed","90","90","57890","54850"
"In post","2022","Undeclared","G6/G7","Other ethnicity","60","60","61200","57460"
"In post","2022","Undeclared","G6/G7","Undeclared","1980","1920","59950","57680"
"In post","2022","Undeclared","G6/G7","Unknown","790","760","57500","54130"
"In post","2022","Undeclared","G6/G7","White","2930","2820","59960","57680"
"In post","2022","Undeclared","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Undeclared","150","140","87360","80220"
"In post","2022","Undeclared","SCS","Unknown","80","70","91760","88190"
"In post","2022","Undeclared","SCS","White","300","280","89180","82720"
"In post","2022","Undeclared","SEO/HEO","Asian","460","440","37620","36880"
"In post","2022","Undeclared","SEO/HEO","Black","200","200","38180","37770"
"In post","2022","Undeclared","SEO/HEO","Mixed","180","170","37420","36700"
"In post","2022","Undeclared","SEO/HEO","Other ethnicity","80","70","39270","39090"
"In post","2022","Undeclared","SEO/HEO","Undeclared","4470","4290","38040","37450"
"In post","2022","Undeclared","SEO/HEO","Unknown","860","830","36730","36300"
"In post","2022","Undeclared","SEO/HEO","White","6580","6270","37640","36820"
"In post","2022","Undeclared","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Black","40","40","[c]","[c]"
"In post","2022","Undeclared","Unknown","Mixed","30","30","[c]","[c]"
"In post","2022","Undeclared","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Undeclared","460","430","35190","34340"
"In post","2022","Undeclared","Unknown","Unknown","50","40","[c]","[c]"
"In post","2022","Undeclared","Unknown","White","760","710","33360","32690"
"In post","2022","Unknown","AA/AO","Asian","1010","820","22530","21260"
"In post","2022","Unknown","AA/AO","Black","450","400","25380","24310"
"In post","2022","Unknown","AA/AO","Mixed","150","130","23140","21260"
"In post","2022","Unknown","AA/AO","Other ethnicity","70","60","24310","23230"
"In post","2022","Unknown","AA/AO","Undeclared","1040","870","22220","21260"
"In post","2022","Unknown","AA/AO","Unknown","21280","19790","22780","21300"
"In post","2022","Unknown","AA/AO","White","10240","8540","23310","21300"
"In post","2022","Unknown","EO","Asian","1050","930","28580","27570"
"In post","2022","Unknown","EO","Black","550","500","30070","31020"
"In post","2022","Unknown","EO","Mixed","140","120","28530","27570"
"In post","2022","Unknown","EO","Other ethnicity","70","60","28900","28310"
"In post","2022","Unknown","EO","Undeclared","1230","1080","29030","27570"
"In post","2022","Unknown","EO","Unknown","14770","14100","28000","27230"
"In post","2022","Unknown","EO","White","8360","7310","28130","27570"
"In post","2022","Unknown","G6/G7","Asian","310","300","59830","58380"
"In post","2022","Unknown","G6/G7","Black","100","100","58800","56090"
"In post","2022","Unknown","G6/G7","Mixed","100","100","60320","59520"
"In post","2022","Unknown","G6/G7","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Unknown","G6/G7","Undeclared","530","500","56830","55500"
"In post","2022","Unknown","G6/G7","Unknown","7800","7600","59780","57430"
"In post","2022","Unknown","G6/G7","White","4140","3900","58040","56310"
"In post","2022","Unknown","SCS","Asian","40","40","[c]","[c]"
"In post","2022","Unknown","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS","Undeclared","30","30","[c]","[c]"
"In post","2022","Unknown","SCS","Unknown","810","780","96750","88000"
"In post","2022","Unknown","SCS","White","290","270","95240","84710"
"In post","2022","Unknown","SEO/HEO","Asian","710","680","37760","37610"
"In post","2022","Unknown","SEO/HEO","Black","270","270","38040","37930"
"In post","2022","Unknown","SEO/HEO","Mixed","170","170","36100","35360"
"In post","2022","Unknown","SEO/HEO","Other ethnicity","60","50","39800","38330"
"In post","2022","Unknown","SEO/HEO","Undeclared","930","870","37580","37930"
"In post","2022","Unknown","SEO/HEO","Unknown","16280","15890","36110","34640"
"In post","2022","Unknown","SEO/HEO","White","7020","6630","37240","36700"
"In post","2022","Unknown","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","5370","5020","31430","28730"
"In post","2022","Unknown","Unknown","White","100","100","33210","31420"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Asian","330","300","21630","21010"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Black","190","180","22580","22680"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Mixed","110","100","21900","21010"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","AA/AO","Unknown","100","90","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","AA/AO","White","4420","3910","21200","21010"
"Leaver CS","2021","Heterosexual / straight","EO","Asian","210","200","27820","27570"
"Leaver CS","2021","Heterosexual / straight","EO","Black","100","100","27980","27760"
"Leaver CS","2021","Heterosexual / straight","EO","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","EO","Mixed","60","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","EO","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","EO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","EO","White","2210","1940","27230","27570"
"Leaver CS","2021","Heterosexual / straight","G6/G7","Asian","60","50","58790","55610"
"Leaver CS","2021","Heterosexual / straight","G6/G7","Black","40","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","G6/G7","Chinese","[c]","[c]","[c]","[c]"
