"Status","Year","Function_of_post","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data & Technology","Declared non-disabled","LGBO","330","330","43240","38650"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Undeclared","600","580","42340","39110"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Unknown","1400","1330","40790","39650"
"In post","2021","Digital, Data & Technology","Undeclared","Heterosexual / straight","240","240","41550","38630"
"In post","2021","Digital, Data & Technology","Undeclared","LGBO","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Undeclared","350","340","40460","38450"
"In post","2021","Digital, Data & Technology","Undeclared","Unknown","50","50","38840","35060"
"In post","2021","Digital, Data & Technology","Unknown","Heterosexual / straight","730","710","40490","36840"
"In post","2021","Digital, Data & Technology","Unknown","LGBO","50","50","39400","36030"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","160","160","38090","35230"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","2370","2330","40750","37730"
"In post","2021","Finance","Declared disabled","Heterosexual / straight","650","600","37660","33440"
"In post","2021","Finance","Declared disabled","LGBO","40","30","[c]","[c]"
"In post","2021","Finance","Declared disabled","Undeclared","80","70","37930","31780"
"In post","2021","Finance","Declared disabled","Unknown","60","50","31580","27420"
"In post","2021","Finance","Declared non-disabled","Heterosexual / straight","5160","4920","40630","36770"
"In post","2021","Finance","Declared non-disabled","LGBO","190","180","40810","36960"
"In post","2021","Finance","Declared non-disabled","Undeclared","470","440","39070","35850"
"In post","2021","Finance","Declared non-disabled","Unknown","510","470","34910","30730"
"In post","2021","Finance","Undeclared","Heterosexual / straight","210","200","38250","35360"
"In post","2021","Finance","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Undeclared","230","220","39350","34460"
"In post","2021","Finance","Undeclared","Unknown","60","60","40260","38630"
"In post","2021","Finance","Unknown","Heterosexual / straight","410","400","39690","36740"
"In post","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","90","90","39620","38930"
"In post","2021","Finance","Unknown","Unknown","1220","1150","35470","31810"
"In post","2021","Grants Management","Declared disabled","Heterosexual / straight","90","80","26600","25190"
"In post","2021","Grants Management","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","Unknown","50","40","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","Heterosexual / straight","700","630","26610","25190"
"In post","2021","Grants Management","Declared non-disabled","LGBO","50","50","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","Undeclared","30","30","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","Unknown","910","840","24450","21050"
"In post","2021","Grants Management","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Heterosexual / straight","950","900","38770","34160"
"In post","2021","Human Resources","Declared disabled","LGBO","120","110","40280","35000"
"In post","2021","Human Resources","Declared disabled","Undeclared","90","90","37760","33300"
"In post","2021","Human Resources","Declared disabled","Unknown","60","50","34540","30920"
"In post","2021","Human Resources","Declared non-disabled","Heterosexual / straight","5360","5080","38410","33350"
"In post","2021","Human Resources","Declared non-disabled","LGBO","290","280","40830","37000"
"In post","2021","Human Resources","Declared non-disabled","Undeclared","330","310","35770","32290"
"In post","2021","Human Resources","Declared non-disabled","Unknown","360","330","35150","31810"
"In post","2021","Human Resources","Undeclared","Heterosexual / straight","260","250","37340","33960"
"In post","2021","Human Resources","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Undeclared","180","170","36810","31820"
"In post","2021","Human Resources","Undeclared","Unknown","50","50","39250","34710"
"In post","2021","Human Resources","Unknown","Heterosexual / straight","540","510","35090","30750"
"In post","2021","Human Resources","Unknown","LGBO","30","30","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","80","70","31990","29350"
"In post","2021","Human Resources","Unknown","Unknown","880","830","34030","31380"
"In post","2021","Internal Audit","Declared disabled","Heterosexual / straight","70","60","44870","40000"
"In post","2021","Internal Audit","Declared disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Heterosexual / straight","480","460","46450","43910"
"In post","2021","Internal Audit","Declared non-disabled","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Undeclared","50","40","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Legal","Declared disabled","Heterosexual / straight","910","840","43780","40800"
"In post","2021","Legal","Declared disabled","LGBO","100","100","46720","43920"
"In post","2021","Legal","Declared disabled","Undeclared","110","100","45850","45050"
"In post","2021","Legal","Declared disabled","Unknown","120","110","40850","34480"
"In post","2021","Legal","Declared non-disabled","Heterosexual / straight","6800","6320","46690","48830"
"In post","2021","Legal","Declared non-disabled","LGBO","390","380","48420","50990"
"In post","2021","Legal","Declared non-disabled","Undeclared","500","460","48540","47100"
"In post","2021","Legal","Declared non-disabled","Unknown","1460","1300","48300","52060"
"In post","2021","Legal","Undeclared","Heterosexual / straight","170","160","48750","50500"
"In post","2021","Legal","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Undeclared","160","150","51380","51250"
"In post","2021","Legal","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Legal","Unknown","Heterosexual / straight","960","920","37600","38000"
"In post","2021","Legal","Unknown","LGBO","60","60","31810","26970"
"In post","2021","Legal","Unknown","Undeclared","1610","1450","27640","22820"
"In post","2021","Legal","Unknown","Unknown","1440","1350","45650","48080"
"In post","2021","No function","Declared disabled","Heterosexual / straight","12890","11880","31180","28080"
"In post","2021","No function","Declared disabled","LGBO","1560","1520","32200","28990"
"In post","2021","No function","Declared disabled","Undeclared","1790","1610","30460","27130"
"In post","2021","No function","Declared disabled","Unknown","1270","1120","30580","28130"
"In post","2021","No function","Declared non-disabled","Heterosexual / straight","90080","84460","33700","29750"
"In post","2021","No function","Declared non-disabled","LGBO","5320","5180","34850","30850"
"In post","2021","No function","Declared non-disabled","Undeclared","8520","7750","32860","28400"
"In post","2021","No function","Declared non-disabled","Unknown","9450","8400","32950","30620"
"In post","2021","No function","Undeclared","Heterosexual / straight","5580","5160","31760","30450"
"In post","2021","No function","Undeclared","LGBO","490","480","32290","30990"
"In post","2021","No function","Undeclared","Undeclared","4550","4240","33800","31630"
"In post","2021","No function","Undeclared","Unknown","3230","2920","32920","31650"
"In post","2021","No function","Unknown","Heterosexual / straight","8360","7850","34960","32770"
"In post","2021","No function","Unknown","LGBO","580","570","34640","31810"
"In post","2021","No function","Unknown","Undeclared","1030","960","37040","33610"
"In post","2021","No function","Unknown","Unknown","30220","28520","30260","25950"
"In post","2021","Project Delivery","Declared disabled","Heterosexual / straight","2010","1930","39340","36620"
"In post","2021","Project Delivery","Declared disabled","LGBO","180","180","39030","34570"
"In post","2021","Project Delivery","Declared disabled","Undeclared","300","280","39040","37680"
"In post","2021","Project Delivery","Declared disabled","Unknown","150","140","38670","35000"
"In post","2021","Project Delivery","Declared non-disabled","Heterosexual / straight","16370","15840","41460","38630"
"In post","2021","Project Delivery","Declared non-disabled","LGBO","640","630","42250","38610"
"In post","2021","Project Delivery","Declared non-disabled","Undeclared","1350","1300","42210","39100"
"In post","2021","Project Delivery","Declared non-disabled","Unknown","1350","1300","40570","38630"
"In post","2021","Project Delivery","Undeclared","Heterosexual / straight","610","590","39450","37640"
"In post","2021","Project Delivery","Undeclared","LGBO","60","60","40370","40030"
"In post","2021","Project Delivery","Undeclared","Undeclared","970","930","39700","37320"
"In post","2021","Project Delivery","Undeclared","Unknown","170","170","44550","40580"
"In post","2021","Project Delivery","Unknown","Heterosexual / straight","1260","1210","41280","38630"
"In post","2021","Project Delivery","Unknown","LGBO","60","60","44360","40760"
"In post","2021","Project Delivery","Unknown","Undeclared","300","290","42450","40080"
"In post","2021","Project Delivery","Unknown","Unknown","2620","2530","42220","38630"
"In post","2021","Property","Declared disabled","Heterosexual / straight","540","510","34920","32250"
"In post","2021","Property","Declared disabled","LGBO","50","40","[c]","[c]"
"In post","2021","Property","Declared disabled","Undeclared","80","80","36770","33460"
"In post","2021","Property","Declared disabled","Unknown","70","70","31310","26670"
"In post","2021","Property","Declared non-disabled","Heterosexual / straight","4800","4580","36000","33300"
"In post","2021","Property","Declared non-disabled","LGBO","160","150","35330","32060"
"In post","2021","Property","Declared non-disabled","Undeclared","440","410","36080","33300"
"In post","2021","Property","Declared non-disabled","Unknown","940","890","31880","29440"
"In post","2021","Property","Undeclared","Heterosexual / straight","220","210","34090","32860"
"In post","2021","Property","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Undeclared","Undeclared","280","260","37740","33300"
"In post","2021","Property","Undeclared","Unknown","120","110","34840","31100"
"In post","2021","Property","Unknown","Heterosexual / straight","340","330","31850","28870"
"In post","2021","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Undeclared","70","70","34040","33000"
"In post","2021","Property","Unknown","Unknown","1190","1140","29410","25860"
"In post","2021","Security","Declared disabled","Heterosexual / straight","500","480","31500","28480"
"In post","2021","Security","Declared disabled","LGBO","30","30","[c]","[c]"
"In post","2021","Security","Declared disabled","Undeclared","90","90","34180","34550"
"In post","2021","Security","Declared disabled","Unknown","40","40","[c]","[c]"
"In post","2021","Security","Declared non-disabled","Heterosexual / straight","4530","4430","31000","26670"
"In post","2021","Security","Declared non-disabled","LGBO","160","160","31510","28780"
"In post","2021","Security","Declared non-disabled","Undeclared","420","410","34450","36470"
"In post","2021","Security","Declared non-disabled","Unknown","230","220","35660","35440"
"In post","2021","Security","Undeclared","Heterosexual / straight","310","300","32380","30440"
"In post","2021","Security","Undeclared","LGBO","30","30","[c]","[c]"
"In post","2021","Security","Undeclared","Undeclared","330","320","35850","38630"
"In post","2021","Security","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Security","Unknown","Heterosexual / straight","690","670","30490","27680"
"In post","2021","Security","Unknown","LGBO","40","40","[c]","[c]"
"In post","2021","Security","Unknown","Undeclared","120","120","33920","39070"
"In post","2021","Security","Unknown","Unknown","1220","1200","30580","27130"
"In post","2021","Unknown","Declared disabled","Heterosexual / straight","15860","14200","28730","27570"
"In post","2021","Unknown","Declared disabled","LGBO","1570","1490","29880","27570"
"In post","2021","Unknown","Declared disabled","Undeclared","2370","2100","28460","27570"
"In post","2021","Unknown","Declared disabled","Unknown","1720","1460","27300","27570"
"In post","2021","Unknown","Declared non-disabled","Heterosexual / straight","91110","84270","31000","27570"
"In post","2021","Unknown","Declared non-disabled","LGBO","4090","3950","31190","27570"
"In post","2021","Unknown","Declared non-disabled","Undeclared","9170","8320","30730","27570"
"In post","2021","Unknown","Declared non-disabled","Unknown","17690","15150","27980","27570"
"In post","2021","Unknown","Undeclared","Heterosexual / straight","3590","3360","28910","27570"
"In post","2021","Unknown","Undeclared","LGBO","280","270","28740","27570"
"In post","2021","Unknown","Undeclared","Undeclared","2880","2720","32310","27570"
"In post","2021","Unknown","Undeclared","Unknown","890","800","28040","27570"
"In post","2021","Unknown","Unknown","Heterosexual / straight","4030","3860","37150","32140"
"In post","2021","Unknown","Unknown","LGBO","180","180","36010","31640"
"In post","2021","Unknown","Unknown","Undeclared","500","480","36590","32980"
"In post","2021","Unknown","Unknown","Unknown","10790","10430","34550","29290"
"In post","2022","Analysis","Declared disabled","Heterosexual / straight","480","460","42380","38340"
"In post","2022","Analysis","Declared disabled","LGBO","110","110","39530","37930"
"In post","2022","Analysis","Declared disabled","Undeclared","70","60","42070","35840"
"In post","2022","Analysis","Declared disabled","Unknown","50","50","37710","36060"
"In post","2022","Analysis","Declared non-disabled","Heterosexual / straight","4200","4030","45240","40270"
"In post","2022","Analysis","Declared non-disabled","LGBO","360","360","42170","37930"
"In post","2022","Analysis","Declared non-disabled","Undeclared","310","300","44300","40180"
"In post","2022","Analysis","Declared non-disabled","Unknown","810","780","40470","38070"
"In post","2022","Analysis","Undeclared","Heterosexual / straight","140","140","44730","40720"
"In post","2022","Analysis","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Undeclared","100","90","45180","40520"
"In post","2022","Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Heterosexual / straight","660","640","41710","38340"
"In post","2022","Analysis","Unknown","LGBO","70","60","37840","33210"
"In post","2022","Analysis","Unknown","Undeclared","190","180","48740","50710"
"In post","2022","Analysis","Unknown","Unknown","880","850","41030","37020"
"In post","2022","Commercial","Declared disabled","Heterosexual / straight","340","330","39970","37850"
"In post","2022","Commercial","Declared disabled","LGBO","30","30","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Undeclared","50","50","38830","38190"
"In post","2022","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared non-disabled","Heterosexual / straight","2920","2830","43690","39450"
"In post","2022","Commercial","Declared non-disabled","LGBO","130","130","39160","34710"
"In post","2022","Commercial","Declared non-disabled","Undeclared","250","230","41210","37770"
"In post","2022","Commercial","Declared non-disabled","Unknown","210","200","48860","38070"
"In post","2022","Commercial","Undeclared","Heterosexual / straight","140","140","42900","37350"
"In post","2022","Commercial","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Undeclared","Undeclared","110","110","42000","40600"
"In post","2022","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Heterosexual / straight","460","450","38890","36780"
"In post","2022","Commercial","Unknown","LGBO","40","30","[c]","[c]"
"In post","2022","Commercial","Unknown","Undeclared","140","140","45290","40650"
"In post","2022","Commercial","Unknown","Unknown","1740","1710","60290","60140"
"In post","2022","Communications","Declared disabled","Heterosexual / straight","440","420","34760","33080"
"In post","2022","Communications","Declared disabled","LGBO","80","80","35610","33370"
"In post","2022","Communications","Declared disabled","Undeclared","60","50","34730","31700"
"In post","2022","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Declared non-disabled","Heterosexual / straight","4200","4050","36820","33080"
"In post","2022","Communications","Declared non-disabled","LGBO","310","310","36390","33080"
"In post","2022","Communications","Declared non-disabled","Undeclared","240","230","36370","33370"
"In post","2022","Communications","Declared non-disabled","Unknown","260","250","36240","33080"
"In post","2022","Communications","Undeclared","Heterosexual / straight","150","140","36070","33080"
"In post","2022","Communications","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Undeclared","Undeclared","130","120","34640","33080"
"In post","2022","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Heterosexual / straight","350","340","39590","36660"
"In post","2022","Communications","Unknown","LGBO","50","40","[c]","[c]"
"In post","2022","Communications","Unknown","Undeclared","190","190","45040","40650"
"In post","2022","Communications","Unknown","Unknown","2020","1970","33270","26820"
"In post","2022","Counter Fraud","Declared disabled","Heterosexual / straight","1410","1270","31240","27570"
"In post","2022","Counter Fraud","Declared disabled","LGBO","150","140","31860","28840"
"In post","2022","Counter Fraud","Declared disabled","Undeclared","230","210","30200","27570"
"In post","2022","Counter Fraud","Declared disabled","Unknown","190","160","30200","28110"
"In post","2022","Counter Fraud","Declared non-disabled","Heterosexual / straight","8660","8070","33070","30750"
"In post","2022","Counter Fraud","Declared non-disabled","LGBO","410","390","32480","28920"
"In post","2022","Counter Fraud","Declared non-disabled","Undeclared","760","680","31800","28240"
"In post","2022","Counter Fraud","Declared non-disabled","Unknown","1540","1350","29910","27570"
"In post","2022","Counter Fraud","Undeclared","Heterosexual / straight","320","300","31630","27570"
"In post","2022","Counter Fraud","Undeclared","LGBO","40","40","[c]","[c]"
"In post","2022","Counter Fraud","Undeclared","Undeclared","510","470","36350","33370"
"In post","2022","Counter Fraud","Undeclared","Unknown","90","80","31670","28920"
"In post","2022","Counter Fraud","Unknown","Heterosexual / straight","320","300","34430","33080"
"In post","2022","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Undeclared","60","60","38180","34560"
"In post","2022","Counter Fraud","Unknown","Unknown","2320","2210","32600","31020"
"In post","2022","Debt","Declared disabled","Heterosexual / straight","590","500","23490","21260"
"In post","2022","Debt","Declared disabled","LGBO","70","60","23380","21260"
"In post","2022","Debt","Declared disabled","Undeclared","80","70","23280","21260"
"In post","2022","Debt","Declared disabled","Unknown","80","70","22970","22080"
"In post","2022","Debt","Declared non-disabled","Heterosexual / straight","3180","2820","24020","21260"
"In post","2022","Debt","Declared non-disabled","LGBO","210","200","23720","21260"
"In post","2022","Debt","Declared non-disabled","Undeclared","280","240","23730","21260"
"In post","2022","Debt","Declared non-disabled","Unknown","580","490","23920","21260"
"In post","2022","Debt","Undeclared","Heterosexual / straight","160","140","23300","21260"
"In post","2022","Debt","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Undeclared","Undeclared","120","100","23780","22080"
"In post","2022","Debt","Undeclared","Unknown","40","30","[c]","[c]"
"In post","2022","Debt","Unknown","Heterosexual / straight","80","70","25010","22080"
"In post","2022","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","1320","1220","23370","21250"
"In post","2022","Digital, Data & Technology","Declared disabled","Heterosexual / straight","1450","1390","39130","35110"
"In post","2022","Digital, Data & Technology","Declared disabled","LGBO","230","220","38600","36050"
"In post","2022","Digital, Data & Technology","Declared disabled","Undeclared","240","230","39280","35730"
"In post","2022","Digital, Data & Technology","Declared disabled","Unknown","90","80","39480","36840"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Heterosexual / straight","11760","11430","41990","38880"
"In post","2022","Digital, Data & Technology","Declared non-disabled","LGBO","640","630","41330","37970"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Undeclared","1270","1220","40990","38470"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Unknown","990","940","40210","35990"
"In post","2022","Digital, Data & Technology","Undeclared","Heterosexual / straight","500","480","40110","37040"
"In post","2022","Digital, Data & Technology","Undeclared","LGBO","60","60","39320","33370"
"In post","2022","Digital, Data & Technology","Undeclared","Undeclared","590","580","40960","37960"
"In post","2022","Digital, Data & Technology","Undeclared","Unknown","50","50","39440","36120"
"In post","2022","Digital, Data & Technology","Unknown","Heterosexual / straight","1070","1050","40780","37100"
"In post","2022","Digital, Data & Technology","Unknown","LGBO","80","80","39610","36500"
"In post","2022","Digital, Data & Technology","Unknown","Undeclared","220","220","43010","40140"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","2820","2770","41860","38450"
"In post","2022","Finance","Declared disabled","Heterosexual / straight","880","820","38210","34220"
"In post","2022","Finance","Declared disabled","LGBO","70","70","37300","31990"
"In post","2022","Finance","Declared disabled","Undeclared","110","100","36500","33000"
"In post","2022","Finance","Declared disabled","Unknown","70","70","32340","28670"
"In post","2022","Finance","Declared non-disabled","Heterosexual / straight","6760","6430","40330","36500"
"In post","2022","Finance","Declared non-disabled","LGBO","290","280","40590","36500"
"In post","2022","Finance","Declared non-disabled","Undeclared","590","550","39720","36850"
"In post","2022","Finance","Declared non-disabled","Unknown","820","750","37400","33400"
"In post","2022","Finance","Undeclared","Heterosexual / straight","280","270","39420","35310"
"In post","2022","Finance","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Undeclared","290","270","39800","35310"
"In post","2022","Finance","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2022","Finance","Unknown","Heterosexual / straight","620","600","39090","36500"
"In post","2022","Finance","Unknown","LGBO","40","40","[c]","[c]"
"In post","2022","Finance","Unknown","Undeclared","240","240","40790","36820"
"In post","2022","Finance","Unknown","Unknown","1250","1180","36330","33080"
