"Status","Year","Sex","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Intelligence Analysis","Declared disabled","160","150","35720","33300"
"In post","2021","Male","Intelligence Analysis","Declared non-disabled","1270","1240","35090","31810"
"In post","2021","Male","Intelligence Analysis","Undeclared","160","160","35850","33300"
"In post","2021","Male","Intelligence Analysis","Unknown","260","250","43010","39420"
"In post","2021","Male","Internal Audit","Declared disabled","50","40","[c]","[c]"
"In post","2021","Male","Internal Audit","Declared non-disabled","280","270","48660","46770"
"In post","2021","Male","Internal Audit","Undeclared","30","30","[c]","[c]"
"In post","2021","Male","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Declared disabled","50","50","[c]","[c]"
"In post","2021","Male","International Trade","Declared non-disabled","460","460","47970","44030"
"In post","2021","Male","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Unknown","290","280","47300","39070"
"In post","2021","Male","Knowledge and Information Management","Declared disabled","130","130","35540","32860"
"In post","2021","Male","Knowledge and Information Management","Declared non-disabled","730","720","37790","36060"
"In post","2021","Male","Knowledge and Information Management","Undeclared","90","80","41170","36460"
"In post","2021","Male","Knowledge and Information Management","Unknown","150","150","41080","38510"
"In post","2021","Male","Legal","Declared disabled","390","370","48630","50520"
"In post","2021","Male","Legal","Declared non-disabled","3340","3240","48850","50500"
"In post","2021","Male","Legal","Undeclared","290","280","43730","36590"
"In post","2021","Male","Legal","Unknown","1090","1070","42630","38000"
"In post","2021","Male","Medicine","Declared disabled","40","40","[c]","[c]"
"In post","2021","Male","Medicine","Declared non-disabled","450","420","64690","66570"
"In post","2021","Male","Medicine","Undeclared","50","40","[c]","[c]"
"In post","2021","Male","Medicine","Unknown","220","210","69180","67170"
"In post","2021","Male","Operational Delivery","Declared disabled","7040","6610","29010","26780"
"In post","2021","Male","Operational Delivery","Declared non-disabled","49470","47450","30320","27280"
"In post","2021","Male","Operational Delivery","Undeclared","7070","6630","30810","31650"
"In post","2021","Male","Operational Delivery","Unknown","15620","15030","28730","25790"
"In post","2021","Male","Operational Research","Declared disabled","80","80","43130","38630"
"In post","2021","Male","Operational Research","Declared non-disabled","500","480","45470","46080"
"In post","2021","Male","Operational Research","Undeclared","70","70","46160","46080"
"In post","2021","Male","Operational Research","Unknown","110","110","42940","40000"
"In post","2021","Male","Other","Declared disabled","900","870","28960","26250"
"In post","2021","Male","Other","Declared non-disabled","6690","6540","33410","28240"
"In post","2021","Male","Other","Undeclared","780","750","31230","27500"
"In post","2021","Male","Other","Unknown","3550","3490","35320","32700"
"In post","2021","Male","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","Declared non-disabled","80","80","49040","43360"
"In post","2021","Male","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning Inspectors","Declared non-disabled","160","140","58370","58810"
"In post","2021","Male","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning Inspectors","Unknown","40","40","[c]","[c]"
"In post","2021","Male","Policy","Declared disabled","1070","1050","46330","41760"
"In post","2021","Male","Policy","Declared non-disabled","9120","9020","49930","49860"
"In post","2021","Male","Policy","Undeclared","850","840","47880","44170"
"In post","2021","Male","Policy","Unknown","2330","2310","47460","43350"
"In post","2021","Male","Project Delivery","Declared disabled","630","610","42280","40000"
"In post","2021","Male","Project Delivery","Declared non-disabled","5740","5650","44730","40580"
"In post","2021","Male","Project Delivery","Undeclared","510","500","43610","40580"
"In post","2021","Male","Project Delivery","Unknown","1090","1070","43850","40000"
"In post","2021","Male","Property","Declared disabled","300","290","35610","33300"
"In post","2021","Male","Property","Declared non-disabled","2910","2840","38640","34770"
"In post","2021","Male","Property","Undeclared","330","320","38750","35480"
"In post","2021","Male","Property","Unknown","640","630","33540","30270"
"In post","2021","Male","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Psychology","Declared non-disabled","120","120","36070","30450"
"In post","2021","Male","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Science and Engineering","Declared disabled","750","730","37500","37210"
"In post","2021","Male","Science and Engineering","Declared non-disabled","6530","6370","39060","37360"
"In post","2021","Male","Science and Engineering","Undeclared","800","770","38760","37320"
"In post","2021","Male","Science and Engineering","Unknown","1530","1490","39360","37320"
"In post","2021","Male","Security","Declared disabled","450","430","32240","28970"
"In post","2021","Male","Security","Declared non-disabled","4060","3990","30900","26610"
"In post","2021","Male","Security","Undeclared","560","550","34030","35750"
"In post","2021","Male","Security","Unknown","1510","1490","31160","28890"
"In post","2021","Male","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Social Research","Declared non-disabled","210","200","46330","47000"
"In post","2021","Male","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Social Research","Unknown","100","100","36200","34800"
"In post","2021","Male","Statistics","Declared disabled","90","90","43580","38090"
"In post","2021","Male","Statistics","Declared non-disabled","720","710","44730","41540"
"In post","2021","Male","Statistics","Undeclared","60","60","42710","40920"
"In post","2021","Male","Statistics","Unknown","200","200","40550","37020"
"In post","2021","Male","Tax","Declared disabled","650","610","36370","31940"
"In post","2021","Male","Tax","Declared non-disabled","5090","4890","36870","31810"
"In post","2021","Male","Tax","Undeclared","530","500","39050","35000"
"In post","2021","Male","Tax","Unknown","3110","3010","29340","25560"
"In post","2021","Male","Unknown","Declared disabled","6000","5660","29240","27570"
"In post","2021","Male","Unknown","Declared non-disabled","31230","30210","32140","27570"
"In post","2021","Male","Unknown","Undeclared","2060","2000","30700","27570"
"In post","2021","Male","Unknown","Unknown","6510","6420","38550","31810"
"In post","2021","Male","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Male","Veterinarian","Declared non-disabled","150","140","46530","47550"
"In post","2021","Male","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Commercial","Declared disabled","350","330","37610","36530"
"In post","2022","Female","Commercial","Declared non-disabled","2210","2090","38590","36050"
"In post","2022","Female","Commercial","Undeclared","170","160","40020","37100"
"In post","2022","Female","Commercial","Unknown","670","640","38390","36500"
"In post","2022","Female","Communications","Declared disabled","200","190","39730","36960"
"In post","2022","Female","Communications","Declared non-disabled","1570","1490","42580","39580"
"In post","2022","Female","Communications","Undeclared","80","80","41460","38670"
"In post","2022","Female","Communications","Unknown","640","620","42460","38620"
"In post","2022","Female","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Female","Corporate Finance","Declared non-disabled","70","60","42490","38590"
"In post","2022","Female","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Counter Fraud","Declared disabled","620","540","28320","27570"
"In post","2022","Female","Counter Fraud","Declared non-disabled","2950","2570","28120","27570"
"In post","2022","Female","Counter Fraud","Undeclared","180","160","29400","27570"
"In post","2022","Female","Counter Fraud","Unknown","150","140","31610","27570"
"In post","2022","Female","Digital, Data and Technology","Declared disabled","700","660","38870","35970"
"In post","2022","Female","Digital, Data and Technology","Declared non-disabled","4660","4420","41120","37930"
"In post","2022","Female","Digital, Data and Technology","Undeclared","290","280","39770","36760"
"In post","2022","Female","Digital, Data and Technology","Unknown","1350","1310","41610","37930"
"In post","2022","Female","Economics","Declared disabled","50","40","[c]","[c]"
"In post","2022","Female","Economics","Declared non-disabled","540","520","48470","50810"
"In post","2022","Female","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Economics","Unknown","160","150","41420","34710"
"In post","2022","Female","Finance","Declared disabled","660","620","37340","33300"
"In post","2022","Female","Finance","Declared non-disabled","4840","4560","38870","34520"
"In post","2022","Female","Finance","Undeclared","330","310","38350","34050"
"In post","2022","Female","Finance","Unknown","1060","1010","38440","35000"
"In post","2022","Female","Geography","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Female","Geography","Declared non-disabled","110","100","31280","33000"
"In post","2022","Female","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Geography","Unknown","30","30","[c]","[c]"
"In post","2022","Female","Human Resources","Declared disabled","900","840","39680","35070"
"In post","2022","Female","Human Resources","Declared non-disabled","4560","4260","38920","34290"
"In post","2022","Female","Human Resources","Undeclared","350","330","37600","34610"
"In post","2022","Female","Human Resources","Unknown","980","930","35890","31970"
"In post","2022","Female","Inspector of Education and Training","Declared disabled","50","50","59630","51360"
"In post","2022","Female","Inspector of Education and Training","Declared non-disabled","570","550","63570","64500"
"In post","2022","Female","Inspector of Education and Training","Unknown","60","50","57510","51360"
"In post","2022","Female","Intelligence Analysis","Declared disabled","150","140","31410","28760"
"In post","2022","Female","Intelligence Analysis","Declared non-disabled","1090","1020","32010","29080"
"In post","2022","Female","Intelligence Analysis","Undeclared","110","110","32420","29310"
"In post","2022","Female","Intelligence Analysis","Unknown","130","130","34640","30820"
"In post","2022","Female","Internal Audit","Declared disabled","50","50","44610","41230"
"In post","2022","Female","Internal Audit","Declared non-disabled","310","290","44530","42230"
"In post","2022","Female","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","International Trade","Declared disabled","70","70","45290","39810"
"In post","2022","Female","International Trade","Declared non-disabled","370","360","47970","48220"
"In post","2022","Female","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","International Trade","Unknown","300","290","45080","39440"
"In post","2022","Female","Knowledge and Information Management","Declared disabled","170","160","33750","31990"
"In post","2022","Female","Knowledge and Information Management","Declared non-disabled","930","870","34360","31880"
"In post","2022","Female","Knowledge and Information Management","Undeclared","80","70","33240","31090"
"In post","2022","Female","Knowledge and Information Management","Unknown","130","130","36180","33000"
"In post","2022","Female","Legal","Declared disabled","640","570","49090","50500"
"In post","2022","Female","Legal","Declared non-disabled","5130","4670","50350","51250"
"In post","2022","Female","Legal","Undeclared","250","230","48620","47760"
"In post","2022","Female","Legal","Unknown","1440","1340","45800","48080"
"In post","2022","Female","Medicine","Declared disabled","80","70","51840","40880"
"In post","2022","Female","Medicine","Declared non-disabled","1120","980","49810","39630"
"In post","2022","Female","Medicine","Undeclared","60","50","51870","40060"
"In post","2022","Female","Medicine","Unknown","510","440","55500","44200"
"In post","2022","Female","Operational Delivery","Declared disabled","19970","17410","27540","27350"
"In post","2022","Female","Operational Delivery","Declared non-disabled","100750","88960","27990","26840"
"In post","2022","Female","Operational Delivery","Undeclared","7200","6370","27980","27060"
"In post","2022","Female","Operational Delivery","Unknown","22190","20280","28060","25050"
"In post","2022","Female","Operational Research","Declared disabled","40","30","[c]","[c]"
"In post","2022","Female","Operational Research","Declared non-disabled","340","320","44080","41750"
"In post","2022","Female","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Operational Research","Unknown","50","40","[c]","[c]"
"In post","2022","Female","Other","Declared disabled","1990","1800","27890","26820"
"In post","2022","Female","Other","Declared non-disabled","11140","10240","29170","26670"
"In post","2022","Female","Other","Undeclared","820","760","27500","26120"
"In post","2022","Female","Other","Unknown","2120","2000","32770","27570"
"In post","2022","Female","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning","Declared non-disabled","80","70","45320","41560"
"In post","2022","Female","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning Inspectors","Declared non-disabled","100","90","55230","58810"
"In post","2022","Female","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Policy","Declared disabled","1800","1720","44400","40050"
"In post","2022","Female","Policy","Declared non-disabled","12090","11540","46950","42500"
"In post","2022","Female","Policy","Undeclared","820","790","44790","40350"
"In post","2022","Female","Policy","Unknown","3220","3130","44820","40650"
"In post","2022","Female","Project Delivery","Declared disabled","890","830","39870","36970"
"In post","2022","Female","Project Delivery","Declared non-disabled","5870","5530","41710","39000"
"In post","2022","Female","Project Delivery","Undeclared","340","320","41840","40000"
"In post","2022","Female","Project Delivery","Unknown","1050","1000","42260","40080"
"In post","2022","Female","Property","Declared disabled","280","260","36850","33300"
"In post","2022","Female","Property","Declared non-disabled","2150","2000","36590","33300"
"In post","2022","Female","Property","Undeclared","190","180","35640","33150"
"In post","2022","Female","Property","Unknown","490","460","32940","29610"
"In post","2022","Female","Psychology","Declared disabled","110","100","32910","29750"
"In post","2022","Female","Psychology","Declared non-disabled","980","940","36160","31180"
"In post","2022","Female","Psychology","Undeclared","100","100","37700","31180"
"In post","2022","Female","Psychology","Unknown","140","140","32450","29750"
"In post","2022","Female","Science and Engineering","Declared disabled","360","330","35290","32330"
"In post","2022","Female","Science and Engineering","Declared non-disabled","3160","2960","38020","36580"
"In post","2022","Female","Science and Engineering","Undeclared","100","100","39040","37830"
"In post","2022","Female","Science and Engineering","Unknown","750","690","42610","40560"
"In post","2022","Female","Security","Declared disabled","200","190","32240","29060"
"In post","2022","Female","Security","Declared non-disabled","1460","1410","33170","31180"
"In post","2022","Female","Security","Undeclared","160","150","35410","33000"
"In post","2022","Female","Security","Unknown","330","320","32390","30010"
"In post","2022","Female","Social Research","Declared disabled","90","80","41680","38340"
"In post","2022","Female","Social Research","Declared non-disabled","580","550","43650","40180"
"In post","2022","Female","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Social Research","Unknown","230","220","38430","38340"
"In post","2022","Female","Statistics","Declared disabled","120","110","42950","38670"
"In post","2022","Female","Statistics","Declared non-disabled","720","670","45190","41860"
"In post","2022","Female","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Statistics","Unknown","240","220","39490","38340"
"In post","2022","Female","Tax","Declared disabled","820","750","35960","33370"
"In post","2022","Female","Tax","Declared non-disabled","5590","5210","35580","33370"
"In post","2022","Female","Tax","Undeclared","370","340","37550","33370"
"In post","2022","Female","Tax","Unknown","2520","2340","29530","26820"
"In post","2022","Female","Unknown","Declared disabled","1470","1400","39080","34550"
"In post","2022","Female","Unknown","Declared non-disabled","9210","8770","41580","36130"
"In post","2022","Female","Unknown","Undeclared","420","400","39720","34550"
"In post","2022","Female","Unknown","Unknown","6190","5930","40280","32790"
"In post","2022","Female","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
