"Status","Year","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Project Delivery","Chinese","50","50","[c]","[c]"
"In post","2021","Project Delivery","Mixed","460","450","42160","38600"
"In post","2021","Project Delivery","Other ethnicity","150","140","44300","40750"
"In post","2021","Project Delivery","Undeclared","1520","1470","42000","40050"
"In post","2021","Project Delivery","Unknown","2810","2740","41690","38630"
"In post","2021","Project Delivery","White","21610","20820","41150","38600"
"In post","2021","Property","Asian","310","300","34370","30680"
"In post","2021","Property","Black","150","140","36340","33550"
"In post","2021","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Property","Mixed","100","100","33570","32780"
"In post","2021","Property","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Property","Undeclared","460","440","36920","33300"
"In post","2021","Property","Unknown","1510","1420","30870","26500"
"In post","2021","Property","White","6730","6430","35040","33000"
"In post","2021","Security","Asian","220","220","31940","29880"
"In post","2021","Security","Black","120","120","31070","27750"
"In post","2021","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Security","Mixed","90","90","36130","33240"
"In post","2021","Security","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Security","Undeclared","450","440","34780","35670"
"In post","2021","Security","Unknown","1280","1250","30530","26750"
"In post","2021","Security","White","6550","6400","31530","27680"
"In post","2021","Unknown","Asian","12730","11640","29650","27570"
"In post","2021","Unknown","Black","6160","5830","30460","29290"
"In post","2021","Unknown","Chinese","380","360","32290","28670"
"In post","2021","Unknown","Mixed","2790","2620","31070","27570"
"In post","2021","Unknown","Other ethnicity","860","800","32230","28670"
"In post","2021","Unknown","Undeclared","7960","7240","30600","27570"
"In post","2021","Unknown","Unknown","13770","13070","32550","27570"
"In post","2021","Unknown","White","122050","111490","30640","27570"
"In post","2022","Analysis","Asian","630","610","42880","38380"
"In post","2022","Analysis","Black","220","210","39280","37770"
"In post","2022","Analysis","Mixed","220","210","43080","38340"
"In post","2022","Analysis","Other ethnicity","60","50","49710","43810"
"In post","2022","Analysis","Undeclared","240","230","45700","42780"
"In post","2022","Analysis","Unknown","960","940","41500","37930"
"In post","2022","Analysis","White","6140","5880","44020","38500"
"In post","2022","Commercial","Asian","300","290","42320","39020"
"In post","2022","Commercial","Black","170","160","40120","36530"
"In post","2022","Commercial","Mixed","90","90","39200","36270"
"In post","2022","Commercial","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Commercial","Undeclared","210","200","42840","40000"
"In post","2022","Commercial","Unknown","1840","1810","59990","56720"
"In post","2022","Commercial","White","3970","3840","42780","38670"
"In post","2022","Communications","Asian","710","700","32190","26820"
"In post","2022","Communications","Black","250","240","32740","28920"
"In post","2022","Communications","Mixed","190","190","38000","33370"
"In post","2022","Communications","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Communications","Undeclared","190","180","35600","33300"
"In post","2022","Communications","Unknown","2110","2060","34520","27570"
"In post","2022","Communications","White","5050","4850","37340","33370"
"In post","2022","Counter Fraud","Asian","1350","1260","31000","28920"
"In post","2022","Counter Fraud","Black","620","580","31030","31020"
"In post","2022","Counter Fraud","Mixed","260","250","32880","30750"
"In post","2022","Counter Fraud","Other ethnicity","70","70","32450","31000"
"In post","2022","Counter Fraud","Undeclared","960","880","33700","31060"
"In post","2022","Counter Fraud","Unknown","2240","2130","32880","31020"
"In post","2022","Counter Fraud","White","11520","10590","32620","28920"
"In post","2022","Debt","Asian","770","660","23540","21260"
"In post","2022","Debt","Black","210","190","25220","25110"
"In post","2022","Debt","Mixed","90","80","23030","21260"
"In post","2022","Debt","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Debt","Undeclared","240","210","23940","21690"
"In post","2022","Debt","Unknown","1280","1180","22790","21250"
"In post","2022","Debt","White","4200","3690","24070","21260"
"In post","2022","Digital, Data & Technology","Asian","1400","1380","41910","37930"
"In post","2022","Digital, Data & Technology","Black","640","630","39560","36500"
"In post","2022","Digital, Data & Technology","Mixed","350","340","41860","39720"
"In post","2022","Digital, Data & Technology","Other ethnicity","120","120","45020","39650"
"In post","2022","Digital, Data & Technology","Undeclared","1150","1120","41530","38650"
"In post","2022","Digital, Data & Technology","Unknown","3040","2980","41360","37930"
"In post","2022","Digital, Data & Technology","White","15350","14850","41410","38250"
"In post","2022","Finance","Asian","1140","1110","38880","36050"
"In post","2022","Finance","Black","440","440","39200","36650"
"In post","2022","Finance","Mixed","200","200","40770","36970"
"In post","2022","Finance","Other ethnicity","60","60","40780","40190"
"In post","2022","Finance","Undeclared","510","490","38650","35310"
"In post","2022","Finance","Unknown","1480","1410","37340","33370"
"In post","2022","Finance","White","8540","8040","39760","35360"
"In post","2022","Grants Management","Asian","40","30","[c]","[c]"
"In post","2022","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","90","80","27590","26370"
"In post","2022","Grants Management","Unknown","860","810","23930","21300"
"In post","2022","Grants Management","White","1310","1180","25940","24920"
"In post","2022","Human Resources","Asian","670","650","36970","33370"
"In post","2022","Human Resources","Black","380","370","36580","34260"
"In post","2022","Human Resources","Mixed","250","240","40340","35700"
"In post","2022","Human Resources","Other ethnicity","60","60","35850","31020"
"In post","2022","Human Resources","Undeclared","360","340","36320","33180"
"In post","2022","Human Resources","Unknown","1060","1020","35990","32000"
"In post","2022","Human Resources","White","8950","8430","38000","33370"
"In post","2022","Internal Audit","Asian","90","80","46890","43760"
"In post","2022","Internal Audit","Black","30","30","[c]","[c]"
"In post","2022","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","40","30","[c]","[c]"
"In post","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","White","560","540","46420","43310"
"In post","2022","Legal","Asian","1180","1100","43820","48080"
"In post","2022","Legal","Black","640","620","41420","35010"
"In post","2022","Legal","Mixed","320","300","48210","50500"
"In post","2022","Legal","Other ethnicity","120","110","47980","50500"
"In post","2022","Legal","Undeclared","350","320","49380","52040"
"In post","2022","Legal","Unknown","1390","1300","47560","49820"
"In post","2022","Legal","White","8400","7810","47260","49710"
"In post","2022","No function","Asian","17940","16680","31500","27570"
"In post","2022","No function","Black","10230","9800","31660","30450"
"In post","2022","No function","Mixed","5350","5090","33420","29530"
"In post","2022","No function","Other ethnicity","1590","1510","34940","31060"
"In post","2022","No function","Undeclared","9960","9150","32980","28880"
"In post","2022","No function","Unknown","39560","37180","30400","27380"
"In post","2022","No function","White","189910","174640","32120","27570"
"In post","2022","Project Delivery","Asian","1260","1210","41990","38600"
"In post","2022","Project Delivery","Black","680","670","39690","37870"
"In post","2022","Project Delivery","Mixed","440","430","42360","38600"
"In post","2022","Project Delivery","Other ethnicity","120","120","44350","42290"
"In post","2022","Project Delivery","Undeclared","1280","1220","42330","40520"
"In post","2022","Project Delivery","Unknown","2700","2620","42410","40000"
"In post","2022","Project Delivery","White","20080","19250","42200","40000"
"In post","2022","Property","Asian","460","450","36090","31900"
"In post","2022","Property","Black","200","200","37720","34260"
"In post","2022","Property","Mixed","110","100","36870","33330"
"In post","2022","Property","Other ethnicity","30","30","[c]","[c]"
"In post","2022","Property","Undeclared","710","650","37400","33370"
"In post","2022","Property","Unknown","1330","1290","32170","27000"
"In post","2022","Property","White","6700","6430","37540","33370"
"In post","2022","Security","Asian","320","310","33580","31090"
"In post","2022","Security","Black","140","130","32770","30580"
"In post","2022","Security","Mixed","130","130","37160","34640"
"In post","2022","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Security","Undeclared","540","530","36720","37280"
"In post","2022","Security","Unknown","1430","1400","31710","28440"
"In post","2022","Security","White","8120","7920","32750","31180"
"In post","2022","Unknown","Asian","5400","5050","32550","28990"
"In post","2022","Unknown","Black","2220","2110","33480","29250"
"In post","2022","Unknown","Mixed","1140","1070","36150","30830"
"In post","2022","Unknown","Other ethnicity","280","270","34170","29250"
"In post","2022","Unknown","Undeclared","3400","3200","35030","30820"
"In post","2022","Unknown","Unknown","11190","10840","35080","30820"
"In post","2022","Unknown","White","56040","53050","35160","30200"
"Leaver CS","2021","Analysis","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","50","50","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","White","160","150","37850","31700"
"Leaver CS","2021","Commercial","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","80","80","64710","60650"
"Leaver CS","2021","Commercial","White","160","150","41170","36450"
"Leaver CS","2021","Communications","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","70","70","38060","37290"
"Leaver CS","2021","Communications","White","140","130","38060","32750"
"Leaver CS","2021","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","130","130","41240","37300"
"Leaver CS","2021","Digital, Data & Technology","White","220","210","42680","38450"
"Leaver CS","2021","Finance","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Finance","White","160","140","41150","36730"
"Leaver CS","2021","Grants Management","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Unknown","90","80","24950","21050"
"Leaver CS","2021","Grants Management","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Human Resources","White","230","220","37800","33250"
"Leaver CS","2021","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Asian","40","40","[c]","[c]"
"Leaver CS","2021","Legal","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","200","180","36650","29350"
"Leaver CS","2021","Legal","White","370","320","47900","50000"
"Leaver CS","2021","No function","Asian","340","320","30870","24250"
"Leaver CS","2021","No function","Black","220","210","31130","25140"
"Leaver CS","2021","No function","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","No function","Mixed","140","130","31550","25120"
"Leaver CS","2021","No function","Other ethnicity","50","50","[c]","[c]"
"Leaver CS","2021","No function","Undeclared","410","350","30540","26400"
"Leaver CS","2021","No function","Unknown","2300","2170","30130","24250"
"Leaver CS","2021","No function","White","5680","5030","33030","26160"
"Leaver CS","2021","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","130","130","34450","30680"
"Leaver CS","2021","Project Delivery","White","620","580","38990","35290"
"Leaver CS","2021","Property","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Property","Unknown","160","140","27500","24500"
"Leaver CS","2021","Property","White","340","300","31960","28260"
"Leaver CS","2021","Security","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","110","100","27570","24970"
"Leaver CS","2021","Security","White","280","270","30230","26670"
"Leaver CS","2021","Unknown","Asian","690","590","28030","26890"
"Leaver CS","2021","Unknown","Black","280","250","29280","26200"
"Leaver CS","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Mixed","200","180","29960","27570"
"Leaver CS","2021","Unknown","Other ethnicity","60","50","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","680","570","29780","27570"
"Leaver CS","2021","Unknown","Unknown","3160","2740","31240","27570"
"Leaver CS","2021","Unknown","White","9160","7650","30040","26890"
"Leaver CS","2022","Analysis","Asian","60","50","[c]","[c]"
"Leaver CS","2022","Analysis","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Undeclared","60","60","28870","24900"
"Leaver CS","2022","Analysis","Unknown","80","40","[c]","[c]"
"Leaver CS","2022","Analysis","White","310","270","39160","35900"
"Leaver CS","2022","Commercial","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","220","160","68820","65000"
"Leaver CS","2022","Commercial","White","240","220","43210","37980"
"Leaver CS","2022","Communications","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","140","110","43540","40000"
"Leaver CS","2022","Communications","White","210","190","40800","37300"
"Leaver CS","2022","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Undeclared","40","30","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","White","250","200","29320","27570"
"Leaver CS","2022","Debt","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","White","170","130","22600","21260"
"Leaver CS","2022","Digital, Data & Technology","Asian","120","120","41760","38140"
"Leaver CS","2022","Digital, Data & Technology","Black","40","40","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Undeclared","100","90","39680","36840"
"Leaver CS","2022","Digital, Data & Technology","Unknown","300","260","39930","36960"
"Leaver CS","2022","Digital, Data & Technology","White","800","750","42290","38770"
"Leaver CS","2022","Finance","Asian","40","40","[c]","[c]"
"Leaver CS","2022","Finance","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","90","50","[c]","[c]"
"Leaver CS","2022","Finance","White","310","280","40350","36240"
"Leaver CS","2022","Grants Management","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Unknown","70","70","22570","21300"
"Leaver CS","2022","Grants Management","White","80","70","25270","24920"
"Leaver CS","2022","Human Resources","Asian","50","40","[c]","[c]"
"Leaver CS","2022","Human Resources","Black","40","40","[c]","[c]"
"Leaver CS","2022","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","100","80","29790","27130"
